Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	33/405	0.000010018703511759657293696441915376027509410050697624683380126953125	0.032440561971077773451010983762898831628262996673583984375	0.0000063151747699171685099402660801271025547976023517549037933349609375	0.0204485359049917901630433192394775687716901302337646484375	-2.364164565594647	8.105173485164938	CNTF;EDA;ONECUT2;FOXE1;FHL1;HCCS;PRKX;AQP5;FGD1;FGF4;SOX3;T;ALX3;SCN5A;HOXA5;CDX1;WNT7B;SHROOM2;LIF;PAX6;CELA1;TBX4;FGF16;DLC1;GNAS;HOXB3;FAM20C;DCHS1;ROR2;BCOR;LY6H;NODAL;MDFI
trophoblast giant cell differentiation (GO:0060707)	4/12	0.000633952176215595952606107754689901412348262965679168701171875	0.55244201864444086869099237446789629757404327392578125	0.00145623452425686712892460850099496383336372673511505126953125	0.56105834069861171276016875708592124283313751220703125	-2.5334383186484244	1.5033595123081485	LIF;SNAI1;ERF;MDFI
gamete generation (GO:0007276)	26/390	0.00179725294316442573382130998282946166000328958034515380859375	0.55244201864444086869099237446789629757404327392578125	0.0011073403699708266045842464109227876178920269012451171875	0.56105834069861171276016875708592124283313751220703125	-2.497862400361511	1.4822485206680356	SPAG16;DDX4;SPIN4;SPO11;CETN2;CELF3;RPL10L;YBX2;BOLL;SOHLH2;HORMAD1;INSL3;TCFL5;USP9X;LIMK2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;DIAPH2;ZGLP1;DZIP1;CDK16;FAM50A
ephrin receptor signaling pathway (GO:0048013)	6/34	0.0011597952058213386282436996310707399970851838588714599609375	0.55244201864444086869099237446789629757404327392578125	0.001694175913418143226973899828635694575496017932891845703125	0.56105834069861171276016875708592124283313751220703125	-2.42233463012721	1.437429828620409	EFNB1;CD63;EPHA10;CHN1;CDK5R1;EPHB3
regulation of metal ion transport (GO:0010959)	19/250	0.0016794532216868811140553230387695293757133185863494873046875	0.55244201864444086869099237446789629757404327392578125	0.00126565312600943123515218058372511222842149436473846435546875	0.56105834069861171276016875708592124283313751220703125	-2.418569183786327	1.4351953871765484	CD63;TESC;CAMK2A;FHL1;AKAP7;CASK;ATP2B2;AKAP6;GIMAP5;CRHR1;P2RX7;DPP6;JPH3;PDE4B;PTPN6;NOS1;SCN5A;DRD2;F2RL3
positive regulation of ion transport (GO:0043270)	16/186	0.00106762433789933468795962934194676563492976129055023193359375	0.55244201864444086869099237446789629757404327392578125	0.00091561325703456660808632339154655710444785654544830322265625	0.56105834069861171276016875708592124283313751220703125	-2.3781305724965653	1.411198840467873	NLGN3;TESC;CAMK2A;FHL1;AKAP7;CASK;AKAP6;ATP2B2;GIMAP5;P2RX7;DPP6;HTR6;NOS1;SCN5A;DRD2;F2RL3
cognition (GO:0050890)	18/227	0.00137247864174875017044541447575056736241094768047332763671875	0.55244201864444086869099237446789629757404327392578125	0.0010802710521146054352403798048953831312246620655059814453125	0.56105834069861171276016875708592124283313751220703125	-2.311402593073162	1.3716020040796109	NLGN3;BHLHB9;SLC12A5;BDNF;SORCS3;MAPK8IP2;PRKCZ;SHROOM4;CRHR1;AFF2;HTR6;JPH3;PTCHD1;RCAN2;GNAS;DRD2;FGF13;SHANK2
multicellular organismal development (GO:0007275)	29/453	0.001860890972276212258773586682991663110442459583282470703125	0.55244201864444086869099237446789629757404327392578125	0.00106077734776710737307769960580117185600101947784423828125	0.56105834069861171276016875708592124283313751220703125	-2.2879964645223527	1.357712648359303	DDX4;TWIST2;HMGB3;FGD1;RPS4X;BOLL;ZMYM3;TMEM88;SOHLH2;RBBP7;MBNL3;TCFL5;AMN;SEMA4B;WNT7B;LIF;MSL3;PCOLCE;PAX6;TBX4;HIC1;DAZL;DIAPH2;ZGLP1;FES;GTF2IRD1;ROR2;DZIP1;HMX1
multicellular organism growth (GO:0035264)	9/79	0.00198157957273857772417802181053048116154968738555908203125	0.55244201864444086869099237446789629757404327392578125	0.002170094841841570428020435912230823305435478687286376953125	0.61503938862366391848723878865712322294712066650390625	-2.2399106907736352	1.3291782234871008	CDKN1C;PKDCC;SLC12A5;GNAS;CELA1;ZFX;APBA2;SLC25A25;HOXA5
negative regulation of vascular endothelial growth factor receptor signaling pathway (GO:0030948)	3/8	0.00221795745595359215796005258880541077814996242523193359375	0.55244201864444086869099237446789629757404327392578125	0.00460187067365777462135678632648705388419330120086669921875	0.68782385207441498753411224242881871759891510009765625	-2.17035559742061	1.2879037584835331	MEG3;PTPN1;DAB2IP
cyclic nucleotide metabolic process (GO:0009187)	8/58	0.0010039962314928852459006147768150185584090650081634521484375	0.55244201864444086869099237446789629757404327392578125	0.0012705170242801079594219260116005898453295230865478515625	0.56105834069861171276016875708592124283313751220703125	-2.105025410837142	1.2491363818641095	CNP;PDE4B;GNAS;HTR2C;ATP2B2;ADCY7;PDE8A;ADCY5
substrate-independent telencephalic tangential migration (GO:0021826)	3/8	0.00221795745595359215796005258880541077814996242523193359375	0.55244201864444086869099237446789629757404327392578125	0.00460187067365777462135678632648705388419330120086669921875	0.68782385207441498753411224242881871759891510009765625	-1.9315862785808795	1.1462164223116593	ARX;FEZF2;DRD2
substrate-independent telencephalic tangential interneuron migration (GO:0021843)	3/8	0.00221795745595359215796005258880541077814996242523193359375	0.55244201864444086869099237446789629757404327392578125	0.00460187067365777462135678632648705388419330120086669921875	0.68782385207441498753411224242881871759891510009765625	-1.9205326492789798	1.1396571235775166	ARX;FEZF2;DRD2
positive regulation of synapse assembly (GO:0051965)	4/25	0.01121226855460962477939457215825314051471650600433349609375	0.64628294997381185993390317889861762523651123046875	0.0136343951870829781236604816285762353800237178802490234375	0.68782385207441498753411224242881871759891510009765625	-2.5608103560745152	1.1178394770869577	NLGN3;BHLHB9;BDNF;EPHB3
multicellular organismal reproductive process (GO:0048609)	30/491	0.0031412797011512068323657587143316050060093402862548828125	0.64628294997381185993390317889861762523651123046875	0.0017327311324849031977379798519223186303861439228057861328125	0.56105834069861171276016875708592124283313751220703125	-2.505359930856206	1.0936343756887812	SPAG16;DDX4;SPIN4;SPO11;CETN2;CELF3;RPL10L;YBX2;ADCY7;BOLL;T;SOHLH2;HORMAD1;INSL3;TCFL5;USP9X;LIMK2;UBE2A;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;DIAPH2;ZGLP1;DZIP1;NODAL;FAM50A;CDK16
long-term synaptic potentiation (GO:0060291)	5/30	0.0038822861946765613132270811291846257518045604228973388671875	0.64628294997381185993390317889861762523651123046875	0.005101601497750234137651403898416901938617229461669921875	0.68782385207441498753411224242881871759891510009765625	-2.502544724939122	1.0924054880037637	HTR6;LRRTM2;PRKCZ;SHANK2;CRHR1
male gamete generation (GO:0048232)	23/354	0.004394050667994580695874251574650770635344088077545166015625	0.64628294997381185993390317889861762523651123046875	0.0028491633197513768945008383326467082952149212360382080078125	0.61503938862366391848723878865712322294712066650390625	-2.4744634949279067	1.080147529347343	SPAG16;DDX4;SPO11;CETN2;LIMK2;CELF3;RPL10L;YBX2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;BOLL;ZGLP1;SOHLH2;HORMAD1;INSL3;DZIP1;TCFL5;CDK16;FAM50A
spermatogenesis (GO:0007283)	23/353	0.004246794818078373189018659417115486576221883296966552734375	0.64628294997381185993390317889861762523651123046875	0.002756269615776123227401939175251754932105541229248046875	0.61503938862366391848723878865712322294712066650390625	-2.4727000275072957	1.0793777443085408	SPAG16;DDX4;SPO11;CETN2;LIMK2;CELF3;RPL10L;YBX2;OVOL1;ZFX;IGF2R;ELL3;SOX30;DAZL;BOLL;ZGLP1;SOHLH2;HORMAD1;INSL3;DZIP1;TCFL5;CDK16;FAM50A
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	4/25	0.01121226855460962477939457215825314051471650600433349609375	0.64628294997381185993390317889861762523651123046875	0.0136343951870829781236604816285762353800237178802490234375	0.68782385207441498753411224242881871759891510009765625	-2.427899523653535	1.0598215238792046	SNAI1;TAF9B;CLU;ELL3
