Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	38/111	0.000000000000000000000000002477704235569819849153077921895247275080699742468297949516130806339999303154753018674227860174141824245452880859375	0.000000000000000000000002851837575140862825382663714810861521698797291368057214158848061170969945266051581711508333683013916015625	0.000000000000000000052717991595140163752994830956827481621920854652910677184789178806312293090741150081157684326171875	0.0000000000000000606784083260063291959022485003117642020227011042700360210488952361629344522953033447265625	-2.0928581235265966	113.46237497942617	EDA;ABCB7;IGSF1;FHL1;ARX;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;PAK3;ABCD1;EMD;TRAPPC2;PDHA1;GK;IQSEC2;NAA10;ALG13;UBE2A;PHKA2;SYN1;HCFC1;FGF16;ARHGEF9;CLCN5;SLC6A8;PIGA;SMS;UBA1;MAMLD1;MBTPS2
X-linked dominant inheritance (HP:0001423)	23/62	0.000000000000000005838919936859647152514545144173190503657370871372529752552082982219872064888477325439453125	0.0000000000000033602984236627270179315503724904713044282817020758091786092336405999958515167236328125	0.000000000000726764908699362906355062077117460872977168506725575980453868396580219268798828125	0.00000000041825320495648335790848350846629806476517643432089244015514850616455078125	-1.9176835215642711	63.91015279811027	AMER1;SLC35A2;CDKL5;PDHA1;EDA;GK;FMR1;FHL1;NDUFA1;CASK;HCCS;WDR45;HDAC6;SYN1;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;BCOR;SLC16A2
Coarse facial features (HP:0000280)	17/129	0.00000348810806442080568640670516777912979478060151450335979461669921875	0.00100370309553708680905259598148404620587825775146484375	0.0002436947626173820873919650953354221201152540743350982666015625	0.056098534354521355227429779688463895581662654876708984375	-2.265600881486251	15.641842208395044	SLC35A2;CDKN1C;FOXE1;FMR1;ARX;PHF6;SLC5A5;MED12;RPS6KA3;PIGA;NSD1;GNAS;AP1S2;GPC3;IDS;GTF2IRD1;GPC4
Mandibular prognathia (HP:0000303)	15/97	0.000001718821509243049913145018510463035710245094378478825092315673828125	0.000659454519046250172385759125148751991218887269496917724609375	0.000120006148529295676827439998124447129157488234341144561767578125	0.046042358985739773036272026729420758783817291259765625	-2.102639152368907	15.399934266429208	CDKL5;FMR1;ANTXR1;RPS6KA3;RAI1;SLC6A8;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;GPC3;FAM20C;GPC4
Open mouth (HP:0000194)	9/39	0.0000072545964178135734421706999619505751297765527851879596710205078125	0.0016700080953806844229203587559595689526759088039398193359375	0.00023282584468579532971203860380882133540580980479717254638671875	0.056098534354521355227429779688463895581662654876708984375	-2.0057768898067048	12.826796397538368	MED12;SLC35A2;RAI1;RPS6KA3;SLC6A8;LMNA;UBA1;SLC16A2;PAK3
Cryptorchidism (HP:0000028)	29/379	0.000104772042449138326480895244685598299838602542877197265625	0.00878725634037470955395310312496803817339241504669189453125	0.007748975086907608673947311928031922434456646442413330078125	0.2404926221148796783300127799520851112902164459228515625	-2.451077479276389	11.604510512737647	CDKN1C;FMR1;ARX;PHF6;FGD1;PHF8;MED12;EFNB1;SOX3;PORCN;OPHN1;NSD1;AP1S2;GPC3;GPC4;INSL3;RBM10;GK;NAA10;BDNF;GP1BB;PAX6;ANK1;SMS;GTF2IRD1;UBA1;ROR2;BCOR;MBTPS2
Dental malocclusion (HP:0000689)	12/81	0.00002890786968330446690049299884872624488707515411078929901123046875	0.00554549300091390640066180139911011792719364166259765625	0.000833369269945275045925747736674793486599810421466827392578125	0.15986800495116859632815931036020629107952117919921875	-2.141543127860352	11.124823465440075	FAM83H;AMER1;RAI1;RPS6KA3;PORCN;GNAS;GPC3;DCHS1;GTF2IRD1;PAX6;BCOR;ROR2
Short nose (HP:0003196)	16/146	0.000068345518608207129584823646961666554489056579768657684326171875	0.00874063243533849086597253830177578493021428585052490234375	0.0022824853242231044232746217659268950228579342365264892578125	0.176530748572488516145995163242332637310028076171875	-2.250227257000456	10.665565791080978	CDKN1C;EDA;CASK;HDAC6;HIC1;FGD1;RAI1;LMNA;ERF;GPC3;FAM20C;UBA1;ROR2;GPC4;SLC12A6;PAK3
Pectus excavatum (HP:0000767)	15/135	0.000097687133068362496540228134822569927564472891390323638916015625	0.00878725634037470955395310312496803817339241504669189453125	0.0027739365769640414970120811943843364133499562740325927734375	0.177377833338089541115323299891315400600433349609375	-2.2479718860019755	10.642916678076588	AMER1;NAA10;FMR1;FGD1;MED12;RPS6KA3;EFNB1;SMS;GPC3;FAM20C;GTF2IRD1;ROR2;GPC4;SLC16A2;EMD
Delayed eruption of teeth (HP:0000684)	12/86	0.0000531207926165410990551087044853062479887739755213260650634765625	0.007642754037704850393619704362890843185596168041229248046875	0.00133547282215716492208279486675337466294877231121063232421875	0.176530748572488516145995163242332637310028076171875	-2.1383771553280053	10.422444405795115	AMER1;RPS6KA3;PORCN;EDA;NAA10;LMNA;GNAS;IDS;BCOR;ROR2;ANTXR1;FGD1
