Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002572_abnormal_emotion/affect_behav_	33/372	0.000001631337016117436641591078617941068529262338415719568729400634765625	0.00021466999085437688779727516408257770308409817516803741455078125	0.0000000048971462389668104596319946173084425300459088248317129909992218017578125	0.00000047624747173952231513125994515067684886844290303997695446014404296875	-1.9320937180648565	16.31925306447469	NLGN3;SH3KBP1;FMR1;CAMK2A;ARX;ARAF;HTR2C;HTR4;SLC6A2;ADCY7;CRHR1;RAI1;PCSK1N;JPH3;OPHN1;IGF2BP1;PAK6;IDS;NOS1;DRD2;SLC12A6;TRPC5;BDNF;HPRT;MAPK8IP2;P2RX7;BACE1;NPAS4;ARHGEF9;GNAS;GTF2IRD1;APBA2;HCN1
MP0003123_paternal_imprinting_	6/14	0.000004763110388180208129940175487693210243378416635096073150634765625	0.0004632124852505252639300881156714240205474197864532470703125	0.000008332035427764033767741684577412542012098128907382488250732421875	0.0004630231116286012888784429097910333439358510076999664306640625	-1.8227603563139936	13.99392306511414	CDKN1C;MEG3;CITED1;GRB10;GNAS;GPC3
MP0002063_abnormal_learning/memory/cond_	33/403	0.00000903979482975273109976975527413145528043969534337520599365234375	0.000703296037754762488371229611772150747128762304782867431640625	0.0000000300477238701232968504472426417295505274296374409459531307220458984375	0.0000023377129170955925717271563224475272591007524169981479644775390625	-1.632034394242365	11.848133375286382	NLGN3;DOC2A;SH3KBP1;FMR1;ARX;CAMK2A;CRMP1;HTR2C;HTR4;CRHR1;AFF2;RPS6KA3;RAI1;JPH3;OPHN1;IGF2BP1;PAK6;NOS1;DRD2;PAK3;NPTX2;SLC12A6;BDNF;HPRT;MAPK8IP2;BACE1;ARHGEF9;DLG3;GNAS;GTF2IRD1;APBA2;HCN1;CDK5R1
MP0003121_genomic_imprinting_	8/45	0.0001696482047985216194165014602646124330931343138217926025390625	0.0094275930952321292111140138558766921050846576690673828125	0.0000604947121474604687673716496565390343675971962511539459228515625	0.0023532443025362122235311090889808838255703449249267578125	-2.0201204788199183	9.422073124129085	MEG3;CDKN1C;CITED1;PLAGL1;GNAS;GRB10;GPC3;IGF2R
MP0002169_no_abnormal_phenotype_	83/1370	0.000001433483260771745021748720116949726843813550658524036407470703125	0.00021466999085437688779727516408257770308409817516803741455078125	0.000000000000705801521336208306302994358724944517591119719224224127174238674342632293701171875	0.000000000165813796028142559582743541872723418151291951971870730631053447723388671875	-1.0709508428395347	9.045688446943212	RAB9;GALNT13;ARHGDIG;CBLC;HMGB3;SCX;HCCS;IRS3;DACH2;ARHGAP6;SAT1;HS6ST2;FGF4;WDR44;MED12;MED14;CREB3L3;NKRF;CCRL2;GSC2;SCN5A;ABCD1;HOXA5;VBP1;ATP11C;PAX6;ZBTB33;POU3F1;FTSJ1;KIF4;BACE1;PAX7;PLEC;NLGN3;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;XIAP;DTX1;TXLNG;FOXO4;NID2;CRHR1;THBS4;HDAC6;ENOX2;PDZD4;FAM120C;LMNA;ALX3;SPOCK1;PAK6;PCK1;TAF9B;RHBG;NTSR1;RBM10;BDNF;CDX1;USP9X;MSN;HPRT;SSH3;TBX4;IGF2R;LRCH2;CLCN5;FES;DLC1;FXYD2;GNAS;SNAI1;RLIM;RBM41;TAB3;APBA2;NODAL;TJP3;HCN1;A830080D01RIK
MP0002873_normal_phenotype_	83/1375	0.000001655552628696993953556488958500647612481770920567214488983154296875	0.00021466999085437688779727516408257770308409817516803741455078125	0.000000000000852513090118984918773389977311742674481905013283977723403950221836566925048828125	0.000000000165813796028142559582743541872723418151291951971870730631053447723388671875	-1.050207559529559	8.870482199669329	RAB9;GALNT13;ARHGDIG;CBLC;HMGB3;SCX;HCCS;IRS3;DACH2;ARHGAP6;SAT1;HS6ST2;FGF4;WDR44;MED12;MED14;CREB3L3;NKRF;CCRL2;GSC2;SCN5A;ABCD1;HOXA5;VBP1;ATP11C;PAX6;ZBTB33;POU3F1;FTSJ1;KIF4;BACE1;PAX7;PLEC;NLGN3;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;XIAP;DTX1;TXLNG;FOXO4;NID2;CRHR1;THBS4;HDAC6;ENOX2;PDZD4;FAM120C;LMNA;ALX3;SPOCK1;PAK6;PCK1;TAF9B;RHBG;NTSR1;RBM10;BDNF;CDX1;USP9X;MSN;HPRT;SSH3;TBX4;IGF2R;LRCH2;CLCN5;FES;DLC1;FXYD2;GNAS;SNAI1;RLIM;RBM41;TAB3;APBA2;NODAL;TJP3;HCN1;A830080D01RIK
MP0003635_abnormal_synaptic_transmissio_	34/453	0.000040396963961948550362983378914094600986572913825511932373046875	0.0026190698301996641339517424285077140666544437408447265625	0.000000130864699588507818686717774046834872336830812855623662471771240234375	0.000008484394689988256351245200781452382443603710271418094635009765625	-1.4878837008107773	8.845373452477691	NLGN3;DOC2A;SHC1;GRIK5;FMR1;CAMK2A;CRMP1;HTR2C;DOC2B;SLC6A2;AFF2;JPH3;OPHN1;DPYSL4;NOS1;DRD2;PAK3;SLC12A6;S1PR4;NTSR1;TRPC5;ARPP21;BDNF;CASK;ATP2B2;MAPK8IP2;SYN1;BACE1;NPAS4;ARHGEF9;DLG2;DLG3;EEF1A2;CDK5R1
MP0003122_maternal_imprinting_	5/24	0.00138144193495288720822944394939213452744297683238983154296875	0.067172614087084137057814814397715963423252105712890625	0.000814361673588298085914305435295545976259745657444000244140625	0.017599260612547108773018322835923754610121250152587890625	-1.9099912139785546	5.157911491534436	MEG3;PLAGL1;GNAS;GPC3;IGF2R
MP0002069_abnormal_eating/drinking_beha_	33/543	0.0021851206660888958764610290330665520741604268550872802734375	0.0944457710120644999829409016456338576972484588623046875	0.00001544748329063673082640027744982802460071980021893978118896484375	0.000751133875007211075820745538322853462886996567249298095703125	-1.8177115486224844	4.2893074927436174	CDKN1C;CD63;PKDCC;SH3KBP1;ARAF;HTR2C;AKR1B3;HTR4;CRHR1;RAI1;HSD11B2;LIPE;HTR6;JPH3;IGF2BP1;ALX3;NOS1;DRD2;PCK1;FEZF2;NTSR1;PTPN1;BDNF;CASK;GPR50;IGF2R;P2RX7;LOX;PIGA;GNAS;GTF2IRD1;APBA2;PLEC
MP0009672_abnormal_birth_weight_	8/73	0.004415825357950746259116936442978840204887092113494873046875	0.15615964220389455530124678261927329003810882568359375	0.00117276427005740132257505248247753115720115602016448974609375	0.022810265052616456038503400804984266869723796844482421875	-1.9208186760290291	3.56672295950327	PKDCC;CITED1;PLAGL1;IGF2BP1;GNAS;APEX2;UBE2A;IGF2R
MP0003935_abnormal_craniofacial_develop_	19/268	0.0036524654049798484060918024596276154625229537487030029296875	0.1420809042537161115404842348652891814708709716796875	0.0001767018848455648486438229749495576470508240163326263427734375	0.004909788086066052721634367372871565748937427997589111328125	-1.7255614338051108	3.3671892047001144	CDKN1C;PKDCC;FOXE1;UHRF1;CASK;PAX6;ANTXR1;HIC1;MED12;FGF16;EFNB1;CLCN5;PAX7;DLC1;SNAI1;ALX3;GTF2IRD1;ROR2;NODAL
MP0002064_seizures_	21/323	0.006268355585294112415628564605185601976700127124786376953125	0.2031991935566175022653823134533013217151165008544921875	0.0002498754084850109418065866595526358651113696396350860595703125	0.006075095868791828383759234810668203863315284252166748046875	-1.7861901447260142	2.8464164068094737	SLC12A5;CNP;BDNF;FMR1;GRIK5;CAMK2A;ARX;HTR2C;HPRT;HTR4;SYN1;NPAS4;RAI1;AIFM1;TRIM2;CHN1;SCN5A;NOS1;DRD2;SLC12A6;CDK5R1
MP0002116_abnormal_craniofacial_bone_	27/467	0.00993741096264248724434509085767786018550395965576171875	0.2973579126513790082952937154914252460002899169921875	0.00020844717792335159417017875771449553212733007967472076416015625	0.005405730147478918050374385728673587436787784099578857421875	-1.947237912304786	2.361646694798685	CDKN1C;DDR1;PKDCC;EDA;HOXD1;ANTXR1;MED12;RAI1;EFNB1;RPS6KA3;ZIC3;LMNA;ALX3;GPC3;IDS;CDX1;CASK;PAX6;HIC1;PAX7;PIGA;GNAS;SNAI1;HOXB3;GTF2IRD1;ROR2;HMX1
MP0000749_muscle_degeneration_	5/40	0.01338960702679240118151415828151584719307720661163330078125	0.328496145203797607070583808308583684265613555908203125	0.0059769096636694378499310431607227656058967113494873046875	0.0683828782108062138700432797122630290687084197998046875	-1.7903528581204498	1.9930748267491076	DES;SGCD;AIFM1;LMNA;PLEC
