Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
behavioral response to pain (GO:0048266)	5/16	0.0000342470313618341968176124467948540086581488139927387237548828125	0.060959041875749485350777234771157964132726192474365234375	0.000083035546048579108734284670578773557281238026916980743408203125	0.09345049597184841572161673184382379986345767974853515625	-2.792879223249949	7.813227887003435	KCNIP3;OSM;TACR1;THBS4;CRHR1
tyrosine phosphorylation of STAT protein (GO:0007260)	4/9	0.0000450549190689873029803946824500826551229692995548248291015625	0.060959041875749485350777234771157964132726192474365234375	0.00015089539558801480360374080991192613510065712034702301025390625	0.09345049597184841572161673184382379986345767974853515625	-2.7216213933964353	7.613880325267145	FER;LEP;LIF;OSM
negative regulation of meiotic cell cycle (GO:0051447)	5/18	0.000064435396614702982668980435487782187919947318732738494873046875	0.060959041875749485350777234771157964132726192474365234375	0.000132342053377158407230507197738234026473946869373321533203125	0.09345049597184841572161673184382379986345767974853515625	-2.644641575592276	7.39852519848726	NPR2;LIF;OSM;HORMAD1;OVOL1
thyroid gland development (GO:0030878)	5/19	0.000085646704426764288012839665409359213299467228353023529052734375	0.060959041875749485350777234771157964132726192474365234375	0.00016412099749183071896625751850962160460767336189746856689453125	0.09345049597184841572161673184382379986345767974853515625	-2.5984362470565268	7.2692633390991634	FOXE1;NKX2-1;HOXB3;NKX2-5;HOXA5
negative regulation of cellular component organization (GO:0051129)	25/474	0.000437397980276927841360168347506487407372333109378814697265625	0.1685169836328224146626553192618303000926971435546875	0.0001538090244933652665261514247418972445302642881870269775390625	0.09345049597184841572161673184382379986345767974853515625	-2.4939469951804973	4.441018153867041	SPI1;HPN;SEZ6;AATK;ESPN;ARHGAP6;LIMA1;LRRTM2;TBC1D30;LMNA;NKX2-1;MBP;HORMAD1;GAS2L2;PROM2;MID1IP1;LIF;OSM;DAB2IP;TMC8;TET1;HSPA2;APOC2;EVL;ARHGEF2
regulation of meiotic cell cycle (GO:0051445)	6/38	0.0003422019496428003082662272493763566671987064182758331298828125	0.1623748251055087410410493475865223444998264312744140625	0.000416623733465177887962116454190208969521336257457733154296875	0.107829797197760146598710662146913819015026092529296875	-2.341038155637016	4.2556512507856255	DAZL;NPR2;LIF;OSM;HORMAD1;OVOL1
regulation of protein localization to nucleus (GO:1900180)	12/156	0.000597999700385971649958805063107547539402730762958526611328125	0.170250514699886112968130191802629269659519195556640625	0.00040824171015179581793741458994873028132133185863494873046875	0.107829797197760146598710662146913819015026092529296875	-2.368118245583217	4.192716199821481	WWTR1;MAVS;MDFIC;TNFSF14;RASSF5;LEP;SPHK1;TRIP6;LMNA;LIF;DAB2IP;AKAP6
positive regulation of synaptic transmission (GO:0050806)	9/85	0.0002834265169929138451949957033804139427957125008106231689453125	0.161383058775765142467406576542998664081096649169921875	0.0002552929396972135507593026915174050373025238513946533203125	0.107829797197760146598710662146913819015026092529296875	-2.2759485321672943	4.151272069758079	NLGN3;HTR6;NLGN2;SYT1;SPHK1;LRRTM2;TACR1;SHANK2;CRHR1
regulation of mast cell activation involved in immune response (GO:0033006)	4/19	0.00113466985622450084771062339683567188330926001071929931640625	0.2153603387114102762911471700135734863579273223876953125	0.00156564130392960391795209584842041294905357062816619873046875	0.251089409065116508923409810449811629951000213623046875	-2.7012833409413504	4.1476656777765175	FER;FES;UNC13D;CRHR1
peptidyl-tyrosine modification (GO:0018212)	12/154	0.0005327196532122942251863406681877677328884601593017578125	0.1685169836328224146626553192618303000926971435546875	0.0003661042699921710527437290760843779935385100543498992919921875	0.107829797197760146598710662146913819015026092529296875	-2.2241595301130297	3.9606025586816744	DDR1;FER;EPHA6;MUSK;FES;LEP;TNK1;LIF;OSM;AATK;PTPN6;FRK
