Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	109/1375	0.0000000051977618729026664205428856567296758139917756125214509665966033935546875	0.000001778626851904218786400049649720767064309256966225802898406982421875	0.0000000000000000103679849198852927396813722222162921082715524514366624286854090541964978910982608795166015625	0.0000000000000022135647803955099575515141929239895978844617115133264206860985723324120044708251953125	-1.0812799841946958	14.31578900367596	GALNT13;SCX;DACH2;SAT1;HS6ST2;FGF4;EFEMP2;FGF8;SALL1;PEG12;SOX15;CCRL2;MAP3K9;SOX6;EPHB2;HOXA5;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;SOX10;CCNE1;IL23A;SCNN1A;PKP3;CFB;MTMR1;IGSF1;ARX;TWIST2;DTX1;FOXO4;PIK3R1;GATA2;CRHR1;PDGFC;ALX3;MBP;PCK1;RBM10;WNT4;EGR2;ST8SIA1;HPRT;GRIN2C;IGF2R;POLA1;FER;FES;TAB3;GABRB3;RAB9;KCNK9;KCNC3;RASGRF1;HMGB3;HCCS;TCIRG1;ARHGAP6;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;TIMP2;ATP7A;PGM1;MYOG;TGIF1;ARG1;VBP1;PAX6;KIF4;ALDH1A2;HAND1;SOS2;PLEC;NLGN3;SEMA3B;SEZ6;XIAP;TXLNG;HDAC6;NEURL1A;CECR2;TBX22;FAM120C;LMNA;PAK6;APBB1;TAF9B;RUNX1T1;TBX1;USP9X;EPOR;CLCN5;ETNK2;DLC1;RLIM;RBM41;TACC2;APBA2;CBLN3;TJP3;GPHB5;A830080D01RIK
MP0002169_no_abnormal_phenotype_	108/1370	0.0000000083308049269518448783410777204634645176639651253935880959033966064453125	0.000001778626851904218786400049649720767064309256966225802898406982421875	0.0000000000000000230142303618148933180923289391870027589956102854508446231562857065000571310520172119140625	0.00000000000000327569212149832000049774948018559195273759101878219279768700289423577487468719482421875	-1.0554201375762615	13.973413196051402	GALNT13;SCX;DACH2;SAT1;HS6ST2;FGF4;EFEMP2;FGF8;SALL1;PEG12;SOX15;CCRL2;MAP3K9;SOX6;EPHB2;HOXA5;FBXW7;EBF2;ATP11C;ACSL4;SHISA3;ZBTB33;SOX10;CCNE1;IL23A;SCNN1A;PKP3;CFB;MTMR1;IGSF1;ARX;TWIST2;DTX1;FOXO4;PIK3R1;GATA2;CRHR1;PDGFC;ALX3;PCK1;RBM10;WNT4;EGR2;ST8SIA1;HPRT;GRIN2C;IGF2R;POLA1;FER;FES;TAB3;GABRB3;RAB9;KCNK9;KCNC3;RASGRF1;HMGB3;HCCS;TCIRG1;ARHGAP6;WDR44;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;TIMP2;ATP7A;PGM1;MYOG;TGIF1;ARG1;VBP1;PAX6;KIF4;ALDH1A2;HAND1;SOS2;PLEC;NLGN3;SEMA3B;SEZ6;XIAP;TXLNG;HDAC6;NEURL1A;CECR2;TBX22;FAM120C;LMNA;PAK6;APBB1;TAF9B;RUNX1T1;TBX1;USP9X;EPOR;CLCN5;ETNK2;DLC1;RLIM;RBM41;TACC2;APBA2;CBLN3;TJP3;GPHB5;A830080D01RIK
MP0002084_abnormal_developmental_patter_	36/421	0.00019789961187793948045772485233584347952273674309253692626953125	0.0211257835679700411990467046052799560129642486572265625	0.0000006659510475960030242528514717037513293007577885873615741729736328125	0.000048980794756133959506894104407592749339528381824493408203125	-1.6790236090544581	6.47643230955005	MESP2;OTUD5;NDUFA13;ANKRD11;LRP5;IHH;SCX;HCCS;ARHGAP6;FGF4;LFNG;MED12;FGF8;ZIC3;NSD1;RBBP7;NKX3-2;CCDC160;TGIF1;AMN;USP9X;LMO2;HUWE1;ALG13;FOXJ1;BMP8B;HNF1B;GDF3;ARC;NR4A3;DLG3;TLX2;ALDH1A2;ELF5;HAND1;BCOR
MP0002063_abnormal_learning/memory/cond_	35/403	0.00017951515322251116769936007955266177305020391941070556640625	0.0211257835679700411990467046052799560129642486572265625	0.0000006882547272524678381454862723110021960337689961306750774383544921875	0.000048980794756133959506894104407592749339528381824493408203125	-1.6604978267694923	6.404973531780028	NLGN3;DOC2A;SH3KBP1;FMR1;ARX;CAMK2A;RASGRF1;SEZ6;CRMP1;HTR2C;ADRA1D;CRHR1;NEURL1A;RPS6KA3;NETO1;HRH3;OPHN1;TIMP2;PAK6;MBP;APBB1;SYNPO;NPTX2;SLC12A6;IGBP1;KL;NOS3;GABRA5;LIMK1;HPRT;MAPK8IP2;ARC;DLG3;KCNMA1;APBA2
MP0000749_muscle_degeneration_	7/40	0.00190112674326465961628651601955652949982322752475738525390625	0.1159687313391442320398283527538296766579151153564453125	0.000722246567740617603607666818987809165264479815959930419921875	0.0110142601580444192410634940415548044256865978240966796875	-2.0269049756009125	4.3668343758112735	DES;CAV3;AIFM1;SCN8A;LMNA;KY;PLEC
MP0003635_abnormal_synaptic_transmissio_	36/453	0.0007802026384804154786334340343501025927253067493438720703125	0.0666293053262274892478700394349289126694202423095703125	0.00000325616172125524681887453852524583197691754321567714214324951171875	0.00019862586499657004790453385112414252944290637969970703125	-1.5015746849621239	4.067181376115101	GABRB3;NLGN3;DOC2A;FMR1;CAMK2A;RASGRF1;SEZ6;CRMP1;HTR2C;ADRA1D;DOC2B;CDH8;OPHN1;NETO1;DPYSL4;HRH3;TIMP2;MBP;SYNPO;SLC12A6;TBX1;TRPC5;MUSK;GABRA5;NOS3;CACNA2D1;LIMK1;CASK;GRIN2C;MAPK8IP2;ARC;FGF14;DLG3;SCN8A;KCNMA1;HCN2
MP0002088_abnormal_embryonic_growth/wei_	30/385	0.002761008554582228789742170960153089254163205623626708984375	0.13099451697851238751724167741485871374607086181640625	0.000031522688921920677916632680393149712472222745418548583984375	0.00168252352120751617024774215991556047811172902584075927734375	-1.6098284993332752	3.2721371047473955	C330007P06RIK;LRP5;SCX;HCCS;ARHGAP6;SALL1;AIFM1;ZIC3;GRB10;PELO;TGIF1;PDHA1;FBXW7;HUWE1;BMP8B;HNF1B;HPRT;ZFX;IGF2R;ZDHHC15;FGF16;ARC;NR4A3;SLC7A7;CCNE1;ELF5;PARD3;HAND1;BCAR1;BRWD3
MP0002116_abnormal_craniofacial_bone_	33/467	0.007740667039964514890837410376889238250441849231719970703125	0.227164981987865111090485470413113944232463836669921875	0.0000772753444773816998598914285167893467587418854236602783203125	0.002449444293726230244268027291809630696661770343780517578125	-1.947237912304786	2.885959897117358	FOXC2;EDA;HOXD1;ANKRD11;NPR2;LRP5;IHH;MED12;NDST1;EFNB1;RPS6KA3;FGF8;ZIC3;TBX22;LMNA;ALX3;GPC3;IDS;SOSTDC1;NKX3-2;TBX1;EGR2;SPRY4;TRP73;NFATC2;CASK;PAX6;VAX1;POU3F4;MN1;HOXD4;ROR2;HMX1
MP0005508_abnormal_skeleton_morphology_	13/127	0.00494800043896662967990440762378057115711271762847900390625	0.2112796187438751027709571417290135286748409271240234375	0.00060378406875239202210303712803352027549408376216888427734375	0.01038239004672289640673898958311838214285671710968017578125	-1.841416235067535	2.862615621058831	MESP2;EDA;IHH;LRP5;SCX;LFNG;EFNB1;LMNA;IDS;ROR2;ATP7A;NKX3-2;HOXA5
MP0004142_abnormal_muscle_tone_	7/49	0.006166729564136229184423410032422907534055411815643310546875	0.227164981987865111090485470413113944232463836669921875	0.0020769592756931941519848994204267000895924866199493408203125	0.0233042461751301888117637872710474766790866851806640625	-1.8638852537730795	2.762424694602787	SLC7A7;EHHADH;TWIST2;NFATC2;HTR2C;ADRA1D;SLC12A6
