Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	67/405	0.000000002042328039823116808132489363486646027912030376683105714619159698486328125	0.000008606370359814614491686564357042499295857851393520832061767578125	0.0000000043522226656512222069378070994118135050854334622272290289402008056640625	0.00001834026631305425125684736842313071747412323020398616790771484375	-2.364164565594647	27.573269980378782	COL18A1;RARG;CSF3R;EDA;ONECUT2;FOXE1;ITGB4;FHL1;IHH;HCCS;HOXC13;AQP5;HOXC11;FGF4;TGM1;SOX3;FGF8;SCN5A;HOXA6;HOXA5;NKX3-2;HOXA4;GAMT;RING1;SHROOM2;SOX11;HNF1B;PAX5;MMP14;HAND1;HOXB3;FAM20C;EVL;ROR2;HOXB7;FOXC1;LEF1;COL11A2;PSEN2;PRKX;HOXD11;FGD1;RELA;EFNB2;T;PERP;GSC;CTNNA1;SLIT3;CTNNA2;NKX2-5;STRA6;TGFB2;CDSN;TGFB3;CDX1;WNT7B;LIF;WNT7A;CELA1;FGF16;GJB6;GNAS;DCHS1;LHX4;BCOR;MEGF8
regionalization (GO:0003002)	42/247	0.000000970886007390615015513811274228128667118653538636863231658935546875	0.00102282840878601300090011694265967889805324375629425048828125	0.000001864948492044856816367607264817163326142690493725240230560302734375	0.001964723236369256449684872478655961458571255207061767578125	-2.400613509656581	16.528664621217086	CRB2;FOXC2;RARG;FOXC1;WNT2B;LEF1;PSEN2;HOXC13;HOXD11;HOXC11;HOXC10;DLL3;HOXA10;FGF8;T;ZIC3;GSC;NKX2-5;FEZF2;HOXA6;MNX1;HOXA5;HOXA4;TGIF1;CDX4;EGR2;RING1;CDX1;WNT3A;WNT7B;ATP6AP2;FOXH1;WNT7A;HNF1B;NR2F2;CYP26C1;SNAI1;HOXB3;ROR2;MEGF8;NBL1;HOXB7
pattern specification process (GO:0007389)	58/385	0.0000006525144667625830860097405593245323274231850518845021724700927734375	0.00102282840878601300090011694265967889805324375629425048828125	0.0000007845136319987627709180853970150071319267226499505341053009033203125	0.00115071586715839832733287995125692759756930172443389892578125	-2.377099561671213	16.366766773601253	RARG;WNT2B;CITED1;IHH;HOXC13;HOXC11;HOXC10;HOXA10;FGF8;ZIC3;FEZF2;HOXA6;MNX1;HOXA5;NKX3-2;HOXA4;TGIF1;ACVR1;RING1;ATP6AP2;FOXH1;SHROOM3;HNF1B;MID1;CYP26C1;HOXB3;ROR2;NBL1;HOXB7;ENG;CRB2;FOXC2;FOXC1;LEF1;PSEN2;HOXD12;HOXD11;DLL3;EFNB1;T;GBX2;GSC;GPC3;NKX2-5;EGR2;CDX4;WNT3A;CDX1;WNT7B;WNT7A;UNCX;NR2F2;SNAI1;BCOR;MEGF8;SIM2;TDGF1;DAND5
synaptic transmission (GO:0007268)	63/434	0.000000813990055400725556040107677713280054376809857785701751708984375	0.00102282840878601300090011694265967889805324375629425048828125	0.0000008192092077539618903006340099037796420589074841700494289398193359375	0.00115071586715839832733287995125692759756930172443389892578125	-2.3470201715737655	16.15966465202626	KCNG1;KCNK9;GRIK5;RASGRF1;GRIK3;HTR2C;SLC6A1;SLC6A2;CDH8;RPS6KA3;RPS6KA6;HTR6;GNGT2;DLGAP2;KCNH5;KCNH8;CARTPT;SYN1;CORT;ARHGEF9;OMP;ADCY9;KCNQ1;KCNMA1;PLCB1;NAPB;SHC3;CNP;CAMK2A;ADCY3;AKAP5;CPLX1;ADCY5;GLRA1;KCNMB1;SNCG;MBP;KCNN2;NPTX1;KCNN3;NPTX2;DRD2;ASIC2;NTSR1;KCNJ4;EGR3;KCNJ10;KCNIP1;GABRA5;KCNB1;KCNJ12;GRIN2B;HCRTR1;SLC6A5;GRIN3B;GNAL;DLG3;MDM2;GNB3;APBA2;FGF12;HCN2;HCN1
embryonic morphogenesis (GO:0048598)	58/403	0.00000289901479360969250168912104970164733686033287085592746734619140625	0.0024305070850218026858036157733522486523725092411041259765625	0.0000028479301010998652981371336012639261525691836141049861907958984375	0.002400235489206966298103562706955926842056214809417724609375	-2.424537710113075	14.594881437808583	RARG;FOXE1;IHH;HOXC11;HOXC10;FGF4;HOXA10;NDST1;FGF8;ZIC3;HOXA6;PITX1;HOXA5;TEAD2;NKX3-2;HOXA4;OFD1;ACVR1;FOXH1;ESX1;SOX11;HNF1B;MMP14;HAND1;HOXB3;ROR2;HOXB7;ENG;FOXC2;LEF1;HPN;PSEN2;CHRD;HOXD12;HOXD11;ABR;T;GBX2;NSD1;GSC;GPC3;HES3;NKX2-5;WNT3A;TGFB3;WNT7B;ESRRB;KDF1;FZD6;WNT7A;FOXN4;OTOP1;LBX1;GJB6;MAB21L2;GNAS;MEGF8;TDGF1
anterior/posterior pattern specification (GO:0009952)	29/150	0.00000346061758664708489673295967181676502377740689553320407867431640625	0.0024305070850218026858036157733522486523725092411041259765625	0.0000088883380240755205706736086224140080958022736012935638427734375	0.006242576072242374089771299594531228649429976940155029296875	-2.305232855023667	13.876707326627763	CRB2;FOXC2;RARG;FOXC1;LEF1;PSEN2;HOXC13;HOXD11;HOXC11;HOXC10;DLL3;HOXA10;T;ZIC3;FEZF2;HOXA6;HOXA5;HOXA4;CDX4;RING1;CDX1;FOXH1;ATP6AP2;HNF1B;NR2F2;CYP26C1;HOXB3;ROR2;HOXB7
regulation of synapse organization (GO:0050807)	17/64	0.0000046278080486857523144169669626624141756110475398600101470947265625	0.002785940445308822573100560049397245165891945362091064453125	0.00002234297180337496167910719957472309715740266256034374237060546875	0.01345046902563172726285944946766903740353882312774658203125	-2.281455777197075	13.42219168342285	NLGN3;BHLHB9;NLGN2;MUSK;BDNF;LRRC4;DAB2IP;WNT7A;OXT;C1QL3;CUX2;NEDD4;SLIT1;CTNNA2;ASIC2;DRD2;EPHB3
positive regulation of synapse assembly (GO:0051965)	9/25	0.000061705796844014349227143523268779290447128005325794219970703125	0.0260028227900676485451203490129046258516609668731689453125	0.0003108533530360989304876240257868857952416874468326568603515625	0.075642747999865866947999393232748843729496002197265625	-2.8873467186253516	10.537516730921508	NLGN3;BHLHB9;NLGN2;CUX2;BDNF;WNT7A;OXT;ASIC2;EPHB3
single-organism behavior (GO:0044708)	50/362	0.0000413965853085323964746615466037127362142200581729412078857421875	0.0218056513112694395906121513917241827584803104400634765625	0.000036059968627549616950085653588331524588284082710742950439453125	0.0189945884745617611655266188108726055361330509185791015625	-2.3903929471757954	9.144654052143355	RASGRF1;HTR2C;OXT;SLC6A1;AFF2;HTR6;MUSK;CARTPT;SORCS3;SEZ6L;RUNX1;SCN8A;PPARA;PLCB1;SGK1;SHANK2;NLGN3;BHLHB9;NLGN2;SHC3;CNP;SEZ6;PSEN2;CEND1;PRKCZ;CRHR1;DDO;NPAS2;THBS4;GLRA1;CUX2;HRH3;GBX1;SNCG;DRD2;NTSR1;STRA6;EGR2;KCNJ10;GABRA5;BDNF;KCNIP3;OSM;KLHL1;DMRT3;GRIN2B;RCAN2;LEP;FGF13;FGF12
regulation of transmembrane transport (GO:0034762)	46/327	0.000052790024627205278336984639597773139030323363840579986572265625	0.0247174626421158942501943300840139272622764110565185546875	0.000049460309945818431757134925330632313489331863820552825927734375	0.0231584162346309858915294199732670676894485950469970703125	-2.3500872968767994	8.695899464490076	KCNG1;NLGN3;NLGN2;KCNK9;KCNE4;EPO;FHL1;RASGRF1;AKAP6;IRS2;CLCN2;CRHR1;LGALS3;DPP6;PDE4B;GSG1L;KCNN2;KCNE1L;SCN5A;NKX2-5;DRD2;ASIC2;SNTA1;KCNJ4;KCNH5;KCNJ10;CAV3;KCNIP1;KCNB1;KCNJ12;KCNIP3;KCNH8;TESC;ACSL6;CASK;AZIN2;CTTNBP2NL;KCNQ1;SCN8A;NEDD4;KCNMA1;WNK3;FXYD1;FGF12;HCN2;HCN1
regulation of ion transmembrane transport (GO:0034765)	44/314	0.000083296739969167344426644039590001966644194908440113067626953125	0.0270009586330824009892115356024078209884464740753173828125	0.000077622519226787700988810791979943815022124908864498138427734375	0.03271012960216833354021304103298461996018886566162109375	-2.322384207849662	8.38817982771848	KCNG1;NLGN3;NLGN2;KCNK9;KCNE4;EPO;FHL1;RASGRF1;AKAP6;IRS2;CLCN2;CRHR1;LGALS3;DPP6;PDE4B;GSG1L;KCNN2;KCNE1L;SCN5A;NKX2-5;DRD2;ASIC2;SNTA1;KCNJ4;KCNH5;KCNJ10;CAV3;KCNIP1;KCNB1;KCNJ12;KCNIP3;KCNH8;TESC;ACSL6;CASK;SCN8A;NEDD4;KCNQ1;WNK3;KCNMA1;FXYD1;FGF12;HCN2;HCN1
gland development (GO:0048732)	34/220	0.000076727838021930927915430220576098463425296358764171600341796875	0.0270009586330824009892115356024078209884464740753173828125	0.000095529524471232285499043557219778222133754752576351165771484375	0.036596492374706628136760144798245164565742015838623046875	-2.3218313356498723	8.386182918069375	FOXC1;RARG;EDA;ONECUT2;FOXE1;IRS1;LEF1;PSEN2;IRS2;RELA;CRHR1;SOX3;FGF8;CDH1;FPGS;UCP2;TK1;NKX2-5;PITX1;HOXA5;EPHB3;STRA6;RAG1;TFAP2C;WNT3A;TGFB3;LSR;IGF2R;RUNX1;QDPR;RARA;HOXB3;TDGF1;LY6E
