Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	43/111	0.000000000000000000053099101350804926819815610540108409751777222697433368503970585461360087720095179975032806396484375	0.0000000000000000777370843775784184012586439440217894125384389607084922868551757346722297370433807373046875	0.0000000000010855581682261959793778173870133787700699434797257936224923469126224517822265625	0.0000000015892571582831509816637842780781379736776415256827021948993206024169921875	-2.0928581235265966	77.63080338624647	EDA;FHL1;ARX;TAZ;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;PGK1;GPC3;IDS;PAK3;ABCD1;EMD;GPR179;OFD1;TRAPPC2;PDHA1;GK;IQSEC2;NAA10;ATP6AP2;ATP2B3;PHKA1;UBE2A;MID1;SYN1;FGF16;ARHGEF9;CLCN5;SLC6A8;FRMD7;DKC1;PIGA;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	27/62	0.00000000000001419008412756176314859844734454152757053267165654464321278283023275434970855712890625	0.0000000000103871415813752112432410131494776536244251108342950828955508768558502197265625	0.000000003298235434642266314951751529313019040134946635589585639536380767822265625	0.0000024143083381581388052327004356545359087249380536377429962158203125	-1.9176835215642711	48.49908393763985	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SYN1;SLC9A6;FRMD7;NDUFS6;BCOR
Patent ductus arteriosus (HP:0001643)	24/125	0.0000263572811540066704628915150721013560541905462741851806640625	0.01286235320315525475221019036098368815146386623382568359375	0.0022830945001438983539554516966063602012582123279571533203125	0.84782857133752287381867063231766223907470703125	-2.3041447718420174	10.030980417951321	AMER1;COL18A1;FOXC2;FOXC1;GP1BB;ARX;AMMECR1;ACSL4;ANK1;ARVCF;PORCN;ZIC3;NSD1;EOGT;LMNA;GPC3;ANKS6;GTF2IRD1;MYH11;KCNE1L;BCOR;NKX2-5;MEGF8;STRA6
Cryptorchidism (HP:0000028)	50/379	0.00013348047938956605104436625719444009519065730273723602294921875	0.023941487516304670035705015607163659296929836273193359375	0.01884941646643541190986326228085090406239032745361328125	0.9290124767609400091572524615912698209285736083984375	-2.5364931667727366	9.466553810683422	FMR1;PHF6;PHF8;MED12;SOX3;FGF8;OPHN1;TCTN2;AP1S2;PIEZO2;OFD1;GP1BB;TACR3;SOX11;HNF1B;SOX10;ANK1;MID1;DKC1;SMS;IRF6;ROR2;ARX;FGD1;DLL3;EFNB1;PORCN;ARVCF;TBX22;NSD1;GSC;GPC3;NDN;GPC4;NKX2-5;RBM10;STRA6;GK;NAA10;BDNF;WNT7A;FGF17;GJB6;GTF2IRD1;UBA1;LHX4;BCOR;MEGF8;BRWD3;MBTPS2
High palate (HP:0000218)	30/191	0.00014718127571498773229451140220902516375645063817501068115234375	0.023941487516304670035705015607163659296929836273193359375	0.00954303944284492187966062459736349410377442836761474609375	0.84782857133752287381867063231766223907470703125	-2.414080993873753	9.009694144349165	AMER1;KCNK9;ARX;MED12;RPS6KA3;EFEMP2;SEPN1;GSC;NSD1;LMNA;PIEZO2;SPEG;SLC12A6;PAK3;RBM10;OFD1;TGFB2;MUSK;NAA10;ABCC6;WNT7A;MID1;KLHL41;ZDHHC15;DLG3;PIGA;SMS;FAM20C;DCHS1;MEGF8
Pectus excavatum (HP:0000767)	24/135	0.0000954443894774256555713076721758625353686511516571044921875	0.023941487516304670035705015607163659296929836273193359375	0.00543786973363145909043936399029917083680629730224609375	0.84782857133752287381867063231766223907470703125	-2.325786665144848	8.68016713239438	AMER1;NAA10;TGFB3;FMR1;COL11A2;IHH;SOX10;FGD1;MED12;RPS6KA3;EFNB1;EFEMP2;SEPN1;SLC9A6;SMS;PIEZO2;GPC3;FAM20C;GTF2IRD1;ROR2;GPC4;MEGF8;SLC16A2;EMD
Macrotia (HP:0000400)	20/105	0.00013487154989610421391456329676117320559569634497165679931640625	0.023941487516304670035705015607163659296929836273193359375	0.005639594678389728450718099139749028836376965045928955078125	0.84782857133752287381867063231766223907470703125	-2.1532822719490796	8.036356164496219	NAA10;FMR1;WNT7A;CASK;PIK3R1;TAZ;PHF6;OPHN1;SLC9A6;TBX22;NSD1;NHS;PIEZO2;GTF2IRD1;UBA1;SLC12A6;PAK3;SLC16A2;MBTPS2;BRWD3
Mandibular prognathia (HP:0000303)	19/97	0.00013379972307742645019727756316996192254009656608104705810546875	0.023941487516304670035705015607163659296929836273193359375	0.00533178147392916225444370326158605166710913181304931640625	0.84782857133752287381867063231766223907470703125	-2.0743257364730154	7.7416791270885845	CDKL5;MUSK;FMR1;HNF1B;TAZ;ANTXR1;RPS6KA3;RAI1;SLC6A8;SLC9A6;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;GPC3;FAM20C;GPC4
Inguinal hernia (HP:0000023)	17/82	0.000144241411934914486904502073372213999391533434391021728515625	0.023941487516304670035705015607163659296929836273193359375	0.00506011988125005564287395287692561396397650241851806640625	0.84782857133752287381867063231766223907470703125	-2.0390773863787355	7.610127263564402	OFD1;TGFB2;NAA10;PIK3R1;FGD1;MED12;RPS6KA3;GLRA1;EFEMP2;PORCN;PIEZO2;GPC3;IDS;UBA1;ROR2;MBTPS2;STRA6
Delayed eruption of teeth (HP:0000684)	17/86	0.0002641433689810556112269324113839275014470331370830535888671875	0.035155081108024129055156237200208124704658985137939453125	0.00761367828234506098528111550649555283598601818084716796875	0.84782857133752287381867063231766223907470703125	-2.099902206175052	7.030443431607632	AMER1;EDA;NAA10;PIK3R1;TCIRG1;ANTXR1;FGD1;PTHLH;RPS6KA3;PORCN;GJB6;LMNA;GNAS;IDS;BCOR;FAM20A;ROR2
Long face (HP:0000276)	18/95	0.0003064088611948948405287740381908179188030771911144256591796875	0.037381881065777174122377601861444418318569660186767578125	0.0088645461466761270308278852780858869664371013641357421875	0.84782857133752287381867063231766223907470703125	-2.02228805499951	6.64638954496379	OFD1;MUSK;GP1BB;FMR1;WNT7A;PHF8;MED12;ARVCF;SLC6A8;SEPN1;OPHN1;SLC9A6;TCTN2;AP1S2;NHS;BCOR;SLC12A6;BRWD3
Dental malocclusion (HP:0000689)	16/81	0.0003995775081377090742588975569304921009461395442485809326171875	0.041784390850971860065232732495132950134575366973876953125	0.00955740288862873266229058799581252969801425933837890625	0.84782857133752287381867063231766223907470703125	-2.064808769133967	6.556247773368773	OFD1;AMER1;TGFB2;FOXC1;MUSK;PIK3R1;FAM83H;RAI1;RPS6KA3;PORCN;GNAS;GPC3;DCHS1;GTF2IRD1;BCOR;ROR2
Abnormality of the tricuspid valve (HP:0001702)	7/19	0.00035171043830889404079032001249061067937873303890228271484375	0.039608006283401601954619053458372945897281169891357421875	0.0058058361163710880958888083114288747310638427734375	0.84782857133752287381867063231766223907470703125	-2.0211400841772966	6.525703501760165	RPS6KA3;ARVCF;GP1BB;HCCS;CCDC22;ROR2;SCN5A
Hypospadias (HP:0000047)	16/84	0.0006102734809194701980084030168427489115856587886810302734375	0.0525553162391826089727686621699831448495388031005859375	0.01272778469227250387751926297141835675574839115142822265625	0.9290124767609400091572524615912698209285736083984375	-2.0047958608137204	5.905906116569988	NAA10;ARX;WNT7A;HCCS;HNF1B;MID1;MED12;EFNB1;TBX22;DKC1;LMNA;PIEZO2;GPC3;DCHS1;UBA1;MAMLD1
Coarse facial features (HP:0000280)	21/129	0.000856604429203155939669123153379359791870228946208953857421875	0.0627034442176710171690245942954788915812969207763671875	0.020533835168825932682157286990332067944109439849853515625	0.9290124767609400091572524615912698209285736083984375	-2.1115679203723263	5.847647184308884	OFD1;SLC35A2;FOXE1;FMR1;ARX;SOX11;PHF6;SLC5A5;MED12;RPS6KA3;MMP14;PIGA;NSD1;GNAS;AP1S2;GPC3;IDS;GTF2IRD1;LHX4;GPC4;NKX2-5
Increased number of teeth (HP:0011069)	7/20	0.0005052574918581981093523847192727771471254527568817138671875	0.04931313120536014171779726211752858944237232208251953125	0.00726058747094768773544526396790388389490544795989990234375	0.84782857133752287381867063231766223907470703125	-1.900932419979236	5.720979451086852	OFD1;NHS;AMMECR1;ACSL4;KCNE1L;BCOR;ROR2
Open mouth (HP:0000194)	10/39	0.000576826537748676543802817118233861037879250943660736083984375	0.0525553162391826089727686621699831448495388031005859375	0.008902609371903145996096640146788558922708034515380859375	0.84782857133752287381867063231766223907470703125	-1.8877778106586534	5.561183927309583	MED12;SLC35A2;RAI1;RPS6KA3;SLC6A8;SLC9A6;LMNA;UBA1;SLC16A2;PAK3
Hypotrichosis (HP:0001006)	7/21	0.0007077582356727961203357590846962921204976737499237060546875	0.057564336501387418365549564214234123937785625457763671875	0.00896882196782491751541055435836824472062289714813232421875	0.84782857133752287381867063231766223907470703125	-1.7903968161676889	5.11131804064374	TGM1;CDSN;EDA;CDH3;HOXC13;ANTXR1;DSC3
Short neck (HP:0000470)	26/182	0.0016615560360847447980703339709407373447902500629425048828125	0.08674756520784536462098657239039312116801738739013671875	0.039564009411605483013119055613060481846332550048828125	0.9290124767609400091572524615912698209285736083984375	-2.0851471270568878	5.097669542759795	COL11A2;FHL1;FGD1;DLL3;MED12;EFNB1;ARVCF;TCTN2;CHN1;PIEZO2;GPC3;IDS;GPC4;TRAPPC2;OFD1;GP1BB;WNT7A;HNF1B;UBE2A;PIGA;GNAS;FAM20C;UBA1;ROR2;CCDC22;MEGF8
Frontal bossing (HP:0002007)	29/213	0.001971754501548299461088920025986226391978561878204345703125	0.0902077684458346962248498357439530082046985626220703125	0.04966129895630903845482606584482709877192974090576171875	0.9290124767609400091572524615912698209285736083984375	-2.1138949728790077	5.085269733803525	AMER1;FOXC1;EDA;FMR1;NPR2;ARX;PIK3R1;TCIRG1;ANTXR1;PTHLH;HDAC6;MED12;EFNB1;RAI1;RPS6KA3;OPHN1;NSD1;CYP2R1;OFD1;PDHA1;GK;MID1;MMP14;ERF;ROR2;CCDC22;MEGF8;MBTPS2;BRWD3
Abnormality of the fingernails (HP:0001231)	21/135	0.0015500292725732938738103516840283191413618624210357666015625	0.08674756520784536462098657239039312116801738739013671875	0.030468619610702872557705944700501277111470699310302734375	0.9290124767609400091572524615912698209285736083984375	-2.0552540692035204	5.024588402066306	TRAF3IP2;ITGB4;WNT7A;LAMC2;SAT1;EFNB1;DKC1;NSD1;GJB6;LMNA;GPC3;GTF2IRD1;UBA1;ROR2;CCDC22;GPC4;PITX1;CARD14;MBTPS2;RAG1;PLEC
Broad palm (HP:0001169)	6/16	0.000847530404220665496521636139704014567541889846324920654296875	0.0627034442176710171690245942954788915812969207763671875	0.00984500390214336669469918916774986428208649158477783203125	0.84782857133752287381867063231766223907470703125	-1.8049636753716136	4.998556121370482	OFD1;RPS6KA3;RAI1;IHH;GPC3;FGD1
Short nose (HP:0003196)	22/146	0.00184652216508906347712526407889299662201665341854095458984375	0.08950131920110075689489548267374630086123943328857421875	0.03577696778336698912870161848331918008625507354736328125	0.9290124767609400091572524615912698209285736083984375	-2.0457230272302445	4.937356442005847	OFD1;EDA;NPR2;COL11A2;WNT7A;CASK;HDAC6;HIC1;FGD1;ZDHHC15;RAI1;LMNA;ERF;GPC3;FAM20C;UBA1;ROR2;CCDC22;RPL26;GPC4;SLC12A6;PAK3
Tapered finger (HP:0001182)	10/42	0.00107999291175980079333929229079558353987522423267364501953125	0.07529093441982610823703936375750345177948474884033203125	0.013537514789420786176510347331714001484215259552001953125	0.9290124767609400091572524615912698209285736083984375	-1.841701984176677	4.763369805720302	OFD1;RPS6KA3;CDKL5;ARX;HUWE1;AMMECR1;KCNE1L;ACSL4;SLC12A6;PHF6
Deeply set eye (HP:0000490)	15/81	0.00120702958492951485137967271299430649378336966037750244140625	0.0803223323789458987231881792467902414500713348388671875	0.019156645733132478259808095799598959274590015411376953125	0.9290124767609400091572524615912698209285736083984375	-1.8822972041012371	4.746603136576433	CDKL5;FMR1;PIK3R1;UBE2A;TAZ;PHF6;SEPT9;RAI1;OPHN1;SLC9A6;GSC;CHN1;AP1S2;PIEZO2;PLEC
