Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	162/1371	0.000000018348444122841203817184522789802969544581401351024396717548370361328125	0.00000064219554429944213691018074785521463354598381556570529937744140625	0.0000000000000000887423677182078193733139668711732294018762037314008994659531026627519167959690093994140625	0.00000000000000310598287013727354248052075562965897392481997262014825622600255883298814296722412109375	-1.155589421089865	16.47682499323878	PLEKHB1;ATN1;SCX;IRS2;IRS3;DACH2;SAT1;HS6ST2;FGF4;FGF6;EFEMP2;FGF8;PEG12;GSC2;PCDHAC2;HOXA5;MNX1;FBXW7;IGFBP2;EBF2;SHISA4;ATP11C;ACSL4;SHISA3;ZBTB33;SCAMP1;POU3F1;MID1;SOX10;ALPPL2;RUNX1;CCNE1;DKC1;KCNQ1;SCNN1A;DPEP1;PKP3;SLC27A2;NBL1;DSC3;MTMR1;NUMBL;SHC1;ARX;PSEN2;TWIST2;DTX1;FOXO4;PIK3R1;NID2;CRHR1;EFNB2;CD79B;ABR;PDZD4;NDN;KCNN2;PCK1;NKX2-5;NTSR1;RBM10;ZRSR1;STAT5A;EGR2;BDNF;ST8SIA1;FZD6;HPRT;SSH3;NFKB1;IGF2R;FER;H1F0;LRCH2;PARVG;FES;MDM2;SSPN;GNAS;SNAI1;LHX6;TAB3;ACVRL1;KDM5A;RAB9;RARG;WNT2B;KCNK9;RASGRF1;SNX12;HMGB3;HCCS;TCIRG1;SLC6A1;ARHGAP6;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;MED14;ZFP385A;SCN5A;ABCD1;SCARF1;TEAD2;TGIF1;VBP1;SPHK1;PAX5;KREMEN2;VAV1;KIF4;ITPKC;F7;CORT;MMP14;CYP26C1;HAND1;NUMB;RARA;EVL;DCP2;ENG;PLEC;NLGN3;TAGLN;SEMA3B;SEZ6;XIAP;ADCY3;TXLNG;LRRC10;LRP8;CENPB;THBS4;FSTL4;HDAC6;RELA;CECR2;GBX2;TBX22;FAM120C;LMNA;HES3;TAF9B;RUNX1T1;CDX4;CDX1;USP9X;GPR6;SOD3;CLCN5;RLIM;RBM41;APBA2;FOXA3;TJP3;HCN1;A830080D01RIK
MP0002169_no_abnormal_phenotype_	162/1371	0.000000018348444122841203817184522789802969544581401351024396717548370361328125	0.00000064219554429944213691018074785521463354598381556570529937744140625	0.0000000000000000887423677182078193733139668711732294018762037314008994659531026627519167959690093994140625	0.00000000000000310598287013727354248052075562965897392481997262014825622600255883298814296722412109375	-1.0929875655744454	15.58422438721491	PLEKHB1;ATN1;SCX;IRS2;IRS3;DACH2;SAT1;HS6ST2;FGF4;FGF6;EFEMP2;FGF8;PEG12;GSC2;PCDHAC2;HOXA5;MNX1;FBXW7;IGFBP2;EBF2;SHISA4;ATP11C;ACSL4;SHISA3;ZBTB33;SCAMP1;POU3F1;MID1;SOX10;ALPPL2;RUNX1;CCNE1;DKC1;KCNQ1;SCNN1A;DPEP1;PKP3;SLC27A2;NBL1;DSC3;MTMR1;NUMBL;SHC1;ARX;PSEN2;TWIST2;DTX1;FOXO4;PIK3R1;NID2;CRHR1;EFNB2;CD79B;ABR;PDZD4;NDN;KCNN2;PCK1;NKX2-5;NTSR1;RBM10;ZRSR1;STAT5A;EGR2;BDNF;ST8SIA1;FZD6;HPRT;SSH3;NFKB1;IGF2R;FER;H1F0;LRCH2;PARVG;FES;MDM2;SSPN;GNAS;SNAI1;LHX6;TAB3;ACVRL1;KDM5A;RAB9;RARG;WNT2B;KCNK9;RASGRF1;SNX12;HMGB3;HCCS;TCIRG1;SLC6A1;ARHGAP6;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;MED14;ZFP385A;SCN5A;ABCD1;SCARF1;TEAD2;TGIF1;VBP1;SPHK1;PAX5;KREMEN2;VAV1;KIF4;ITPKC;F7;CORT;MMP14;CYP26C1;HAND1;NUMB;RARA;EVL;DCP2;ENG;PLEC;NLGN3;TAGLN;SEMA3B;SEZ6;XIAP;ADCY3;TXLNG;LRRC10;LRP8;CENPB;THBS4;FSTL4;HDAC6;RELA;CECR2;GBX2;TBX22;FAM120C;LMNA;HES3;TAF9B;RUNX1T1;CDX4;CDX1;USP9X;GPR6;SOD3;CLCN5;RLIM;RBM41;APBA2;FOXA3;TJP3;HCN1;A830080D01RIK
MP0002133_abnormal_respiratory_system_	80/622	0.000004006526653001628532368462443091772229308844543993473052978515625	0.000070114216427528500163481040008406353081227280199527740478515625	0.00000000065264241551125028604925099921471066954925532854758785106241703033447265625	0.0000000076141615142979192111931746275201027263079822660074569284915924072265625	-1.5033372018213438	14.379999093756185	SLC23A2;TRAF3IP2;ITGB4;EPO;IHH;LAMC2;AQP5;GPHN;SYNE1;NDST1;LGALS3;EFEMP2;TEKT2;IL12A;FFAR2;TNFAIP8L2;HOXA5;NKX3-2;RAG1;IL13RA1;FOXD3;MUSK;IL1R1;CASK;CYBA;SOX11;POU3F1;SSTR4;RUNX1;TOM1L2;LOX;RNF128;DKC1;SCN8A;SCNN1A;ROR2;ENG;MEG3;FOXC2;FOXC1;CNP;CEBPE;PSEN2;DTX1;RELA;PTHLH;CRHR1;GLRA1;EFS;BAG3;TBX22;GSC;LMNA;GPC3;NDN;SLIT3;NCKAP1L;MYH11;KCNN3;DRD2;STAT5A;TGFB2;EGR2;TGFB3;NOS3;BDNF;TIE1;WNT7B;NFATC2;UNCX;NFKB1;IGF2R;TLX3;CROCC;LEP;GNAS;PTPN6;LHX4;SIM2;LAT
MP0000001_mammalian_phenotype_	166/1459	0.000000156624793542525639785704884461570163267651878413744270801544189453125	0.00000365457851599226501656571264309292246252880431711673736572265625	0.0000000000000008432905456748911557118273234688622804322346844345392735675659423577599227428436279296875	0.00000000000001967677939908079435639846733353427483750332747935996025034910417161881923675537109375	-1.0457733908227387	13.092591118440613	PLEKHB1;ATN1;SCX;IRS2;IRS3;DACH2;SAT1;HS6ST2;FGF4;FGF6;EFEMP2;FGF8;PEG12;GSC2;PCDHAC2;HOXA5;MNX1;FBXW7;IGFBP2;EBF2;SHISA4;ATP11C;ACSL4;SHISA3;ZBTB33;SCAMP1;POU3F1;MID1;SOX10;ALPPL2;RUNX1;CCNE1;DKC1;KCNQ1;SCNN1A;DPEP1;PKP3;SLC27A2;NBL1;DSC3;MTMR1;NUMBL;SHC1;ARX;PSEN2;TWIST2;DTX1;FOXO4;PIK3R1;NID2;CRHR1;EFNB2;CD79B;ABR;PDZD4;NDN;KCNN2;PCK1;NKX2-5;DRD2;NTSR1;RBM10;ZRSR1;STAT5A;EGR2;BDNF;ST8SIA1;FZD6;HPRT;SSH3;NFKB1;IGF2R;FER;H1F0;LRCH2;PARVG;FES;MDM2;SSPN;GNAS;SNAI1;LHX6;TAB3;ACVRL1;KDM5A;RAB9;RARG;WNT2B;KCNK9;RASGRF1;SNX12;HMGB3;HCCS;TCIRG1;SLC6A1;ARHGAP6;WDR44;AKAP12;ADAMTS4;TRO;MED12;ADAMTS5;SEPT6;MED14;ZFP385A;SCN5A;ABCD1;SCARF1;TEAD2;TGIF1;VBP1;SPHK1;PAX5;KREMEN2;VAV1;KIF4;ITPKC;F7;CORT;MMP14;CYP26C1;HAND1;NUMB;RARA;EVL;DCP2;ENG;PLEC;NLGN3;TAGLN;TMPRSS6;SEMA3B;SEZ6;XIAP;ADCY3;TXLNG;LRRC10;LRP8;CENPB;THBS4;FSTL4;HDAC6;RELA;CECR2;GBX2;TBX22;FAM120C;LMNA;CTNNA1;HES3;TAF9B;RUNX1T1;CDX4;CDX1;USP9X;NOS3;GPR6;SOD3;CLCN5;RLIM;RBM41;APBA2;FOXA3;TJP3;HCN1;A830080D01RIK
MP0002108_abnormal_muscle_morphology_	75/644	0.00021545039871984048864515803867192289544618688523769378662109375	0.0021545039871984049406616890109944506548345088958740234375	0.0000001067169663188496026854222456341225733211786064202897250652313232421875	0.0000008300208491466079826524913747032297095529429498128592967987060546875	-1.3976829991631605	8.58204581400695	ACVRL1;TRIM72;HIP1;EPO;DYSF;IHH;SCX;HOXC10;SYNE1;FGF6;EFEMP2;CSRP3;FGF8;AIFM1;CDH2;GRB10;SCN5A;MYOZ1;EMD;SGCG;MNX1;SCYL1;MYOCD;MUSK;SPHK1;FOXH1;PCOLCE;SYPL2;MMP14;OBSCN;MYL7;LOX;SCN8A;EEF1A2;HAND1;RARA;PPARA;PLEC;ENG;MEG3;FOXC2;FOXC1;RAMP2;SHC1;TWIST2;PIK3R1;MOSPD3;HOXD12;LTBP1;RELA;DLL3;EFNB2;IRAK1;BAG3;GSC;LMNA;XIRP1;SLIT3;MYH11;NKX2-5;ATE1;TGFB2;PDHA1;EGR3;CAV3;NR2F2;LBX1;HOPX;FGF16;MYO1E;DES;FES;LEP;MEGF8;BCAR1
MP0003633_abnormal_nervous_system_	146/1361	0.0000224351710818163749727900679875602918400545604526996612548828125	0.000314092395145429263171588107894649510853923857212066650390625	0.000000000006162710112148578057318514534264539930959181379677147560869343578815460205078125	0.00000000010784742696260011640697078782278749316259069956913663190789520740509033203125	-1.050295034046383	8.471494223952647	SLC23A2;FMR1;ATN1;AQP4;ZDHHC8;ESPN;CDH8;LGALS3;FGF8;DPYSL4;OPHN1;NRCAM;SLC12A6;CADPS2;MUSK;FBXW7;CASK;EBF2;UNC5C;POU3F1;SOX10;ANK1;SYTL4;RUNX1;MAPK8IP1;CLDN5;STX1B;RNF128;SLC9A6;SCN8A;KCNQ1;EEF1A2;GRID2IP;CNP;MAGED1;SHC1;ARX;HPN;CHRD;CEND1;CPLX1;NPAS1;NPAS2;EFNB2;RAI1;HRH3;NDN;OTOF;KCNN2;MBP;DRD2;NTSR1;FGF21;TGFB2;EGR2;EGR3;BDNF;ST8SIA1;HPRT;GRIN2B;NFKB1;SLC6A5;DAO;NR4A3;TLX3;NBEA;DLG3;GJB6;LHX6;GTF2IRD1;FGF12;GAL3ST1;KCNK9;SH3KBP1;GRIK5;RASGRF1;GRIK3;HTR2C;OXT;DOC2B;SLC7A10;SLC6A1;SLC6A2;GPHN;CX3CL1;AFF2;ADAMTS4;AIFM1;TRIM2;ZFP385A;CNGA3;SCN5A;ABCD1;SCYL1;SNTA1;TRPC5;TRPC3;SPHK1;GFRA3;SYN1;ARHGEF9;KCNMA1;NUMB;DCX;SLC25A12;PLCB1;PLEC;NLGN3;FOXC2;RAMP2;FOXC1;GUCY2E;NLGN2;CAMK2A;SEZ6;CRMP1;AKAP5;TULP1;CLCN2;LRP8;RELA;DDO;GLRA1;NTF5;PERP;CHN1;UCP2;LMNA;SNCG;SLC17A8;CTNNA2;PAK3;S1PR4;PIRT;GABRQ;ATE1;KCNJ10;GSX1;NOS3;GABRA5;KCNIP3;HCRTR1;RP1L1;NEDD4;CROCC;HCN2
MP0002163_abnormal_gland_morphology_	120/1129	0.00017964988081469734373073199318326942375279031693935394287109375	0.0020959152761714692179972896468598264618776738643646240234375	0.0000000013659537223832161706232653450581067400282364587837946601212024688720703125	0.0000000136595372238321629470035722801225797073954026927822269499301910400390625	-1.1489963539133152	7.086739422125754	KLB;SLC23A2;IRS1;FMR1;IHH;ATN1;IRS2;ANTXR1;HOXA10;SOX3;NDST1;FGF8;CDH3;PTTG1;CDH1;CREB3L4;MAEL;GRB10;PAPOLB;PITX1;MNX1;HOXA5;RAG1;GAMT;EBF2;SOX11;HNF1B;ACSL4;RPSA;BHLHA15;OVOL1;SOX10;SYTL4;MAPK8IP1;STX1B;TOM1L2;CCNE1;MSH4;HOXB3;ROR2;LY6E;DDX4;CNP;SHC1;NPR2;ARX;LHB;CHRD;AGAP2;CRHR1;EFNB1;SOHLH2;DRD2;NKX2-2;STAT5A;TGFB2;CDSN;TNK1;LIF;HPRT;NR2F2;MAFA;DAZL;TDRD1;NBEA;GNAS;LHX4;DDR1;RARG;EDA;GAL3ST1;HIP1;ONECUT2;CITED1;FOXE1;SPO11;RASGRF1;PIK3CD;OXT;YBX2;TCIRG1;TAF7L;INSL6;BOLL;RSPO1;ABCD1;NKX3-2;TRP53INP1;CHST8;GPBAR1;ZFX;MMP14;RTN4RL1;RARA;PLCB1;FOXC1;TMPRSS6;LEF1;LCAT;XIAP;CLCN2;RELA;PTHLH;CENPB;MIR375;LMNA;ASZ1;CTNNA1;ATE1;PTPN1;GSX1;DMRT1;NOS3;LIMK2;DKKL1;BMP8B;ZGLP1;MAB21L1;SYCP3;SLC25A31
MP0000428_abnormal_craniofacial_morphol_	92/896	0.002814163856525972277899949602897322620265185832977294921875	0.019699146995681808547384861185491899959743022918701171875	0.00000068689605300942887202071164554073590124971815384924411773681640625	0.00000369867105466615549730509913961551404781857854686677455902099609375	-1.4757574350631044	5.795565001022295	ACVRL1;DDR1;RARG;FOXE1;ITGB4;IHH;LAMC2;TCIRG1;HOXC13;ANTXR1;MED12;SOX3;NDST1;RPS6KA3;FGF6;RPS6KA6;FGF8;ZIC3;IDS;PITX1;NKX3-2;HOXA5;ACVR1;TGIF1;OFD1;FOXD3;KRT4;FOXH1;CASK;SHROOM3;EBF2;RPSA;SOX11;HIC1;TOM1L2;MMP14;LMX1A;PIGA;HAND1;RARA;HOXB3;IRF6;ROR2;PLCB1;ENG;HMX1;FOXC2;FOXC1;HOXD1;NPR2;LEF1;COL11A2;CHRD;AKAP6;LTBP1;PTHLH;DLL3;EFNB2;EFNB1;RAI1;CECR2;GBX2;TBX22;GSC;LMNA;CTNNA1;GPC3;NKX2-5;ATE1;TGFB2;EGR2;GSX1;BDNF;TGFB3;CDX1;HUWE1;NFATC2;DMRT3;HPRT;ARID3B;IGF2R;NFKB1;FGF16;CLCN5;FES;GNAS;SNAI1;MDM2;GTF2IRD1;BCOR;SIM2;BRWD3
MP0003878_abnormal_ear_physiology_	44/399	0.0104259701749006249149598346548373228870332241058349609375	0.050751801338453882139756245805983780883252620697021484375	0.00016429059840100242932507679238796072240802459418773651123046875	0.000547635328003341485293697932235090775066055357456207275390625	-1.4775788650760304	4.404379148902249	NLGN3;ITGB4;IRS1;FMR1;GRIK5;HPN;COL11A2;LRRC4;LAMC2;AQP4;ESPN;SLC6A1;CPLX1;EFNB2;GLRA1;FGF8;OTOF;MBP;SLC17A8;CTNNA2;DRD2;SLC12A6;NTSR1;RAG1;ATE1;CADPS2;EGR2;KCNJ10;KCNH5;BDNF;GABRA5;ESRRB;CYBA;OTOP1;MID1;NFKB1;SLC6A5;NR4A3;LMX1A;GJB6;SCN8A;KCNQ1;KCNMA1;PLCB1
MP0002127_abnormal_cardiovascular_syste_	122/1223	0.001793830888813998693243068061065059737302362918853759765625	0.01395201802410887988170618001504408312030136585235595703125	0.00000003097338706657603833458653592135279009056603172211907804012298583984375	0.000000271017136832540360243050565902667159434713539667427539825439453125	-0.956693323899615	4.087119321280664	IHH;SCX;RPS6KA6;EFEMP2;FGF8;CDH2;ANPEP;LAMP2;PLCE1;ACVR1;DDX17;FBXW7;FOXH1;LMO2;IGFBP2;SOX11;RPSA;ANK1;RUNX1;MYL7;LOX;CCNE1;SCN8A;KCNQ1;ROR2;LY6E;CTBP2;SHC1;CHRD;PSEN2;PIK3R1;LTBP1;EFNB2;IRAK1;BAG3;KCNMB1;MYH11;NCKAP1L;NKX2-5;TGFB2;CDSN;PDHA1;CAV3;LIF;HPRT;NR2F2;IGF2R;HOPX;FGF16;FES;PRPH2;GJB6;RCAN2;FXYD1;MDM2;GNAS;GTF2IRD1;ESAM;TDGF1;DAND5;ACVRL1;DDR1;COL18A1;ROBO4;FOXE3;EDA;ITGB4;HCCS;TSPAN12;CX3CL1;MED12;CSRP3;AIFM1;ZIC3;SPEG;SCN5A;SGCG;OFD1;FOXD3;MYOCD;TSC22D1;SPHK1;ATP6AP2;ABCC6;MMP14;HAND1;RARA;NUMB;PPARA;ENG;PLEC;FOXC2;FOXC1;RAMP2;TMPRSS6;LEF1;MOSPD3;TULP1;PTHLH;RELA;FOXS1;GBX2;LMNA;XIRP1;GPC3;SLIT3;ATE1;NOS3;USP9X;TIE1;WNT7B;HUWE1;ARID3B;LBX1;GNMT;MYO1E;DES;LEP;MAB21L2;BCOR;MEGF8;BCAR1
