Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	46/405	0.00000041811928737934412456228572795013942453579147695563733577728271484375	0.00086075334487521943695187420786396614857949316501617431640625	0.000000437019979560491609148621498792675055256040650419890880584716796875	0.00159250080551843141950241200532900620601139962673187255859375	-2.364164565594647	16.6855703299148	COL18A1;FOXC1;EDA;DLX3;ONECUT2;FOXE1;SYCP2;ITGB4;LEF1;COL11A2;FHL1;IHH;HCCS;PRKX;HOXC13;AQP5;HOXD10;FGD1;FGF4;COMP;SOX3;T;SLIT3;SCN5A;PHLDA2;HOXC9;HOXA6;HOXA5;NKX3-2;HOXA4;TBX1;RING1;WNT7B;SHROOM2;LIF;WNT7A;SOX11;CELA1;FGF16;GNAS;HOXB3;EVL;LHX4;BCOR;HOXB7;LHX9
epithelial cell development (GO:0002064)	20/107	0.00000047242225295017530976927661208464304110066223074682056903839111328125	0.00086075334487521943695187420786396614857949316501617431640625	0.000001528954744112441552100789023127536125912229181267321109771728515625	0.0027857555437728683152276420997850436833687126636505126953125	-2.261625120508704	15.96187742483076	FOXC2;TFAP2C;GPX1;WNT5B;ONECUT2;WNT7B;KDF1;WNT7A;SHROOM3;MSN;SOX3;BFSP1;MARVELD2;NPHS1;NUP210L;CDH1;MYADM;YIPF6;MAP7;NKX3-2
anterior/posterior pattern specification (GO:0009952)	22/150	0.000008759261478654280813518732962119628382424707524478435516357421875	0.00871553152153593801987341294079669751226902008056640625	0.0000154205356469911224865342036505211353869526647031307220458984375	0.014479856871193373668571524603976286016404628753662109375	-2.313000125159629	10.969746834519054	TBX1;CRB2;FOXC2;CDX4;FOXC1;RING1;LEF1;HOXD13;HOXC13;NR2F2;HOXD10;HOXA10;ARC;CYP26C1;T;ZIC3;HOXB3;HOXC9;HOXB7;HOXA6;HOXA5;HOXA4
skeletal system development (GO:0001501)	23/162	0.000009566993986318263358862266920734640507362200878560543060302734375	0.00871553152153593801987341294079669751226902008056640625	0.0000158944641835273028050712351699758073664270341396331787109375	0.014479856871193373668571524603976286016404628753662109375	-2.2326170392685754	10.588518103741789	TRAPPC2;CDKN1C;GDF10;FOXC1;HOXD1;DMRT2;COL11A2;WFIKKN2;IHH;BMP8B;SCX;SOX11;HOXD13;PTHLH;ADAMTS4;HOXA10;COMP;RPS6KA3;LGALS3;RAI1;T;PITX1;NKX3-2
positive regulation of synapse assembly (GO:0051965)	7/25	0.00019847708282802557018704991964597184050944633781909942626953125	0.10534663374189034978911649886867962777614593505859375	0.000546881165265431152568142980641141548403538763523101806640625	0.2491043707784038885311161948266089893877506256103515625	-2.9170318424936093	6.5647775138388855	NLGN3;MECP2;BHLHB9;NLGN2;BDNF;WNT7A;ASIC2
pattern specification process (GO:0007389)	37/385	0.00020236729862602428138725063622160860177245922386646270751953125	0.10534663374189034978911649886867962777614593505859375	0.00015514076638680255292024323665600604726932942867279052734375	0.09422215878558475032900076939768041484057903289794921875	-2.3644842567895843	5.321269673741081	CRB2;MESP2;FOXC2;FOXC1;CITED1;LEF1;IHH;HOXD13;HOXC13;HOXD10;HOXA10;EFNB1;RELN;T;ZIC3;ERBB4;GPC3;HOXC9;HOXA6;HOXA5;NKX3-2;HOXA4;TGIF1;TBX1;CDX4;RING1;WNT7B;SHROOM3;WNT7A;UNCX;NR2F2;ARC;CYP26C1;HOXB3;BCOR;SIM2;HOXB7
multicellular organismal development (GO:0007275)	42/453	0.00017102531564346174961475932629895169156952761113643646240234375	0.10534663374189034978911649886867962777614593505859375	0.00011813380104673090243740107840864084209897555410861968994140625	0.0860959142028574764271553476646658964455127716064453125	-2.297646987145768	5.170852459073644	GGNBP1;EHF;TWIST2;HMGB3;HOXD13;SPATA20;LIMD1;FGD1;RPS4X;HOXA10;TAF7L;BOLL;ZMYM3;TMEM88;ASZ1;MAEL;GCNT2;MOV10L1;CCIN;RBBP7;MBNL3;NKX2-4;HOXA4;TGIF1;BHLHA9;MUSK;WNT5B;WNT7B;SPRY4;FZD6;LIF;MSL3;SHISA3;HIC1;DAZL;DIAPH2;FES;TSSK6;GTF2IRD1;DZIP1;HOXB7;HMX1
regionalization (GO:0003002)	26/247	0.00044144992047013393264565106477448352961800992488861083984375	0.201080438774145997538056462872191332280635833740234375	0.000417763219560165978590238200496287390706129372119903564453125	0.2174755960110349717329114582753391005098819732666015625	-2.3903389756613995	3.834223850790867	CRB2;FOXC2;FOXC1;LEF1;HOXD13;HOXC13;HOXD10;HOXA10;RELN;T;ZIC3;HOXC9;HOXA6;HOXA5;HOXA4;TBX1;TGIF1;CDX4;RING1;WNT7B;WNT7A;NR2F2;ARC;CYP26C1;HOXB3;HOXB7
regulation of synapse assembly (GO:0051963)	8/41	0.00100180114189314835304589479392234352417290210723876953125	0.405618151228736956159792725884472019970417022705078125	0.0017207027183529775317405441370510743581689894199371337890625	0.62702407056782505367920066419173963367938995361328125	-2.5584094817184724	2.3085630818014042	MECP2;NLGN3;BHLHB9;NLGN2;MUSK;BDNF;WNT7A;ASIC2
regulation of microtubule depolymerization (GO:0031114)	6/25	0.0013922843619402192581746557920041595934890210628509521484375	0.455213213526642956896495206819963641464710235595703125	0.002658523616263598621234365282361977733671665191650390625	0.72230103083210206449393808725290000438690185546875	-2.648545804064043	2.084377390135848	TRPV4;MID1IP1;ARHGEF2;FGF13;GAS2L2;HDAC6
