Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	52/111	0.000000000000000000000000000000000000243336101684441081450121980112192750783786175371953292177192498377334023238801136681262840509034316160974498188807046972215175628662109375	0.0000000000000000000000000000000003304504260874709952076535270324657569738310294353334591016447105557585766518251273841390823482466743143959320150315761566162109375	0.0000000000000000000000046734768781049680806745120297718267480145436994172719711219431202968432881306171111646108329296112060546875	0.0000000000000000000063465816004665470223673399069228463489948388972882367523899171946055730586522258818149566650390625	-2.0928581235265966	161.34388818851497	EDA;FHL1;TAZ;PHF6;CHRDL1;SAT1;RPGR;AFF2;MECP2;MED12;AIFM1;OPHN1;IDS;ATP7A;ABCD1;EMD;GPR179;OFD1;ALG13;PHKA1;SMC1A;PHKA2;HCFC1;ARHGEF9;DKC1;PIGA;SMS;ABCB7;IGSF1;ARX;FGD1;MTM1;PGK1;GPC3;PAK3;GRIA3;TRAPPC2;IGBP1;BCAP31;PDHA1;GK;IQSEC2;NAA10;ATP2B3;UBE2A;FGF16;CLCN5;SLC6A8;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	25/62	0.0000000000000001087632518489209339313889623307892061572202914367275827789427466996130533516407012939453125	0.000000000000073850248005417317750916937137550542631322415820793736429550335742533206939697265625	0.00000000010356117921167965891092192878378025651386895589212144841440021991729736328125	0.0000000703180406847304836054533762508544914027197592076845467090606689453125	-1.9176835215642711	57.98449234390624	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;MECP2;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SLC9A6;BCOR
Pectus excavatum (HP:0000767)	24/135	0.000000093885531470995069611571912614189638901507350965403020381927490234375	0.0000318741379344028252199212680739748293490265496075153350830078125	0.000089196026572369133296469545513218690757639706134796142578125	0.0302820510213193221094041263086182880215346813201904296875	-2.325786665144848	24.080533677290614	IGBP1;AMER1;NAA10;FMR1;COL11A2;IHH;SMC1A;SOX10;FGD1;MED12;MECP2;RPS6KA3;EFNB1;EFEMP2;ZDHHC9;SLC9A6;SMS;GPC3;GTF2IRD1;GPC4;ATP7A;SCARF2;SLC16A2;EMD
Macrotia (HP:0000400)	21/105	0.0000000731957999011989187359457907124105080498566167079843580722808837890625	0.0000318741379344028252199212680739748293490265496075153350830078125	0.0000579779317859447320044653795267919349498697556555271148681640625	0.0262446771217709796941708333406495512463152408599853515625	-2.1913712044818223	22.68883422533639	NAA10;FMR1;WNT7A;CASK;PIK3R1;TAZ;SMC1A;PHF6;MECP2;SALL1;OPHN1;SLC9A6;NHS;GTF2IRD1;UBA1;SLC12A6;PAK3;SCARF2;SLC16A2;MBTPS2;BRWD3
Long face (HP:0000276)	19/95	0.000000303826607210515019330912024619895106525291339494287967681884765625	0.000082519306518375880690231716219074087348417378962039947509765625	0.00013255514054406238445664445446681156681734137237071990966796875	0.0345845113111098445557445302256383001804351806640625	-2.088683771645148	19.638803783308386	OFD1;TBX1;MOCS2;MUSK;FMR1;WNT7A;MTM1;PHF8;MED12;SLC6A8;OPHN1;SLC9A6;TCTN2;AP1S2;NHS;BCOR;SLC12A6;ATP7A;BRWD3
Patent ductus arteriosus (HP:0001643)	21/125	0.000001539962931562823930634769688252649899595780880190432071685791015625	0.0002987528087231878658365513690142734049004502594470977783203125	0.00049556584092538499310143240705883727059699594974517822265625	0.07477537910851921043597911875622230581939220428466796875	-2.2655837294609773	18.38723751691112	AMER1;TBX1;IGBP1;COL18A1;FOXC2;FOXC1;ARX;AMMECR1;ACSL4;HOXD13;ANK1;PORCN;SALL1;ZIC3;EOGT;LMNA;GPC3;ANKS6;GTF2IRD1;KCNE1L;BCOR
Cryptorchidism (HP:0000028)	41/379	0.0000059791965042502883786838807633756687209825031459331512451171875	0.0006766457377309909038132218483951874077320098876953125	0.005571214764996374087246966411157700349576771259307861328125	0.269648516374882130097745402963482774794101715087890625	-2.4617544402134324	17.96677679418076	CDKN1C;MESP2;FMR1;ARX;HOXD13;PHF6;FGD1;PHF8;MTM1;MECP2;MED12;EFNB1;SOX3;PORCN;SALL1;OPHN1;TCTN2;AP1S2;GPC3;GPC4;RBM10;OFD1;TBX1;GK;NAA10;BDNF;SPRY4;WNT7A;SOX11;SMC1A;SOX10;ANK1;DKC1;SMS;GTF2IRD1;UBA1;LHX4;IRF6;BCOR;BRWD3;MBTPS2
High palate (HP:0000218)	26/191	0.0000056441048933122796109861096791604495592764578759670257568359375	0.0006766457377309909038132218483951874077320098876953125	0.00187538948232457945708429036812958656810224056243896484375	0.181912779785484202133005737778148613870143890380859375	-2.3936722259262724	17.46988810058509	AMER1;ARX;MTM1;MED12;MECP2;RPS6KA3;EFEMP2;LMNA;SPEG;SCARF2;SLC12A6;ATP7A;PAK3;RBM10;TBX1;IGBP1;OFD1;MUSK;NAA10;ABCC6;WNT7A;KLHL41;DLG3;PIGA;SMS;CRLF1
Tapered finger (HP:0001182)	12/42	0.000000850139230201444896558985765688820634977673762477934360504150390625	0.00019241484576892702550166003305776030174456536769866943359375	0.00015280343730976367160045992221739652450196444988250732421875	0.0345845113111098445557445302256383001804351806640625	-2.0010517970021713	17.120712748094718	OFD1;RPS6KA3;FAM134B;CDKL5;ARX;HUWE1;AMMECR1;KCNE1L;ACSL4;SLC12A6;PHF6;CRLF1
Camptodactyly of finger (HP:0100490)	20/121	0.00000351868449571093175267007258089080323770758695900440216064453125	0.0004778373545175445516637602327847389460657723248004913330078125	0.000811937299793506089308492423839425100595690310001373291015625	0.1102610853119581346692967827038955874741077423095703125	-2.2317692870323267	17.064643918872754	MESP2;NAA10;ITGB4;COL11A2;HOXD13;FGD1;MED12;EFNB1;PORCN;ZDHHC9;TRPV4;LMNA;GPC3;UBA1;BCOR;GPC4;SCARF2;SLC16A2;CRLF1;MBTPS2
Open mouth (HP:0000194)	11/39	0.000002809379870697134988261241261842116045954753644764423370361328125	0.000423904207156301023225186686005372393992729485034942626953125	0.0003175030017134844559541229092047842641477473080158233642578125	0.053896134540863983863889785652645514346659183502197265625	-1.962868133752868	15.243639922846679	TBX1;MED12;SLC35A2;RAI1;RPS6KA3;SLC6A8;SLC9A6;LMNA;UBA1;SLC16A2;PAK3
Narrow face (HP:0000275)	13/53	0.000002020721662429067079350987479191559259561472572386264801025390625	0.0003430175021973341591662032268317261696211062371730804443359375	0.0002955197564177443054871108341075114367413334548473358154296875	0.053896134540863983863889785652645514346659183502197265625	-1.9093511535935703	15.232286232047368	TBX1;FMR1;MTM1;MED12;SLC6A8;SLC9A6;ZDHHC9;LMNA;NHS;GTF2IRD1;BCOR;SLC16A2;ATP7A
Delayed eruption of teeth (HP:0000684)	16/86	0.0000069326707141420558844538933607193342822938575409352779388427734375	0.00072419744844653163688696917432707778061740100383758544921875	0.00091076536455719195491120832031128884409554302692413330078125	0.11243812409715152333955501262607867829501628875732421875	-2.0806647315985756	15.044134992784093	AMER1;DLX3;EDA;NAA10;PIK3R1;TCIRG1;SMC1A;FGD1;PTHLH;RPS6KA3;PORCN;LMNA;GNAS;IDS;BCOR;FAM20A
