Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
organ morphogenesis (GO:0009887)	31/405	0.000000959270662835629930558617971259049994614542811177670955657958984375	0.0028269706433766013907449288211637394852004945278167724609375	0.00000120557393647945436954420535269338898842761409468948841094970703125	0.003552826390804952015611828386454362771473824977874755859375	-2.364164565594647	13.874216979578026	FOXC1;DLX2;EDA;FOXE1;SYCP2;ITGB4;FHL1;HCCS;PRKX;AQP5;FGD1;SOX3;ALX4;SOSTDC1;HOXC9;HOXA5;TBX1;FOXF1;WNT7B;SHROOM2;PDX1;PAX6;CELA1;FGF16;HAND1;GNAS;HOXB3;EVL;ROR2;BCOR;HOXB7
regionalization (GO:0003002)	21/247	0.0000112811310458856323851208058872686024187714792788028717041015625	0.01294589756358775593791943236965380492620170116424560546875	0.000015533574554388212608270480874494978706934489309787750244140625	0.0190886269029727252688477534547928371466696262359619140625	-2.4057507766541715	10.457741685559716	TBX1;TGIF1;DLX2;FOXC1;FOXF1;WNT7B;ATP6AP2;WNT5A;FOXJ1;PAX6;LHX2;PAX7;ZIC3;ALX4;HOXB3;ROR2;LMX1B;HOXC9;NBL1;HOXB7;HOXA5
epithelial cell development (GO:0002064)	13/107	0.000013178721646000429959413695335523897256280179135501384735107421875	0.01294589756358775593791943236965380492620170116424560546875	0.00002436272632439395152800960808736618901093606837093830108642578125	0.0190886269029727252688477534547928371466696262359619140625	-2.258841363487567	9.819129943652602	TFAP2C;WNT7B;MAGI2;WNT5A;FOXJ1;MSN;PAX6;DICER1;SOX3;BFSP1;MARVELD2;MYADM;MAP7
pattern specification process (GO:0007389)	27/385	0.000023330837248674953020126376923570887811365537345409393310546875	0.0171889943429612730707578549527170252986252307891845703125	0.000025909232308072923539089826849846076584071852266788482666015625	0.0190886269029727252688477534547928371466696262359619140625	-2.3720534397185618	9.638805857547638	MESP2;FOXC1;DLX2;CITED1;ZIC3;GPC3;ALX4;SOSTDC1;HOXC9;HOXA5;TGIF1;TBX1;FOXF1;WNT7B;ATP6AP2;WNT5A;FOXJ1;UNCX;PAX6;LHX2;PAX7;HOXB3;ROR2;LMX1B;BCOR;NBL1;HOXB7
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	5/22	0.0003496766279458928656197203022060193688957951962947845458984375	0.1472138603652208832528458515298552811145782470703125	0.0007322785250591366291994521731112399720586836338043212890625	0.239780534816586177182529127094312570989131927490234375	-2.64046032172941	5.058775857053277	CLDN5;CLDN4;CLDN14;CLDN7;CLDN18
embryonic organ morphogenesis (GO:0048562)	12/121	0.00020558938632440857947718260145819613171624951064586639404296875	0.12117438429960640522420334264097618870437145233154296875	0.000288965098925349325904854413948896763031370937824249267578125	0.1618605078918458894943199766203179024159908294677734375	-2.199854412644886	4.642846806674193	TBX1;DLX2;FOXE1;FOXF1;GNAS;HOXB3;ALX4;PAX6;ROR2;HOXC9;HOXB7;HOXA5
multicellular organismal development (GO:0007275)	27/453	0.00034800143650459062875934801439825605484656989574432373046875	0.1472138603652208832528458515298552811145782470703125	0.000329542941076035075624595105381331450189463794231414794921875	0.1618605078918458894943199766203179024159908294677734375	-2.2952343564899143	4.397368160899135	EHF;FGD1;ZMYM3;SOHLH2;GCNT2;MOV10L1;RBBP7;MBNL3;NKX2-4;TGIF1;AMN;TPI1;MUSK;WNT7B;SPRY4;WNT5A;MSL3;PAX6;DIEXF;TMEFF1;DIAPH2;ZGLP1;FES;ROR2;LMX1B;HOXB7;HMX1
mammary gland epithelial cell differentiation (GO:0060644)	4/16	0.000958610868131685935240871021534303508815355598926544189453125	0.2017875877417198982044510557898320257663726806640625	0.0018847084509489679671201400878999265842139720916748046875	0.298031480421912686740171238852781243622303009033203125	-2.73370519917343	4.375403646547935	FOXF1;ELF5;IRF6;HOXA5
anterior/posterior pattern specification (GO:0009952)	13/150	0.000430432945582911899266853605894311840529553592205047607421875	0.1514605925971335420587848830109578557312488555908203125	0.00054453985828886827987027619002446954254992306232452392578125	0.229251280339613561221057125294464640319347381591796875	-2.3000546749330257	4.341191741397433	TBX1;FOXC1;FOXF1;ATP6AP2;WNT5A;PAX6;ZIC3;ALX4;HOXB3;ROR2;HOXC9;HOXB7;HOXA5
pigmentation (GO:0043473)	6/37	0.0006209316540166831717428852499551794608123600482940673828125	0.1744390390121408340728947905517998151481151580810546875	0.00104240995683087625013618637836998459533788263797760009765625	0.266879895558392254972801538315252400934696197509765625	-2.44511079396233	4.269603431746217	CD63;EDA;CITED1;ATP6AP2;SHROOM2;ATP7A
