Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002169_no_abnormal_phenotype_	67/1371	0.00001748694136334971664767552745889389598232810385525226593017578125	0.00056832559430886574192154370166463195346295833587646484375	0.000000000030130221455948740921311987228157591549304594735758655588142573833465576171875	0.0000000009792321973183340314750255681361564008557962779377703554928302764892578125	-1.1585655079500647	8.657746950659954	RAB9;KCNK9;HCCS;DACH2;ARHGAP6;HS6ST2;WDR44;EPS8;MED12;THBD;ADAMTS5;MED14;SOX15;SOX6;ATP7A;ABCD1;HOXA5;TGIF1;TPI1;EBF2;CTPS2;ATP11C;ACSL4;PAX6;ZBTB33;DICER1;SOX10;FTSJ1;PAX7;HAND1;NUMB;EVL;PKP3;LMX1B;B4GALT6;NBL1;CFB;PLEC;CEBPA;IGSF1;ARX;LRRC10;CRHR1;CACNG6;CECR2;PDZD4;EFNB3;ALX4;SPOCK1;TAF9B;ZRSR1;TBX1;GABRA1;ST8SIA1;USP9X;PDX1;MSN;HPRT;POLA1;LRCH2;FES;GNAS;TAB3;APBA2;TJP3;GPHB5;A830080D01RIK
MP0002873_normal_phenotype_	67/1371	0.00001748694136334971664767552745889389598232810385525226593017578125	0.00056832559430886574192154370166463195346295833587646484375	0.000000000030130221455948740921311987228157591549304594735758655588142573833465576171875	0.0000000009792321973183340314750255681361564008557962779377703554928302764892578125	-1.090174008979759	8.146669857825641	RAB9;KCNK9;HCCS;DACH2;ARHGAP6;HS6ST2;WDR44;EPS8;MED12;THBD;ADAMTS5;MED14;SOX15;SOX6;ATP7A;ABCD1;HOXA5;TGIF1;TPI1;EBF2;CTPS2;ATP11C;ACSL4;PAX6;ZBTB33;DICER1;SOX10;FTSJ1;PAX7;HAND1;NUMB;EVL;PKP3;LMX1B;B4GALT6;NBL1;CFB;PLEC;CEBPA;IGSF1;ARX;LRRC10;CRHR1;CACNG6;CECR2;PDZD4;EFNB3;ALX4;SPOCK1;TAF9B;ZRSR1;TBX1;GABRA1;ST8SIA1;USP9X;PDX1;MSN;HPRT;POLA1;LRCH2;FES;GNAS;TAB3;APBA2;TJP3;GPHB5;A830080D01RIK
MP0000001_mammalian_phenotype_	67/1459	0.000116092310073008799192577356063083016124437563121318817138671875	0.002515333384915190671760054641481474391184747219085693359375	0.00000000041950667833450712455296865676366603603586469262154423631727695465087890625	0.000000009089311363914321411105434983350448430172718872199766337871551513671875	-1.0457733908227387	6.2593196869565535	RAB9;KCNK9;HCCS;DACH2;ARHGAP6;HS6ST2;WDR44;EPS8;MED12;THBD;ADAMTS5;MED14;SOX15;SOX6;ATP7A;ABCD1;HOXA5;TGIF1;TPI1;EBF2;CTPS2;ATP11C;ACSL4;PAX6;ZBTB33;DICER1;SOX10;FTSJ1;PAX7;HAND1;NUMB;EVL;PKP3;LMX1B;B4GALT6;NBL1;CFB;PLEC;CEBPA;IGSF1;ARX;LRRC10;CRHR1;CACNG6;CECR2;PDZD4;EFNB3;ALX4;SPOCK1;TAF9B;ZRSR1;TBX1;GABRA1;ST8SIA1;USP9X;PDX1;MSN;HPRT;POLA1;LRCH2;FES;GNAS;TAB3;APBA2;TJP3;GPHB5;A830080D01RIK
MP0000428_abnormal_craniofacial_morphol_	39/896	0.00759544422636214237865015519446387770585715770721435546875	0.108551488868200873838532061199657618999481201171875	0.000015048616424989994826339791134106604886255809105932712554931640625	0.00019563201352486994460087854630359061047784052789211273193359375	-1.8690427443026378	4.150266731256107	FOXC1;DLX2;FOXE1;ITGB4;AKAP6;PTHLH;MED12;SOX3;NDST1;RAI1;RPS6KA3;CECR2;ZIC3;GPC3;SOSTDC1;ALX4;HOXA5;TGIF1;FOXD3;WNT5A;SPRY4;CASK;NFATC2;EBF2;PAX6;HPRT;DICER1;FGF16;LHX2;PAX7;FES;HAND1;GNAS;HOXB3;IRF6;BCOR;ROR2;LMX1B;HMX1
MP0002133_abnormal_respiratory_system_	29/622	0.0083501145283231444083060779348670621402561664581298828125	0.108551488868200873838532061199657618999481201171875	0.000068309942184411110203089145809229876249446533620357513427734375	0.000634306605998103214573424768474296797649003565311431884765625	-1.4406620803436967	3.1990343298775343	CEBPA;FOXC1;DLX2;TRAF3IP2;ITGB4;AQP5;PTHLH;CRHR1;NDST1;GPC3;IL12A;FFAR2;ATP7A;SOX6;HOXA5;IL13RA1;TBX1;FOXD3;MUSK;WNT7B;WNT5A;NFATC2;UNCX;CASK;PAX6;DICER1;CROCC;GNAS;ROR2
MP0009701_abnormal_birth_body_	9/145	0.025396925091223383763594512174677220173180103302001953125	0.201358782576259776053717587274149991571903228759765625	0.00457048663624929664417440022816663258709013462066650390625	0.019268662273848082000515802292284206487238407135009765625	-1.5948163637272175	2.555959516026198	CEBPA;CITED1;GNAS;FOXJ1;PAX6;ESRRG;ROR2;HPRT;UBE2A
MP0005499_abnormal_olfactory_system_	4/38	0.0235729854200584128254281068848285940475761890411376953125	0.201358782576259776053717587274149991571903228759765625	0.0106527709542911831752665108297151164151728153228759765625	0.03462150560144634792170137416178476996719837188720703125	-1.5036030725308853	2.4097749866196447	NDST1;ITGB4;EBF2;PAX6
MP0001672_abnormal_embryogenesis/_devel_	51/1271	0.01142152847452391518923153768128031515516340732574462890625	0.1237332251406757510636680308380164206027984619140625	0.000005253578296554723594115159091000322177933412604033946990966796875	0.00008537064731901425882788780885590540492557920515537261962890625	-1.0265665359234384	2.14514160362211	MESP2;C330007P06RIK;OTUD5;CITED1;SUV39H1;HCCS;ARHGAP6;MED12;THBD;AIFM1;ZIC3;ATP7A;PELO;TGIF1;FOXD3;AMN;LIG1;WNT5A;ESX1;PAX6;DICER1;ZFX;SOX10;DUSP9;CTTN;ELF5;HAND1;NUMB;HOXB3;LMX1B;ROR2;FOXC1;CECR2;PORCN;NSD1;GPC3;RBBP7;TBX1;PDHA1;USP9X;WNT7B;BMP8B;FOXJ1;NFATC2;HPRT;HOPX;HINFP;FGF16;KRT18;DLG3;BCOR
MP0002132_abnormal_respiratory_system_	23/529	0.03534098776825299326187490578377037309110164642333984375	0.2088331095396767922434122510821907781064510345458984375	0.001014542880164067718828935227293186471797525882720947265625	0.00507271440082033946150641412486947956494987010955810546875	-1.2313208953495722	1.9285192464273757	TBX1;CEBPA;FOXC1;EDA;ITGB4;WNT7B;WNT5A;EBF2;PAX6;HPRT;CRHR1;NDST1;THBD;RAI1;ZIC3;PAX7;GNAS;GPC3;HOXB3;SPEG;ROR2;ATP7A;HOXA5
MP0004196_abnormal_prenatal_growth/weig_	32/786	0.03364220095137872290624869719977141357958316802978515625	0.2088331095396767922434122510821907781064510345458984375	0.0003158505187074822466442025614696831326000392436981201171875	0.00175307926554258016425824617812168071395717561244964599609375	-0.9793736763335406	1.5339145070849742	MESP2;C330007P06RIK;FOXC1;CITED1;SUV39H1;HCCS;ARHGAP6;AIFM1;ZIC3;GPC3;PELO;TGIF1;TBX1;PDHA1;LIG1;USP9X;ESX1;BMP8B;FOXJ1;NFATC2;PAX6;LSR;HPRT;DICER1;ZFX;FGF16;KRT18;FES;ELF5;HAND1;NUMB;ROR2
