Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
definitive hemopoiesis (GO:0060216)	2/14	0.001194130883384721120155091966807958669960498809814453125	0.255802722321341435840480471597402356564998626708984375	0.001390804870748003040092921622772337286733090877532958984375	0.23631839060329695723083887060056440532207489013671875	-2.7947214038912014	3.810179925639834	LYL1;HOXB3
regulation of mammary gland epithelial cell proliferation (GO:0033599)	2/15	0.001374546663895131505539470850862926454283297061920166015625	0.255802722321341435840480471597402356564998626708984375	0.00157273251368990861498442512811379856429994106292724609375	0.23631839060329695723083887060056440532207489013671875	-2.7907065942074585	3.804706339886004	AGAP2;HOXA5
heparan sulfate proteoglycan biosynthetic process (GO:0015012)	2/15	0.001374546663895131505539470850862926454283297061920166015625	0.255802722321341435840480471597402356564998626708984375	0.00157273251368990861498442512811379856429994106292724609375	0.23631839060329695723083887060056440532207489013671875	-2.7390560940650976	3.7342886952085523	HS3ST3B1;NDST1
mammary gland alveolus development (GO:0060749)	2/18	0.00198857620562729701940707371932148816995322704315185546875	0.255802722321341435840480471597402356564998626708984375	0.0021825485024717056030396644672464390168897807598114013671875	0.23631839060329695723083887060056440532207489013671875	-2.73374110267781	3.727042508357657	AGAP2;HOXA5
thyroid gland development (GO:0030878)	2/19	0.002217214348586227061488340694950238685123622417449951171875	0.255802722321341435840480471597402356564998626708984375	0.0024069191126820086747140070571049363934434950351715087890625	0.23631839060329695723083887060056440532207489013671875	-2.58994422183582	3.5309972109656083	HOXB3;HOXA5
heparan sulfate proteoglycan metabolic process (GO:0030201)	2/24	0.003536133423981601027474841458797527593560516834259033203125	0.255802722321341435840480471597402356564998626708984375	0.0036837354215068728556514709993052747449837625026702880859375	0.2465825214906785800561550558995804749429225921630859375	-2.5618321668805524	3.492670676052358	HS3ST3B1;NDST1
proteoglycan biosynthetic process (GO:0030166)	2/26	0.004144079448504795100405306840229968656785786151885986328125	0.255802722321341435840480471597402356564998626708984375	0.0042654376328459565892448068780140602029860019683837890625	0.2465825214906785800561550558995804749429225921630859375	-2.5389764520562426	3.4615103658731456	HS3ST3B1;NDST1
organ morphogenesis (GO:0009887)	6/405	0.00386318801376606991981876859654221334494650363922119140625	0.255802722321341435840480471597402356564998626708984375	0.0029503243041931527003429724942407119669951498508453369140625	0.23631839060329695723083887060056440532207489013671875	-2.3415982157961053	3.192414994681775	FHL1;GNAS;HOXB3;EVL;CELA1;HOXA5
multicellular organism growth (GO:0035264)	3/79	0.00314326462797629747891736684550778591074049472808837890625	0.255802722321341435840480471597402356564998626708984375	0.0029255704259433302528992104640792604186572134494781494140625	0.23631839060329695723083887060056440532207489013671875	-2.249318344318549	3.066605347482287	GNAS;CELA1;HOXA5
cartilage development (GO:0051216)	3/75	0.0027124872067052405687215266283374148770235478878021240234375	0.255802722321341435840480471597402356564998626708984375	0.0025378590500859878227590815669145740685053169727325439453125	0.23631839060329695723083887060056440532207489013671875	-2.134311130232588	2.909810406203357	GNAS;HOXB3;BMP8B
embryonic skeletal system morphogenesis (GO:0048704)	3/81	0.003373494381308450411338650809511818806640803813934326171875	0.255802722321341435840480471597402356564998626708984375	0.003132349801811005161888967762706670328043401241302490234375	0.23631839060329695723083887060056440532207489013671875	-2.132861352694332	2.9078338538124044	GNAS;HOXB3;HOXA5
small GTPase mediated signal transduction (GO:0007264)	6/439	0.0056969010657408093722953168480671592988073825836181640625	0.294954138945028976337425774545408785343170166015625	0.004357864886433199767823420955892288475297391414642333984375	0.2465825214906785800561550558995804749429225921630859375	-2.322115138345575	2.8351525658332175	RAB44;DOK3;RTKN;ARHGAP30;AGAP2;AATK
glycoprotein biosynthetic process (GO:0009101)	2/35	0.007425722724680971532917883592972430051304399967193603515625	0.315129108128648749431732767334324307739734649658203125	0.007366437691533049558767487496879766695201396942138671875	0.31261319953443378327762047774740494787693023681640625	-2.3276369844662903	2.687892010736681	HS3ST3B1;NDST1
aminoglycan biosynthetic process (GO:0006023)	3/100	0.006081528638041834751437608730384454247541725635528564453125	0.294954138945028976337425774545408785343170166015625	0.005550320685979426120482127515742831747047603130340576171875	0.26919055327000218635902228925260715186595916748046875	-2.1618955357260514	2.6395347818730492	HS3ST3B1;NDST1;GCNT2
glycosaminoglycan biosynthetic process (GO:0006024)	3/99	0.005914614109788554445479302756893957848660647869110107421875	0.294954138945028976337425774545408785343170166015625	0.005401814539914583969404393570812317193485796451568603515625	0.26919055327000218635902228925260715186595916748046875	-2.1589732056195765	2.635966805607459	HS3ST3B1;NDST1;GCNT2
