Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
parturition (GO:0007567)	2/10	0.006007351515074707028196687730314806685782968997955322265625	0.685151011866420134310828871093690395355224609375	0.00832841022080507871472310199578714673407375812530517578125	0.68878276850112463147723929068888537585735321044921875	-2.884948114794427	1.0908450694648126	NRK;CRHR1
hypothalamus development (GO:0021854)	2/13	0.01016999095054818037786592554994058446027338504791259765625	0.685151011866420134310828871093690395355224609375	0.0129485280116825550444925596593748196028172969818115234375	0.68878276850112463147723929068888537585735321044921875	-2.857644847276292	1.080521266898069	SOX3;CRHR1
regulation of cofactor metabolic process (GO:0051193)	2/14	0.0117722435572010890314498254838326829485595226287841796875	0.685151011866420134310828871093690395355224609375	0.0146855314536819721304983232812446658499538898468017578125	0.68878276850112463147723929068888537585735321044921875	-2.6652045617333724	1.0077565140159006	PDHA1;PDK3
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.00867324051560018800810514250088090193457901477813720703125	0.685151011866420134310828871093690395355224609375	0.0113083267679100311908779730174501310102641582489013671875	0.68878276850112463147723929068888537585735321044921875	-2.6528863589937846	1.0030988043488744	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.01016999095054818037786592554994058446027338504791259765625	0.685151011866420134310828871093690395355224609375	0.0129485280116825550444925596593748196028172969818115234375	0.68878276850112463147723929068888537585735321044921875	-2.650292255709127	1.0021179323660336	PDHA1;PDK3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.0117722435572010890314498254838326829485595226287841796875	0.685151011866420134310828871093690395355224609375	0.0146855314536819721304983232812446658499538898468017578125	0.68878276850112463147723929068888537585735321044921875	-2.6491933811445825	1.0017024303004862	PDHA1;PDK3
mammary gland epithelial cell differentiation (GO:0060644)	2/16	0.015282450588136091418345330339434440247714519500732421875	0.685151011866420134310828871093690395355224609375	0.01844013273688589749088606595250894315540790557861328125	0.68878276850112463147723929068888537585735321044921875	-2.6028927600648877	0.9841954242094798	IRF6;HOXA5
regulation of mammary gland epithelial cell proliferation (GO:0033599)	2/15	0.01347728483410611140247414851955909398384392261505126953125	0.685151011866420134310828871093690395355224609375	0.01651687308705561407773387827546685002744197845458984375	0.68878276850112463147723929068888537585735321044921875	-2.5539992240639613	0.9657079954748694	AGAP2;HOXA5
body morphogenesis (GO:0010171)	2/12	0.00867324051560018800810514250088090193457901477813720703125	0.685151011866420134310828871093690395355224609375	0.0113083267679100311908779730174501310102641582489013671875	0.68878276850112463147723929068888537585735321044921875	-2.535439926699399	0.9586904280118558	MAB21L2;GPC3
regulation of sulfur metabolic process (GO:0042762)	2/17	0.0171851251646390930372110261714624357409775257110595703125	0.685151011866420134310828871093690395355224609375	0.020452933384693040841373345983811304904520511627197265625	0.68878276850112463147723929068888537585735321044921875	-2.518570965298395	0.9523120036384979	PDHA1;PDK3
