Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002060_abnormal_skin_morphology_	5/90	0.00450666236312224736948461867314108530990779399871826171875	0.432639586859735747470523392621544189751148223876953125	0.00108558115504781525773037031967760412953794002532958984375	0.07816184316344269855658666301678749732673168182373046875	-1.9581481612609946	1.6406349470033528	ITGB4;GCNT2;IRF6;ATP7A;PLEC
MP0002169_no_abnormal_phenotype_	29/1370	0.001964579155577172824009846152648606221191585063934326171875	0.298515386571771956791820912258117459714412689208984375	0.00000111300243824803277026681651296069475165495532564818859100341796875	0.00017265945587222164656245049219052134503726847469806671142578125	-1.0709508428395347	1.294708673304339	RAB9;IGSF1;ARX;DACH2;CRHR1;HS6ST2;WDR44;MED12;CECR2;PDZD4;MED14;SOX6;ATP7A;TAF9B;HOXA5;TGIF1;MSN;CTPS2;ATP11C;ACSL4;HPRT;SOX10;FTSJ1;LRCH2;TAB3;PKP3;CFB;PLEC;A830080D01RIK
MP0002873_normal_phenotype_	29/1375	0.0020730235178595276222812682220819624490104615688323974609375	0.298515386571771956791820912258117459714412689208984375	0.000001199023999112650299821657660925833255305406055413186550140380859375	0.00017265945587222164656245049219052134503726847469806671142578125	-1.0657437718621274	1.28841366919464	RAB9;IGSF1;ARX;DACH2;CRHR1;HS6ST2;WDR44;MED12;CECR2;PDZD4;MED14;SOX6;ATP7A;TAF9B;HOXA5;TGIF1;MSN;CTPS2;ATP11C;ACSL4;HPRT;SOX10;FTSJ1;LRCH2;TAB3;PKP3;CFB;PLEC;A830080D01RIK
MP0002249_abnormal_larynx_morphology_	3/35	0.0083203795564911094129190161083897692151367664337158203125	0.56506769074565232902074285448179580271244049072265625	0.003680813633101458204333056301038595847785472869873046875	0.1325092907916524953559900268373894505202770233154296875	-2.1070063283448035	1.2026997521227567	RAI1;ZIC3;HOXA5
MP0005171_absent_coat_pigmentation_	2/13	0.01016999095054818037786592554994058446027338504791259765625	0.56506769074565232902074285448179580271244049072265625	0.006547282729158092166865667849151577684096992015838623046875	0.1980226282882159571929747698959545232355594635009765625	-1.7929153515245808	1.023413560674803	ATP7A;SOX10
MP0003123_paternal_imprinting_	2/14	0.0117722435572010890314498254838326829485595226287841796875	0.56506769074565232902074285448179580271244049072265625	0.00744284116585375472852081912833455135114490985870361328125	0.1980226282882159571929747698959545232355594635009765625	-1.7131764958910913	0.9778978445543453	CITED1;GPC3
MP0003453_abnormal_keratinocyte_physiol_	3/62	0.038059102199733511884272019187847035937011241912841796875	0.87219550422955516300049794153892435133457183837890625	0.0162624183883949939566360143317069741897284984588623046875	0.279225304670245033644704335529240779578685760498046875	-1.9050689879071765	0.2605023303114175	ITGB4;PKP3;IRF6
MP0000432_abnormal_head_morphology_	9/424	0.06922165626700015061967263818587525747716426849365234375	0.87219550422955516300049794153892435133457183837890625	0.00901991351746844575998363069402330438606441020965576171875	0.2164779244192427121173949444710160605609416961669921875	-1.8566467806199716	0.2538809964294374	TGIF1;NDST1;CECR2;RAI1;SOX3;ZIC3;CASK;BCOR;IRF6
MP0004782_abnormal_surfactant_physiolog_	2/23	0.0305083036544564166481219302795580006204545497894287109375	0.87219550422955516300049794153892435133457183837890625	0.01773842633676425695199441179283894598484039306640625	0.279225304670245033644704335529240779578685760498046875	-1.8498200178971276	0.25294749343869394	NDST1;HOXA5
MP0008789_abnormal_olfactory_epithelium_	2/23	0.0305083036544564166481219302795580006204545497894287109375	0.87219550422955516300049794153892435133457183837890625	0.01773842633676425695199441179283894598484039306640625	0.279225304670245033644704335529240779578685760498046875	-1.831687149885232	0.2504679746378985	NDST1;ITGB4
MP0005394_taste/olfaction_phenotype_	2/27	0.0410325991032926273849312792663113214075565338134765625	0.87219550422955516300049794153892435133457183837890625	0.0235033277221832308245819120884334552101790904998779296875	0.294302538434294380653710732076433487236499786376953125	-1.8056499874929088	0.24690760935929082	NDST1;ITGB4
MP0002114_abnormal_axial_skeleton_	12/567	0.040503750642191256592372639033783343620598316192626953125	0.87219550422955516300049794153892435133457183837890625	0.002650558433873563719818111650283753988333046436309814453125	0.11533924523300810582870923326481715776026248931884765625	-1.7889714610873055	0.24462695967027712	MED12;RAI1;RPS6KA3;MUSK;ZIC3;GPC3;CASK;IRF6;HOXC9;SOX6;ATP7A;HOXA5
MP0000762_abnormal_tongue_morphology_	3/77	0.06476322671323765656214987984640174545347690582275390625	0.87219550422955516300049794153892435133457183837890625	0.028027207243524095148234920316099305637180805206298828125	0.336326486922289114023243428164278157055377960205078125	-1.7847214136461746	0.24404580105115278	NDST1;ITGB4;IRF6
MP0005499_abnormal_olfactory_system_	2/27	0.0410325991032926273849312792663113214075565338134765625	0.87219550422955516300049794153892435133457183837890625	0.0235033277221832308245819120884334552101790904998779296875	0.294302538434294380653710732076433487236499786376953125	-1.7734963508579575	0.24251086712866274	NDST1;ITGB4
MP0010771_integument_phenotype_	6/217	0.0465288317032885867519098610500805079936981201171875	0.87219550422955516300049794153892435133457183837890625	0.010031283514285317670644559484571800567209720611572265625	0.2222315117010900953342655839151120744645595550537109375	-1.7223084957649568	0.23551135392467185	ITGB4;GCNT2;IRF6;PKP3;ATP7A;PLEC
MP0003567_abnormal_fetal_cardiomyocyte_	2/33	0.05893131081747297883577374477681587450206279754638671875	0.87219550422955516300049794153892435133457183837890625	0.033371714944874682207132110534075764007866382598876953125	0.33697261376469356264351517893373966217041015625	-1.7186183302607725	0.23500675450114605	FGF16;HOPX
MP0003091_abnormal_cell_migration_	3/81	0.0730175595026547885613155131068197079002857208251953125	0.87219550422955516300049794153892435133457183837890625	0.03175758406593308380561069270697771571576595306396484375	0.33697261376469356264351517893373966217041015625	-1.6768372781153669	0.2292935433178084	NDST1;CSPG4;PLEC
MP0000377_abnormal_hair_follicle_	4/149	0.10370734202188071348960107798120588995516300201416015625	0.87219550422955516300049794153892435133457183837890625	0.03716542272779206623756209637576830573379993438720703125	0.33697261376469356264351517893373966217041015625	-1.6401050012650626	0.22427071014069586	CASK;PKP3;IRF6;SOX10
MP0003121_genomic_imprinting_	2/45	0.10081046493811386677297292635557823814451694488525390625	0.87219550422955516300049794153892435133457183837890625	0.056932965161677624721381363315231283195316791534423828125	0.36647361124601063320227467556833289563655853271484375	-1.6052235434004027	0.21950096105754813	CITED1;GPC3
MP0002063_abnormal_learning/memory/cond_	10/403	0.0235672996398093130554496354989169049076735973358154296875	0.87219550422955516300049794153892435133457183837890625	0.002009485764636632747215383432148883002810180187225341796875	0.11533924523300810582870923326481715776026248931884765625	-1.6035709617152376	0.21927498426471376	RPS6KA3;RAI1;SH3KBP1;FMR1;ARX;HPRT;PAK3;SLC12A6;CRHR1;AFF2
MP0004133_heterotaxia_	2/41	0.0860812373766140781494726752498536370694637298583984375	0.87219550422955516300049794153892435133457183837890625	0.048563480635799370632721405627307831309735774993896484375	0.36647361124601063320227467556833289563655853271484375	-1.5739609381839776	0.21522605995833322	TGIF1;ZIC3
MP0002089_abnormal_postnatal_growth/wei_	2/62	0.1694324979551911081188109164941124618053436279296875	0.87219550422955516300049794153892435133457183837890625	0.09720569357443363533999303172095096670091152191162109375	0.417839399245326703624670017234166152775287628173828125	-1.545510997052782	0.21133576726607708	GPR50;ZFX
MP0000467_abnormal_esophagus_morphology_	2/46	0.10459563959981489633666029703817912377417087554931640625	0.87219550422955516300049794153892435133457183837890625	0.059098978503165110198747100866967230103909969329833984375	0.36647361124601063320227467556833289563655853271484375	-1.45820056981016	0.19939679292889328	ITGB4;IRF6
MP0005584_abnormal_enzyme/coenzyme_acti_	4/167	0.14023035305305764364192100401851348578929901123046875	0.87219550422955516300049794153892435133457183837890625	0.052199839287581921432046527797865564934909343719482421875	0.36647361124601063320227467556833289563655853271484375	-1.4393035822851579	0.1968127871436032	GPC3;CSPG4;SLC16A2;ATP7A
MP0002088_abnormal_embryonic_growth/wei_	8/385	0.09182994633622725000332565059579792432487010955810546875	0.87219550422955516300049794153892435133457183837890625	0.01530959573701046010085757842489329050295054912567138671875	0.279225304670245033644704335529240779578685760498046875	-1.4358323255255576	0.1963381216691636	TGIF1;FGF16;C330007P06RIK;PDHA1;ZIC3;BMP8B;HPRT;ZFX
MP0002177_abnormal_outer_ear_	3/120	0.17350849856180239338954152117366902530193328857421875	0.87219550422955516300049794153892435133457183837890625	0.0805700999749790758297507409224635921418666839599609375	0.412939334286123560513459551657433621585369110107421875	-1.4330604046846624	0.19595908456180655	ZIC3;IRF6;HOXA5
MP0002733_abnormal_thermal_nociception_	3/101	0.12053392654016760465740532026757136918604373931884765625	0.87219550422955516300049794153892435133457183837890625	0.05406623016646973367560491396943689323961734771728515625	0.36647361124601063320227467556833289563655853271484375	-1.4117095116316063	0.19303952761670026	FMR1;ARX;AFF2
MP0002572_abnormal_emotion/affect_behav_	7/372	0.1589790744230456798202766321992385201156139373779296875	0.87219550422955516300049794153892435133457183837890625	0.0361446170881365436144960767705924808979034423828125	0.33697261376469356264351517893373966217041015625	-1.4042869402927856	0.19202455275597896	RAI1;SH3KBP1;FMR1;ARX;HPRT;SLC12A6;CRHR1
MP0002272_abnormal_nervous_system_	5/227	0.1367036493171492617104689770712866447865962982177734375	0.87219550422955516300049794153892435133457183837890625	0.04212157672058669533043939736671745777130126953125	0.33697261376469356264351517893373966217041015625	-1.3877221516974052	0.1897594557659991	RAI1;FMR1;ARX;SOX10;PLEC
