Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	54/111	0.000000000000000000000000000000000000364270425666147351388853344741179132684543392302695405844410448968326801017811873631348741826331549820139343864866532385349273681640625	0.0000000000000000000000000000000004972291310342911744031598781931197524548816793714721763536738544043654655731334033927208172765066507281517260707914829254150390625	0.00000000000000000000001747291112997943911006143288904233155696848850688576983350086481612539746066659063217230141162872314453125	0.0000000000000000000238505236924219350170620694605223181084578755688561276502614172390082103447639383375644683837890625	-2.0928581235265966	160.4887582953094	EDA;FHL1;TAZ;PHF6;CHRDL1;SAT1;RPGR;AFF2;MECP2;MED12;AIFM1;OPHN1;IDS;IKBKG;ATP7A;ABCD1;EMD;OFD1;ATP6AP2;ALG13;PHKA1;SMC1A;PHKA2;MID1;SYN1;ARHGEF9;DKC1;PIGA;SMS;IGSF1;ARX;FGD1;MTM1;PGK1;GPC3;PAK3;GRIA3;TRAPPC2;IGBP1;BCAP31;PDHA1;GK;IQSEC2;NAA10;ATP2B3;UPF3B;UBE2A;FGF16;CLCN5;SLC6A8;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	27/62	0.000000000000000011504935896393121523279570314436666392133194744616490889921323059752467088401317596435546875	0.000000000000007852118749288305182334066169468314844352252283854465275680922786705195903778076171875	0.0000000000390008559653256978170282797538435774764575825201973202638328075408935546875	0.000000026618084196334790065516205117245041034124142242944799363613128662109375	-1.9176835215642711	62.282511980309785	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;MECP2;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;IKBKG;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SYN1;SLC9A6;BCOR
Macroorchidism (HP:0000053)	8/13	0.000000122255914136097401350629387296875538737594979465939104557037353515625	0.0000556264409319243198644676373643136457758373580873012542724609375	0.00006212595272817985551754016437797645266982726752758026123046875	0.0282673084913218353175778929653461091220378875732421875	-1.9573051619120796	19.175428820623708	MECP2;MED12;LHCGR;ZDHHC9;FMR1;HUWE1;GNAS;UPF3B
Short neck (HP:0000470)	27/182	0.0000063692010033003115899237663033449763361204531975090503692626953125	0.00108216958086416082003566874192301838775165379047393798828125	0.0019813194031090114975712790368334026425145566463470458984375	0.1931786418031286312047001274549984373152256011962890625	-2.301562405027228	15.71688030978068	MESP2;COL11A2;FHL1;FGD1;MED12;MECP2;EFNB1;ARVCF;CHN1;GPC3;IDS;PHGDH;GPC4;TRAPPC2;HES7;IGBP1;OFD1;GP1BB;UBE2A;SMC1A;RAB33B;LHX3;PIGA;GNAS;UBA1;ROR2;CCDC22
Camptodactyly of finger (HP:0100490)	21/121	0.0000057174596406513175376649070480450376408043666742742061614990234375	0.00108216958086416082003566874192301838775165379047393798828125	0.0011675030887601275768339359473202421213500201702117919921875	0.161467433387256942278753513164701871573925018310546875	-2.280396752948075	15.572344571935862	HES7;MESP2;NAA10;COL11A2;UPF3B;LAMC2;FGD1;MED12;EFNB1;PORCN;ZDHHC9;NSD1;LMNA;GPC3;UBA1;IKBKG;ROR2;BCOR;GPC4;SLC16A2;MBTPS2
Cryptorchidism (HP:0000028)	43/379	0.00001968632025009258945083719105628716761202667839825153350830078125	0.00179145514275842548078399030231366850784979760646820068359375	0.0112755421403640913868837714062465238384902477264404296875	0.535193104637112337940152428927831351757049560546875	-2.429723557402302	15.367338332944083	MESP2;MAGEL2;FMR1;ARX;GATA5;PHF6;FGD1;PHF8;MTM1;MECP2;MED12;EFNB1;SOX3;GRIP1;PORCN;ARVCF;OPHN1;TBX22;NSD1;AP1S2;GPC3;PHGDH;GPC4;INSL3;RBM10;OFD1;HES7;GK;NAA10;BDNF;GP1BB;IGF2;SMC1A;ANK1;MID1;POLA1;DKC1;SMS;UBA1;ROR2;BCOR;BRWD3;MBTPS2
Pectus excavatum (HP:0000767)	22/135	0.0000099069564635611469531790984621721918301773257553577423095703125	0.00112691629773008033209291678389263324788771569728851318359375	0.00184477790349865037981824666957209046813659369945526123046875	0.1931786418031286312047001274549984373152256011962890625	-2.2479718860019755	15.25984082644427	IGBP1;AMER1;NAA10;FMR1;COL11A2;IHH;UPF3B;SMC1A;FGD1;MED12;MECP2;RPS6KA3;EFNB1;ZDHHC9;SLC9A6;SMS;GPC3;ROR2;GPC4;ATP7A;SLC16A2;EMD
Mandibular prognathia (HP:0000303)	19/97	0.000002494208925715610554300384615888930284199886955320835113525390625	0.000851148795900452128336544088682558140135370194911956787109375	0.00056084596575221835022817540306050432263873517513275146484375	0.161467433387256942278753513164701871573925018310546875	-2.0932013470702766	14.79668039427619	CDKL5;MUSK;FMR1;LRP4;UPF3B;TAZ;MECP2;RPS6KA3;RAI1;SLC6A8;SLC9A6;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;GPC3;GPC4
Frontal bossing (HP:0002007)	29/213	0.00001606631028546104994112440900178029323797090910375118255615234375	0.0016869625799734101929960861099289104458875954151153564453125	0.004264970771176203497010437359904244658537209033966064453125	0.322825205731814446341587654387694783508777618408203125	-2.303960760255433	14.710387774954839	AMER1;EDA;FMR1;NPR2;ARX;LRP4;TCIRG1;PTHLH;HDAC6;EDA2R;MED12;EFNB1;RAI1;RPS6KA3;OPHN1;NSD1;IKBKG;OFD1;PDHA1;GK;UPF3B;DHCR24;TBX4;MID1;ERF;ROR2;CCDC22;MBTPS2;BRWD3
Delayed eruption of teeth (HP:0000684)	17/86	0.0000073272673268507823192137277945601425699351239018142223358154296875	0.00108216958086416082003566874192301838775165379047393798828125	0.00100256167335248630272104275462652367423288524150848388671875	0.161467433387256942278753513164701871573925018310546875	-2.1383771553280053	14.602522935745448	AMER1;EDA;NAA10;TCIRG1;SMC1A;EDA2R;FGD1;PTHLH;RPS6KA3;PORCN;LMNA;GNAS;IDS;IKBKG;BCOR;FAM20A;ROR2
