Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	122/1371	0.000001059881790964468791391909878452093352052543195895850658416748046875	0.0000360359808927919410249073040031220216405927203595638275146484375	0.0000000000000017549547150838280956302948278298963944409061266327398698194883763790130615234375	0.000000000000059668460312850155251430024146216477410990808305513155573862604796886444091796875	-1.155589421089865	11.822826872895705	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;NLGN3;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0002169_no_abnormal_phenotype_	122/1371	0.000001059881790964468791391909878452093352052543195895850658416748046875	0.0000360359808927919410249073040031220216405927203595638275146484375	0.0000000000000017549547150838280956302948278298963944409061266327398698194883763790130615234375	0.000000000000059668460312850155251430024146216477410990808305513155573862604796886444091796875	-1.0929875655744454	11.1823477492786	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;NLGN3;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0000001_mammalian_phenotype_	125/1459	0.000005241915314678910478509051007467434146747109480202198028564453125	0.000118816747132721964069941578134859128113021142780780792236328125	0.000000000000010199741079962413300556826322234918636119621777880173141284103621728718280792236328125	0.0000000000002311941311458146825466263379997081592038925268450810790454852394759654998779296875	-1.0457733908227387	9.45162481119324	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;SLC39A4;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;DRD2;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;NLGN3;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;CTNNA1;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0003121_genomic_imprinting_	8/46	0.00450272666212369991611819131094307522289454936981201171875	0.0765463532561029003087327282628393732011318206787109375	0.00133075162187505928630681939495161714148707687854766845703125	0.007540925857292002550125165072358868201263248920440673828125	-1.8044845630812887	4.637270528000919	MEG3;MAGEL2;CITED1;PLAGL1;GNAS;GPC3;PHLDA2;IGF2R
MP0002160_abnormal_reproductive_system_	77/1010	0.00801772384877516737511360389589754049666225910186767578125	0.07959869547557706093154905602204962633550167083740234375	0.0000004756821367156459091953533448171587139086113893426954746246337890625	0.0000053910642161106535669612589700694371686040540225803852081298828125	-1.360291481631942	3.442567971026803	DDR1;SPAG16;EDA;SYCP2;CITED1;SPO11;SUV39H1;FMR1;ATN1;FOXI1;YBX2;TAF7L;MECP2;SOX3;LIPE;BOLL;MAEL;TEKT2;IKBKG;PAPOLB;NOS1;INSL3;CHST8;LHCGR;FOXL2;ACSL4;NSUN7;OVOL1;ZFX;SMC1B;CTTN;DKC1;DNAJC6;ELF5;SCN8A;PIGA;RARA;ROR2;FKBP6;MAGEL2;DDX4;SHC1;NPR2;LHB;ARX;AGAP2;GATA5;XIAP;LRP4;PLA2G3;CENPB;PRDX4;LMNA;SOHLH2;GPC3;CTNNA1;ADAD1;MOV10L1;DRD2;E2F6;PDHA1;LIMK2;LIF;DKKL1;BMP8B;DHCR24;HPRT;TDRD6;EIF2S2;IGF2R;DAZL;ZGLP1;MAB21L1;RLIM;CTNNB1;SYCP3;SLC25A31
MP0002163_abnormal_gland_morphology_	85/1129	0.007557034189177107806612010421076774946413934230804443359375	0.07959869547557706093154905602204962633550167083740234375	0.00000017416975705722236540399692171499079762497785850428044795989990234375	0.00000236870869597822412714271077260885789428357384167611598968505859375	-1.213978420341703	3.0722850828796404	KLB;DDR1;SPAG16;EDA;CITED1;SYCP2;FOXE1;SPO11;FMR1;IHH;ATN1;PIK3CD;YBX2;TCIRG1;TAF7L;MECP2;SOX3;LIPE;NDST1;BOLL;MAEL;NOS1;PAPOLB;INSL3;ABCD1;HOXA5;RAG1;CHST8;LHCGR;FOXL2;ACSL4;BHLHA15;OVOL1;SYTL4;ZFX;SMC1B;MAPK8IP1;ELF5;RARA;HOXB3;ROR2;FKBP6;TSTA3;MAGEL2;DDX4;CNP;SHC1;NPR2;ARX;LHB;AGAP2;XIAP;LRP4;PTHLH;CENPB;EFNB1;PRDX4;LMNA;SOHLH2;IGF2BP1;CTNNA1;MOV10L1;DRD2;E2F6;NKX2-3;TCF7L2;PTPN1;LIMK2;TNK1;LIF;DKKL1;BMP8B;DHCR24;HPRT;TDRD6;EIF2S2;DAZL;LHX3;ZGLP1;MAB21L1;GNAS;CTNNB1;SYCP3;SLC25A31;PTF1A
MP0001919_abnormal_reproductive_system_	92/1240	0.0081939833577799915664829910610933438874781131744384765625	0.07959869547557706093154905602204962633550167083740234375	0.00000008931091542244178156778329318032927375270446646027266979217529296875	0.000001518285562181510339591875187459368845566132222302258014678955078125	-1.1062398435211132	2.7996248634966534	SPAG16;DDR1;OXTR;TRAF3IP2;SYCP2;SPO11;SUV39H1;FOXI1;ATN1;IRS4;YBX2;SAT1;CXCL14;TAF7L;SOX3;LIPE;RPS6KA3;BOLL;ZIC3;LAMP2;MAEL;TEKT2;NOS1;IKBKG;PAPOLB;INSL3;ATP7A;SLC12A6;ABCD1;PRKG1;CHST8;LHCGR;CASK;FOXL2;ACSL4;LSR;NSUN7;OVOL1;ZFX;SMC1B;DKC1;DNAJC6;PIGA;MAK;ELF5;RARA;ROR2;FKBP6;TSTA3;MAGEL2;DDX4;CNP;NPR2;LHB;AGAP2;ADCY3;GATA5;PLA2G3;XIAP;HOXD12;LPP;FUT1;CENPB;PRDX4;SOHLH2;LMNA;ADAD1;CTNNA1;MOV10L1;DRD2;TRPM6;GRIA3;PDHA1;BDNF;LIMK2;LIF;DKKL1;BMP8B;DHCR24;ATP2B2;UBE2A;TDRD6;EIF2S2;IGF2R;DAZL;ZGLP1;FES;MAB21L1;LCN2;CTNNB1;SYCP3;SLC25A31
MP0002133_abnormal_respiratory_system_	48/622	0.026151507468944602818883282679962576366961002349853515625	0.2222878134860291343688487586405244655907154083251953125	0.0000668320514544588711002004455252745174220763146877288818359375	0.00056807243736290043145675809910244424827396869659423828125	-1.2526367159107554	1.8836928962136512	MEG3;PKDCC;TRAF3IP2;CNP;CEBPE;IHH;LRP4;CSF2RB;LAMC2;AQP5;PTHLH;MTM1;MECP2;NDST1;LGALS3;TBX22;PLAGL1;LMNA;GPC3;TEKT2;SLIT3;IL12A;FFAR2;NOS1;ATP7A;SOX6;DRD2;HOXA5;RAG1;IL13RA1;FOXD3;MUSK;BDNF;WNT7B;CASK;CYBA;IGF2R;NELL1;RNF128;DKC1;P2RX2;CROCC;SCN8A;GNAS;PTPN6;ROR2;PTF1A;LAT
MP0001983_abnormal_olfactory_system_	5/33	0.03972510955683881961331138654713868163526058197021484375	0.300145272207226643246258390718139708042144775390625	0.0174309459664815473434185122414419311098754405975341796875	0.059265216286037258885954770448734052479267120361328125	-1.159874071709328	1.3958953165041454	NLGN3;MAGEL2;GNAL;GJB4;ADCY3
MP0001672_abnormal_embryogenesis/_devel_	86/1271	0.072029640701054054030549878007150255143642425537109375	0.489801556767167578509969416700187139213085174560546875	0.000009393505462949732780675478338583417325935442931950092315673828125	0.00009125119592579740705924618016098293082905001938343048095703125	-0.7685014641718859	0.5485217288196957	MESP2;DDR1;C330007P06RIK;OTUD5;CITED1;SUV39H1;ITGA2B;IHH;SCX;HCCS;ARHGAP6;MED12;AIFM1;ZIC3;HNF4A;PHGDH;SCN5A;ATP7A;PHLDA2;SLC39A4;CCDC160;OFD1;HES7;FOXD3;AMN;FOXH1;ESX1;ALG13;MID1;ZFX;DUSP9;POU5F1;HIC1;OVOL2;ZDHHC15;RBX1;ARC;CTTN;DKC1;ELF5;PIGA;RARA;HOXB3;ROR2;MEG3;UHRF1;SHC1;PLA2G3;LRP4;HOXD12;LTBP1;EFNB1;PORCN;NSD1;CTNNA1;GPC3;IGF2BP1;SLIT2;RBBP7;TRPM6;CDX4;PDHA1;USP9X;CDX1;WNT7B;HUWE1;IGF2;BMP8B;HPRT;ARID3B;TBX4;HOPX;IGF2R;KLF8;FGF16;KRT18;DLG3;TLX1;RLIM;SNAI1;PIR;CTNNB1;BCOR;PTF1A;BRWD3;FERMT2
