Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	121/1371	0.000001202126396165331230494956356313895895482346531935036182403564453125	0.0000408722974696212597192461479789216127755935303866863250732421875	0.0000000000000020848342290703467751125066515938601815894465861533912942604729323647916316986083984375	0.000000000000070884363788391791931547036596214856997498314494787763351268949918448925018310546875	-1.155589421089865	11.677298179633569	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0002169_no_abnormal_phenotype_	121/1371	0.000001202126396165331230494956356313895895482346531935036182403564453125	0.0000408722974696212597192461479789216127755935303866863250732421875	0.0000000000000020848342290703467751125066515938601815894465861533912942604729323647916316986083984375	0.000000000000070884363788391791931547036596214856997498314494787763351268949918448925018310546875	-1.0929875655744454	11.044702795745017	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0000001_mammalian_phenotype_	124/1459	0.000005790715850035683799168322039019329849907080642879009246826171875	0.0001312562259341421683732364922292390474467538297176361083984375	0.0000000000000117051708804563527643475324400523156646359602961471324533704319037497043609619140625	0.0000000000002653172066236773040816617682354747152231010109968423194004571996629238128662109375	-1.0457733908227387	9.347498231908256	OXTR;GALNT13;ACSM3;ARHGDIG;ATN1;CBLC;SCX;IRS3;DACH2;SAT1;HS6ST2;FRAT2;PEG12;CREB3L3;SOX6;HOXA5;SLC39A4;ATP11C;ACSL4;ZBTB33;MID1;FTSJ1;DKC1;PKP3;NBL1;MTMR1;PKDCC;SHC1;IGSF1;ARX;TWIST2;FOXO4;LIN7B;MTM1;CD79B;PDZD4;KIF3C;DRD2;NTSR1;RBM10;DRD5;ZRSR1;BDNF;MSN;HPRT;PARVB;SSH3;IGF2R;POLA1;LRCH2;FES;GNAS;SNAI1;TAB3;PLXNB1;RAB9;SH2D4A;SNX12;HMGB3;HCCS;TCIRG1;ARHGAP6;EDA2R;WDR44;TRO;MED12;ADAMTS5;SEPT6;MED14;NKRF;HNF4A;SCN5A;IKBKG;ATP7A;ABCD1;PRKG1;APOBEC2;TPI1;VBP1;CTPS2;IL17RC;POU5F1;KIF4;SMC1B;BACE1;ITPKC;CYP26C1;RARA;EVL;B4GALT6;PLEC;TAGLN;SEMA3B;XIAP;ADCY3;TXLNG;ACAA1B;LRRC10;CENPB;THBS4;HDAC6;CACNG6;ENOX2;TBX22;FAM120C;LMNA;CTNNA1;SPOCK1;HES3;TAF9B;E2F6;CDX4;BIK;GDF15;CDX1;USP9X;TBX4;CLCN5;RLIM;RBM41;CTNNB1;APBA3;TJP3;A830080D01RIK
MP0003121_genomic_imprinting_	8/46	0.00429571835794514446382752481667921529151499271392822265625	0.06495271009243859527959585875578341074287891387939453125	0.00125762722498829675014941908983701068791560828685760498046875	0.007126554274933681078219027682507658028043806552886962890625	-1.8044845630812887	4.9336336847712525	MEG3;MAGEL2;CITED1;PLAGL1;GNAS;GPC3;PHLDA2;IGF2R
MP0002160_abnormal_reproductive_system_	77/1010	0.00667431597108409692398200974139399477280676364898681640625	0.06495271009243859527959585875578341074287891387939453125	0.00000032989844464333531719535202129944817528439671150408685207366943359375	0.00000373884903929113348900153783460620360301618347875773906707763671875	-1.360291481631942	3.7191672415456507	DDR1;SPAG16;EDA;SYCP2;CITED1;SPO11;SUV39H1;FMR1;ATN1;FOXI1;YBX2;TAF7L;MECP2;SOX3;LIPE;BOLL;MAEL;TEKT2;IKBKG;PAPOLB;NOS1;INSL3;CHST8;LHCGR;FOXL2;ACSL4;NSUN7;OVOL1;ZFX;SMC1B;CTTN;DKC1;DNAJC6;ELF5;SCN8A;PIGA;RARA;ROR2;FKBP6;MAGEL2;DDX4;SHC1;NPR2;LHB;ARX;AGAP2;GATA5;XIAP;LRP4;PLA2G3;CENPB;PRDX4;LMNA;SOHLH2;GPC3;CTNNA1;ADAD1;MOV10L1;DRD2;E2F6;PDHA1;LIMK2;LIF;DKKL1;BMP8B;DHCR24;HPRT;TDRD6;EIF2S2;IGF2R;DAZL;ZGLP1;MAB21L1;RLIM;CTNNB1;SYCP3;SLC25A31
MP0002163_abnormal_gland_morphology_	85/1129	0.0062140958043695009027640452359264600090682506561279296875	0.06495271009243859527959585875578341074287891387939453125	0.000000116263815043963609243866399144129442078110514557920396327972412109375	0.000001581187884597905191595701435147702795802615582942962646484375	-1.213978420341703	3.319133313590676	KLB;DDR1;SPAG16;EDA;CITED1;SYCP2;FOXE1;SPO11;FMR1;IHH;ATN1;PIK3CD;YBX2;TCIRG1;TAF7L;MECP2;SOX3;LIPE;NDST1;BOLL;MAEL;NOS1;PAPOLB;INSL3;ABCD1;HOXA5;RAG1;CHST8;LHCGR;FOXL2;ACSL4;BHLHA15;OVOL1;SYTL4;ZFX;SMC1B;MAPK8IP1;ELF5;RARA;HOXB3;ROR2;FKBP6;TSTA3;MAGEL2;DDX4;CNP;SHC1;NPR2;ARX;LHB;AGAP2;XIAP;LRP4;PTHLH;CENPB;EFNB1;PRDX4;LMNA;SOHLH2;IGF2BP1;CTNNA1;MOV10L1;DRD2;E2F6;NKX2-3;TCF7L2;PTPN1;LIMK2;TNK1;LIF;DKKL1;BMP8B;DHCR24;HPRT;TDRD6;EIF2S2;DAZL;LHX3;ZGLP1;MAB21L1;GNAS;CTNNB1;SYCP3;SLC25A31;PTF1A
MP0001919_abnormal_reproductive_system_	92/1240	0.006686308391868679180947143692037570872344076633453369140625	0.06495271009243859527959585875578341074287891387939453125	0.000000057753910070920923823081295257753087213359322049655020236968994140625	0.000000981816471205655784401720824472459270282342913560569286346435546875	-1.1062398435211132	3.0245657220321593	SPAG16;DDR1;OXTR;TRAF3IP2;SYCP2;SPO11;SUV39H1;FOXI1;ATN1;IRS4;YBX2;SAT1;CXCL14;TAF7L;SOX3;LIPE;RPS6KA3;BOLL;ZIC3;LAMP2;MAEL;TEKT2;NOS1;IKBKG;PAPOLB;INSL3;ATP7A;SLC12A6;ABCD1;PRKG1;CHST8;LHCGR;CASK;FOXL2;ACSL4;LSR;NSUN7;OVOL1;ZFX;SMC1B;DKC1;DNAJC6;PIGA;MAK;ELF5;RARA;ROR2;FKBP6;TSTA3;MAGEL2;DDX4;CNP;NPR2;LHB;AGAP2;ADCY3;GATA5;PLA2G3;XIAP;HOXD12;LPP;FUT1;CENPB;PRDX4;SOHLH2;LMNA;ADAD1;CTNNA1;MOV10L1;DRD2;TRPM6;GRIA3;PDHA1;BDNF;LIMK2;LIF;DKKL1;BMP8B;DHCR24;ATP2B2;UBE2A;TDRD6;EIF2S2;IGF2R;DAZL;ZGLP1;FES;MAB21L1;LCN2;CTNNB1;SYCP3;SLC25A31
MP0002133_abnormal_respiratory_system_	48/622	0.023181523931081714218205291899721487425267696380615234375	0.1970429534141945604464041252867900766432285308837890625	0.000053550105438160847744384629454117430213955231010913848876953125	0.0004551758962243672261560600844632062944583594799041748046875	-1.2526367159107554	2.0346998265489766	MEG3;PKDCC;TRAF3IP2;CNP;CEBPE;IHH;LRP4;CSF2RB;LAMC2;AQP5;PTHLH;MTM1;MECP2;NDST1;LGALS3;TBX22;PLAGL1;LMNA;GPC3;TEKT2;SLIT3;IL12A;FFAR2;NOS1;ATP7A;SOX6;DRD2;HOXA5;RAG1;IL13RA1;FOXD3;MUSK;BDNF;WNT7B;CASK;CYBA;IGF2R;NELL1;RNF128;DKC1;P2RX2;CROCC;SCN8A;GNAS;PTPN6;ROR2;PTF1A;LAT
MP0001672_abnormal_embryogenesis/_devel_	86/1271	0.062510270409594947960130184583249501883983612060546875	0.472299820872495168533333753657643683254718780517578125	0.000006563063816782106104350848208017765728072845377027988433837890625	0.000063755477077311888838874465168515826007933355867862701416015625	-0.833017732109774	0.6248809889491846	MESP2;DDR1;C330007P06RIK;OTUD5;CITED1;SUV39H1;ITGA2B;IHH;SCX;HCCS;ARHGAP6;MED12;AIFM1;ZIC3;HNF4A;PHGDH;SCN5A;ATP7A;PHLDA2;SLC39A4;CCDC160;OFD1;HES7;FOXD3;AMN;FOXH1;ESX1;ALG13;MID1;ZFX;DUSP9;POU5F1;HIC1;OVOL2;ZDHHC15;RBX1;ARC;CTTN;DKC1;ELF5;PIGA;RARA;HOXB3;ROR2;MEG3;UHRF1;SHC1;PLA2G3;LRP4;HOXD12;LTBP1;EFNB1;PORCN;NSD1;CTNNA1;GPC3;IGF2BP1;SLIT2;RBBP7;TRPM6;CDX4;PDHA1;USP9X;CDX1;WNT7B;HUWE1;IGF2;BMP8B;HPRT;ARID3B;TBX4;HOPX;IGF2R;KLF8;FGF16;KRT18;DLG3;TLX1;RLIM;SNAI1;PIR;CTNNB1;BCOR;PTF1A;BRWD3;FERMT2
MP0001983_abnormal_olfactory_system_	4/33	0.118731575030359248756894885445944964885711669921875	0.80737471020644291375134571353555656969547271728515625	0.05877311429305299983472110625370987690985202789306640625	0.1289216700621807765170245829722261987626552581787109375	-1.042996615775775	0.22316726737215217	MAGEL2;GNAL;GJB4;ADCY3
