Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	4/37	0.0002224120787474490566759666165808084770105779170989990234375	0.279794395064290934982409453368745744228363037109375	0.000255343570739288293520996564467395728570409119129180908203125	0.32122221199002465308325326986960135400295257568359375	-2.4883661762186984	3.169432617972884	EDA;CITED1;ATP6AP2;SHROOM2
regulation of cofactor metabolic process (GO:0051193)	2/14	0.005566339437344888611824966773156120325438678264617919921875	0.67713760890871010911240546192857436835765838623046875	0.0063800646734828159178931628048303537070751190185546875	0.6364364514158058483417335082776844501495361328125	-2.797931705390598	1.0908597507359825	PDHA1;PDK3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.005566339437344888611824966773156120325438678264617919921875	0.67713760890871010911240546192857436835765838623046875	0.0063800646734828159178931628048303537070751190185546875	0.6364364514158058483417335082776844501495361328125	-2.7956870208044755	1.0899845913947517	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.0047965529829402907269209066498660831712186336517333984375	0.67713760890871010911240546192857436835765838623046875	0.005610195363513141575406706351714092306792736053466796875	0.6364364514158058483417335082776844501495361328125	-2.7798503363114317	1.0838101727464045	PDHA1;PDK3
regulation of sulfur metabolic process (GO:0042762)	2/17	0.00818760969917058968603473800840220064856112003326416015625	0.67713760890871010911240546192857436835765838623046875	0.0089580391661517287660299047047374187968671321868896484375	0.6364364514158058483417335082776844501495361328125	-2.733631884061004	1.0657904872751087	PDHA1;PDK3
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.004080246693428420633187325705648618168197572231292724609375	0.67713760890871010911240546192857436835765838623046875	0.00488625566472886997682056886560530983842909336090087890625	0.6364364514158058483417335082776844501495361328125	-2.733520024428693	1.0657468753562096	PDHA1;PDK3
negative regulation of microtubule depolymerization (GO:0007026)	2/23	0.01475567816440150059609237587210373021662235260009765625	0.67713760890871010911240546192857436835765838623046875	0.0152587271911639558996665044787732767872512340545654296875	0.6364364514158058483417335082776844501495361328125	-2.6769992847368584	1.0437105261869792	MID1IP1;FGF13
histone H2A ubiquitination (GO:0033522)	2/15	0.0063887035826795945947509380857809446752071380615234375	0.67713760890871010911240546192857436835765838623046875	0.007195138401074358848463763393965564318932592868804931640625	0.6364364514158058483417335082776844501495361328125	-2.5832243122526592	1.0071494682768447	BCOR;UBE2A
regulation of microtubule depolymerization (GO:0031114)	2/25	0.0173132577153136575642822236886786413379013538360595703125	0.67713760890871010911240546192857436835765838623046875	0.0176783237112466962148715765579254366457462310791015625	0.6364364514158058483417335082776844501495361328125	-2.5582606355066093	0.9974166109164653	MID1IP1;FGF13
cerebral cortex cell migration (GO:0021795)	2/29	0.022942437018325156916631613057688809931278228759765625	0.67713760890871010911240546192857436835765838623046875	0.022965509458708843748553363184328190982341766357421875	0.6364364514158058483417335082776844501495361328125	-2.535011986803255	0.9883524099995422	ARX;FGF13
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	2/32	0.0275900926831220937029964801467940560542047023773193359375	0.67713760890871010911240546192857436835765838623046875	0.027303375448171796069374295257148332893848419189453125	0.6364364514158058483417335082776844501495361328125	-2.4862642641889936	0.9693466106665966	MID1IP1;FGF13
negative regulation of cell-matrix adhesion (GO:0001953)	2/25	0.0173132577153136575642822236886786413379013538360595703125	0.67713760890871010911240546192857436835765838623046875	0.0176783237112466962148715765579254366457462310791015625	0.6364364514158058483417335082776844501495361328125	-2.4774884817629697	0.96592510191021	CASK;ARHGAP6
negative regulation of organelle organization (GO:0010639)	6/237	0.01287195295917843186617179895847584703005850315093994140625	0.67713760890871010911240546192857436835765838623046875	0.01047233950337994427826071586196121643297374248504638671875	0.6364364514158058483417335082776844501495361328125	-2.3946680607822852	0.9336350129088324	MID1IP1;SHROOM2;BCOR;SLC25A5;FGF13;ARHGAP6
peptide hormone processing (GO:0016486)	2/33	0.0292164727445676196404544811002779169939458370208740234375	0.67713760890871010911240546192857436835765838623046875	0.0288170688098245038333278245090696145780384540557861328125	0.6364364514158058483417335082776844501495361328125	-2.3662075997190963	0.9225388266075706	PCSK1N;ATP6AP2
histone ubiquitination (GO:0016574)	2/32	0.0275900926831220937029964801467940560542047023773193359375	0.67713760890871010911240546192857436835765838623046875	0.027303375448171796069374295257148332893848419189453125	0.6364364514158058483417335082776844501495361328125	-2.341174584096447	0.9127789353530121	BCOR;UBE2A
regulation of Wnt signaling pathway (GO:0030111)	6/214	0.0080514888177600323071470000968474778346717357635498046875	0.67713760890871010911240546192857436835765838623046875	0.00658272538548766543431423059473672765307128429412841796875	0.6364364514158058483417335082776844501495361328125	-2.3411729441275297	0.9127782959606779	AMER1;MED12;EDA;CITED1;ATP6AP2;GPC3
glycolytic process (GO:0006096)	3/44	0.005416749703749327259083568009145892574451863765716552734375	0.67713760890871010911240546192857436835765838623046875	0.005399165956265081049714193994759625638835132122039794921875	0.6364364514158058483417335082776844501495361328125	-2.3046331685199615	0.8985321403327813	TPI1;PDHA1;PGK1
organ morphogenesis (GO:0009887)	8/405	0.0175885252831984688348665457624520058743655681610107421875	0.67713760890871010911240546192857436835765838623046875	0.013255543596606515766023193236833321861922740936279296875	0.6364364514158058483417335082776844501495361328125	-2.3039876327985356	0.8982804583725643	FGF16;SOX3;EDA;FHL1;SHROOM2;PRKX;BCOR;FGD1
negative regulation of protein depolymerization (GO:1901880)	3/52	0.00862337283372890082977502146377446479164063930511474609375	0.67713760890871010911240546192857436835765838623046875	0.00836214021179464313260343288902731728740036487579345703125	0.6364364514158058483417335082776844501495361328125	-2.3012291781036507	0.8972049899488422	MID1IP1;SHROOM2;FGF13
tricarboxylic acid cycle (GO:0006099)	2/29	0.022942437018325156916631613057688809931278228759765625	0.67713760890871010911240546192857436835765838623046875	0.022965509458708843748553363184328190982341766357421875	0.6364364514158058483417335082776844501495361328125	-2.299209019127702	0.8964173688240289	PDHA1;IDH3G
negative regulation of cytoskeleton organization (GO:0051494)	4/101	0.00922036702997910094514733003734363592229783535003662109375	0.67713760890871010911240546192857436835765838623046875	0.008324925828633165936221161018693237565457820892333984375	0.6364364514158058483417335082776844501495361328125	-2.2973193984173053	0.8956806420579119	MID1IP1;SHROOM2;FGF13;ARHGAP6
negative regulation of protein complex disassembly (GO:0043242)	3/56	0.01056537848719883536385832911719262483529746532440185546875	0.67713760890871010911240546192857436835765838623046875	0.01013848837158570596883588876835347036831080913543701171875	0.6364364514158058483417335082776844501495361328125	-2.294010052638488	0.8943903917975411	MID1IP1;SHROOM2;FGF13
positive regulation of Wnt signaling pathway (GO:0030177)	4/86	0.005263285823760686758798765794153950992040336132049560546875	0.67713760890871010911240546192857436835765838623046875	0.004850866034826911872557264615579697419889271259307861328125	0.6364364514158058483417335082776844501495361328125	-2.262031756454482	0.8819226692519773	AMER1;EDA;ATP6AP2;GPC3
brain development (GO:0007420)	5/187	0.01823933558249564435005396489941631443798542022705078125	0.67713760890871010911240546192857436835765838623046875	0.01543314568149401454222324758802642463706433773040771484375	0.6364364514158058483417335082776844501495361328125	-2.2459102639919895	0.8756372094549264	CITED1;SHROOM2;SMARCA1;SHROOM4;AFF2
regulation of cellular ketone metabolic process (GO:0010565)	4/178	0.056980109772686915459161127728293649852275848388671875	0.67713760890871010911240546192857436835765838623046875	0.04970551198834376183111061209274339489638805389404296875	0.6364364514158058483417335082776844501495361328125	-2.2458892524127627	0.8756290174443659	PDHA1;MID1IP1;PDK3;PSMA8
telencephalon cell migration (GO:0022029)	2/40	0.041609075214892828065149643634867970831692218780517578125	0.67713760890871010911240546192857436835765838623046875	0.040302103014475509912273309964803047478199005126953125	0.6364364514158058483417335082776844501495361328125	-2.241899702691982	0.8740735687514708	ARX;FGF13
modification-dependent protein catabolic process (GO:0019941)	6/364	0.07615750227815254458363369849394075572490692138671875	0.67713760890871010911240546192857436835765838623046875	0.062397608547513687404784121781631256453692913055419921875	0.6364364514158058483417335082776844501495361328125	-2.2408559607766447	0.873666633856168	USP35;USP27X;UBA1;TBL1X;UBE2A;PSMA8
regulation of protein depolymerization (GO:1901879)	3/67	0.0171208889162516204873742964309712988324463367462158203125	0.67713760890871010911240546192857436835765838623046875	0.0160808867053299046900871616117001394741237163543701171875	0.6364364514158058483417335082776844501495361328125	-2.2296500668104624	0.869297671356057	MID1IP1;SHROOM2;FGF13
Wnt signaling pathway (GO:0016055)	5/234	0.042024230131915786545793167761075892485678195953369140625	0.67713760890871010911240546192857436835765838623046875	0.035373845766107574195569185349086183123290538787841796875	0.6364364514158058483417335082776844501495361328125	-2.2288684638413367	0.8689929393933602	MED12;AMER1;PORCN;ZBTB33;TBL1X
organic acid transport (GO:0015849)	5/226	0.037083316127425151875751652141843806020915508270263671875	0.67713760890871010911240546192857436835765838623046875	0.0312196792138170718666767555760088725946843624114990234375	0.6364364514158058483417335082776844501495361328125	-2.2284244379744886	0.8688198222491865	SLC6A8;XK;SLC16A2;ABCD1;SLC7A3
cognition (GO:0050890)	5/227	0.037680275211778795074746284399225260131061077117919921875	0.67713760890871010911240546192857436835765838623046875	0.031721209553269687220211636713429470546543598175048828125	0.6364364514158058483417335082776844501495361328125	-2.227538917098219	0.8684745746934661	BHLHB9;PTCHD1;FGF13;SHROOM4;AFF2
regulation of protein complex disassembly (GO:0043244)	3/80	0.027223286380078683122096805391265661455690860748291015625	0.67713760890871010911240546192857436835765838623046875	0.0251581465827073642860245428209964302368462085723876953125	0.6364364514158058483417335082776844501495361328125	-2.2260826698599328	0.8679068119077246	MID1IP1;SHROOM2;FGF13
carboxylic acid transport (GO:0046942)	5/224	0.03590700506049947227094065738128847442567348480224609375	0.67713760890871010911240546192857436835765838623046875	0.0302317057687277630784183912737717037089169025421142578125	0.6364364514158058483417335082776844501495361328125	-2.2226134841200254	0.8665542431212166	SLC6A8;XK;SLC16A2;ABCD1;SLC7A3
modification-dependent macromolecule catabolic process (GO:0043632)	6/368	0.079308081319056922264820741474977694451808929443359375	0.67713760890871010911240546192857436835765838623046875	0.06502646806139107671373977836992708034813404083251953125	0.6364364514158058483417335082776844501495361328125	-2.2211921615987182	0.8660000968108112	USP35;USP27X;UBA1;UBE2A;TBL1X;PSMA8
regulation of fatty acid metabolic process (GO:0019217)	3/72	0.020702444034656188043275193422232405282557010650634765625	0.67713760890871010911240546192857436835765838623046875	0.0193064191821360163492382611138964421115815639495849609375	0.6364364514158058483417335082776844501495361328125	-2.21746978744135	0.8645488147306841	PDHA1;MID1IP1;PDK3
negative regulation of Wnt signaling pathway (GO:0030178)	4/126	0.0193722494362268231327117717910368810407817363739013671875	0.67713760890871010911240546192857436835765838623046875	0.0171441982635519678257463027648554998449981212615966796875	0.6364364514158058483417335082776844501495361328125	-2.217128788828367	0.8644158659309534	AMER1;MED12;CITED1;GPC3
organic anion transport (GO:0015711)	6/328	0.051095750382846805148773228211211971938610076904296875	0.67713760890871010911240546192857436835765838623046875	0.041628621321470930805030974397595855407416820526123046875	0.6364364514158058483417335082776844501495361328125	-2.213706168810205	0.863081452223613	SLC6A8;XK;ATP11C;SLC16A2;ABCD1;SLC7A3
protein polymerization (GO:0051258)	3/64	0.01515359902871836993154541772810262045823037624359130859375	0.67713760890871010911240546192857436835765838623046875	0.0143039869498890713506167315927086747251451015472412109375	0.6364364514158058483417335082776844501495361328125	-2.2020848501237915	0.8585505236162205	MID1IP1;FGF13;ARHGAP6
carbohydrate catabolic process (GO:0016052)	4/120	0.0164969736251879446620183244931467925198376178741455078125	0.67713760890871010911240546192857436835765838623046875	0.0146529327018399165016848684217620757408440113067626953125	0.6364364514158058483417335082776844501495361328125	-2.1966824640659213	0.8564442372129056	TPI1;PDHA1;GK;PGK1
single-organism carbohydrate catabolic process (GO:0044724)	4/113	0.01350090258121974286231736783747692243196070194244384765625	0.67713760890871010911240546192857436835765838623046875	0.0120528235305150353828818055035299039445817470550537109375	0.6364364514158058483417335082776844501495361328125	-2.1944856400273745	0.8555877377785259	TPI1;PDHA1;GK;PGK1
regulation of organ morphogenesis (GO:2000027)	4/150	0.0338504845590574532376848537751357071101665496826171875	0.67713760890871010911240546192857436835765838623046875	0.0296684366301148659539332896883934154175221920013427734375	0.6364364514158058483417335082776844501495361328125	-2.1910740545963945	0.8542576262444656	MED12;CITED1;MAGED1;BCOR
