Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	26/111	0.000000000000000000000000000000451119316420785626351173603158740282812180532406051789477323547585225911806756167628240650202542383340187370777130126953125	0.00000000000000000000000000029818986815413931959969694645867805613112958649104341102335813626515972538620624643357359673245809972286224365234375	0.00000000000000000000000222610515165479517421461218160537966863405954756771447457547956328381688617668032748042605817317962646484375	0.000000000000000000001471455505243819528238596079112995249395785923267013594706136003775753806621651165187358856201171875	-2.0928581235265966	132.64497610373462	EDA;IGSF1;FHL1;ARX;FGD1;RPGR;AFF2;MED12;OPHN1;PGK1;GPC3;ABCD1;TRAPPC2;PDHA1;GK;ATP6AP2;ATP2B3;UBE2A;FGF16;CLCN5;SLC6A8;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	15/62	0.0000000000000000014678977323381491330148239468405860739517172609968514475353718040651074261404573917388916015625	0.0000000000000004851402005377582887502888060888990753994392461471985011911556284758262336254119873046875	0.000000000000068043770817296585439859816888734428253870771541311768260129611007869243621826171875	0.00000000002248846625511652210002973193323188953740565665384565363638103008270263671875	-1.9176835215642711	67.62153612302016	AMER1;PDHA1;EDA;GK;FMR1;FHL1;CASK;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;BCOR;SLC16A2
Cryptorchidism (HP:0000028)	15/379	0.0000004822254402018888999064305696251597765922269900329411029815673828125	0.000106250338657816193930170933779066899660392664372920989990234375	0.0003783420042450999216769591537712358331191353499889373779296875	0.02778711831177900493106136536880512721836566925048828125	-2.5578470886468234	23.403565640705942	GK;FMR1;ARX;FGD1;MED12;SOX3;PORCN;OPHN1;SMS;AP1S2;GPC3;UBA1;BCOR;BRWD3;MBTPS2
Frontal bossing (HP:0002007)	11/213	0.00000135386917541060764958089392140383466767161735333502292633056640625	0.00014915125415773528559128247028553460040711797773838043212890625	0.000331123628999005557675683331098070993903093039989471435546875	0.0273590898460428326444127122840654919855296611785888671875	-2.3739849977099055	20.916112662992834	AMER1;MED12;RPS6KA3;PDHA1;EDA;OPHN1;GK;FMR1;ARX;MBTPS2;BRWD3
Long face (HP:0000276)	8/95	0.000001042063746581561742166207283621925938632557517848908901214599609375	0.00014915125415773528559128247028553460040711797773838043212890625	0.000110309118360172971257983365322985491729923523962497711181640625	0.0209003348084606417611741591144891572184860706329345703125	-2.098168874023096	18.48602101419623	MED12;SLC6A8;OPHN1;FMR1;AP1S2;NHS;BCOR;BRWD3
Mandibular prognathia (HP:0000303)	8/97	0.00000122213999580315626214952785810741175964722060598433017730712890625	0.00014915125415773528559128247028553460040711797773838043212890625	0.0001264770638938616663556058217210420480114407837390899658203125	0.0209003348084606417611741591144891572184860706329345703125	-2.083763541771646	18.359102119338075	RPS6KA3;SLC6A8;OPHN1;FMR1;SMS;AP1S2;NHS;GPC3
Macrotia (HP:0000400)	8/105	0.00000223226770476662363259200139165017162667936645448207855224609375	0.0002107898504072483274705829270345702752820216119289398193359375	0.0002121204539397201181694097016361411078833043575286865234375	0.0233686033423591670021846056215508724562823772430419921875	-2.1532822719490796	18.226778394035122	OPHN1;FMR1;NHS;CASK;UBA1;SLC16A2;MBTPS2;BRWD3
Camptodactyly of finger (HP:0100490)	8/121	0.000006457132495465622701986095621773387165376334451138973236083984375	0.0004268164579502776892309945377945723521406762301921844482421875	0.00052750355347700068897598413286686991341412067413330078125	0.02905665407069145389495901099508046172559261322021484375	-2.2317692870323267	17.31664712089969	MED12;PORCN;GPC3;UBA1;BCOR;SLC16A2;MBTPS2;FGD1
Inguinal hernia (HP:0000023)	7/82	0.000004587937319266301337762799239516908755831536836922168731689453125	0.0003369585075594472658479239246531733442679978907108306884765625	0.0002881281034927386471879151574881916531012393534183502197265625	0.0272075252012428936421173375492799095809459686279296875	-2.0297259756031343	16.228777063093055	MED12;RPS6KA3;PORCN;GPC3;UBA1;FGD1;MBTPS2
Pectus excavatum (HP:0000767)	8/135	0.000014445834666817110664084784776850511889279005117714405059814453125	0.000832039526761863532967888890112817534827627241611480712890625	0.0010497830253574347812717260097770122229121625423431396484375	0.053002968004740781682304628930069156922399997711181640625	-2.2576987333948346	16.010765446226827	MED12;AMER1;RPS6KA3;FMR1;SMS;GPC3;SLC16A2;FGD1
Narrow face (HP:0000275)	6/53	0.000004313526897130719127393914946733133319867192767560482025146484375	0.0003369585075594472658479239246531733442679978907108306884765625	0.00019975344300370232179971108354976649934542365372180938720703125	0.0233686033423591670021846056215508724562823772430419921875	-1.9093511535935703	15.266314063710968	MED12;SLC6A8;FMR1;NHS;BCOR;SLC16A2
Autism (HP:0000717)	7/109	0.00002995614442098706357527938826113000914119766093790531158447265625	0.00141435796159088936381487133786549748037941753864288330078125	0.00143678700722946000277457923033352926722727715969085693359375	0.0629630142267406933687112768893712200224399566650390625	-2.234315323006397	14.65952065948811	MED12;SOX3;SLC6A8;OPHN1;FMR1;NHS;FTSJ1
Open mouth (HP:0000194)	5/39	0.0000151051048731351921883096778298494200498680584132671356201171875	0.000832039526761863532967888890112817534827627241611480712890625	0.0004224115110423652501292490768491916242055594921112060546875	0.0279214008799003425564944080861096153967082500457763671875	-1.9306865667124902	13.691715955092702	MED12;RPS6KA3;SLC6A8;UBA1;SLC16A2
Prominent supraorbital ridges (HP:0000336)	4/22	0.000027077337754667535102588715734128754775156266987323760986328125	0.00137677848121809547933536155284173219115473330020904541015625	0.000515893507801289639969066769253913662396371364593505859375	0.02905665407069145389495901099508046172559261322021484375	-2.033024839197609	13.393585821470332	EDA;OPHN1;ARX;UBE2A
Attention deficit hyperactivity disorder (HP:0007018)	6/88	0.0000806366388999003023442535553755305954837240278720855712890625	0.0029611565729352278507346962754809283069334924221038818359375	0.0024323829843454825884452308315530899562872946262359619140625	0.08083492083867842292743688403788837604224681854248046875	-2.121450189026374	12.351455002876158	MED12;SLC6A8;OPHN1;FMR1;ABCD1;FGD1
Neonatal hypotonia (HP:0001319)	6/75	0.0000326698746513586456285960224477094016037881374359130859375	0.0014396524763032043751909139217559641110710799694061279296875	0.00112260446606107550278352835704254175652749836444854736328125	0.053002968004740781682304628930069156922399997711181640625	-1.8581041568561782	12.158232394654764	MED12;SLC6A8;ARX;CASK;ATP2B3;SLC16A2
Delayed eruption of teeth (HP:0000684)	6/86	0.00007089381527790146399377324559765156664070673286914825439453125	0.002756518346981933105521722637831771862693130970001220703125	0.002178796198279397446084804101928966701962053775787353515625	0.08083492083867842292743688403788837604224681854248046875	-2.042189782445622	12.036231313693543	AMER1;RPS6KA3;PORCN;EDA;BCOR;FGD1
Intestinal malrotation (HP:0002566)	5/53	0.00006871461545704981893796514658134810815681703388690948486328125	0.002756518346981933105521722637831771862693130970001220703125	0.001524066910178292245936493287672419683076441287994384765625	0.0629630142267406933687112768893712200224399566650390625	-1.8179099855045222	10.714373992608266	MED12;AMER1;PORCN;GPC3;BCOR
Long philtrum (HP:0000343)	7/152	0.00024319769155473831595722089549127531427075155079364776611328125	0.0068731638463226697732810777097256504930555820465087890625	0.00844283873401865080088324333473792648874223232269287109375	0.150809956688955082437786359150777570903301239013671875	-2.124015944091393	10.57787711241054	MED12;PDHA1;ARX;CASK;UBA1;BCOR;FGD1
Prominent nasal bridge (HP:0000426)	6/100	0.000163771321519372054127672289070005717803724110126495361328125	0.005412642176215246882231557634668206446804106235504150390625	0.0044514207083273527043587591833784244954586029052734375	0.12259954534184917818162574576490442268550395965576171875	-2.014587044538059	10.514165882564223	MED12;ARX;NHS;CASK;BCOR;AFF2
Pes planus (HP:0001763)	6/105	0.0002138799835375883849099276634575517164194025099277496337890625	0.006426121323561178634575785650895340950228273868560791015625	0.00558465702670396003937103301950628519989550113677978515625	0.135523895475284372746926919717225246131420135498046875	-1.9928912907419218	10.058887890367945	RPS6KA3;FMR1;UBE2A;SLC16A2;BRWD3;FGD1
Cerebral cortical atrophy (HP:0002120)	7/163	0.0003718655925571829321853167815703500309609808027744293212890625	0.009103820617788811742077115241045248694717884063720703125	0.01201007917169309713312230769588495604693889617919921875	0.1651433123878180697641226970517891459167003631591796875	-2.1142777978443585	9.935120565992756	RPS6KA3;OPHN1;FMR1;ARX;AP1S2;CASK;MBTPS2
Wide nasal bridge (HP:0000431)	8/217	0.0003992859082601212298256621036074420771910808980464935302734375	0.00942599947714071843829497510114379110746085643768310546875	0.0167497957423345146532600580258076661266386508941650390625	0.1727643438941963427435410949328797869384288787841796875	-2.1094090654791664	9.838881911416935	MED12;AMER1;PDHA1;ARX;GPC3;CASK;FGD1;RPGR
Prominent forehead (HP:0011220)	5/63	0.00015769504714371459174436507222338832434616051614284515380859375	0.005412642176215246882231557634668206446804106235504150390625	0.003100947471422075586711120109839612268842756748199462890625	0.0931693763004541875005770634743385016918182373046875	-1.7621708200751758	9.19680108432992	MED12;OPHN1;AP1S2;CASK;BRWD3
Intellectual disability, mild (HP:0001256)	5/66	0.00019662872157378839311527018995917615029611624777317047119140625	0.0061891230933463874108735325307861785404384136199951171875	0.0037456651119416174526566276625771934050135314464569091796875	0.107647158217104743638259378712973557412624359130859375	-1.7223652631077262	8.758161684585696	AMER1;SOX3;BCOR;FTSJ1;BRWD3
