Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	45/111	0.000000000000000000000000000000000000000000018271708368866886578562322162798770591011316883548798717519393821035735215400139669867771111455861479153568138994283287512843116928706876933574676513671875	0.000000000000000000000000000000000000000018472697160924421332754857137662427241604567142935907312735659290191920153350436193968623614406371989519507759158756243778043426573276519775390625	0.00000000000000000000000000000015878031978149259153446287668614694436426142707479694577562407299149475663789654188325084493982330968719907104969024658203125	0.000000000000000000000000000160526903299089015055363035991930642651238217981850869416343198571309194779173357137125321969506330788135528564453125	-2.0928581235265966	196.29393531653562	EDA;ABCB7;IGSF1;FHL1;ARX;PHF6;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;GPC3;IDS;IKBKG;ATP7A;PAK3;ABCD1;EMD;OFD1;TRAPPC2;IGBP1;PDHA1;GK;IQSEC2;NAA10;ATP6AP2;ATP2B3;ALG13;PHKA1;UBE2A;MID1;SYN1;HCFC1;FGF16;ARHGEF9;CLCN5;SLC6A8;PIGA;SMS;UBA1;MAMLD1;MBTPS2;BRWD3
X-linked dominant inheritance (HP:0001423)	26/62	0.000000000000000000000000013777623171856979588886917616489269141933209113541332167793657582463453907528627695455725188367068767547607421875	0.000000000000000000000006964588513373703754719258215111785120980975429155916664783997072074583911671652458608150482177734375	0.0000000000000000035007439839338017674220357257337786046430145865497596258109069822239689528942108154296875	0.000000000000001769626083878536836572669813632508193100949787403275426100890399538911879062652587890625	-1.9176835215642711	102.25319369614397	AMER1;EDA;FMR1;FHL1;HCCS;WDR45;HDAC6;EFNB1;RPS6KA3;PORCN;LAMP2;NHS;PLS3;PDK3;IKBKG;SLC16A2;OFD1;SLC35A2;CDKL5;PDHA1;GK;NDUFA1;CASK;SYN1;SLC9A6;BCOR
Pectus excavatum (HP:0000767)	16/135	0.00000009428707483252068505141948139003371665012309676967561244964599609375	0.000031774744218559470491751450804684964168700389564037322998046875	0.00006853382830092127615644048699294899051892571151256561279296875	0.0173219251030578523520286893244701786898076534271240234375	-2.335513512537707	24.188536942833792	IGBP1;AMER1;NAA10;FMR1;FGD1;MED12;RPS6KA3;EFNB1;ZDHHC9;SLC9A6;SMS;GPC3;GPC4;ATP7A;SLC16A2;EMD
Frontal bossing (HP:0002007)	19/213	0.0000005666226957118172228935223770640572382717436994425952434539794921875	0.000109781434477999474534117008150957417456083931028842926025390625	0.000452285988003037534542494224609754382981918752193450927734375	0.0362952528552729913879915102370432578027248382568359375	-2.3839884602034016	21.734868392808625	OFD1;CDKN1C;AMER1;PDHA1;EDA;GK;FMR1;ARX;MID1;PTHLH;HDAC6;EDA2R;MED12;EFNB1;RPS6KA3;OPHN1;IKBKG;MBTPS2;BRWD3
Cryptorchidism (HP:0000028)	25/379	0.00000288345602990524661797945397967435354757981258444488048553466796875	0.0002624990615727309313694182169030000295606441795825958251953125	0.0035786893295517590608822988684778465540148317813873291015625	0.157306735312036038987315578197012655436992645263671875	-2.4724314011504758	20.385847277790962	CDKN1C;FMR1;ARX;PHF6;FGD1;PHF8;MED12;EFNB1;SOX3;PORCN;OPHN1;AP1S2;GPC3;GPC4;RBM10;OFD1;GK;NAA10;ANK1;MID1;SMS;UBA1;BCOR;BRWD3;MBTPS2
Delayed eruption of teeth (HP:0000684)	12/86	0.000000651521866338275888034018389072254962002261891029775142669677734375	0.000109781434477999474534117008150957417456083931028842926025390625	0.00015085085585708136643977306246000580358668230473995208740234375	0.030502043054301854196896925941473455168306827545166015625	-2.1479958926162435	19.583319640030584	AMER1;RPS6KA3;PORCN;EDA;NAA10;GNAS;IDS;IKBKG;BCOR;EDA2R;FGD1;PTHLH
Tapered finger (HP:0001182)	9/42	0.00000039263224579130684180238906010040889071888159378431737422943115234375	0.000099237800123752801552401425766447573550976812839508056640625	0.0000608203107594798729669018089172283225707360543310642242431640625	0.0173219251030578523520286893244701786898076534271240234375	-2.022298438712237	18.641529953237825	OFD1;RPS6KA3;CDKL5;ARX;HUWE1;AMMECR1;KCNE1L;ACSL4;PHF6
Coarse facial features (HP:0000280)	14/129	0.000001753667558628271748186818086712168707208547857590019702911376953125	0.0002439855215373883112750519330802490003407001495361328125	0.0004667045372092471617296582930833892532973550260066986083984375	0.0362952528552729913879915102370432578027248382568359375	-2.2367197012773903	18.605932903780577	OFD1;SLC35A2;CDKN1C;FMR1;ARX;PHF6;MED12;RPS6KA3;PIGA;GNAS;AP1S2;GPC3;IDS;GPC4
Camptodactyly of finger (HP:0100490)	13/121	0.000004588270626576626716464080146806736593134701251983642578125	0.0003313386859620692423931964665229088495834730565547943115234375	0.000821673726775928154296424477109894723980687558650970458984375	0.051873258230838638349613489708644920028746128082275390625	-2.1928673142997277	17.570063154387604	NAA10;FGD1;MED12;EFNB1;PORCN;ZDHHC9;GPC3;UBA1;IKBKG;BCOR;GPC4;SLC16A2;MBTPS2
Long face (HP:0000276)	12/95	0.0000019306470546974346472472901237171782895529759116470813751220703125	0.0002439855215373883112750519330802490003407001495361328125	0.0003503103935048605850621772361819239449687302112579345703125	0.03541638078334140293801368670756346546113491058349609375	-2.060228464511303	17.137807904702818	OFD1;MED12;SLC6A8;OPHN1;SLC9A6;FMR1;AP1S2;NHS;BCOR;ATP7A;BRWD3;PHF8
