Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003121_genomic_imprinting_	9/45	0.00000073381627302043733894931949734985465738645871169865131378173828125	0.00012805093964206632644632632977987896083504892885684967041015625	0.00000031452250345906651305660762206473091140424003242515027523040771484375	0.00002744208842680355428327552969047786746159545145928859710693359375	-2.15841945729309	19.346091465148046	MEG3;CDKN1C;CITED1;PLAGL1;GNAS;GRB10;GPC3;NESPAS;IGF2R
MP0003123_paternal_imprinting_	6/14	0.0000003774811477326763998097099161999068428485770709812641143798828125	0.00012805093964206632644632632977987896083504892885684967041015625	0.000000789952507027015313128084396387951215956491068936884403228759765625	0.0000551386849904856720327138430715052663799724541604518890380859375	-1.9871361469483468	17.81086503954009	CDKN1C;MEG3;CITED1;GRB10;GNAS;GPC3
MP0003122_maternal_imprinting_	6/24	0.00001390098142556610963968370675569730110510136000812053680419921875	0.00097028850350451448063260340148872273857705295085906982421875	0.000010476563934565397484609088063489679143458488397300243377685546875	0.000609386802193887335866995247357635889784432947635650634765625	-2.0302958553785024	14.086024342014746	MEG3;PLAGL1;GNAS;GPC3;NESPAS;IGF2R
MP0002169_no_abnormal_phenotype_	59/1370	0.00000272425240322491195774068893642461119952713488601148128509521484375	0.000266353116040711642396876523974924566573463380336761474609375	0.00000000004592733781543822552527141889772296055871603215337017900310456752777099609375	0.000000009252347708201415428628201970996658420887115426012314856052398681640625	-1.0398894323129881	8.559005082556109	RAB9;HMGB3;SCX;HCCS;DACH2;ARHGAP6;SAT1;EDA2R;HS6ST2;WDR44;TRO;MED12;SEPT6;MED14;PEG12;CREB3L3;NKRF;IKBKG;ATP7A;ABCD1;HOXA5;TPI1;VBP1;CTPS2;ATP11C;ACSL4;ZBTB33;POU3F1;MID1;FTSJ1;KIF4;PLEC;NLGN3;MTMR1;SHC1;IGSF1;ARX;XIAP;TXLNG;FOXO4;HDAC6;PDZD4;FAM120C;TAF9B;RHBG;RBM10;USP9X;MSN;HPRT;KLF4;IGF2R;LRCH2;CLCN5;FXYD2;GNAS;RLIM;RBM41;TAB3;A830080D01RIK
MP0002873_normal_phenotype_	59/1375	0.00000305275777697090681042234490416564796078091603703796863555908203125	0.000266353116040711642396876523974924566573463380336761474609375	0.00000000005302204990373303922417003443312197817627318130462299450300633907318115234375	0.000000009252347708201415428628201970996658420887115426012314856052398681640625	-1.0346713471969906	8.516056653962412	RAB9;HMGB3;SCX;HCCS;DACH2;ARHGAP6;SAT1;EDA2R;HS6ST2;WDR44;TRO;MED12;SEPT6;MED14;PEG12;CREB3L3;NKRF;IKBKG;ATP7A;ABCD1;HOXA5;TPI1;VBP1;CTPS2;ATP11C;ACSL4;ZBTB33;POU3F1;MID1;FTSJ1;KIF4;PLEC;NLGN3;MTMR1;SHC1;IGSF1;ARX;XIAP;TXLNG;FOXO4;HDAC6;PDZD4;FAM120C;TAF9B;RHBG;RBM10;USP9X;MSN;HPRT;KLF4;IGF2R;LRCH2;CLCN5;FXYD2;GNAS;RLIM;RBM41;TAB3;A830080D01RIK
MP0009672_abnormal_birth_weight_	8/73	0.0002755362550283573723312879888425186436506919562816619873046875	0.0160270255008161215115602971081898431293666362762451171875	0.000076268614421230916341522265700092475526616908609867095947265625	0.00295752738144551031995721501743901171721518039703369140625	-2.0251530804112314	8.370927502556299	CITED1;PLAGL1;GNAS;APEX2;UBE2A;NESPAS;PGF;IGF2R
MP0003787_abnormal_imprinting_	4/20	0.00101494312274077341275158037348091966123320162296295166015625	0.05060216426236141540329072086024098098278045654296875	0.000706487903835397476441648745293377942289225757122039794921875	0.01510579051031897372669998702576776850037276744842529296875	-1.8998990295157663	5.668844498291869	MEG3;CDKN1C;GNAS;NESPAS
MP0008877_abnormal_DNA_methylation_	4/24	0.0020693037886619180913683191391783111612312495708465576171875	0.07221870222430094854448867636165232397615909576416015625	0.00128972178798103672379971040840018758899532258510589599609375	0.020459677454790083095392816403546021319925785064697265625	-1.8139039795297445	4.767041659555868	UHRF1;GNAS;MOV10L1;NESPAS
MP0002063_abnormal_learning/memory/cond_	20/403	0.0011940245087724847723731347315379025531001389026641845703125	0.052089319195199650092131804512973758392035961151123046875	0.00004329677089406910677447937185746695831767283380031585693359375	0.0021586532917185880485477778023550854413770139217376708984375	-1.589339245451674	4.696172223301025	NLGN3;IGBP1;GABBR1;DOC2A;NOS3;SH3KBP1;FMR1;ARX;HTR2C;HPRT;MID1;AFF2;RPS6KA3;ARHGEF9;JPH3;DLG3;OPHN1;GNAS;PAK3;NPTX2
MP0002088_abnormal_embryonic_growth/wei_	19/385	0.0016721833543559545647017028358050083625130355358123779296875	0.0648435545189142426014683451285236515104770660400390625	0.000072928280646987315668540452495705039837048389017581939697265625	0.00295752738144551031995721501743901171721518039703369140625	-1.6098284993332752	4.404133011958685	CDKN1C;C330007P06RIK;PDHA1;ABCB7;UHRF1;HUWE1;SCX;HCCS;HPRT;ZFX;ARHGAP6;MID1;IGF2R;KLF8;FGF16;AIFM1;ZIC3;GRB10;BRWD3
