Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
histone ubiquitination (GO:0016574)	3/32	0.001377007149592414381178429039209731854498386383056640625	0.46026463975126452599084814210073091089725494384765625	0.00177154124084939919303582911425110069103538990020751953125	0.56522228985699574099754727285471744835376739501953125	-2.4997511394645726	1.9396910235481464	HUWE1;BCOR;UBE2A
carbohydrate derivative biosynthetic process (GO:1901137)	9/377	0.00123921057572416834675899099948992443387396633625030517578125	0.46026463975126452599084814210073091089725494384765625	0.0013695589746506408972137602830798641662113368511199951171875	0.56522228985699574099754727285471744835376739501953125	-2.347908295548715	1.8218680144158466	PRPS2;CHST7;GK;PIGA;GPC3;ALG13;HTR2C;UPRT;HS6ST2
regulation of Rho GTPase activity (GO:0032319)	6/174	0.00132599723946601557623969913635164630250073969364166259765625	0.46026463975126452599084814210073091089725494384765625	0.00152437179374131253663249285779102137894369661808013916015625	0.56522228985699574099754727285471744835376739501953125	-2.228250382630398	1.729019020001995	DOCK11;ARHGEF9;CDKL5;OPHN1;ARHGAP6;FGD1
positive regulation of Rho GTPase activity (GO:0032321)	6/149	0.000592538390936565438800454064249834118527360260486602783203125	0.46026463975126452599084814210073091089725494384765625	0.00070349488060474324284399028073266890714876353740692138671875	0.56522228985699574099754727285471744835376739501953125	-2.216548613827236	1.7199389897746697	DOCK11;ARHGEF9;CDKL5;OPHN1;ARHGAP6;FGD1
negative regulation of microtubule depolymerization (GO:0007026)	2/23	0.0108758058722952140329187642464603413827717304229736328125	0.55327909187666202139865845310851000249385833740234375	0.012726219255701907984157372766276239417493343353271484375	0.56522228985699574099754727285471744835376739501953125	-2.7311674778063133	1.616558141297287	FGF13;GAS2L2
histone H2A ubiquitination (GO:0033522)	2/15	0.0046792677856391205748476380676947883330285549163818359375	0.55327909187666202139865845310851000249385833740234375	0.00597924429408303557964554642012444674037396907806396484375	0.56522228985699574099754727285471744835376739501953125	-2.6184781656440665	1.5498581580507853	BCOR;UBE2A
regulation of microtubule depolymerization (GO:0031114)	2/25	0.0127808870984291063355176021332226810045540332794189453125	0.55327909187666202139865845310851000249385833740234375	0.01475751678874713708478072504703959566541016101837158203125	0.56522228985699574099754727285471744835376739501953125	-2.613820739234261	1.5471014612749758	FGF13;GAS2L2
positive regulation of dendrite morphogenesis (GO:0050775)	2/21	0.00910889522842823519399590992406956502236425876617431640625	0.55327909187666202139865845310851000249385833740234375	0.0108286617516608098255037617718699038960039615631103515625	0.56522228985699574099754727285471744835376739501953125	-2.6133709370111533	1.5468352266146532	BHLHB9;CDKL5
cellular response to fatty acid (GO:0071398)	2/27	0.0148200610168501244190419896540333866141736507415771484375	0.55327909187666202139865845310851000249385833740234375	0.01691859830680451926010476881856448017060756683349609375	0.56522228985699574099754727285471744835376739501953125	-2.5544860694930884	1.5119817023401192	TNFSF4;PDK3
body morphogenesis (GO:0010171)	2/12	0.002981384880064863983351042264757779776118695735931396484375	0.55327909187666202139865845310851000249385833740234375	0.004054984604833634757869997855550536769442260265350341796875	0.56522228985699574099754727285471744835376739501953125	-2.550064292883036	1.5093644849647425	OFD1;GPC3
