Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	4/37	0.0002555548216580021754669449496333299975958652794361114501953125	0.32353240421903073364973124625976197421550750732421875	0.000302744550366686768043400501682071990217082202434539794921875	0.383274600764225426008380281928111799061298370361328125	-2.4883661762186984	2.8080117478631954	EDA;CITED1;ATP6AP2;SHROOM2
regulation of cofactor metabolic process (GO:0051193)	2/14	0.005973298114582450447918038349826019839383661746978759765625	0.699169517947573648797288115019910037517547607421875	0.006954419870760514786611761195445069461129605770111083984375	0.66583154189914484089030111135798506438732147216796875	-2.824477134122043	1.0107731807953302	PDHA1;PDK3
regulation of coenzyme metabolic process (GO:0051196)	2/14	0.005973298114582450447918038349826019839383661746978759765625	0.699169517947573648797288115019910037517547607421875	0.006954419870760514786611761195445069461129605770111083984375	0.66583154189914484089030111135798506438732147216796875	-2.822322228015365	1.0100020216758425	PDHA1;PDK3
regulation of acyl-CoA biosynthetic process (GO:0050812)	2/13	0.00514825199923581340588629728927116957493126392364501953125	0.699169517947573648797288115019910037517547607421875	0.00611663613018975649282538142870180308818817138671875	0.66583154189914484089030111135798506438732147216796875	-2.7798503363114317	0.9948029433921646	PDHA1;PDK3
regulation of sulfur metabolic process (GO:0042762)	2/17	0.00878100469813754454240228852768268552608788013458251953125	0.699169517947573648797288115019910037517547607421875	0.00975782534886471090984638721010924200527369976043701171875	0.66583154189914484089030111135798506438732147216796875	-2.733631884061004	0.9782631132663586	PDHA1;PDK3
regulation of acetyl-CoA biosynthetic process from pyruvate (GO:0010510)	2/12	0.0043802927620516761419988682746406993828713893890380859375	0.699169517947573648797288115019910037517547607421875	0.00532855936269379694414372039545924053527414798736572265625	0.66583154189914484089030111135798506438732147216796875	-2.733520024428693	0.9782230829488928	PDHA1;PDK3
negative regulation of microtubule depolymerization (GO:0007026)	2/23	0.0158064606989331453423819340287082013674080371856689453125	0.699169517947573648797288115019910037517547607421875	0.0165985575127426156216703390100519754923880100250244140625	0.66583154189914484089030111135798506438732147216796875	-2.669260971441222	0.9552272064383787	MID1IP1;FGF13
histone H2A ubiquitination (GO:0033522)	2/15	0.006854429506580931273640455714257768704555928707122802734375	0.699169517947573648797288115019910037517547607421875	0.007841086968910108978558781700485269539058208465576171875	0.66583154189914484089030111135798506438732147216796875	-2.5832243122526592	0.9244379511024317	BCOR;UBE2A
regulation of microtubule depolymerization (GO:0031114)	2/25	0.01853893071903567335567686313879676163196563720703125	0.699169517947573648797288115019910037517547607421875	0.01922198050060874852107417609659023582935333251953125	0.66583154189914484089030111135798506438732147216796875	-2.5721506614385223	0.9204751117077693	MID1IP1;FGF13
cerebral cortex cell migration (GO:0021795)	2/29	0.0245475269400398966868070971258930512703955173492431640625	0.699169517947573648797288115019910037517547607421875	0.0249485153075866376848335193017192068509757518768310546875	0.66583154189914484089030111135798506438732147216796875	-2.535011986803255	0.9071845894237995	ARX;FGF13
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	2/32	0.0295032167498719029297138405354417045600712299346923828125	0.699169517947573648797288115019910037517547607421875	0.029641146894030447056511690107072354294359683990478515625	0.66583154189914484089030111135798506438732147216796875	-2.491863611382047	0.8917434232894517	MID1IP1;FGF13
