Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002169_no_abnormal_phenotype_	22/1371	0.002586722366392045675820288153090587002225220203399658203125	0.0711348650757812617229092211346141993999481201171875	0.000007641948916170063503712495123210146630299277603626251220703125	0.00021015359519467675312835719392268174487981013953685760498046875	-1.1585655079500647	3.0622945095229923	TPI1;IGSF1;ARX;HMGB3;ATP11C;HCCS;HPRT;ZBTB33;ARHGAP6;FTSJ1;HS6ST2;KIF4;WDR44;MED12;PDZD4;MED14;LRCH2;CLCN5;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0002873_normal_phenotype_	22/1371	0.002586722366392045675820288153090587002225220203399658203125	0.0711348650757812617229092211346141993999481201171875	0.000007641948916170063503712495123210146630299277603626251220703125	0.00021015359519467675312835719392268174487981013953685760498046875	-1.090174008979759	2.8815236248749727	TPI1;IGSF1;ARX;HMGB3;ATP11C;HCCS;HPRT;ZBTB33;ARHGAP6;FTSJ1;HS6ST2;KIF4;WDR44;MED12;PDZD4;MED14;LRCH2;CLCN5;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0000001_mammalian_phenotype_	22/1459	0.00541994669450791312359516638252898701466619968414306640625	0.09936568939931174349045051030770991928875446319580078125	0.00002061811918408543357439204057879322817825595848262310028076171875	0.0003779988517082329070768953460657257892307825386524200439453125	-1.0457733908227387	2.41463679956942	TPI1;IGSF1;ARX;HMGB3;ATP11C;HCCS;HPRT;ZBTB33;ARHGAP6;FTSJ1;HS6ST2;KIF4;WDR44;MED12;PDZD4;MED14;LRCH2;CLCN5;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0001672_abnormal_embryogenesis/_devel_	18/1271	0.0207602156490079535477999428394468850456178188323974609375	0.285452965173859374292675283868447877466678619384765625	0.0003369656941650933505184861704861987163894809782505035400390625	0.004633278294770033257921060254602707573212683200836181640625	-1.1555990717992146	1.448749143429952	C330007P06RIK;OTUD5;PDHA1;CITED1;SUV39H1;ESX1;HCCS;HPRT;ARHGAP6;ZFX;MED12;FGF16;PORCN;DLG3;GPC3;RBBP7;BCOR;BRWD3
MP0004196_abnormal_prenatal_growth/weig_	12/786	0.0336832424720280576568853803109959699213504791259765625	0.370515667192308606470163567792042158544063568115234375	0.0021998025353281470961608334846459911204874515533447265625	0.0241978278886096180577691683311059023253619670867919921875	-1.2884727652556076	1.2792724879934578	FGF16;C330007P06RIK;PDHA1;CITED1;SUV39H1;ESX1;GPC3;HCCS;HPRT;ZFX;ARHGAP6;BRWD3
MP0003121_genomic_imprinting_	2/46	0.0570715960461196936126526679800008423626422882080078125	0.52315629708943045539371041741105727851390838623046875	0.032701144925948659458736500482700648717582225799560546875	0.2384633132932066079678889991555479355156421661376953125	-1.6014449391277348	1.03753615972455	CITED1;GPC3
MP0001968_abnormal_touch/_nociception_	4/211	0.10246172437040923508533296626410447061061859130859375	0.8050564057675011486736593724344857037067413330078125	0.038276549008655007255708113689252058975398540496826171875	0.2384633132932066079678889991555479355156421661376953125	-1.6369189368237906	0.3549543061954809	FMR1;ARX;HPRT;AFF2
MP0009701_abnormal_birth_body_	3/145	0.1230796992829925884382902268043835647404193878173828125	0.8461729325705740212271166456048376858234405517578125	0.057236002473952087010733436045484268106520175933837890625	0.2861800123697604281147732763201929628849029541015625	-1.5948163637272175	0.26638461450069906	CITED1;HPRT;UBE2A
MP0002075_abnormal_coat/hair_pigmentati_	2/310	0.73709267322686977674806030336185358464717864990234375	0.99656292405118318544765543265384621918201446533203125	0.55572323275713875201375913093215785920619964599609375	0.97716355128185738987411923517356626689434051513671875	-1.7680980904467993	0.0060875551197296	EDA;GPC3
MP0000428_abnormal_craniofacial_morphol_	10/896	0.2219306998281585785459668613839312456548213958740234375	0.99656292405118318544765543265384621918201446533203125	0.0390212694479792621127245411116746254265308380126953125	0.2384633132932066079678889991555479355156421661376953125	-1.5413049866030266	0.00530670731050277	MED12;SOX3;FGF16;RPS6KA3;CLCN5;GPC3;CASK;HPRT;BCOR;BRWD3
MP0002877_abnormal_melanocyte_morpholog_	1/55	0.371601945495067031988156713850912638008594512939453125	0.99656292405118318544765543265384621918201446533203125	0.283619097532876895950693096892791800200939178466796875	0.82100265075306477768890545121394097805023193359375	-1.1567758277846	0.003982774853305841	EDA
MP0002160_abnormal_reproductive_system_	11/1010	0.2297380584383830193218045678804628551006317138671875	0.99656292405118318544765543265384621918201446533203125	0.035772134457387964878716246630574460141360759735107421875	0.2384633132932066079678889991555479355156421661376953125	-1.1122350354593886	0.003829421071736157	SOX3;PDHA1;EDA;CITED1;SUV39H1;FMR1;ARX;GPC3;MOV10L1;HPRT;ZFX
MP0002095_abnormal_skin_pigmentation_	1/112	0.61225847428937196781362217734567821025848388671875	0.99656292405118318544765543265384621918201446533203125	0.49079036072095316711738632875494658946990966796875	0.97716355128185738987411923517356626689434051513671875	-1.0928431382621235	0.003762654842134806	HPRT
MP0002106_abnormal_muscle_physiology_	7/671	0.334233460992301889547206883435137569904327392578125	0.99656292405118318544765543265384621918201446533203125	0.1046314850732524004417456353621673770248889923095703125	0.479560973252406819167248386293067596852779388427734375	-1.0607983956197464	0.0036523249129374246	FGF16;PDHA1;ARX;LAMP2;ATP6AP2;HCCS;HPRT
MP0005253_abnormal_eye_physiology_	3/329	0.52411597180374858151452599486219696700572967529296875	0.99656292405118318544765543265384621918201446533203125	0.31399694880301465271799088441184721887111663818359375	0.8266528428049035870373018042300827801227569580078125	-1.0534143899968744	0.00362690180916479	EDA;MAGED1;RPGR
MP0005266_abnormal_metabolism_	4/437	0.50187168461746278769197715519112534821033477783203125	0.99656292405118318544765543265384621918201446533203125	0.264440095035518074606528671210980974137783050537109375	0.80801140149741634832736281168763525784015655517578125	-0.9876909091742893	0.0034006161102379424	CLCN5;TPI1;GPC3;SLC16A2
MP0010678_abnormal_skin_adnexa_	4/582	0.724265014671730877893196520744822919368743896484375	0.99656292405118318544765543265384621918201446533203125	0.4602460941767885227449141893885098397731781005859375	0.97716355128185738987411923517356626689434051513671875	-0.753721844764938	0.0025950614955934743	EDA;CITED1;CASK;HPRT
MP0000545_abnormal_limbs/digits/tail_mo_	6/913	0.78412502911741877031914782492094673216342926025390625	0.99656292405118318544765543265384621918201446533203125	0.4649604452954758659899425765615887939929962158203125	0.97716355128185738987411923517356626689434051513671875	-0.7527745358654894	0.0025917999145918533	MED12;RPS6KA3;EDA;GPC3;CASK;BRWD3
MP0010680_abnormal_skin_adnexa_	1/129	0.66435082186438954021667768756742589175701141357421875	0.99656292405118318544765543265384621918201446533203125	0.54024760084534140247569666826166212558746337890625	0.97716355128185738987411923517356626689434051513671875	-0.6367758703052471	0.00219241694244317	MAGED1
MP0002163_abnormal_gland_morphology_	10/1129	0.478101430674610472504326708076405338943004608154296875	0.99656292405118318544765543265384621918201446533203125	0.1316437079213563787760676859761588275432586669921875	0.527057887745476794094656725064851343631744384765625	-0.6291398224862128	0.002166126058330787	SOX3;EDA;CITED1;FMR1;ARX;MOV10L1;HPRT;ABCD1;SYTL4;ZFX
