Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pigmentation (GO:0043473)	6/37	0.00019966871501074737334756326045948071623570285737514495849609375	0.526726070198351603579567381530068814754486083984375	0.0002819595173834008538203688143397585008642636239528656005859375	0.74380920685741147568847964066662825644016265869140625	-2.4883661762186984	1.5952284916005783	CD63;EDA;CITED1;ATP6AP2;SHROOM2;ATP7A
negative regulation of microtubule depolymerization (GO:0007026)	4/23	0.0018410100081723535479782949408900094567798078060150146484375	0.85379644397941822919761989396647550165653228759765625	0.002421747926142165698026875730874962755478918552398681640625	0.796256745399607890334436888224445283412933349609375	-2.8085506107626768	0.44392644553617977	MID1IP1;FGF13;MID1;HDAC6
cellular biogenic amine biosynthetic process (GO:0042401)	3/20	0.0107933519588969441260761783496491261757910251617431640625	0.85379644397941822919761989396647550165653228759765625	0.0124209724581636517248828255333137349225580692291259765625	0.796256745399607890334436888224445283412933349609375	-2.732830438614109	0.43195792812777417	SMS;SAT1;AGMAT
amine biosynthetic process (GO:0009309)	3/21	0.0123770482484791867483497895818800316192209720611572265625	0.85379644397941822919761989396647550165653228759765625	0.01397512999251079683638021577962717856280505657196044921875	0.796256745399607890334436888224445283412933349609375	-2.7100754114525225	0.42836121233877894	SMS;SAT1;AGMAT
regulation of microtubule depolymerization (GO:0031114)	4/25	0.00253472906003415592024463620646201889030635356903076171875	0.85379644397941822919761989396647550165653228759765625	0.0031696390305586126349968179027882797527126967906951904296875	0.796256745399607890334436888224445283412933349609375	-2.697160894825738	0.4263199119470479	MID1IP1;FGF13;MID1;HDAC6
polyamine metabolic process (GO:0006595)	3/21	0.0123770482484791867483497895818800316192209720611572265625	0.85379644397941822919761989396647550165653228759765625	0.01397512999251079683638021577962717856280505657196044921875	0.796256745399607890334436888224445283412933349609375	-2.6394458681130994	0.4171973322917681	SMS;SAT1;AGMAT
polyamine biosynthetic process (GO:0006596)	3/13	0.00305690031448566969241031898718574666418135166168212890625	0.85379644397941822919761989396647550165653228759765625	0.004384097065782840106640261268466929323039948940277099609375	0.796256745399607890334436888224445283412933349609375	-2.6240301844980487	0.41476069126898746	SMS;SAT1;AGMAT
negative regulation of microtubule polymerization or depolymerization (GO:0031111)	4/32	0.006335487729986210257704382087240446708165109157562255859375	0.85379644397941822919761989396647550165653228759765625	0.00699548685381618483292154309083343832753598690032958984375	0.796256745399607890334436888224445283412933349609375	-2.6206485968222797	0.41422618916978354	MID1IP1;FGF13;MID1;HDAC6
negative regulation of potassium ion transport (GO:0043267)	3/19	0.00933406286485823077914147916089859791100025177001953125	0.85379644397941822919761989396647550165653228759765625	0.01097127553232875307731575276193325407803058624267578125	0.796256745399607890334436888224445283412933349609375	-2.6076643984179824	0.41217387470421263	NOS3;CASQ2;KCNE1L
body morphogenesis (GO:0010171)	3/12	0.0023927549260003675053731786448452112381346523761749267578125	0.85379644397941822919761989396647550165653228759765625	0.003618726913688633493870749902043826295994222164154052734375	0.796256745399607890334436888224445283412933349609375	-2.579313025250309	0.40769258664475433	OFD1;GPC3;GNAS
negative regulation of signal transduction by p53 class mediator (GO:1901797)	3/25	0.0199822304262220369619473814282173407264053821563720703125	0.85379644397941822919761989396647550165653228759765625	0.021251999492849289741247531537737813778221607208251953125	0.796256745399607890334436888224445283412933349609375	-2.5300411574110524	0.3999045535322338	PSMD10;TAF9B;ELL3
replacement ossification (GO:0036075)	3/30	0.03238521217194161028185561690406757406890392303466796875	0.85379644397941822919761989396647550165653228759765625	0.03275250796529226293696268612620769999921321868896484375	0.796256745399607890334436888224445283412933349609375	-2.5143130112111796	0.39741852390163834	GNAS;SCX;PTHLH
endochondral ossification (GO:0001958)	3/30	0.03238521217194161028185561690406757406890392303466796875	0.85379644397941822919761989396647550165653228759765625	0.03275250796529226293696268612620769999921321868896484375	0.796256745399607890334436888224445283412933349609375	-2.5091551372475935	0.39660325760506393	GNAS;SCX;PTHLH
regulation of membrane repolarization (GO:0060306)	3/20	0.0107933519588969441260761783496491261757910251617431640625	0.85379644397941822919761989396647550165653228759765625	0.0124209724581636517248828255333137349225580692291259765625	0.796256745399607890334436888224445283412933349609375	-2.4960112435798143	0.3945257013117635	CASQ2;KCNE1L;AKAP6
regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	3/25	0.0199822304262220369619473814282173407264053821563720703125	0.85379644397941822919761989396647550165653228759765625	0.021251999492849289741247531537737813778221607208251953125	0.796256745399607890334436888224445283412933349609375	-2.492637986337325	0.3939925159414166	JPH3;CASQ2;AKAP6
