Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002084_abnormal_developmental_patter_	10/421	0.0010703146931118575659047653658717536018230020999908447265625	0.2194145120879308075156899349167360924184322357177734375	0.000076859832436468894663848805404171571353799663484096527099609375	0.0078781328247380620621864721897509298287332057952880859375	-1.7220704725697455	2.6120237303547356	OFD1;OTUD5;ZIC3;USP9X;HUWE1;ALG13;RBBP7;BCOR;ARHGAP6;CCDC160
MP0002127_abnormal_cardiovascular_syste_	3/57	0.00836208361031456036405185017201802111230790615081787109375	0.58586450160011394050485478146583773195743560791015625	0.00391479595576623394526105670365723199211061000823974609375	0.1309696515127681537560278002274571917951107025146484375	-2.0805625338720453	1.1124075916797738	AIFM1;ZIC3;TNFSF4
MP0000372_irregular_coat_pigmentation_	2/43	0.0393254151856815836740821623607189394533634185791015625	0.79966089259725092741604157708934508264064788818359375	0.02368322565263029921833748403514618985354900360107421875	0.255529539936274308065122795596835203468799591064453125	-2.576683949495151	0.5760628544089109	EDA;HTR2C
MP0002169_no_abnormal_phenotype_	18/1370	0.01104069134720095900215053319470825954340398311614990234375	0.58586450160011394050485478146583773195743560791015625	0.0001887076088108659050086857167372045296360738575458526611328125	0.01012654561512651464616485696978998021222651004791259765625	-1.0398894323129881	0.5559942948985548	MTMR1;USP9X;IGSF1;HMGB3;TXLNG;ATP11C;FOXO4;ZBTB33;DACH2;ARHGAP6;HS6ST2;WDR44;ENOX2;PDZD4;MED14;RLIM;TAB3;A830080D01RIK
MP0002873_normal_phenotype_	18/1375	0.0114315024702461263961250637066768831573426723480224609375	0.58586450160011394050485478146583773195743560791015625	0.000197591133953688093301270800594693355378694832324981689453125	0.01012654561512651464616485696978998021222651004791259765625	-1.0346713471969906	0.5532043583296865	MTMR1;USP9X;IGSF1;HMGB3;TXLNG;ATP11C;FOXO4;ZBTB33;DACH2;ARHGAP6;HS6ST2;WDR44;ENOX2;PDZD4;MED14;RLIM;TAB3;A830080D01RIK
MP0002089_abnormal_postnatal_growth/wei_	2/62	0.07535784022873148746413107801345176994800567626953125	0.79966089259725092741604157708934508264064788818359375	0.045250540152296063467485254250277648679912090301513671875	0.379638556714871955310997009291895665228366851806640625	-2.1645482748214477	0.4839227014798748	GPR50;ZFX
MP0002572_abnormal_emotion/affect_behav_	7/372	0.01958751309799645901055242802613065578043460845947265625	0.789601701704028879902352855424396693706512451171875	0.0037174082787723105279764634900629971525631844997406005859375	0.1309696515127681537560278002274571917951107025146484375	-1.888109819917184	0.4460218306256105	ARHGEF9;PCSK1N;OPHN1;SH3KBP1;FMR1;ARAF;HTR2C
MP0000432_abnormal_head_morphology_	7/424	0.036252721414808786182248923068982549011707305908203125	0.79966089259725092741604157708934508264064788818359375	0.00744423265045589081789767504915289464406669139862060546875	0.1695630770381619523146099481891724281013011932373046875	-1.9949481856029339	0.44600562922025005	SOX3;ZIC3;PIGA;HUWE1;CASK;BCOR;BRWD3
MP0002116_abnormal_craniofacial_bone_	7/467	0.055628260932779553804561345486945356242358684539794921875	0.79966089259725092741604157708934508264064788818359375	0.012208346380698363586869703567572287283837795257568359375	0.1807002726849576135226271844658185727894306182861328125	-1.9784080574379452	0.44230779369607587	OFD1;RPS6KA3;EDA;ZIC3;PIGA;GPC3;CASK
MP0002088_abnormal_embryonic_growth/wei_	7/385	0.0231102937084106015153128765859946724958717823028564453125	0.789601701704028879902352855424396693706512451171875	0.004472134441899400757181037846521576284430921077728271484375	0.1309696515127681537560278002274571917951107025146484375	-1.6533275427852046	0.39056000317245526	FGF16;AIFM1;ZIC3;HUWE1;ZFX;ARHGAP6;BRWD3
MP0003755_abnormal_palate_morphology_	4/212	0.07003831119407914751473498427003505639731884002685546875	0.79966089259725092741604157708934508264064788818359375	0.0274171038542591581632645869603948085568845272064208984375	0.27836084068793798262930749842780642211437225341796875	-1.7296312182769125	0.3866893713800561	OFD1;EDA;PIGA;CASK
