Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Autosomal dominant inheritance (HP:0000006)	236/1134	0.0000000000989642975309110440408252160594490022538227691484280512668192386627197265625	0.000000162400412248225027484445424745540531574761189403943717479705810546875	0.00014283658144758311424153685020854709364357404410839080810546875	0.12316049310514602666000172348503838293254375457763671875	-2.329625875886356	36.4195092714231	GFI1;AQP5;HS6ST1;EDNRA;GJA3;PIEZO2;KIF21A;SOX9;SCN1B;MNX1;ACVR1;HNF1B;SOX10;ANK1;RUNX2;RUNX1;PAPPA;KCNQ1;KCNQ3;COL8A2;KCNQ4;PFN1;EPHA2;EPAS1;LHB;PDGFB;TWIST1;GATA4;GATA2;PRDM16;NKX2-1;HESX1;ALX4;PROM1;SPTBN2;EGR2;PRRT2;CDSN;FZD4;SLC16A12;GRIN2B;SLC6A5;GJB6;CYP1A1;COL9A3;COL9A2;VSX1;CDKN1C;GABRB3;ACVRL1;FOXE3;KCNC3;PCSK9;CTCF;PTH1R;SLC6A2;GLI3;GLI2;SPTLC1;JPH3;KCNT1;NEFL;KIF1A;TEAD1;MYBPC3;EDN3;NOG;NIPA1;PAX3;PAX6;OSMR;MN1;COL2A1;PITPNM3;KCNMA1;PPARG;CRYAB;MATN3;CHST3;HBEGF;FOXC2;KANK1;FOXC1;TNXB;NFIX;ATL1;CRYBA2;NEXN;HOXD10;ADCY5;NSD1;LMNA;HSF4;GPC3;MSX1;MAP3K1;GSN;CDKN2A;TUBB4A;GRHL2;POU4F3;FIG4;SKI;SMOC2;RIT1;DPAGT1;POGLUT1;IHH;HR;NR3C1;PVR;HOXA13;HOXA11;COMP;FGF5;SALL1;FGF8;SALL4;PDE8B;PITX2;PITX1;KIRREL3;CHRNB2;PDGFRA;LHCGR;CDKL5;MSX2;TPM1;WNT5A;KCTD1;LEMD3;SCNN1G;CACNB4;COL4A2;SCN8A;PKP2;ROR2;LMX1B;RAF1;MAD1L1;DSC2;FBN2;MAGEL2;DLX3;CBFB;CHRNA4;TNFRSF11A;FAM83H;RAI1;ATXN2;ABL1;MYH14;OTX2;DRD2;WNT4;SMAD3;TOR1A;WFS1;BDNF;ATP8B1;GLMN;IGF2R;GNAO1;NFKBIA;BMP2;GNAL;MAFB;FGF14;COL5A1;GDNF;TRPV4;TLX1;RFXAP;REEP2;GNAS;MKRN3;ALPL;TCF4;LHX4;BMPR1B;FGFR2;FBN1;FGFR1;BMPR1A;FGF10;KCNK9;ITGB4;TSPAN12;PKD2;AFF1;SEPT9;LYL1;PSTPIP1;SART3;ZIC2;SIX3;SCN5A;LBR;SNTA1;DSP;FOXL2;AXIN2;ARID1A;SPTB;SSTR5;EVC;TST;RASA1;EHHADH;RBM20;IRF6;SCN4B;PLEC;HCN4;CEBPA;KRT81;MLLT1;MLLT3;COCH;ACAN;ERBB4;BMS1;ERBB2;SNCB;TBX1;KCNJ11;TPBG;TBX5;TBX4;TBX3;DES;PPP2R2B;P2RX2;PMP22;TLL1;GPD1L
Cryptorchidism (HP:0000028)	90/379	0.000000239778188711331160476946354476179834591675898991525173187255859375	0.0000718665942110695288302935068713850341737270355224609375	0.0014966234410096362385245161163993543596006929874420166015625	0.1562994789960608088552618255562265403568744659423828125	-2.5364931667727366	24.19991785979385	CDKN1C;DPAGT1;CHRM3;FMR1;CTCF;HS6ST1;PHF6;GLI3;PHF8;GLI2;MED12;LFNG;SOX3;SIX6;SALL1;FGF8;OPHN1;TCTN2;AP1S2;PIEZO2;SOX9;OFD1;WNT5A;RIPK4;TACR3;SOX11;HNF1B;PAX6;ARID1A;SMC1A;IL17RD;SOX10;ANK1;HSPG2;POMGNT1;EVC;KAT6B;PEX5;SMS;IRF6;ROR2;RAF1;MAGEL2;NFIX;ARX;GATA5;TWIST1;GATA4;FGD1;DLL3;EFNB1;PORCN;ARVCF;NSD1;GSC;PRDM16;HESX1;GPC3;ALX4;OTX2;GPC4;RBM10;FKTN;STRA6;TBX1;GK;IRX5;BDNF;SPRY4;IGF2;WNT7A;TBX3;TMEM231;FIG4;SKI;FGF17;POLA1;RIT1;TBL2;GJB6;SMOC1;TCF4;UBA1;LHX4;FAT4;BCOR;FGFR2;MBTPS2;FBN1;FGFR1
Camptodactyly of finger (HP:0100490)	39/121	0.00000026276634080829810518624878486193541249349436839111149311065673828125	0.0000718665942110695288302935068713850341737270355224609375	0.000455548216568345460709965610845983974286355078220367431640625	0.124592437231442476619491799283423461019992828369140625	-2.2706712597649257	21.66379105322826	FBN2;MEGF10;ITGB4;LAMC2;ANTXR2;FGD1;DLL3;LFNG;MED12;EFNB1;PORCN;NSD1;PRDM16;LMNA;PIEZO2;GPC3;GPC4;SCARF2;NOG;WNT5A;PAX3;RUNX2;TBX3;SKI;BCR;MAFB;KAT6B;TRPV4;CLCF1;SMOC1;UBA1;ROR2;FAT4;BCOR;CRLF1;FGFR2;MBTPS2;CHST3;FBN1
Broad toe (HP:0001837)	15/25	0.000000127897998879609084188195707552926361216805162257514894008636474609375	0.000069960205387146174953703903209856207467964850366115570068359375	0.000249714200725156929179526787976328705553896725177764892578125	0.12316049310514602666000172348503838293254375457763671875	-2.1885782801359723	20.939406474580526	NPR2;NOG;WNT5A;TWIST1;UBE2A;GLI3;MED12;EFNB1;BMP2;GPC3;ROR2;BMPR1B;FGFR2;FGF10;FGFR1
Absent toe (HP:0010760)	18/34	0.0000000994419586451824990154716821071090304684503280441276729106903076171875	0.000069960205387146174953703903209856207467964850366115570068359375	0.000200744183665649950608356189007963621406815946102142333984375	0.12316049310514602666000172348503838293254375457763671875	-2.144387643796082	20.51660885062081	ACVR1;RIPK4;NOG;IHH;WNT7A;HOXA13;FIG4;PORCN;BMP2;SALL1;SMOC1;TRPV4;SALL4;EOGT;ROR2;BMPR1B;FGFR2;FGFR1
X-linked recessive inheritance (HP:0001419)	37/111	0.0000002034774501949305317263414459583170668111051782034337520599365234375	0.0000718665942110695288302935068713850341737270355224609375	0.0003752604908749117176673670837061536076362244784832000732421875	0.12316049310514602666000172348503838293254375457763671875	-2.0652559800572234	19.70398569629218	EDA;ABCB7;FHL1;ARX;PHF6;CHRDL1;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;GPC3;ATP7A;PAK3;ABCD1;OFD1;TRAPPC2;IGBP1;PDHA1;GK;IQSEC2;ATP6AP2;ATP2B3;ALG13;PHKA1;UBE2A;SMC1A;PHKA2;FGF16;CLCN5;SLC6A8;SMS;UBA1;MAMLD1;MBTPS2
Hypoplasia of the maxilla (HP:0000327)	21/47	0.0000003662565833598822149391217861680303258253843523561954498291015625	0.000085861007613366666633460122515231205397867597639560699462890625	0.0003735972980580652973332800304007150771212764084339141845703125	0.12316049310514602666000172348503838293254375457763671875	-2.010154288991258	18.82063390099148	CDKL5;EDA;MMP2;RIPK4;PAX3;TWIST1;FGD1;RUNX2;GLI2;SKI;MED12;MAFB;ALX3;DCHS1;FAT4;PITX2;SCARF2;LBR;FGFR2;FBN1;FGFR1
Brachydactyly syndrome (HP:0001156)	51/192	0.00000344431870349965920435268522392657786213021609000861644744873046875	0.00051382972658572186215597543679223235812969505786895751953125	0.0026669015307067048779765539023856035782955586910247802734375	0.1562994789960608088552618255562265403568744659423828125	-2.4073321029442973	18.23221523607393	IHH;PTH1R;ANTXR2;HOXA13;GLI3;COMP;MED12;RPS6KA3;SIX6;ATP7A;LBR;PITX1;OFD1;CDKL5;NOG;WNT5A;PAX3;RUNX2;BCR;EVC;COL2A1;KAT6B;EOGT;ROR2;RAF1;CHST3;FOXG1;NPR2;TWIST1;GATA5;SLCO5A1;GATA4;LTBP2;FGD1;EFNB1;RAI1;PRDM16;ALX3;NTNG1;BHLHA9;FIG4;SKI;BMP2;RIT1;TRPV4;GNAS;BMPR1B;SIM1;FGFR2;FGFR1;FBN1
Patent ductus arteriosus (HP:0001643)	38/125	0.000001899093502176980644059766691056356791023063124157488346099853515625	0.00034626804856360284511074265623165047145448625087738037109375	0.00133860985453255186029830614558022716664709150791168212890625	0.1562994789960608088552618255562265403568744659423828125	-2.2463032082704575	17.899211960174828	AMER1;FBN2;COL18A1;CHRM3;FOXC2;FOXC1;NFIX;ARX;GATA4;CTCF;GLI3;ARVCF;PORCN;SALL1;ZIC3;NSD1;PRDM16;LMNA;GPC3;STRA6;TBX1;IGBP1;TSFM;SMAD3;FOXF1;AMMECR1;TBX5;TBX4;ANK1;TBX2;SKI;RBP4;TBL2;KAT6B;EOGT;ANKS6;BCOR;FBN1
Abnormality of the middle phalanges of the hand (HP:0009833)	17/36	0.00000183592972180302852334868139727586111575874383561313152313232421875	0.00034626804856360284511074265623165047145448625087738037109375	0.000827389029560287258234507756782249998650513589382171630859375	0.1562994789960608088552618255562265403568744659423828125	-2.1403379299426533	17.054849110927663	NFIX;NOG;WNT5A;IHH;HOXA13;PHF6;RUNX2;FIG4;BMP2;COL2A1;TRPV4;LMNA;ROR2;BMPR1B;FGFR2;FGF10;FGFR1
