Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Malar flattening (HP:0000272)	2/187	0.01339401850249703589124106173358086380176246166229248046875	0.08325259086099900951438712581875734031200408935546875	0.020445753212908486518006867527219583280384540557861328125	0.1157635356953596872386924587772227823734283447265625	-2.355716990953252	5.856020399277721	AMMECR1;UBE2A
Depressed nasal bridge (HP:0005280)	2/228	0.0194758299287360360507737055968391359783709049224853515625	0.08325259086099900951438712581875734031200408935546875	0.02975590504154577986550833657020120881497859954833984375	0.1157635356953596872386924587772227823734283447265625	-2.3549132479691344	5.854022393859904	AMMECR1;UBE2A
Downslanted palpebral fissures (HP:0000494)	2/188	0.01353041761138545386045084484294420690275728702545166015625	0.08325259086099900951438712581875734031200408935546875	0.020654045827647016242423205767408944666385650634765625	0.1157635356953596872386924587772227823734283447265625	-2.329790127680482	5.791569431356831	AMMECR1;GPC4
Short neck (HP:0000470)	2/182	0.0127212396533882589333419588228935026563704013824462890625	0.08325259086099900951438712581875734031200408935546875	0.01941871392646259131264940833716536872088909149169921875	0.1157635356953596872386924587772227823734283447265625	-2.301562405027228	5.7213988122555435	GPC4;UBE2A
Nephroblastoma (Wilms tumor) (HP:0002667)	1/20	0.01883836768544477902054268270148895680904388427734375	0.08325259086099900951438712581875734031200408935546875	0.026835533673555962697054866339385625906288623809814453125	0.1157635356953596872386924587772227823734283447265625	-2.136899137309823	5.312066342154942	GPC4
Wide mouth (HP:0000154)	2/86	0.0029800527072110266808835365992536026169545948505401611328125	0.08325259086099900951438712581875734031200408935546875	0.004606404167763385355816030397591021028347313404083251953125	0.1157635356953596872386924587772227823734283447265625	-2.130952213953589	5.297283027936473	GPC4;UBE2A
Embryonal renal neoplasm (HP:0011794)	1/21	0.0197714042735543105155926468796678818762302398681640625	0.08325259086099900951438712581875734031200408935546875	0.0280997941041912051296502994546244735829532146453857421875	0.1157635356953596872386924587772227823734283447265625	-2.1100436901695447	5.245307029856755	GPC4
Supernumerary nipples (HP:0002558)	1/19	0.0179044897670136808620622304033531690947711467742919921875	0.08325259086099900951438712581875734031200408935546875	0.0255700402197300453999151415018786792643368244171142578125	0.1157635356953596872386924587772227823734283447265625	-2.0202431418646967	5.02207399942099	GPC4
Increased number of teeth (HP:0011069)	1/20	0.01883836768544477902054268270148895680904388427734375	0.08325259086099900951438712581875734031200408935546875	0.026835533673555962697054866339385625906288623809814453125	0.1157635356953596872386924587772227823734283447265625	-1.9945318708963102	4.958158967241636	AMMECR1
Prominent supraorbital ridges (HP:0000336)	1/22	0.020703600245214441588625930990019696764647960662841796875	0.08325259086099900951438712581875734031200408935546875	0.0293628223118710673933406951618962921202182769775390625	0.1157635356953596872386924587772227823734283447265625	-1.9797598591612633	4.921437577367125	UBE2A
Broad hallux (HP:0010055)	1/21	0.0197714042735543105155926468796678818762302398681640625	0.08325259086099900951438712581875734031200408935546875	0.0280997941041912051296502994546244735829532146453857421875	0.1157635356953596872386924587772227823734283447265625	-1.9753808421087096	4.910551883844932	UBE2A
Embryonal neoplasm (HP:0002898)	1/31	0.029055654125732792436576090722155640833079814910888671875	0.08325259086099900951438712581875734031200408935546875	0.040674758229865236314193310818154714070260524749755859375	0.1157635356953596872386924587772227823734283447265625	-1.9745318251349224	4.908441332901451	GPC4
Aggressive behavior (HP:0000718)	2/72	0.002100560304543682386968495023893410689197480678558349609375	0.08325259086099900951438712581875734031200408935546875	0.003270176664813571887346910216365358792245388031005859375	0.1157635356953596872386924587772227823734283447265625	-1.941947548136919	4.827440859784852	USP9X;UBE2A
