Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0009672_abnormal_birth_weight_	1/73	0.067147528872427975077386008706525899469852447509765625	0.51479772135528112375624232299742288887500762939453125	0.048315966519890153618721484463094384409487247467041015625	0.34876501283685723553418256415170617401599884033203125	-2.087753723040553	1.3862292840048411	UBE2A
MP0009703_decreased_birth_body_	1/144	0.12834092590752355089733782733674161136150360107421875	0.5819348908766934780345536637469194829463958740234375	0.0927782338704276898777578708177316002547740936279296875	0.34876501283685723553418256415170617401599884033203125	-1.8845052150720303	1.0202649212594264	UBE2A
MP0002169_no_abnormal_phenotype_	4/1370	0.037139703943579675804453898990686866454780101776123046875	0.432061819164534843817904175011790357530117034912109375	0.007356172353524652492151592042546326410956680774688720703125	0.08572712739126454872806704088361584581434726715087890625	-1.0709508428395347	0.8987275977026438	ENOX2;USP9X;TAB3;ZBTB33
MP0002873_normal_phenotype_	4/1375	0.037570592970829118362185994328683591447770595550537109375	0.432061819164534843817904175011790357530117034912109375	0.007454532816631699587706094689565361477434635162353515625	0.08572712739126454872806704088361584581434726715087890625	-1.0657437718621274	0.8943578935076459	ENOX2;USP9X;TAB3;ZBTB33
MP0003984_embryonic_growth_retardation_	1/376	0.302856695326619129726708479211083613336086273193359375	0.5819348908766934780345536637469194829463958740234375	0.2258819340180747980983966272106044925749301910400390625	0.446669784865032948317775662872008979320526123046875	-1.6236417245692314	0.8790342860408741	UCHL5
MP0002088_abnormal_embryonic_growth/wei_	1/385	0.308909232112637044398439911674358882009983062744140625	0.5819348908766934780345536637469194829463958740234375	0.2306882103752034562926809257987770251929759979248046875	0.446669784865032948317775662872008979320526123046875	-1.6098284993332752	0.8715558513594593	UCHL5
MP0002084_abnormal_developmental_patter_	1/421	0.33262519040143001536335987111669965088367462158203125	0.5819348908766934780345536637469194829463958740234375	0.2496584457226037889743253117558197118341922760009765625	0.446669784865032948317775662872008979320526123046875	-1.5929298820238835	0.8624069955639605	USP9X
MP0003699_abnormal_female_reproductive_	1/517	0.392155814058871399208072716646711342036724090576171875	0.5819348908766934780345536637469194829463958740234375	0.29829790673351508356603289939812384545803070068359375	0.446669784865032948317775662872008979320526123046875	-1.5713592641530045	0.8507287340407053	UBE2A
MP0001672_abnormal_embryogenesis/_devel_	1/468	0.36242885712208139370460457939771004021167755126953125	0.5819348908766934780345536637469194829463958740234375	0.273820656068376855341028885959531180560588836669921875	0.446669784865032948317775662872008979320526123046875	-1.5093225569795692	0.8171422649488275	UCHL5
MP0005380_embryogenesis_phenotype_	1/468	0.36242885712208139370460457939771004021167755126953125	0.5819348908766934780345536637469194829463958740234375	0.273820656068376855341028885959531180560588836669921875	0.446669784865032948317775662872008979320526123046875	-1.495337076274439	0.8095705717233197	UCHL5
MP0001697_abnormal_embryo_size_	1/471	0.364287758998087241035790384557913057506084442138671875	0.5819348908766934780345536637469194829463958740234375	0.275340010592763306807029266565223224461078643798828125	0.446669784865032948317775662872008979320526123046875	-1.448101407065797	0.783997335873214	USP9X
MP0003861_abnormal_nervous_system_	2/855	0.1940113056789638801280517554914695210754871368408203125	0.5819348908766934780345536637469194829463958740234375	0.10614587347208699619205418684941832907497882843017578125	0.34876501283685723553418256415170617401599884033203125	-1.4286175445903238	0.7734488368532161	USP9X;UCHL5
MP0003635_abnormal_synaptic_transmissio_	1/453	0.353056846040126881547394077642820775508880615234375	0.5819348908766934780345536637469194829463958740234375	0.26618285689868648180578247774974443018436431884765625	0.446669784865032948317775662872008979320526123046875	-1.419428780054045	0.7684740699748345	S1PR4
MP0002086_abnormal_extraembryonic_tissu_	1/550	0.411430811355131709206034429371356964111328125	0.5819348908766934780345536637469194829463958740234375	0.31438107382184921068102312347036786377429962158203125	0.446669784865032948317775662872008979320526123046875	-1.3325731484274614	0.72145071686671	USP9X
MP0002925_abnormal_cardiovascular_devel_	1/583	0.430125788908860384740506788148195482790470123291015625	0.5819348908766934780345536637469194829463958740234375	0.33014723229154607775370777744683437049388885498046875	0.446669784865032948317775662872008979320526123046875	-1.325697065542089	0.7177280282227576	USP9X
MP0002080_prenatal_lethality_	3/1685	0.21192317929761983474890030265669338405132293701171875	0.5819348908766934780345536637469194829463958740234375	0.0875813582976609772412501797589357011020183563232421875	0.34876501283685723553418256415170617401599884033203125	-1.1283777181572374	0.610899982955251	UBE2A;S1PR4;UCHL5
MP0002085_abnormal_embryonic_tissue_	1/765	0.52353178718245818590304452300188131630420684814453125	0.6689572836220298857057287023053504526615142822265625	0.41163623492307099827058891605702228844165802001953125	0.525979633512812849716056007309816777706146240234375	-1.2275940795525704	0.493535874135904	USP9X
MP0000266_abnormal_heart_morphology_	1/851	0.56243674624166140052494711198960430920124053955078125	0.680844482292537467316151378327049314975738525390625	0.447083903569032325986398745953920297324657440185546875	0.5412068306361970115858639474026858806610107421875	-1.2364007569452407	0.47529886740126287	USP9X
MP0002161_abnormal_fertility/fecundity_	1/1088	0.65467497522058215597695607357309199869632720947265625	0.71702497286063759940333284248481504619121551513671875	0.53545823337825504406595200634910725057125091552734375	0.58645425560475550330608029980794526636600494384765625	-1.1758765295234455	0.3911489887916865	UBE2A
MP0002152_abnormal_brain_morphology_	1/1188	0.687780610346376164443427114747464656829833984375	0.71904336536212054564742857110104523599147796630859375	0.56893950144037608307456821421510539948940277099609375	0.5948003878694840818042166574741713702678680419921875	-1.1086250288393154	0.3656617950010904	UCHL5
MP0002882_abnormal_neuron_morphology_	1/1006	0.62507402437162085107047460041940212249755859375	0.71702497286063759940333284248481504619121551513671875	0.50636369340849129994097665985464118421077728271484375	0.582318247419765011585468528210185468196868896484375	-1.0091650739727085	0.33569332178803557	UCHL5
MP0000001_mammalian_phenotype_	5/3773	0.280990638163481298850143730305717326700687408447265625	0.5819348908766934780345536637469194829463958740234375	0.06234547628972271493541512654701364226639270782470703125	0.34876501283685723553418256415170617401599884033203125	-0.4746226375069517	0.2569591338941784	ENOX2;USP9X;TAB3;ZBTB33;UCHL5
MP0003956_abnormal_body_size_	1/2128	0.882164099762594577924801342305727303028106689453125	0.882164099762594577924801342305727303028106689453125	0.7954048715630188670644429294043220579624176025390625	0.79540487156301875604214046688866801559925079345703125	-1.2449070462260872	0.1560829424475828	UBE2A
