Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of MHC class II biosynthetic process (GO:0045346)	1/11	0.004392306542549431931654613237014928017742931842803955078125	0.07991878227559878755670297323376871645450592041015625	0.00419844068319302592129371731743958662264049053192138671875	0.0741600311593899330642187806006404571235179901123046875	-2.836882132434949	7.168075989248816	SPI1
granulocyte differentiation (GO:0030851)	1/15	0.00598531836349321631762787632169420248828828334808349609375	0.07991878227559878755670297323376871645450592041015625	0.005594782844575228730743532423730357550084590911865234375	0.0741600311593899330642187806006404571235179901123046875	-2.7916232454629233	7.053718350877056	SPI1
macrophage differentiation (GO:0030225)	1/15	0.00598531836349321631762787632169420248828828334808349609375	0.07991878227559878755670297323376871645450592041015625	0.005594782844575228730743532423730357550084590911865234375	0.0741600311593899330642187806006404571235179901123046875	-2.7806374226425885	7.025959984789075	SPI1
regulation of DNA methylation (GO:0044030)	1/15	0.00598531836349321631762787632169420248828828334808349609375	0.07991878227559878755670297323376871645450592041015625	0.005594782844575228730743532423730357550084590911865234375	0.0741600311593899330642187806006404571235179901123046875	-2.7398476617016416	6.9228946855067806	SPI1
negative regulation of protein acetylation (GO:1901984)	1/15	0.00598531836349321631762787632169420248828828334808349609375	0.07991878227559878755670297323376871645450592041015625	0.005594782844575228730743532423730357550084590911865234375	0.0741600311593899330642187806006404571235179901123046875	-2.725990184764587	6.8878803835136235	SPI1
Fc-epsilon receptor signaling pathway (GO:0038095)	1/295	0.1121032965371503153928500751135288737714290618896484375	0.13952272495831430365598180287634022533893585205078125	0.0995198233954233402176470235644956119358539581298828125	0.1238641910286746028457827151214587502181529998779296875	-3.477294189772235	6.848627534019385	TAB3
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	1/16	0.00638322266472114187296771348201218643225729465484619140625	0.07991878227559878755670297323376871645450592041015625	0.005943623515700568495090383436263437033630907535552978515625	0.0741600311593899330642187806006404571235179901123046875	-2.653520737669106	6.704768615231101	MTCH2
forebrain morphogenesis (GO:0048853)	1/12	0.00479076877405600586035117061101118451915681362152099609375	0.07991878227559878755670297323376871645450592041015625	0.004547673186165060270347293425174939329735934734344482421875	0.0741600311593899330642187806006404571235179901123046875	-2.6468770135035777	6.687981622523287	UCHL5
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/13	0.005189091460439864030018686236189751070924103260040283203125	0.07991878227559878755670297323376871645450592041015625	0.004896807700505263587220650123299492406658828258514404296875	0.0741600311593899330642187806006404571235179901123046875	-2.6428671059327984	6.677849611098286	SPI1
negative regulation of histone acetylation (GO:0035067)	1/11	0.004392306542549431931654613237014928017742931842803955078125	0.07991878227559878755670297323376871645450592041015625	0.00419844068319302592129371731743958662264049053192138671875	0.0741600311593899330642187806006404571235179901123046875	-2.5988706497111593	6.5666818125321615	SPI1
apoptotic process involved in morphogenesis (GO:0060561)	1/17	0.006780987587020502992130044361829277477227151393890380859375	0.07991878227559878755670297323376871645450592041015625	0.006292366280190660361715249138114813831634819507598876953125	0.0741600311593899330642187806006404571235179901123046875	-2.5872537757706318	6.5373289415717615	SPI1
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	1/28	0.0111472147520225196848375759373084292747080326080322265625	0.08433913064919758284521122959631611593067646026611328125	0.0101220807592146654074749534402144490741193294525146484375	0.07601729130504468467943723908319952897727489471435546875	-2.635742561510266	6.517952394002241	TAB3
lymphoid progenitor cell differentiation (GO:0002320)	1/12	0.00479076877405600586035117061101118451915681362152099609375	0.07991878227559878755670297323376871645450592041015625	0.004547673186165060270347293425174939329735934734344482421875	0.0741600311593899330642187806006404571235179901123046875	-2.562380168300141	6.474479693646826	SPI1
anatomical structure regression (GO:0060033)	1/13	0.005189091460439864030018686236189751070924103260040283203125	0.07991878227559878755670297323376871645450592041015625	0.004896807700505263587220650123299492406658828258514404296875	0.0741600311593899330642187806006404571235179901123046875	-2.5322085429902312	6.398243708912788	SPI1
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	1/34	0.01352170695173389447507616978327860124409198760986328125	0.08433913064919758284521122959631611593067646026611328125	0.01220603355452901279953881186202124808914959430694580078125	0.07601729130504468467943723908319952897727489471435546875	-2.5786005118446855	6.376645285768365	TAB3
