Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Synostosis involving bones of the hand (HP:0004278)	1/35	0.0190871742967954859115931043334057903848588466644287109375	0.0734189395957015877858253816157230176031589508056640625	0.023109475360197050120003581241689971648156642913818359375	0.0882137756751354140671850245780660770833492279052734375	-2.173327692426127	5.675804669333136	FGF16
Increased number of teeth (HP:0011069)	1/20	0.0109478882443844009741962253201563726179301738739013671875	0.071161273588498608066998940557823516428470611572265625	0.0135133585824265857466830453859074623323976993560791015625	0.087836830785772812557610222938819788396358489990234375	-2.144290992363629	5.6669462128462085	AMMECR1
Glomerulopathy (HP:0100820)	1/52	0.0282380536906544597763879522744900896213948726654052734375	0.0734189395957015877858253816157230176031589508056640625	0.033928375259667464813873039020108990371227264404296875	0.0882137756751354140671850245780660770833492279052734375	-2.132689613016206	5.569675344394531	AMMECR1
Abnormality of the 4th metacarpal (HP:0010012)	1/12	0.00658187629745509740486486549571054638363420963287353515625	0.071161273588498608066998940557823516428470611572265625	0.0083762519925993199343405848367183352820575237274169921875	0.087836830785772812557610222938819788396358489990234375	-2.074613056048289	5.482800908534734	FGF16
Patent ductus arteriosus (HP:0001643)	1/125	0.06665749506792388590081799293329822830855846405029296875	0.08665474358830105305884217159473337233066558837890625	0.07970123735364527395308442692112294025719165802001953125	0.1036116085597388603023460973417968489229679107666015625	-2.2366629476751974	5.470482843915524	AMMECR1
Proteinuria (HP:0000093)	1/115	0.06147750427271599094058984746880014427006244659423828125	0.08665474358830105305884217159473337233066558837890625	0.0734966448503441005524194906683987937867641448974609375	0.1036116085597388603023460973417968489229679107666015625	-2.23137301365519	5.457544598869719	AMMECR1
Tapered finger (HP:0001182)	1/42	0.022864628496410320523946069215526222251355648040771484375	0.0734189395957015877858253816157230176031589508056640625	0.02757161233723963433828174629525165073573589324951171875	0.0882137756751354140671850245780660770833492279052734375	-2.022298438712237	5.281380696168614	AMMECR1
Malar flattening (HP:0000272)	1/187	0.09819755916930257566566098148541641421616077423095703125	0.10692308444674665512952316248629358597099781036376953125	0.1177044446056414173096271724716643802821636199951171875	0.1281700694133483808823115168706863187253475189208984375	-2.315769133333055	5.177238934498448	AMMECR1
Downslanted palpebral fissures (HP:0000494)	1/188	0.09869823179699692416999567967650364153087139129638671875	0.10692308444674665512952316248629358597099781036376953125	0.118310833304629270390506690091569907963275909423828125	0.1281700694133483808823115168706863187253475189208984375	-2.290301476827853	5.120302281819522	AMMECR1
Thick lower lip vermilion (HP:0000179)	1/97	0.052087613964566174817871768709665047936141490936279296875	0.08665474358830105305884217159473337233066558837890625	0.06227584828267405947510582109316601417958736419677734375	0.1036116085597388603023460973417968489229679107666015625	-2.0664381699443912	5.054143078841124	AMMECR1
Depressed nasal bridge (HP:0005280)	1/228	0.1185191325178075183455206342841847799718379974365234375	0.1185191325178075183455206342841847799718379974365234375	0.142395450063083128799945598075282759964466094970703125	0.142395450063083128799945598075282759964466094970703125	-2.344796158348303	5.0007019240735175	AMMECR1
X-linked recessive inheritance (HP:0001419)	1/111	0.059398200439566679886826960910184425301849842071533203125	0.08665474358830105305884217159473337233066558837890625	0.0710089711755118313529777651638141833245754241943359375	0.1036116085597388603023460973417968489229679107666015625	-2.028453122098059	4.961238355407199	FGF16
Hematuria (HP:0000790)	1/65	0.035183344232272574514386320743142277933657169342041015625	0.07623057916992391491728398023042245768010616302490234375	0.042161003390883446118042598982356139458715915679931640625	0.09134884068024747005853924974871915765106678009033203125	-1.8693769710008956	4.811762481268235	AMMECR1
