Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0000428_abnormal_craniofacial_morphol_	1/896	0.396077212338698136928627491215593181550502777099609375	0.61685348510565918278558683596202172338962554931640625	0.23690836372638324203165893777622841298580169677734375	0.397699384570672054284301566440262831747531890869140625	-1.8034951927627156	0.8713113545704532	FGF16
MP0002108_abnormal_muscle_morphology_	1/644	0.302407110743476092995507542582345195114612579345703125	0.61685348510565918278558683596202172338962554931640625	0.174631259368421665190140856793732382357120513916015625	0.397699384570672054284301566440262831747531890869140625	-1.6424919307017787	0.7935268553826953	FGF16
MP0004196_abnormal_prenatal_growth/weig_	2/786	0.067067277772016431480750497939880006015300750732421875	0.61685348510565918278558683596202172338962554931640625	0.0163083173244127806189585072615955141372978687286376953125	0.19569980789295338130528989495360292494297027587890625	-1.5357520363932613	0.7419582777286612	FGF16;UCHL5
MP0002106_abnormal_muscle_physiology_	1/671	0.3130394152455762135645045418641529977321624755859375	0.61685348510565918278558683596202172338962554931640625	0.1814601182103332543960050315945409238338470458984375	0.397699384570672054284301566440262831747531890869140625	-1.4887122151290022	0.7192322230383086	FGF16
MP0001672_abnormal_embryogenesis/_devel_	2/1271	0.1517681730294004605053004297587904147803783416748046875	0.61685348510565918278558683596202172338962554931640625	0.04118866086332999276731214877145248465240001678466796875	0.2471319651799799566038728926287149079144001007080078125	-1.2846316076749908	0.6206360353490459	FGF16;UCHL5
MP0001544_abnormal_cardiovascular_syste_	1/1130	0.472661591247055368203433545204461552202701568603515625	0.61685348510565918278558683596202172338962554931640625	0.2918572419836926723490932999993674457073211669921875	0.397699384570672054284301566440262831747531890869140625	-1.2774463932014002	0.61716468761217	FGF16
MP0002127_abnormal_cardiovascular_syste_	1/1223	0.5005632455026252092267213811282999813556671142578125	0.61685348510565918278558683596202172338962554931640625	0.312941410660022734102625463492586277425289154052734375	0.397699384570672054284301566440262831747531890869140625	-1.0873309778806048	0.5253154158688209	FGF16
MP0002169_no_abnormal_phenotype_	1/1371	0.542209168626957449532710597850382328033447265625	0.61685348510565918278558683596202172338962554931640625	0.34562482559191864961434248471050523221492767333984375	0.397699384570672054284301566440262831747531890869140625	-0.633941968945111	0.3062724191875894	ENOX2
MP0002873_normal_phenotype_	1/1371	0.542209168626957449532710597850382328033447265625	0.61685348510565918278558683596202172338962554931640625	0.34562482559191864961434248471050523221492767333984375	0.397699384570672054284301566440262831747531890869140625	-0.5668507120989118	0.273859039813427	ENOX2
MP0000001_mammalian_phenotype_	1/1459	0.565449028013520926805313138174824416637420654296875	0.61685348510565918278558683596202172338962554931640625	0.36455776918978266554205447391723282635211944580078125	0.397699384570672054284301566440262831747531890869140625	-0.5136544314665393	0.24815865340712917	ENOX2
MP0003632_abnormal_nervous_system_	1/1867	0.65981644790077298434738395371823571622371673583984375	0.65981644790077298434738395371823571622371673583984375	0.44757699054436039798332558348192833364009857177734375	0.447576990544360342472174352224101312458515167236328125	-0.4493927010753601	0.1868546053458871	UCHL5
MP0010769_abnormal_survival_	2/3156	0.53720879657032682974460158220608718693256378173828125	0.61685348510565918278558683596202172338962554931640625	0.2202627989065576163962845157584524713456630706787109375	0.397699384570672054284301566440262831747531890869140625	-0.29520020130974883	0.1426182272649444	FGF16;UCHL5
