Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
regulation of MHC class II biosynthetic process (GO:0045346)	1/11	0.003295877268486783161216546744753941311500966548919677734375	0.0274006562933060658637796080938642262481153011322021484375	0.00419844068319302592129371731743958662264049053192138671875	0.03519735914360754003293862979262485168874263763427734375	-2.7722713863756443	9.97238223309979	SPI1
macrophage differentiation (GO:0030225)	1/15	0.00449213142930970747712660084971503238193690776824951171875	0.0274006562933060658637796080938642262481153011322021484375	0.005594782844575228730743532423730357550084590911865234375	0.03519735914360754003293862979262485168874263763427734375	-2.7687559401714723	9.959736511097177	SPI1
regulation of DNA methylation (GO:0044030)	1/15	0.00449213142930970747712660084971503238193690776824951171875	0.0274006562933060658637796080938642262481153011322021484375	0.005594782844575228730743532423730357550084590911865234375	0.03519735914360754003293862979262485168874263763427734375	-2.7516121230551245	9.898066972516363	SPI1
granulocyte differentiation (GO:0030851)	1/15	0.00449213142930970747712660084971503238193690776824951171875	0.0274006562933060658637796080938642262481153011322021484375	0.005594782844575228730743532423730357550084590911865234375	0.03519735914360754003293862979262485168874263763427734375	-2.7421151115338396	9.86390443365821	SPI1
negative regulation of protein acetylation (GO:1901984)	1/15	0.00449213142930970747712660084971503238193690776824951171875	0.0274006562933060658637796080938642262481153011322021484375	0.005594782844575228730743532423730357550084590911865234375	0.03519735914360754003293862979262485168874263763427734375	-2.6817442638414666	9.646739125859222	SPI1
nucleobase-containing small molecule interconversion (GO:0015949)	1/18	0.0053885366614510911420499184032451012171804904937744140625	0.0274006562933060658637796080938642262481153011322021484375	0.006641011159171233101117248764921896508894860744476318359375	0.03519735914360754003293862979262485168874263763427734375	-2.62604038929645	9.446361799325624	GSR
forebrain morphogenesis (GO:0048853)	1/12	0.0035950530518263040628823556943416406284086406230926513671875	0.0274006562933060658637796080938642262481153011322021484375	0.004547673186165060270347293425174939329735934734344482421875	0.03519735914360754003293862979262485168874263763427734375	-2.6175849565858207	9.415946015592816	UCHL5
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0274006562933060658637796080938642262481153011322021484375	0.004896807700505263587220650123299492406658828258514404296875	0.03519735914360754003293862979262485168874263763427734375	-2.617292480460395	9.41489392389244	SPI1
regulation of mitochondrial membrane permeability involved in apoptotic process (GO:1902108)	1/16	0.00479100794706440423487148194681140012107789516448974609375	0.0274006562933060658637796080938642262481153011322021484375	0.005943623515700568495090383436263437033630907535552978515625	0.03519735914360754003293862979262485168874263763427734375	-2.6089036060076007	9.384717562746888	MTCH2
negative regulation of histone acetylation (GO:0035067)	1/11	0.003295877268486783161216546744753941311500966548919677734375	0.0274006562933060658637796080938642262481153011322021484375	0.00419844068319302592129371731743958662264049053192138671875	0.03519735914360754003293862979262485168874263763427734375	-2.5988706497111593	9.348627129606825	SPI1
apoptotic process involved in morphogenesis (GO:0060561)	1/17	0.005089809686274901316671570583594075287692248821258544921875	0.0274006562933060658637796080938642262481153011322021484375	0.006292366280190660361715249138114813831634819507598876953125	0.03519735914360754003293862979262485168874263763427734375	-2.5485145189667544	9.167486644576725	SPI1
lymphoid progenitor cell differentiation (GO:0002320)	1/12	0.0035950530518263040628823556943416406284086406230926513671875	0.0274006562933060658637796080938642262481153011322021484375	0.004547673186165060270347293425174939329735934734344482421875	0.03519735914360754003293862979262485168874263763427734375	-2.5353128883845693	9.119997893326492	SPI1
anatomical structure regression (GO:0060033)	1/13	0.0038941539965789613055024975807327791699208319187164306640625	0.0274006562933060658637796080938642262481153011322021484375	0.004896807700505263587220650123299492406658828258514404296875	0.03519735914360754003293862979262485168874263763427734375	-2.5050263556540946	9.011051531730038	SPI1
lateral ventricle development (GO:0021670)	1/11	0.003295877268486783161216546744753941311500966548919677734375	0.0274006562933060658637796080938642262481153011322021484375	0.00419844068319302592129371731743958662264049053192138671875	0.03519735914360754003293862979262485168874263763427734375	-2.481385089073209	8.926009443867414	UCHL5
myeloid dendritic cell differentiation (GO:0043011)	1/17	0.005089809686274901316671570583594075287692248821258544921875	0.0274006562933060658637796080938642262481153011322021484375	0.006292366280190660361715249138114813831634819507598876953125	0.03519735914360754003293862979262485168874263763427734375	-2.4578965815845013	8.841516859225962	SPI1
protein modification by small protein removal (GO:0070646)	2/93	0.000316992146664858633238470719817314602551050484180450439453125	0.0168005837732375061521761239191619097255170345306396484375	0.0004329356568899663730391746963022114869090728461742401123046875	0.0229455898151682165242437605456871096976101398468017578125	-2.1434903387020854	8.759033836199714	USP51;UCHL5
protein deubiquitination (GO:0016579)	2/80	0.00023455733806176264945320131261041751713491976261138916015625	0.0168005837732375061521761239191619097255170345306396484375	0.0003226002243500996767740229831389342507463879883289337158203125	0.0229455898151682165242437605456871096976101398468017578125	-2.1413302735958535	8.750207072200705	USP51;UCHL5
