Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	146/385	0.00000000000000000000000000000006216009257711550546174398240613502731579235358476037773006738359241208707640856628677539230665161085198633372783660888671875	0.000000000000000000000000000292152435112442880487160188425393309684544504407460476607217128084859774674042487419001190573908388614654541015625	0.000000000000000000000428938640410489268727769013065248248919871226268407134237111398566977271684663719497621059417724609375	0.000000000000000002016011609929299479889553871254494206374346851104299195578395398342763655818998813629150390625	-2.3796226226475388	150.86873363528082	SEMA5A;NCKAP1;TRAF3IP1;IHH;CELSR1;HOXA11;YY1;HOXA10;EDNRA;FGF8;PITX2;HOXA6;MNX1;HOXA5;HOXA4;ACVR1;MSX2;WNT5A;HNF1B;TBR1;OVOL2;SFRP1;SFRP2;HOXB9;SMO;ROR2;LMX1B;NBL1;HOXB7;HOXB6;DLX2;FOXG1;GATA4;BHLHE22;EFNB1;WNT6;PPP3R1;T;ALX3;DVL2;PLXNA2;NKX2-1;ALX4;OTX2;OTX1;HOXC8;SMAD2;EGR2;DNAH11;SMAD3;FOXF1;WNT3A;PBX3;NR2F2;NFATC4;CYP26A1;BMP2;MAFB;LHX2;BMPR1B;SIM2;HOXD9;FGFR2;HOXD8;BMPR1A;FGF10;MESP1;RARG;FLT1;CITED1;HOXC13;PKD2;PCSK5;HOXC11;GLI3;GLI2;LFNG;ZIC3;SIX2;ZIC1;SIX3;FEZF2;NKX3-2;EMX1;EMX2;LEFTY1;FOXD1;NOG;ATP6AP2;SHROOM3;EN1;PAX3;PAX6;AXIN2;PAX1;GREM1;DMRTA2;RIPPLY2;CYP26C1;NRG3;PAX7;ALDH1A2;DSCAML1;CRB2;FOXC2;FOXC1;SEMA3C;LEF1;HOXD12;BARX1;MLLT3;HOXD11;CXXC4;DLL1;HOXD10;DLL3;LRP6;GNA13;RELN;GBX2;ERBB4;GSC;GPC3;MSX1;IRX1;TBX1;IRX2;GDF11;FOXB1;TCF7L1;CDX2;CDX1;IRX3;WNT7B;IRX4;GSX2;PCDH8;WNT7A;UNCX;FBXL15;TBX5;TBX18;TBX3;SKI;BCOR;FOXA2
embryonic morphogenesis (GO:0048598)	145/403	0.00000000000000000000000000006838194441770255716226751518131208970440006937578071460101920892809925349464274246802375500919879414141178131103515625	0.000000000000000000000000146178004418124912566082423051492350398797924099677874265400871238375531124820128070496139116585254669189453125	0.00000000000000000003043992114432880171461939838457367355640410919725505627282668985600366795551963150501251220703125	0.0000000000000000687108775336393596304724807343263429053470747807745577784288570910575799643993377685546875	-2.4322485220009846	139.08806465752676	NCKAP1;TRAF3IP1;GFI1;IHH;CELSR1;HOXA13;FGF3;HOXA11;FGF4;HOXA10;SALL1;FGF8;SALL4;SOX9;PITX2;EPHB2;HOXA6;PITX1;HOXA5;HOXA4;ACVR1;PDGFRA;OSR2;MSX2;WNT5A;SOX11;HNF1B;HSPG2;RUNX2;OVOL2;BCR;SFRP1;RBP4;SFRP2;SMO;KCNQ4;ROR2;HOXB7;HOXB6;FBN2;DLX2;FOXG1;TCF7;HPN;CHRD;TWIST1;GATA4;GATA2;SOCS3;T;RDH10;ALX3;DVL2;ALX4;DVL3;OTX2;OTX1;SMAD2;JAG2;SMAD3;FOXF1;WNT3A;ESRRB;FOXN4;MAFB;GJB6;SP3;GNAS;SP9;HOXD9;FGFR2;FGFR1;BMPR1A;FGF10;CDKN1C;MESP1;HMX3;RARG;FLT1;FOXE1;TENM4;ADM;PKD2;HOXC11;GLI3;GLI2;ZIC3;SIX2;ZIC1;SIX3;RSPO2;RSPO3;TEAD1;TEAD2;NKX3-2;OFD1;NOG;WNT9B;EN1;FOXL2;PAX6;MMP14;COL2A1;ALDH1A2;HAND1;DSCAML1;HMX2;FOXC2;LAMA5;LUZP1;HDAC1;LEF1;HOXD12;HOXD11;NTN1;DLL1;HOXD10;LRP6;GBX2;HLX;FRZB;NSD1;GSC;LRIG1;GPC3;MSX1;TBX1;TCF7L2;IRX5;WNT7B;KDF1;PRRX2;PCDH8;WNT7A;TBX5;TBX4;GRHL2;TBX18;TBX3;TBX2;POU4F3;SKI;TBX15;NEUROG1;MIXL1
regionalization (GO:0003002)	106/247	0.00000000000000000000000000010195162667630225024592219729340102413962823102760709319044626628299640941181791742309314940939657390117645263671875	0.000000000000000000000000146178004418124912566082423051492350398797924099677874265400871238375531124820128070496139116585254669189453125	0.00000000000000000024040871434155167047088785649934455171209113177895988315568853721515552024357020854949951171875	0.000000000000000282480239351323191136581357030326501381955225759845529154290488804690539836883544921875	-2.403182143155376	137.425904584792	NCKAP1;TRAF3IP1;CELSR1;HOXA11;YY1;HOXA10;FGF8;HOXA6;MNX1;HOXA5;HOXA4;MSX2;WNT5A;TBR1;HNF1B;OVOL2;HOXB9;SMO;ROR2;LMX1B;NBL1;HOXB7;HOXB6;DLX2;FOXG1;GATA4;BHLHE22;T;NKX2-1;PLXNA2;ALX4;OTX2;OTX1;HOXC8;SMAD2;EGR2;SMAD3;FOXF1;WNT3A;PBX3;NR2F2;CYP26A1;BMP2;MAFB;LHX2;BMPR1B;HOXD9;BMPR1A;MESP1;RARG;HOXC13;PCSK5;HOXC11;GLI3;GLI2;LFNG;ZIC3;SIX3;FEZF2;EMX1;EMX2;FOXD1;ATP6AP2;NOG;EN1;PAX3;PAX6;AXIN2;PAX1;GREM1;DMRTA2;RIPPLY2;CYP26C1;PAX7;ALDH1A2;DSCAML1;CRB2;FOXC2;FOXC1;SEMA3C;LEF1;HOXD11;MLLT3;BARX1;DLL1;HOXD10;DLL3;LRP6;RELN;GSC;MSX1;IRX1;TBX1;IRX2;FOXB1;GDF11;CDX2;CDX1;WNT7B;GSX2;PCDH8;WNT7A;FBXL15;TBX3;TBX18;FOXA2
organ morphogenesis (GO:0009887)	145/405	0.0000000000000000000000000001244068122707446113050043893589327657596720203596048424586124205060084084201350862475266012552310712635517120361328125	0.000000000000000000000000146178004418124912566082423051492350398797924099677874265400871238375531124820128070496139116585254669189453125	0.000000000000000000043858006936365551194790633757505805147724882942142281901272415911563484769430942833423614501953125	0.0000000000000000687108775336393596304724807343263429053470747807745577784288570910575799643993377685546875	-2.356642448995133	134.76453345764415	NCKAP1;GMNN;ZFAND5;IHH;AQP5;HOXA11;FGF4;TGM1;YY1;COMP;SOX3;COL4A3BP;FGF8;SOX9;PITX2;EPHB2;HOXA6;EPHB1;HOXA5;HOXA4;PDGFRA;OSR2;TLE1;SOX11;HNF1B;HSPG2;RUNX2;OVOL2;RBP4;SMO;COL8A2;ROR2;LY6H;HOXB7;HOXB6;DLX2;DLX3;TCF7;TWIST1;GATA4;EFNB2;WNT6;T;ALX3;DVL2;ALX4;NKX6-1;HOXC8;NKX2-3;STRA6;SMAD2;JAG2;SMAD3;CDSN;BCL11B;FOXF1;IGF2;FGF16;BMP2;LHX3;COL5A1;GJB6;SP3;GNAS;SDC1;DCHS1;LHX4;FAT4;HOXD9;PAM;LHX9;HOXD8;FGFR2;LHX8;FGFR1;BMPR1A;FGF10;COL18A1;RARG;EDA;ONECUT2;FOXE1;ITGB4;FHL1;ADM;HOXC13;HOXC11;GLI3;GLI2;LFNG;SIX6;SIX2;SCN5A;NKX3-2;MYBPC3;EMX1;LEFTY1;NOG;SHROOM2;WNT9B;PAX3;FOXL2;PAX6;FOXL1;AXIN2;MMP14;COL2A1;ALDH1A2;HAND1;FAM20C;EVL;DSCAML1;STK40;LAMA5;SLC24A4;FOXC1;HDAC1;LEF1;PRKX;HOXD11;HOXD10;FGD1;LRP6;HLX;GSC;SLIT3;GCNT4;CTNNA2;MSX1;TBX1;GDF11;TCF7L2;IRX5;CDX2;CDX1;WNT7B;PRRX2;WNT7A;TBX4;GRHL2;TBX3;TBX2;SKI;TBX15;BCOR
synaptic transmission (GO:0007268)	142/434	0.000000000000000000000012705920425445971145333697235059553541594622788073655221632410100736365610174516405095346271991729736328125	0.00000000000000000000995297099993267827586009007378989581421301609095300742639789159937890872242860496044158935546875	0.0000000000000000628122860092930715154943310536504448932499411234649244750727348218788392841815948486328125	0.000000000000059043548848735484512855309493203337096838001496479364504921250045299530029296875	-2.339576915952132	107.75252736191086	KCNG3;CDH8;RPS6KA3;CRHBP;GPR176;HTR6;HTR7;RPS6KA1;BSN;SCN1B;CHRNB2;UNC13B;KCNH3;KCNH5;KCNH8;KCNK13;TMOD2;PRKCA;CARTPT;GABRG3;CACNB3;ADCY9;CACNB4;KCNQ1;KCNQ3;KCNQ4;AMPH;RAF1;SHC3;CNP;CHRNA4;SLC1A1;SLC1A2;CACNA1B;LPAR3;SLC1A6;CPLX1;CACNA1E;CACNA1G;GJC1;GNG10;NPBWR1;MBP;KCNN2;APOE;NPTX1;DRD1;KCNN3;NPTX2;DRD2;ASIC2;NTSR1;GRIA4;DRD5;SYT5;KCNF1;EGR3;SYT1;GRIN2C;GRIN2B;SLC6A5;GRIN3B;GRIN3A;GNAL;FGF14;DLG3;CNIH3;FGF12;GABRB3;SNAP25;DOC2A;KCNC1;KCNK9;KCNC3;KCNC4;RASGRF1;GRIK3;HTR2C;SLC6A1;AP2A2;SLC6A2;SLC6A3;GRM4;NEFL;DLGAP2;SLC18A3;GRID2;NPY5R;GRID1;SYN2;PLCB3;ADORA2A;KCNMA1;HAP1;CAMK2B;HCN4;KCNA2;ADCY2;AKAP5;ADCY8;KCNA7;ADCY7;NCALD;CAMKK1;ADCY5;LRP6;RASD2;NPY;NTF3;SLITRK5;SNCB;CACNG4;GABRA2;KCNJ4;GABBR2;GABRA1;KCNJ6;SLC12A5;KCNIP1;KCNJ11;GABRA5;KCNIP2;KCNB1;KCNJ12;GAD1;KCNB2;PCDH8;HCRTR1;GLRB;NOVA1;KCNS2;P2RX2;CAMK4;KCNS3;PMP22;APBA3;KCNK1;APBA2;KCNK2;HCN2;CBLN1;KCNK4
neuron differentiation (GO:0030182)	92/222	0.000000000000000000000009100914404985923871707683768938057973608754569800146978268709182548212854868552312836982309818267822265625	0.0000000000000000000085548595406867690565397569245027161787789113372911190143720039369412688756710849702358245849609375	0.00000000000000033472030194038526729632762044803382174468060436013649994180241264984942972660064697265625	0.0000000000002621975698533018148364311865901658704538883248869041153739090077579021453857421875	-2.315826130025964	107.00920161994253	BARHL2;GFI1;PCSK9;CHD5;KNDC1;FZD10;NR2E1;SALL1;FGF8;PSD2;AIFM1;SOX9;ATP7A;PITX2;EMX1;EMX2;GRID2;AGTPBP1;EDN3;WNT5B;WNT5A;WNT9B;PAX3;SOX11;UNC5D;OLIG2;POU3F2;DMRTA2;SMO;LMX1A;PAX7;SNPH;ALDH1A2;PEX5;LMX1B;EPHA2;BRSK2;CEBPB;RTN1;NFIX;HOXD1;LEF1;BHLHE22;GATA2;LRP6;WNT6;ATXN2;ERBB4;GBX1;NTF3;NNAT;FGF20;NKX2-1;SPOCK1;PROM1;WNT2;HOXC8;WNT4;NKX2-2;FZD1;IRX5;HELT;GSX1;BCL11B;BDNF;WNT3A;FZD4;WNT7B;GSX2;UNCX;WNT7A;FZD8;ATP2B2;FOXN4;SMARCA1;USH2A;POU4F1;POU4F2;POU4F3;GDF7;LHX3;TLX1;ID4;LHX5;LHX4;PTF1A;MDGA1;NEUROG1;VSX1;FOXA2;VSX2;CBLN1
tissue morphogenesis (GO:0048729)	122/358	0.000000000000000000000384138548043649901645592042725104325820356435198084043449568390771187154086874215863645076751708984375	0.000000000000000000257921596543593493084865224650108821058094542540690247665879919480858006863854825496673583984375	0.000000000000000945392322381557998776065524386450989043515435138187452679403577349148690700531005859375	0.00000000000063476341645618895093821706815375032514729702892708473882521502673625946044921875	-2.3633914380258676	101.15700895623891	SEMA5A;NCKAP1;IHH;CELSR1;NR3C1;HOXA13;HOXA11;EDNRA;SALL1;FGF8;SOX9;PITX2;HOXA5;ACVR1;MSX2;TPM1;WNT5A;SOX11;HNF1B;NPNT;OVOL2;SFRP1;SFRP2;SMO;PKP2;EPHA2;PDGFB;TWIST1;GATA4;HOXB13;ADAMTS16;WNT6;SOCS3;PPP3R1;T;RDH10;DVL2;NKX2-1;PLXNA1;DVL3;WNT2;WNT4;SMAD2;JAG2;TFAP2C;SMAD3;FOXF1;WNT3A;FOXN4;SMAD7;NFATC4;GDF7;BMP2;GDNF;DLG5;DCHS1;FAT4;FGFR2;FGFR1;FGF10;DDR1;ACVRL1;MESP1;RARG;FLT1;CITED1;ADM;PKD2;GLI3;GLI2;ZIC3;RSPO2;RSPO3;TEAD1;TEAD2;DSP;MYBPC3;FOXD1;NOG;RIPK4;WNT9B;CYP7B1;MMP14;PAX7;ALDH1A2;HAND1;FOXC2;LAMA5;FOXC1;SEMA3C;LUZP1;LEF1;PRKX;HOXD11;NTN1;DLL1;EGFR;LRP6;GNA13;RXRA;GBX2;FRZB;GPC3;GCNT4;MSX1;SLC12A2;TBX1;TCF7L1;EGF;WNT7B;KDF1;PCDH8;KLF4;TBX5;TBX4;POU4F1;TBX18;TBX3;TBX2;LGR4;FOXA2;GZF1
anterior/posterior pattern specification (GO:0009952)	68/150	0.000000000000000000017021703050963174373591073931006628784209887519602983599505130474227598824654705822467803955078125	0.000000000000000010000250542440865525273004788742206347916657228533897361355542443561716936528682708740234375	0.00000000000009374304402833070340276333721760815327768943949759972156243748031556606292724609375	0.000000000055074038366644286065556474963584112670977877002087552682496607303619384765625	-2.3000546749330257	90.03315970331549	NCKAP1;RARG;HOXC13;CELSR1;PCSK5;HOXC11;GLI3;HOXA11;LFNG;YY1;HOXA10;ZIC3;SIX3;FEZF2;HOXA6;HOXA5;HOXA4;EMX2;MSX2;ATP6AP2;WNT5A;PAX6;HNF1B;AXIN2;PAX1;HOXB9;CYP26C1;RIPPLY2;SMO;ALDH1A2;ROR2;HOXB7;HOXB6;CRB2;FOXC2;FOXC1;SEMA3C;LEF1;GATA4;HOXD11;BARX1;MLLT3;DLL1;HOXD10;DLL3;LRP6;T;PLXNA2;ALX4;OTX1;MSX1;HOXC8;SMAD2;TBX1;GDF11;FOXB1;SMAD3;CDX2;CDX1;FOXF1;PCDH8;PBX3;NR2F2;TBX18;CYP26A1;BMP2;HOXD9;BMPR1A
morphogenesis of an epithelium (GO:0002009)	102/296	0.0000000000000000004093888953963811496558377332504984503477238873153675781380034237599829793907701969146728515625	0.000000000000000192412780836299126856734123917083300271584628943731531958150071659474633634090423583984375	0.00000000000013083190226718961932324581079903637304516494932471459833323024213314056396484375	0.00000000006832332673953235810401764610557914271515844717441723332740366458892822265625	-2.33264954659663	84.41132954073487	SEMA5A;IHH;CELSR1;NR3C1;HOXA13;HOXA11;EDNRA;SALL1;FGF8;SOX9;PITX2;HOXA5;ACVR1;MSX2;WNT5A;SOX11;HNF1B;NPNT;OVOL2;SFRP1;SFRP2;SMO;EPHA2;PDGFB;GATA4;HOXB13;ADAMTS16;WNT6;SOCS3;PPP3R1;T;RDH10;NKX2-1;DVL2;PLXNA1;DVL3;WNT4;JAG2;TFAP2C;SMAD3;FOXF1;WNT3A;FOXN4;GDF7;NFATC4;BMP2;GDNF;DLG5;DCHS1;FAT4;FGFR2;FGFR1;FGF10;DDR1;ACVRL1;MESP1;RARG;FLT1;CITED1;ADM;PKD2;GLI3;GLI2;ZIC3;RSPO2;RSPO3;TEAD1;TEAD2;FOXD1;NOG;RIPK4;WNT9B;CYP7B1;MMP14;ALDH1A2;HAND1;FOXC2;LAMA5;SEMA3C;LUZP1;LEF1;PRKX;HOXD11;NTN1;DLL1;EGFR;LRP6;GNA13;GBX2;FRZB;GPC3;SLC12A2;EGF;KDF1;PCDH8;TBX5;TBX4;TBX3;TBX18;LGR4;FOXA2;GZF1
axon guidance (GO:0007411)	116/367	0.00000000000000000330759345973373613180797572265967320146547628093003888538614631897871731780469417572021484375	0.000000000000001295474105062379941560502411182657448379275237117236319051016835146583616733551025390625	0.0000000000003368367858962628140221152252631246122875803561402818786518764682114124298095703125	0.0000000001439211721556759182634442794358428131806793004443534300662577152252197265625	-2.3874917256389723	81.84297679986636	SEMA5A;ARHGAP35;RPS6KA4;RPS6KA3;FGF8;OPHN1;DPYSL4;RPS6KA1;NRCAM;EPHB2;EPHB1;SCN1B;MNX1;EPHB3;UNC5A;EPHA8;SEMA6D;WNT5A;UNC5C;TBR1;UNC5D;ANK1;CACNB3;CACNB4;COL4A2;LMX1A;COL4A4;SCN8A;KCNQ3;RAF1;SPTBN4;ARX;EFNA5;CACNA1H;CACNA1G;EFNB2;CACNA1I;EFNB1;EFNB3;FLRT2;NKX2-1;PLXNA2;ABL1;MYH14;PLXNA1;OTX2;SPTBN2;EGR2;BCL11B;WNT3A;BDNF;ST8SIA2;GDF7;LHX3;DLG3;COL5A1;GDNF;LHX2;COL5A3;CNTN2;PLXNB1;COL9A3;LHX4;COL9A2;BMPR1B;LHX9;FGFR1;ROBO3;NRP2;PTPRM;AP2A2;GLI3;GLI2;ZIC2;NCK2;FEZF2;NEO1;TRPC5;FOXD1;TRPC3;NOG;PAX6;RGMB;GFRA3;SPTB;ENAH;COL2A1;NUMB;B3GNT2;EVL;DOCK1;ITGA9;SEMA3C;NTN4;CRMP1;SEMA3F;NTN1;EGFR;NTN3;PGRMC1;RELN;GBX2;GBX1;GPC1;ERBB2;NTF3;SLIT1;SLIT3;NCAM1;SEMA4D;VAX1;POU4F2;POU4F3;NFIB;AGRN;NEUROG2
