Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002882_abnormal_neuron_morphology_	131/1006	0.0000000000000000000000008633182425030916067784182245774351869518351413543704940131573856258728749679676184314303100109100341796875	0.00000000000000000000037295348076133556237333316479457692107582740884263127522702842286950186689864494837820529937744140625	0.00000000000000000000000000060683238960894282000307153142211298176304632853494440090565514560818510293727090498805409879423677921295166015625	0.00000000000000000000000026215159231106330972076392132325425312882876023808892863914885075515316670280441258000792004168033599853515625	-1.2925943260683388	63.77736478708594	PRRXL1;FMR1;GFI1;IHH;CELSR1;CELSR3;GLDN;NPPC;DPYSL4;OPHN1;PITX2;EPHB2;EPHB1;MNX1;CADPS2;NKX6-2;SLC30A3;CACNA2D2;EBF2;UNC5C;SOX11;LMO7;MAPK8IP2;POU3F1;SOX10;ANK1;PRKAB1;MAPK8IP1;SFRP2;SCN8A;LMX1B;ROR2;RTN4R;DLX2;SHC2;CNP;UGT8A;CHRNA4;HOXB13;EFNA5;APOE;DRD2;FGF22;WNT4;EGR2;BDNF;ATP8B1;ST8SIA2;GRIN2B;KY;NFKB1;NR4A3;GRIN3A;GDNF;TLX3;LHX3;NBEA;TLX2;FEV;GJB6;DLG5;ID4;CNTN2;LHX5;FAT4;SLC26A4;SIM1;FGFR2;BMPR1A;GABRB3;BARHL2;HMX3;UCN;LAMC1;NR2E1;PTPRF;NEFM;CTSF;FEZF2;NKX3-2;SLC18A3;OFD1;EMX1;ELOVL4;GRID1;PAX3;SYN2;UCHL5;BACE1;DNAJC6;ALDH1A2;KCNMA1;HMX2;PLEC;FOXC1;ZFP423;GUCY2E;DBX1;SEZ6;CRMP1;PROKR2;RELN;EGFLAM;GBX2;ERBB4;LMNA;SLIT1;PDE6C;CTNNA2;MSX1;CACNG2;ATOH1;NTRK1;TBX1;NOS3;GDF15;WHRN;GABRA5;HUWE1;ATP2B2;ZIC5;VAX1;PTPN13;POU4F2;POU4F3;NFASC;CAMK4;NEUROG1;CRLF1;FOXA2;CBLN1
MP0002752_abnormal_somatic_nervous_	95/675	0.00000000000000000001949465818402096275028261035994224575319975207797530973759247974186337160062976181507110595703125	0.00000000000000000421084616774852805035754105710931773549004357808903283022505803501189802773296833038330078125	0.000000000000000000000551826109022875381845383393636388162467022086551157003360347681752973159063913044519722461700439453125	0.00000000000000000007946295969929406551816459205133596679513055397468788173913345485033232762361876666545867919921875	-1.500453666468856	60.031452766539516	PRRXL1;HRK;GABRB3;MESP1;BARHL2;HMX3;UCN;GFI1;LAMC1;NR2E1;CELSR1;FGF3;PTPRF;RPGR;NPPC;SIX6;FGF8;NEFM;EPHB2;EPHB1;MNX1;SLC18A3;FOXD3;NKX6-2;ELOVL4;GRID1;CACNA2D2;EBF2;EN1;PAX3;UNC5C;SOX11;LMO7;NAV2;POU3F1;SOX10;PRKAB1;LMX1A;SCN8A;ALDH1A2;KCNMA1;LMX1B;ROR2;HMX2;HOXB5;FOXC2;SHC2;ZFP423;DLX2;FOXC1;GUCY2E;CNP;HPN;EFNA5;HOXB13;DLL3;EFNB1;RELN;EGFLAM;GBX2;ERBB4;LMNA;PDE6C;APOE;CACNG2;ATOH1;NTRK1;EGR2;BDNF;GDF15;ATP8B1;GABRA5;WHRN;UNCX;ATP2B2;ZIC5;VAX1;PTPN13;TBX18;NFKB1;POU4F2;KY;POU4F3;CYP26A1;NFASC;GDNF;LHX3;GJB6;ALPL;CNTN2;FAT4;SLC26A4;NEUROG1;VSX2;BMPR1A
MP0002184_abnormal_innervation_	34/161	0.000000000000525258870105430731816009058645258514275676320348651415770291350781917572021484375	0.0000000000252124257650606767427555687076045861684525650758814663277007639408111572265625	0.00000000000166942703829899083091713718487635192164013353544049778065527789294719696044921875	0.000000000065562952776833103556600505928161730373471272059759940020740032196044921875	-1.7534826518702946	42.79143681106174	GABRB3;PRRXL1;GFI1;SEZ6;HOXB13;EFNA5;CELSR3;NPPC;RELN;GBX2;ERBB4;NPTX1;NPTX2;CACNG2;EPHB2;MNX1;SLC18A3;EGR2;GABRA5;EBF2;SOX11;ATP2B2;UNC5C;PTPN13;POU4F2;POU4F3;GDNF;TLX2;FEV;ALDH1A2;KCNMA1;CNTN2;LMX1B;CBLN1
MP0003635_abnormal_synaptic_transmissio_	64/453	0.0000000000000352999382885095468826685432363692784821164634412316019052013871259987354278564453125	0.0000000000025415955567726873250650371788738325043617571896703566380892880260944366455078125	0.000000000000006363625008575002980271909520390908825054139714982870401627224055118858814239501953125	0.0000000000003436357504630501514683522514489674116121807612156402456093928776681423187255859375	-1.4878837008107773	39.72385985912138	GABRB3;DOC2A;FMR1;RASGRF1;GRIK3;ADRA1D;DOC2B;SLC6A2;CDH8;EPS8;CALB2;NPPC;GRIP1;OPHN1;GRM7;DPYSL4;SLC18A3;CADPS2;KCNH3;EMX1;CACNA2D1;TMOD2;CACNA2D2;EN1;AVPR1A;MAPK8IP2;SYN2;MAPK8IP1;BACE1;BCAN;PRKAR1B;SCN8A;KCNMA1;LMX1B;CHST3;CAMK2B;CHRNA3;CHRNA4;SEZ6;CRMP1;CACNA1H;ERBB4;KCNN2;CTNNA2;CACNG2;DRD2;FGF22;TBX1;BDNF;GABRA5;NOS3;ATP2B2;GRIN2B;NR2F6;SLC6A5;CPEB1;GRIN3A;NBEA;GDNF;NOVA2;CAMK4;SIM1;FGF12;CBLN1
MP0003861_abnormal_nervous_system_	97/855	0.0000000000000157260737015387359980776803082238012257572899732505078418398625217378139495849609375	0.00000000000135873276781294672964939405765682977028467603997086143863270990550518035888671875	0.000000000000000142747834481011958004396627906473649203902029185264677124678200925700366497039794921875	0.000000000000010277844082632860976316557209266102742680946101339056752976830466650426387786865234375	-1.4286175445903238	39.036215294195	FMR1;CELSR1;CELSR3;FGF3;FGFRL1;GRIP1;FGF8;OPHN1;PROK2;PITX2;EPHB2;EPHB1;MNX1;CADPS2;NKX6-2;CACNA2D2;SOX11;UNC5C;PRKAB1;SOX10;HIC1;OVOL2;PYGO1;SFRP2;LMX1A;RFX4;SCN8A;LMX1B;RTN4R;DLX2;EFNA5;HOXB13;ALX1;APOE;DRD2;TRPM6;EGR2;BDNF;WNT3A;ST8SIA2;BMP7;CYP26A1;BMP2;NR4A3;FEV;DLG5;ID4;LHX5;FAT4;FGFR2;BMPR1A;MESP1;NR2E1;LAMC1;PTPRF;NEFM;FEZF2;TEAD1;OFD1;EMX1;SPHK1;EN2;PAX3;SYN2;UCHL5;ADAMTS20;ALDH1A2;PIGA;HAND1;HMX1;FOXC2;FOXC1;ZFP423;LEF1;CRMP1;HOXD12;HOXD11;DLL3;PROKR2;RELN;GBX2;ERBB4;SLIT1;MSX1;CTNNA2;CACNG2;ATOH1;TBX1;NOS3;USP9X;HUWE1;ZIC5;VAX1;BCOR;NEUROG1;MIXL1;FOXA2
MP0002081_perinatal_lethality_	103/981	0.0000000000003334496632592871939042632563545691352512208294189832713527721352875232696533203125	0.0000000000205786077897160084115589271908138414672595484233852403122000396251678466796875	0.000000000000001638848980619683158758168506421129426491601070899062353447561690700240433216094970703125	0.000000000000101140394232529023657756552323791684807751008190468411385154468007385730743408203125	-1.3032534448353763	32.06885651310374	SLC23A1;IHH;CELSR1;CELSR3;FGF3;FGFRL1;TGM1;GRIP1;FGF8;GRB10;PITX2;SOX6;MNX1;HOXA5;OSR2;MORC3;DIO3;SOX11;POU3F1;SOX10;ANK1;HIC1;POU3F3;PYGO1;LOX;SPINT1;RFX4;ADAM12;ROR2;LMX1B;MAGEL2;DLX2;CHRNA4;TWIST2;EFNB1;NUAK1;NKX2-1;ALX1;WNT4;EGR2;BCL11B;BDNF;NR2F2;BMP7;GRIN2B;IGF2R;NFKB1;CYP26A1;LHX3;TLX3;GDNF;NBEA;GNAS;LHX4;FAT4;SIM1;FGFR2;BMPR1A;VSX2;GABRB3;PTH1R;LAMC1;PKD2;SIX2;RSPO2;NKX3-2;SLC18A3;OFD1;FOXD3;FOXD1;ELOVL4;RIPK4;WNT9B;PAX3;ADAMTS20;GREM1;RIPPLY2;PIGA;HMX1;FOXC2;FOXC1;DBX1;MOSPD3;PROKR2;GBX2;ERBB4;GSC;SLIT1;MSX1;CTNNA2;ATOH1;NOS3;WNT7B;HUWE1;UNCX;ZIC5;VAX1;TBX18;NELL1;INSM1;NEUROG1;CRLF1;FOXA2
MP0002116_abnormal_craniofacial_bone_	55/467	0.00000000253337490058607216794948920990208918180286445931415073573589324951171875	0.0000000841859966963987079249199184903529324941473532817326486110687255859375	0.000000000361463865078946854240708663202224538990581237385413260199129581451416015625	0.000000012011722285700387580803408064944459709977309103123843669891357421875	-1.947237912304786	31.720967553287505	DDR1;IHH;PTH1R;CELSR1;FGFRL1;PTPRF;NPPC;RPS6KA3;FGF8;RSPO2;PRKG2;PITX2;NKX3-2;OFD1;FOXD3;OSR2;EMX1;PAX3;SOX11;HIC1;POU3F3;MN1;LMX1A;PAX7;PIGA;ROR2;LMX1B;HMX1;FOXC2;FOXC1;DLX2;HOXD1;LEF1;DLL3;EFNB1;GBX2;GSC;LMNA;ALX1;MSX1;TBX1;EGR2;CDX1;SPRY4;DMRT3;ZIC5;VAX1;BMP7;TBX18;NELL1;GNAS;ALPL;FGFR2;FOXA2;BMPR1A
MP0002066_abnormal_motor_capabilities/c_	132/1482	0.0000000000225384633859402063681991771792033243775044137890972706372849643230438232421875	0.000000000973661618272616827218264370382393158021017143255448900163173675537109375	0.0000000000000110958282480048348968143458688936819531677124839319503735168837010860443115234375	0.000000000000532599755904232075047088601706896733752050199228733617928810417652130126953125	-1.50682770199933	31.266610455584875	GFI1;FMR1;SLC23A1;INPPL1;CELSR1;FGF3;CELSR3;FGFRL1;CDH8;EPS8;TGM1;RPS6KA3;HTR6;HTR7;OPHN1;EPHB2;HOXA4;CADPS2;NKX6-2;TMOD2;CACNA2D2;EBF2;UNC5C;MAPK8IP2;POU3F1;ANK1;SOX10;PRKAB1;MAPK8IP1;LMX1A;LOX;SLC9A6;SCN8A;LMX1B;FBN2;RTN4R;DLX2;MAGEL2;CNP;UGT8A;FECH;CHRNA4;LTBP4;TWIST2;CRHR1;HRH1;NKX2-1;KCNN2;APOE;DRD2;EGR2;BDNF;WNT3A;ST8SIA2;ESRRB;GRIN2B;BMP7;IGF2R;SYT7;NFKB1;SLC6A5;GRIN3B;NR4A3;NBEA;GDNF;FEV;GJB6;DLG5;GNAS;ALPL;SLC26A4;SIM1;FGF12;FGFR2;BMPR1A;GABRB3;HMX3;BARHL2;ADRA1D;LAMC1;HOXC13;SLC6A2;PTPRF;CALB2;GRM7;RAC3;CTSF;FEZF2;SLC18A3;EMX1;ELOVL4;EN2;EN1;PAX3;TACR1;SEZ6L;BACE1;PAX7;PIGA;KCNMA1;HMX2;CHST3;CAMK2B;CSTB;ZFP423;SEZ6;ADCY5;ARNTL;DLL3;RASD2;NEURL1A;PROKR2;RELN;FRZB;ERBB4;LMNA;CTNNA2;CACNG2;NTRK1;WHRN;GDF15;NOS3;GABRA5;ATP2B2;ZIC5;POU4F3;NELL1;NFASC;CAMK4;APBA2;CBLN1;FOXA2
MP0000163_abnormal_cartilage_morphology_	41/282	0.00000000062373703446573726147927216336926993511813321902081952430307865142822265625	0.000000022454533240766542654024716710835229971365833989693783223628997802734375	0.000000000306844803908184817592214859859230113858785671254736371338367462158203125	0.0000000110464129406946534333197349549322840989162841651705093681812286376953125	-1.7545592585090162	30.900899932192868	FOXC2;FOXC1;DLX2;IHH;TWIST2;LAMC2;PTH1R;FGFRL1;ARNTL;NPPC;EFNB1;FGF8;GSC;RSPO2;ACP5;PRKG2;ALX1;MSX1;PITX2;NKX3-2;HOXA5;EGR2;GSN;GSX1;NOS3;EBF2;BMP7;NFKB1;TBX18;NELL1;BMP2;PAX7;PIGA;ALDH1A2;GNAS;ALPL;ROR2;LMX1B;ANK;FGFR2;BMPR1A
MP0002169_no_abnormal_phenotype_	136/1370	0.0000000000000030207014711409785244777098528607690867945245911940777006066127796657383441925048828125	0.0000000000004349810118443008949030157352757618619107544966073675141160492785274982452392578125	0.00000000000000000072706846024688814116082986328917304468178659923721369844062945020368715631775557994842529296875	0.000000000000000078523393706663923482415502887149565548784426404459180215411606695852242410182952880859375	-1.0398894323129881	29.59886583584943	GALNT13;CBLC;KNDC1;FZD10;SAT1;FGFRL1;FGF3;FGF4;RPH3A;EPS8;RIMS2;FGF8;EFEMP1;PEG12;SOX17;GSC2;PITX2;SOX6;EPHB2;JUNB;PCDHAC2;HOXA5;MNX1;OSR2;NKX6-2;IGFBP2;EBF2;ATP11C;POU3F1;SOX10;PYGO1;SFRP2;LMX1B;NBL1;BRSK2;TWIST2;PROZ;DTX1;GPR83;NID2;LIN7B;CRHR1;PDZD4;ALX1;KCNN2;DRD5;WNT4;ZRSR1;B3GALNT1;EGR2;BDNF;BMP7;NFKB1;SYT7;IGF2R;FOSL1;CYP26A1;POLA1;BMP2;GRIN3A;GNAS;SP5;SIM1;FGFR2;BMPR1A;ACVRL1;GABRB3;RAB9;HMX3;PPP1R13B;FLT1;KCNK9;KCNC3;RASGRF1;HMGB3;HCCS;LAMC1;PKD2;USE1;CALB2;THBD;MED14;SIX2;CTSH;SCN5A;EMX1;SPHK1;EN1;PAX3;KREMEN2;SEPT3;EPN2;BACE1;PAX7;ALDH1A2;HAND1;PLEC;HCN4;ZFP423;ODC1;SEZ6;LRRC10;ASCL2;FSTL4;NEURL1A;SV2B;GBX2;FRZB;LMNA;SPOCK1;SNCB;E2F6;CACNG4;ATOH1;TBX1;NTRK1;GDF10;IRX2;GDF15;CDX1;USP9X;PRRX2;PCDH8;PDX1;MAPK14;MAPK12;POU4F2;CAMK4;RLIM;APBA2;CDK5R2;TJP3;FOXA2;NEUROG3;CBLN1;A830080D01RIK
