Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003635_abnormal_synaptic_transmissio_	106/453	0.000000000000000000332699896291263370876820067308301846292907029905040207883037961522632031119428575038909912109375	0.0000000000000000768536760432818447873730089776915599463914916152085243794545021955855190753936767578125	0.00000000000000000003737776891646023140201755295677446797420107343072980909774727376060354799847118556499481201171875	0.000000000000000002878088206567437541102922072006480157216653407582893260674428148604420130141079425811767578125	-1.542647637416163	57.23936729380078	CHRM3;CHRM4;CTNND2;CDH8;DPYSL4;SYNPO;CADPS2;KCNH3;CACNA2D1;CACNA2D2;HSPG2;MAPK8IP1;BCAN;ARC;CACNB4;PRKAR1B;SCN8A;LMX1B;GRID2IP;CHRNA3;CHRNA4;CHRNA7;CHRD;CPLX1;CACNA1E;NALCN;CACNA1H;EFNB2;EFNB3;HRH3;MBP;KCNN2;DRD2;FGF22;GRIA3;NTSR1;EGR3;BDNF;TRPV1;GRIN2C;GRIN2B;NR2F6;PTPRD;SLC6A5;CPEB1;GRIN3A;NBEA;DLG3;GDNF;FGF12;GABRB3;DAGLA;DOC2A;GRIK5;GRIK3;GRIK4;ADRA1D;DOC2B;SLC6A1;SLC7A10;SLC6A2;AFF2;CALB2;JPH3;GRM7;NETO1;ZIC2;MDK;DNER;SLC18A3;EMX1;GRID2;TRPC5;AVPR1A;ADRA2A;BACE1;VGF;KCNMA1;DSCAML1;SHANK1;CHST3;NLGN3;SLC24A2;CAMK2B;NLGN2;KCNA2;SEZ6;CRMP1;ADCY1;GLRA1;CKMT1;CNR1;SLITRK5;SLC17A6;PAK3;S1PR4;TBX1;GABBR2;GABRA1;NTRK2;KCNJ6;GABRA5;GAD1;GABRA4;ATP2B2;NOVA2
MP0000163_abnormal_cartilage_morphology_	73/282	0.000000000000000455385577223076589290571479838677737628777736876573012381186345010064542293548583984375	0.0000000000000350646894461768936282847041477721100917052006462615310056207817979156970977783203125	0.000000000000000479466861518408002298228758124758246477470640008189395331328341853804886341094970703125	0.00000000000001582240643010746466748722793387587619255295508235992230083866161294281482696533203125	-1.846455511385621	57.20611240969986	RARG;IHH;PTEN;LAMC2;PTH1R;GLI3;GLI2;COMP;ADAMTS5;LGALS3;EDNRA;FGF8;BMPER;RSPO2;ACP5;PRKG2;SOX9;PITX2;NKX3-2;HOXA5;NKX3-1;MSX2;EBF2;PAX6;HSPG2;PAX1;BTC;ANO1;MMP14;COL2A1;NOV;PAX7;ALDH1A2;RARA;GAS1;HOXB3;ROR2;LMX1B;MATN3;FOXC2;PKDCC;NPR2;TWIST2;CHRD;PTHLH;ARNTL;CNN1;EFNB1;RAI1;RXRA;GSC;PRDM16;ALX3;HAS2;FLNB;OTX2;OTX1;WNT1;GSN;GSX1;MT1;SULF1;GDF6;BMP7;NFKB1;NELL1;KRT19;BMP2;LEP;ETL4;SNAI1;GNAS;FGFR3
MP0002081_perinatal_lethality_	181/981	0.0000000000000000001375467177906450924096751356723916628716201064410742070653892454856759286485612392425537109375	0.0000000000000000635465836192780353895718348227751425250576087946745296175521389159257523715496063232421875	0.000000000000000000000007156780254622428154161247748635072246346319769906590259734194378778149303599320774083025753498077392578125	0.00000000000000000000165321623881778090508061616846256107386692053837622944727193084746286189101738273166120052337646484375	-1.3929823529521816	51.95094035985925	SCARB1;GUCY1B3;IHH;SLC4A2;CXCL14;CELSR3;FGF3;TGM1;NDST1;EFEMP2;FGF8;DACH1;BMPER;GRB10;SOX9;PITX2;SOX6;PITX1;MNX1;HOXA5;CARD10;OSR2;WNT5A;CTNNBIP1;MAGI2;DIO3;EBF3;SOX11;POU3F1;HSPG2;POU3F2;DKK1;ANK1;HIC1;POU3F3;PYGO1;CLDN5;LOX;RFX4;HOXB3;ROR2;LMX1B;MAGEL2;CUL7;PKDCC;CHRNA4;FOXG1;CHRNA7;ARX;CHRD;TWIST2;TWIST1;AEBP1;CPLX1;LTBP1;NALCN;PHF21A;EFNB2;EFNB1;SCUBE1;PRDM16;DVL2;ALX3;NKX2-1;ALX4;OTX2;OTX1;MSC;WNT4;JAG2;WWTR1;BCL11B;BDNF;NR2F2;BMP7;GRIN2B;IGF2R;NFKB1;PTPRD;CYP26A1;MAFB;CXCL12;LHX3;DLG3;TLX3;GDNF;NBEA;LHX2;GNAS;SNAI1;FAT4;FGFR3;DAND5;LHX8;VSX2;GABRB3;LPCAT1;PTEN;PTH1R;PKD2;GLI3;CYR61;GLI2;SIX2;RSPO2;KIF1B;NEO1;NKX3-2;SLC18A3;FOXD3;GRID2;FOXD1;RIPK4;NOG;WNT9B;PAX3;SHROOM3;PAX6;ADAMTS20;GREM1;HCK;ALDH1A3;MMP14;COL2A1;SLC7A7;RIPPLY2;NUP50;EHHADH;RARA;IRF6;HMX1;PTGER4;FOXC2;CEBPA;CEBPB;LRP1;DBX1;LRP2;MOSPD3;DLL1;PTHLH;PROKR2;RXRA;WNT11;GBX2;HLX;GSC;PLAGL1;NTF3;PDPN;GPC3;SLIT1;SLC17A6;FLNB;SLIT2;RUNX1T1;GABRA1;NTRK2;TCF7L2;SLC12A5;GAD1;WNT7B;CADPS;ECEL1;UNCX;SOD2;TBX5;LBX1;VAX1;FAH;SULF1;BICC1;SKI;NELL1;NFIB;WT1;F2RL1;INSM1;PTF1A;NEUROG2;CRLF1
MP0003861_abnormal_nervous_system_	161/855	0.000000000000000002281717414649510874739409388120501669136469557498669846751226941705681383609771728515625	0.00000000000000035138448185602467470986904577055725704701631185479515639968894902267493307590484619140625	0.0000000000000000000006837551404937542238921018732522358783418065835814860748223011077673305635471479035913944244384765625	0.000000000000000000078973718727028612295300477965935240123485122536983716289016310696524669765494763851165771484375	-1.457826231787172	51.8762371811679	CELSR3;FGF3;FOXQ1;NDST1;FGF8;SALL2;CDH2;BMPER;PROK2;SOX9;PITX2;EPHB2;SYNPO;EPHB1;MNX1;CCDC160;CARD10;CADPS2;NKX6-2;MSX2;EPHA8;LMO2;CTNNBIP1;TRP73;CACNA2D2;SOX11;UNC5C;POU3F2;HSPG2;DKK1;HIC1;OVOL2;PYGO1;TOM1L2;SFRP1;SFRP2;LMX1A;RFX4;SCN8A;PARD3;LMX1B;ASTN1;RTN4R;CTBP2;FOXG1;ARX;CHRD;TWIST1;GATA4;EFNA5;HOXB13;LTBP1;EFNB2;EFNB3;SCUBE1;DVL2;OTX2;OTX1;APOE;WNT1;DRD2;TRPM6;FZD1;ICMT;BDNF;WNT3A;ST8SIA2;TRPV1;BMP7;GDF7;CYP26A1;BMP2;NR4A3;MAFB;DAB1;CXCL12;DLG3;LHX2;FEV;DLG5;ID4;CNTN1;LHX5;FAT4;BCL2L2;LHX8;MESP1;DAGLA;PTEN;GLI3;GLI2;MED12;ZIC2;MDK;DNER;NEFM;FEZF2;TEAD1;TEAD2;EMX1;AMN;GRID2;SPHK1;NOG;ITPK1;EN2;PAX3;SHROOM3;PAX6;UCHL5;RGMA;ADAMTS20;PAX1;COL2A1;ALDH1A2;NUP50;HAND1;GAS1;HAP1;MDFI;SHANK1;HMX1;FOXC2;LAMA5;ZFP423;CRMP1;HOXD12;LRP2;HOXD11;DLL1;HOXD10;DLL3;PROKR2;RXRA;MAPK7;RELN;GBX2;CNR1;NTF3;SLIT1;TBX1;NTRK2;TCF7L1;KCNJ6;CDKN2A;SLC31A1;USP9X;GAD1;TPBG;VAX1;LBX1;GRHL2;SKI;KRT19;NFIB;DLC1;F2RL1;BCOR;PTF1A;MIXL1;NEUROG2
MP0002116_abnormal_craniofacial_bone_	94/467	0.00000000000066680163026709544649536301969401270463809472399674405096448026597499847412109375	0.0000000000220044537988141499362953713864814414384596386042858284781686961650848388671875	0.00000000000002280783558393518950351402936626394084016823150806718700778219499625265598297119140625	0.000000000000619836472928120973364259419181583775555234583354291544310399331152439117431640625	-1.9316528397382065	47.40232845601396	DDR1;RARG;IHH;PTH1R;GLI3;GLI2;MED12;NDST1;RPS6KA3;EDNRA;FGF8;BMPER;RSPO2;PRKG2;SOX9;PITX2;PITX1;NKX3-2;FOXD3;OSR2;EMX1;MSX2;CTNNBIP1;NOG;WNT5A;TRP73;PAX3;SHROOM3;PAX6;SOX11;HSPG2;DKK1;HIC1;POU3F3;PAX1;RGMA;TOM1L2;MN1;ALDH1A3;MMP14;COL2A1;NOV;LMX1A;PAX7;RARA;GAS1;HOXB3;IRF6;ROR2;LMX1B;HMX1;FOXC2;LAMA5;PKDCC;HOXD1;FOXG1;NPR2;CHRD;TWIST1;LRP2;LTBP1;PTHLH;DLL3;RAI1;EFNB1;SCUBE1;GBX2;GSC;LMNA;PRDM16;ALX3;GPC3;ALX4;OTX2;FLNB;OTX1;WNT1;TBX1;JAG2;FZD1;CDX1;GAD1;GDF6;SULF1;VAX1;BMP7;GRHL2;SKI;NELL1;MAFB;GNAS;SNAI1;FGFR3;SIM2
MP0002752_abnormal_somatic_nervous_	132/675	0.000000000000000140616748144971615191489261764785030107935244404922248140366036750492639839649200439453125	0.000000000000012992987528595378121301364845441770302521245460114496239611980854533612728118896484375	0.0000000000000000004440156683978439726260346776199399904916228224021636748763963709052404738031327724456787109375	0.00000000000000002051352387998038933976266550459235507689811984816281864585363337027956731617450714111328125	-1.4570705453615787	46.588907785086384	PRRXL1;GFI1;FGF3;EDNRA;FGF8;SOX9;EPHB2;EPHB1;MNX1;SCN1B;NKX6-2;TRP73;CACNA2D2;EBF2;UNC5C;SOX11;EBF3;ATP1B2;POU3F1;HSPG2;CACNB4;LMX1A;SCN8A;HOXB3;MAL;KCNQ4;LMX1B;ROR2;SHC2;CNP;FOXG1;NPR2;HPN;SLC1A1;CHRD;BHLHE22;EFNA5;BHLHE23;HOXB13;EFNB2;GRK1;EFNB1;SCUBE1;DVL2;PLXNA1;OTX2;APOE;OTX1;WNT1;PRPH;JAG2;FZD1;EGR3;BDNF;ATP8B1;FOXN4;GDF6;NFKB1;KY;PHOX2A;PTPRD;CYP26A1;DAB1;GDNF;LHX3;LHX2;TLX1;GJB6;CNTN2;CNTN4;FAT4;FGFR3;VSX1;VSX2;HRK;GABRB3;BARHL1;MESP1;HMX3;UCN;PTEN;LPCAT1;GLI3;AIFM1;ZIC2;NEFM;NEO1;SLC18A3;FOXD3;GRID1;NOG;PAX3;PAX6;NAV2;COL2A1;ALDH1A2;KCNMA1;MYO3A;RARA;DSCAML1;HMX2;LAMA5;FOXC2;ZFP423;GUCY2E;TULP1;DLL1;HOXD10;DLL3;RXRA;RELN;EGFLAM;GBX2;CHN2;LMNA;NTRK2;GDF15;GABRA5;CDKN2A;ECEL1;UNCX;ATP2B2;LBX1;VAX1;SOD2;POU4F2;POU4F3;NFASC;USH1G;PMP22;PTF1A;NEUROG2
MP0002882_abnormal_neuron_morphology_	180/1006	0.00000000000000000467944589807621570459428052212149237020853781174952075450068633699629572220146656036376953125	0.0000000000000005404760012278029219695451667314229515941934761137643850048561944277025759220123291015625	0.000000000000000000000209115801772904890491296697259541924515606328805397325979712093435569641997062717564404010772705078125	0.000000000000000000032203833473027353699896979772667460200396912502709113553835129639679735191748477518558502197265625	-1.2478423388953446	43.866751204381934	PRRXL1;GFI1;IHH;CELSR3;GLDN;DPYSL4;PITX2;EPHB2;SBF2;EPHB1;MNX1;SCN1B;CADPS2;NKX6-2;UNC5A;SLC30A3;EPHA8;MAGI2;WNT5A;TRP73;CACNA2D2;EBF2;UNC5C;SOX11;EBF3;ATP1B2;POU3F1;ANK1;HSPG2;POU3F2;MAPK8IP1;CACNB4;SFRP2;SCN8A;KCNQ4;LMX1B;ROR2;RTN4R;SHC2;CNP;UGT8A;CHRNA4;FOXG1;NPR2;ARX;SLC1A1;SLC1A2;BHLHE22;HOXB13;EFNA5;BHLHE23;EFNB2;GRK1;MIR212;EFNB3;DVL2;PLXNA1;MBP;OTX2;APOE;OTX1;DRD2;FGF22;PRPH;WNT4;JAG2;FZD1;EGR3;BDNF;ATP8B1;ST8SIA2;FOXN4;TRPV1;GRIN2B;KY;NFKB1;PTPRD;FGF17;DAB1;NR4A3;GRIN3A;GDNF;TLX3;LHX3;NBEA;TLX2;LHX2;FEV;TLX1;GJB6;DLG5;CNTN1;ID4;CNTN2;LHX5;FAT4;FGFR3;BCL2L2;VSX1;LHX8;BARHL1;GABRB3;HMX3;UCN;DAGLA;GAL3ST1;PTEN;LPCAT1;GRIK4;GLI2;AIFM1;NEFM;KIF1B;FEZF2;NKX3-2;SLC18A3;EMX1;GRID2;GRID1;NOG;PAX3;PAX6;GFRA2;UCHL5;BACE1;DNAJC6;ALDH1A2;KCNMA1;MYO3A;GAS1;DSCAML1;HMX2;SHANK1;PLEC;LAMA5;ZFP423;GUCY2E;DBX1;SEZ6;CRMP1;TULP1;DLL1;HOXD10;GLRA1;PROKR2;RELN;EGFLAM;RXRA;GBX2;HLX;CNR1;CHN2;NTF3;LMNA;SLIT1;SLITRK5;SLC17A6;TBX1;NTRK2;KCNJ6;GDF15;GABRA5;CDKN2A;GAD1;CADPS;ECEL1;ATP2B2;LBX1;SULF1;SOD2;VAX1;POU4F2;POU4F3;NFASC;USH1G;LEP;PMP22;PTF1A;NEUROG2;CRLF1
MP0003935_abnormal_craniofacial_develop_	65/268	0.00000000000049250338637687119691507037964719450669030809120130243172752670943737030029296875	0.0000000000175028126543165007955634003648307515411952639539094889187254011631011962890625	0.000000000000275389020193610751055889300414350622544894242604840428612078540027141571044921875	0.0000000000070683181849693427787248184911175177998210461538519666646607220172882080078125	-1.6808103953358133	41.631420407833815	MESP1;FOXE1;GLI2;MED12;NDST1;EDNRA;FGF8;BMPER;RSPO2;SOX9;PITX2;PITX1;FOXD3;OSR2;MSX2;PAX3;PAX6;SOX11;DKK1;HIC1;OVOL2;MN1;MMP14;COL2A1;PAX7;ALDH1A2;RARA;ROR2;IRF6;FOXC2;LAMA5;PKDCC;CHRD;LTBP1;PTHLH;EFNB2;EFNB1;MAPK7;RXRA;GBX2;GSC;PRDM16;ALX3;OTX2;MSC;TRPM6;NKX2-3;JAG2;FZD1;TBX1;TCF7L2;BCL11B;GAD1;BMP7;TBX3;TBX2;CYP26A1;FGF16;BMP2;CLCN5;MAFB;DLC1;SNAI1;SIM2;LHX8
MP0002113_abnormal_skeleton_development_	91/442	0.0000000000004069003758814397806018436238555477588705634739429939372712397016584873199462890625	0.0000000000156656644714354314269532346830766998506401233015594698372296988964080810546875	0.00000000000001949085746655190418065617607428764017056944772565696410993041354231536388397216796875	0.00000000000056279850934668626279873102993299831286501400118282845141948200762271881103515625	-1.6177410324765626	40.248668540303534	RARG;IHH;PTEN;SCX;SLC4A2;PTH1R;GLI3;GLI2;COMP;RPS6KA3;LGALS3;NDST1;BMPER;RSPO2;ACP5;PRKG2;SOX9;PITX2;PITX1;HOXA5;NKX3-2;NKX3-1;HOXA4;MSX2;NOG;WNT5A;PAX3;EBF2;SOX11;HSPG2;IL17RB;PAX1;GREM1;HCK;MMP14;COL2A1;SLC7A7;SFRP2;NOV;LMX1A;ROR2;LMX1B;IRF6;MATN3;MDFI;FBN2;PTGER4;FOXC2;CEBPB;PKDCC;NPR2;TWIST2;CHRD;TWIST1;PTHLH;DLL3;ARNTL;CNN1;RAI1;EFNB1;RXRA;CALCR;PLAGL1;PRDM16;GPC3;ALX3;HAS2;FLNB;TRPM6;KL;WWTR1;GSN;GSX1;WNT3A;UNCX;MT1;SULF1;BMP7;NFKB1;IGF2R;BMP6;SKI;NELL1;BMP2;KRT19;MAFB;LEP;ETL4;GNAS;ID4;FGFR3
MP0002066_abnormal_motor_capabilities/c_	224/1482	0.00000000000012515601754961347631669233890610369954767000510997831952408887445926666259765625	0.000000000005256552737083766409197861707214399751807165639405639012693427503108978271484375	0.0000000000000000000949718607405939317622466339851781533199874064241270167630037946082666167058050632476806640625	0.00000000000000000626814280887919911112228896557458750792358030700691939873792080106795765459537506103515625	-1.491656941163891	38.74063638216206	OXTR;GFI1;SCX;SLC4A2;RPS6KA3;HTR6;HTR7;EPHB2;SYNPO;SCN1B;HOXA4;CACNA2D3;CACNA2D2;EBF2;UNC5C;ANK1;HSPG2;MAPK8IP1;DKK3;ASTN1;GRID2IP;UGT8A;FOXG1;ARX;TWIST2;TWIST1;CRHR1;NKX2-1;KCNN2;APOE;NTSR1;WWTR1;EGR3;ST8SIA2;GRIN2C;GRIN2B;SLC6A5;GRIN3B;GJB6;NMU;PPT2;GABRB3;HMX3;KCNC1;SH3KBP1;HNF4G;GRIK4;ADM;HOXC13;SLC7A10;SLC6A1;SLC6A2;GLI2;PTPRG;JPH3;AIFM1;DNER;RAC3;KIF1B;SCD1;FEZF2;SLC18A3;EN2;PAX3;TACR1;PAX1;BACE1;MMP14;COL2A1;SLC7A7;PAX7;KCNMA1;CLDN19;GAS1;HAP1;HMX2;CHST3;PTGER4;OPRD1;KCNA2;SEZ6;HOXD10;ADCY5;ARNTL;NEURL1A;GLRA1;PROKR2;RELN;FRZB;CHN2;NTF3;LMNA;ADAM23;PDPN;GCNT2;SLC17A6;HAS2;FLNB;GABRA1;GABBR2;GDF15;SLC31A1;CDKN2A;GABRA5;GAD1;KLHL1;GPR50;LBX1;POU4F3;PTF1A;APBA2;NEUROG2;CTNND2;CHRM4;FGF3;CELSR3;CDH8;TGM1;SBF2;PTRF;CADPS2;NKX6-2;ATP1B2;POU3F1;TOM1L2;CACNB4;LMX1A;LOX;SCN8A;LMX1B;FBN2;RTN4R;MAGEL2;CNP;NXPH3;CHRNA4;CHRNA7;NPR2;SLC1A1;LTBP4;CHRD;BHLHE22;CACNA1E;CPLX1;EFNB2;NEUROD2;RAI1;HRH1;EFNB3;HRH3;OTX2;MBP;OTX1;DRD2;WNT1;GRIA3;BDNF;WNT3A;ESRRB;TRPV1;BMP7;IGF2R;NFKB1;PHOX2A;PTPRD;FGF17;MAFB;NR4A3;DAB1;GNAL;DLG3;NBEA;GDNF;FEV;DLG5;CNTN1;GNAS;LHX6;FGF12;FGFR3;BCL2L2;TRIM72;GAL3ST1;PTEN;ADRA1D;CALB2;GRM7;ZIC2;GRM8;EMX1;GRID2;SEZ6L;ADORA2A;VGF;EHHADH;SLC25A12;SHANK1;NLGN3;CAMK2B;CEBPA;ZFP423;LRP2;DLL1;PTHLH;DLL3;RASD2;CKMT1;PDE11A;MAPK7;CNR1;PTPN1;NTRK2;KCNJ6;SLC12A5;ATP2B2;SOD2;BICC1;NELL1;NFASC;DES;USH1G;LEP;KLF9;PMP22
