Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002752_abnormal_somatic_nervous_	177/675	0.00000000000000000000000002668243163943591784450962218546001774500293940476649894014805498702359864982014414636068977415561676025390625	0.0000000000000000000000062036653561688506922186208026392281155837139780103379495221178831394770458729226447758264839649200439453125	0.000000000000000000000000000306857576566358886601288965670696378756106093612680232360631877690941004817141990468343237807857804000377655029296875	0.0000000000000000000000000285377546206713750638317971971562288679781200823824593795189182837538678649824674948831670917570590972900390625	-1.500453666468856	80.17959542261791	PRRXL1;SERPINE2;RAX;SLC4A3;CELSR1;FGF3;NPPC;EDNRA;FGF8;ALCAM;GNAT2;SALL3;KIF5C;HOXA2;SOX9;EPHB2;EPHB1;MNX1;SCN1B;EPHA4;AGTPBP1;NKX6-2;DSCAM;TRP73;CACNA2D2;EBF2;UNC5C;SOX11;SCRIB;EBF3;LMO7;POU3F1;ISL1;SOX10;HSPG2;CACNB3;CACNB4;LMX1A;SCN8A;KCNQ1;EEF1A2;MAL;KCNQ4;LMX1B;ROR2;HOXB6;HOXB5;SHC2;DLX2;CNP;COL13A1;SHC1;FOXG1;NPR2;HPN;BHLHE22;EFNA5;BHLHE23;HOXB13;EFNB2;GRK1;EFNB1;SCUBE1;GALR2;PLXNA1;APOE;OTX1;PROM1;PLXNA4;PRPH;FZD1;EGR2;EGR3;BDNF;ATP8B1;NFATC2;FOXN4;GDF6;NFKB1;PHOX2A;PTPRD;CYP26A1;GDNF;LHX3;LHX2;GJB6;CNTN2;FAT4;SLC26A4;BMPR1B;FGFR3;VSX1;VSX2;FGF10;RET;HRK;GABRB3;BARHL1;MESP1;BARHL2;HMX3;UCN;LAMC1;NR2E1;VLDLR;GLI3;SYNE1;SIX6;MECOM;ZIC2;ZIC3;NEFL;NEFM;NOS1;FEZF1;SNTA1;SLC18A3;FOXD3;DCC;GRID1;DNMT3A;EN1;PAX6;NAV2;ETV4;ALDH1A2;KCNMA1;RARA;RARB;HMX2;FOXC2;ZFP423;FOXC1;GUCY2E;LRP4;ADCY3;TULP1;DLL1;HOXD10;RELA;DLL3;ATOH7;ACAN;CUX2;RXRA;RELN;EGFLAM;GBX2;ERBB4;LMNA;PDE6C;SLC17A8;CACNG2;HES5;NTRK1;NTRK2;GDF15;GABRA5;CDKN2A;WHRN;ECEL1;GSX2;UNCX;ATP2B2;VAX1;POU4F1;POU4F2;POU4F3;NFASC;USH1G;CROCC;PMP22;LPIN1;NEUROG1;NEUROG2;LGR4;HCN1
MP0002882_abnormal_neuron_morphology_	240/1006	0.00000000000000000000000000008495285851107273824896939669221041405450875316615452362355134886322649597346738647996033932940918020904064178466796875	0.00000000000000000000000003950307920764882558390025095457783885026308681772430878458096189888618630925432029243893339298665523529052734375	0.00000000000000000000000000000000188592528043068166689394188098043033350502113618627742463385556842054039043411743471821521989095771232314291410148143768310546875	0.000000000000000000000000000000438477627700133468565520986832992182357546351519182234124212783391509690454328359264513093052073600119911134243011474609375	-1.2925943260683388	75.60826136612262	PRRXL1;SLC4A3;GLDN;PREX2;ALCAM;DPYSL4;GNAT2;HOXA2;EPHB2;EPHB1;MNX1;SCN1B;EPHA4;UNC5A;EPHA8;CACNA2D2;EBF2;UNC5C;SOX11;EBF3;SCRIB;MAPK8IP2;ISL1;SOX10;ANK1;HSPG2;MAPK8IP1;SFRP2;KCNQ1;KCNQ4;SPARCL1;UGT8A;COL13A1;FOXG1;ARX;CEND1;GIGYF2;APOE;PROM1;NKX2-2;FZD1;EGR2;EGR3;ST8SIA2;NFATC2;DCLK1;FA2H;GRIN3A;GJB6;ID4;FAT4;SIM1;VSX1;RET;BARHL1;GABRB3;ROBO3;BARHL2;HMX3;HEXA;VLDLR;SLC6A3;GLI2;PCLO;NEFL;NEFM;KIF1B;KIF1A;FEZF2;FEZF1;SLC18A3;OFD1;EDN3;PAX6;PRSS12;UCHL5;BACE1;KCNMA1;GAS1;HMX2;FOXC1;GUCY2E;SEZ6;ADCY3;HOXD10;RELN;CUX2;EGFLAM;RXRA;GBX2;UCP2;LMNA;PAK6;SLC17A6;CTNNA2;SLC17A8;GDF15;WHRN;GABRA5;CDKN2A;GAD1;GSX2;ECEL1;VAX1;POU4F1;POU4F2;POU4F3;NFIA;KIF26A;NEUROG1;NEUROG2;CRLF1;LGR4;FOXA2;IHH;CELSR1;CELSR3;NPPC;HHAT;KIF5C;SALL4;PITX2;CADPS2;AGTPBP1;NKX6-2;DSCAM;SLC30A3;FBXW7;MAGI2;WNT5A;TRP73;LMO7;POU3F1;POU3F2;NPAS4;CACNB3;CACNB4;SCN8A;EEF1A2;LMX1B;ROR2;RTN4R;DLX2;SHC2;SEMA7A;CNP;CHRNA4;SHC1;NPR2;SLC1A2;BHLHE22;HOXB13;EFNA5;BHLHE23;EFNB2;GRK1;EFNB3;PLXNA1;MBP;OTX1;NKX6-1;DRD2;PLXNA4;FGF22;PRPH;WNT4;BDNF;ATP8B1;FOXN4;NFKB1;PTPRD;FGF17;DLG1;GDNF;TLX3;LHX3;NBEA;TLX2;LHX2;FEV;DLG5;CNTN2;LHX5;SLC26A4;BMPR1B;FGFR3;BCL2L2;FGF10;GPSM2;UCN;DAGLA;GAL3ST1;LAMC1;NR2E1;SYNE1;ITGB8;NOS1;NKX3-2;DACT1;SNTA1;EMX1;GRID2;GRID1;DCC;DNMT3A;OLIG1;OLIG2;ETV4;DNAJC6;ALDH1A2;PLEC;ZFP423;DBX1;CRMP1;LRP4;TULP1;DLL1;ATOH7;ACAN;HLX;ERBB4;CNR1;SLIT1;PDE6C;CACNG2;TUB;NTRK1;TBX1;NTRK2;KCNJ6;NOS3;CADPS;ATP2B2;NFASC;USH1G;CROCC;PMP22;LPIN1;CBLN1;HCN1
MP0003635_abnormal_synaptic_transmissio_	131/453	0.000000000000000000000008147264303054650299789113226745689261639321027364120156162327992567517842559254859224893152713775634765625	0.000000000000000000001262825966973470833201511013342066459577111547436616056038459487975700312745175324380397796630859375	0.0000000000000000000000053388896906749977801356776662808191610847461816818354827899145123755453301583884240244515240192413330078125	0.0000000000000000000004137639510273123195116493726015720214587739677954514405945596854097257022431222139857709407806396484375	-1.5289566532648167	73.57482359559307	CHRM3;SERPINE2;CHRM4;NR3C1;NPPC;DPYSL4;BSN;SYNPO;CADPS2;KCNH3;EPHA4;CACNA2D1;TMOD2;CACNA2D2;MAPK8IP2;HSPG2;MAPK8IP1;NPAS4;BCAN;ARC;CACNB3;CACNB4;PRKAR1B;SCN8A;EEF1A2;KCNQ2;LMX1B;CHRNA3;COL13A1;CHRNA4;SHC1;LIN7A;CPLX1;NPAS1;NALCN;CACNA1H;EFNB2;GRIN2A;EFNB3;HRH3;MBP;KCNN2;DRD2;FGF22;NTSR1;NTSR2;SYT5;EGR3;SYT1;BDNF;HTR1A;GRIN2C;NR2F6;PTPRD;SLC6A5;CPEB1;GRIN3A;NBEA;DLG3;GDNF;PPP1R1B;SIM1;FGF12;GABRB3;RET;DAGLA;DOC2A;RASGRF1;GRIK3;ADRA1D;DOC2B;VLDLR;SLC6A1;SLC7A10;PPP1R9A;SLC6A2;SLC6A3;AFF2;CALB2;JPH3;PCLO;GRM7;NETO1;ZIC2;MDK;TIMP2;NOS1;ERC2;PRKG1;SLC18A3;SNTA1;DACT1;EMX1;GRID2;TRPC5;EN1;AVPR1A;BACE1;GAL;VGF;KCNMA1;RARB;SLC29A1;PLCB1;CHST3;NLGN2;KCNA2;SEZ6;CRMP1;AKAP5;MAPK9;CKMT1;PTPRZ1;CNR1;ERBB4;SLC17A6;SLC17A8;CTNNA2;CACNG2;PAK3;S1PR4;GABRQ;TBX1;GABBR2;NTRK2;KCNJ6;GABRA5;NOS3;GAD1;ATP2B2;CBLN1
MP0000163_abnormal_cartilage_morphology_	81/282	0.0000000000000050540962508936939228773296941654465128663099686423532119761148351244628429412841796875	0.0000000000002611283062961741878560041463809089491254593340396894518562476150691509246826171875	0.0000000000000057420648984669884310926460110950339810808392033980585011931907502003014087677001953125	0.00000000000017800401185247663268640206891281619388449179719469128713171812705695629119873046875	-1.8005073849473185	52.167476976059355	CDKN1C;RARG;IHH;LAMC2;PTH1R;GLI3;GLI2;NPPC;ADAMTS5;LGALS3;EDNRA;HHAT;FGF8;HYAL1;SALL3;ZIC3;RSPO2;HOXA2;PRKG2;SOX9;PITX2;GGT1;NKX3-2;HOXA5;ACVR1;HES7;CASR;MSX2;EBF2;PAX6;HSPG2;ANO1;MMP14;EVC;NOV;PAX7;PIGA;ALDH1A2;RARA;RARB;GAS1;ROR2;LMX1B;ANK;MATN3;FOXC2;FOXC1;DLX2;NFIX;CBFB;NPR2;COL11A2;TWIST2;LRP4;LTBP3;TNFRSF11A;PTHLH;ARNTL;ACAN;EFNB1;RAI1;RXRA;IGF2BP1;ALX3;HAS2;ALX1;OTX1;EGR2;GSN;GSX1;NOS3;CAV1;GDF6;NFKB1;NELL1;KRT19;BMP2;SNAI1;GNAS;BMPR1B;FGFR3
MP0002184_abnormal_innervation_	56/161	0.000000000000012087862461825276132842245198013535322843054441166454893163972883485257625579833984375	0.000000000000562085604474875322033363581624357868042445030010156870048376731574535369873046875	0.00000000000019170042021938247639110006781716440842945614608794357991428114473819732666015625	0.00000000000524357031776546203241690632845098721769028227157605215325020253658294677734375	-1.7377104850556033	49.01581206185082	RET;GABRB3;PRRXL1;CELSR3;GLI3;NPPC;ALCAM;NOS1;EPHB2;MNX1;SLC18A3;EPHA4;GRID2;EBF2;SOX11;UNC5C;EBF3;ETV4;ISL1;CACNB3;ALDH1A2;EEF1A2;KCNMA1;GAS1;LMX1B;NPTXR;NPR2;SEZ6;ADCY3;HOXB13;EFNA5;ACAN;EFNB3;RELN;GBX2;ERBB4;NPTX1;SLC17A8;NPTX2;CACNG2;PLXNA4;NTRK2;EGR2;GABRA5;ECEL1;NFATC2;ATP2B2;POU4F2;POU4F3;GDNF;TLX2;FEV;CNTN2;FGFR3;CBLN1;FGF10
MP0002081_perinatal_lethality_	209/981	0.0000000000000000008126387316227860703557167206814291419480932422711254824176929645318523398600518703460693359375	0.00000000000000005398243002922792920272482906258913528201041472846626045889451006587478332221508026123046875	0.0000000000000000000000269457778967478929159192267538059474243806700071560078109107576327385658032653736881911754608154296875	0.00000000000000000000178996953171253852695498943981618029229899073936277791312295104564356051923823542892932891845703125	-1.3032534448353763	48.81710208875152	SLC23A2;RAX;SLC4A2;NDST1;HOXA2;SOX9;SOX6;MNX1;HOXA5;HES7;ACVR1;SCRIB;EBF3;SOX11;HSPG2;SOX10;ISL1;ANK1;CLDN5;SPINT1;RFX4;KCNQ2;KCNQ3;PRKD1;FOXG1;ARX;PDGFB;TWIST2;GIGYF2;ALX3;NKX2-1;ALX4;ALX1;EGR2;DNASE2A;BCL11B;NR2F2;EHD1;CYP26A1;SNAI1;FAT4;SIM1;DAND5;VSX2;CDKN1C;GABRB3;RET;ROBO3;HIP1;PTH1R;GLI3;GLI2;MECOM;RSPO2;KIF1B;KIF1A;FEZF1;SLC18A3;OFD1;FOXD3;FOXD1;RIPK4;WNT9B;PAX6;ZFX;MMP14;SLC7A7;RIPPLY2;PIGA;RARA;RARB;HMX1;PTGER4;FOXC2;FOXC1;RFNG;RXRA;GBX2;PLAGL1;GPC3;SLC17A6;CTNNA2;RUNX1T1;ARNT2;FOXB1;CDX2;GAD1;WNT7B;GSX2;ECEL1;UNCX;KRT10;VAX1;POU4F1;WT1;NEUROG1;LGR4;NEUROG2;CRLF1;FOXA2;IHH;CELSR1;NR3C1;CXCL14;CELSR3;FGF3;TGM1;YY1;EFEMP2;HHAT;FGF8;SALL3;CDH1;GRB10;PITX2;PITX1;CARD10;DSCAM;FBXW7;WNT5A;MAGI2;DIO3;POU3F1;POU3F2;HIC1;POU3F3;PYGO1;LOX;ADAM12;ROR2;LMX1B;MAGEL2;CUL7;DLX2;CBFB;CHRNA4;LIN7A;AEBP1;CPLX1;LTBP1;NALCN;PHF21A;EFNB2;EFNB1;SCUBE1;OTX1;NKX6-1;WNT4;BDNF;POU2F3;IGF2R;NFKB1;NFKBIA;PTPRD;DLG1;MAFB;LHX3;DLG3;TLX3;GDNF;NBEA;LHX2;GNAS;LHX4;FGFR3;FGF10;BNC2;CELF4;TRF;LAMC1;PKD2;AFF4;SYNE1;SIX2;ZIC1;NKX3-2;DACT1;GRID2;SUN1;DCC;SHROOM3;OLIG1;OLIG2;ETV4;ADAMTS20;GREM1;ALDH1A3;IRF6;CEBPB;LRP1;DBX1;LRP4;LRP2;NTN1;DLL1;PTHLH;ACAN;ERBB4;HLX;IGF2BP1;SLIT1;NTRK2;SLC12A5;NOS3;CADPS;TBX5;BICC1;NELL1;INSM1
MP0003861_abnormal_nervous_system_	184/855	0.00000000000000004021127237354417006568300282323871634394248930090796922964813120415783487260341644287109375	0.000000000000002337280206712254888919684427875222093603613075785130348549500922672450542449951171875	0.00000000000000000000838176374987769693324226169608405346907371475886853865767955884535922450595535337924957275390625	0.00000000000000000048719001796164113274007369203235759768992690271475934186973244521823289687745273113250732421875	-1.3848045137950513	46.65377110932664	SERPINE2;RAX;MSI1;CELSR1;CELSR3;FGF3;FOXQ1;YY1;NDST1;HHAT;FGF8;CDH2;SALL4;HOXA2;PROK2;SOX9;PITX2;EPHB2;SYNPO;EPHB1;MNX1;CCDC160;ACVR1;CARD10;EPHA4;CADPS2;NKX6-2;MSX2;DSCAM;FBXW7;EPHA8;FOXH1;LMO2;TRP73;CACNA2D2;SOX11;SCRIB;UNC5C;POU3F2;ISL1;HSPG2;SOX10;HIC1;OVOL2;PYGO1;SFRP1;SFRP2;LMX1A;RFX4;SCN8A;PARD3;LMX1B;RTN4R;GNAZ;DLX2;SEMA7A;FOXG1;ARX;CEND1;GATA4;EFNA5;HOXB13;LTBP1;EFNB2;EFNB3;SCUBE1;ALX1;OTX1;APOE;DRD2;TRPM6;PLXNA4;FZD1;EGR2;BDNF;WNT3A;ST8SIA2;FZD9;GDF1;DCLK1;GDF7;CYP26A1;BMP2;MAFB;DLG3;LHX2;FEV;DLG5;ID4;LHX5;FAT4;BMPR1B;TDGF1;BCL2L2;FGF10;RET;MESP1;ROBO3;DAGLA;NR2E1;LAMC1;VLDLR;SHB;GLI3;GLI2;ZIC2;MECOM;ZIC3;MDK;ZIC1;ITGB8;NEFM;NOS1;FEZF2;TEAD1;FEZF1;DACT1;OFD1;TGIF1;EMX1;AMN;GRID2;EDN3;DCC;SPHK1;EN2;SHROOM3;COBL;OLIG1;PAX6;OLIG2;UCHL5;ADAMTS20;ALDH1A2;PIGA;HAND1;GAS1;HMX1;FOXC2;FOXC1;ZFP423;NFIX;CRMP1;HOXD13;FIGN;HOXD12;LRP2;HOXD11;DLL1;HOXD10;DLL3;CUX2;RXRA;RELN;GBX2;ERBB4;CNR1;SLIT1;CTNNA2;CACNG2;TBX1;NTRK2;FOXB1;KCNJ6;NOS3;CDKN2A;USP9X;GAD1;GSX2;ARID3B;VAX1;GRHL2;GATAD2A;KRT19;NFIA;KIF26A;DLC1;PTPN9;BCOR;NEUROG1;MIXL1;NEUROG2;FOXA2;HCN1
MP0002873_normal_phenotype_	278/1375	0.0000000000000000000022446547231692173911789905847967161326592964015947916632011394089118994088494218885898590087890625	0.000000000000000000247616607310560583346239353756619923696625903055483475766196388434536856948398053646087646484375	0.0000000000000000000000000001545542379422361150787868737601616921860643159290119708594658820410621549528394635952821545288315974175930023193359375	0.0000000000000000000000000233738116487260607744507538936654852325710556096077287474680342233284043029772902855256688781082630157470703125	-1.0346713471969906	44.327809251507276	OXTR;RAX;CBLC;SCX;SLC4A2;FZD10;EDNRA;PEG12;HOXA2;SOX9;SOX6;EPHB2;JUNB;SLC12A8;HOXA5;SCN1B;MNX1;EPHA4;EBF2;SOX12;ISL1;SOX10;RBP4;SFRP2;KCNQ1;NBL1;MTMR1;FOXG1;ARX;TWIST2;LPAR2;CRHR1;CD79B;GALR1;ALX3;ALX4;ALX1;KCNN2;NKX2-5;PROM1;NTSR1;ZRSR1;FZD1;B3GALNT1;EGR2;CADM1;ST8SIA1;TNFSF13;FZD6;FZD8;PARVB;GRIN2C;FOSL1;EHD1;CYP26A1;GRIN3A;CYP1A1;SNAI1;SIM1;ACVRL1;RET;GABRB3;HMX3;RYR2;RARG;KCNC3;SLC6A1;ARHGAP6;SLC6A3;GLI2;AKAP12;MED14;PCLO;TIMP2;NEFL;CTSH;SPHK1;EN1;PAWR;PAX6;KREMEN2;POU5F1;BACE1;MMP14;MRAS;PAX7;RARA;RARB;PTGER4;TAGLN;NFIX;ODC1;ADCY4;SEZ6;ADCY3;TMPRSS2;TXLNG;RFNG;ASCL2;CENPB;FSTL4;RELA;NEURL1A;GBX2;FRZB;LMNA;MGAT3;SLC17A6;PAK6;HAS2;GCNT4;JAM2;RUNX1T1;GDF10;CDX4;CDX2;GDF15;CDX1;USP9X;GAD1;GSR;GSX2;ADAM33;NR1H3;GPR6;POU4F2;KRT19;WT1;KCNS2;DLC1;APBA3;APBA2;CDK5R2;FOXA3;LIMS2;TJP3;FOXA2;NEUROG3;RAB3C;GALNT13;ARHGDIG;KNDC1;IRS3;NR3C1;SAT1;FGF3;FGF4;RPH3A;YY1;RIMS2;EFEMP2;FGF8;EFEMP1;KIF5C;MAP3K9;PITX2;PCDHAC2;PCDHAC1;LMO1;NKX6-2;MSX2;FBXW7;IGFBP2;ATP11C;ZBTB33;POU3F1;PYGO1;LMX1B;SLC27A2;CUL9;BRSK2;NXPH3;SHC1;NOTCH4;PROZ;DTX1;LIN7A;GPR83;SEZ6L2;NID2;GLIS1;EFNB2;WNT6;PDZD4;BCL2L10;EFNB3;FUT9;STAP2;MBP;DRD5;WNT4;SYT1;BDNF;HTR1D;SMAD9;MSN;B3GALT5;NFKB1;SYT7;IGF2R;NFKBIA;FER;BMP2;H1F0;FES;BAMBI;NOXA1;GNAS;LHX6;PLXNB1;BMPR1B;FGFR3;FGF10;PPP1R13B;FLT1;ITGB5;KCNK9;RASGRF1;LAMC1;PKD2;ADAMTS4;CALB2;ADAMTS5;SIX4;LRRTM1;SIX2;BDKRB2;ITGB8;SCN5A;SCARF1;PRKG1;TGIF1;EMX1;MMP2;PCDHGA1;HUNK;COBL;RTN4RL2;EPN2;FGR;ALDH1A3;MYOD1;ALDH1A2;HAND1;B4GALT6;PLEC;HCN4;ZFP423;CEBPB;LAMA1;MLLT1;HDAC6;CACNG6;ATOH7;ACAN;ABLIM1;ACVR1C;PTPRZ1;SPOCK1;SNCB;HES3;E2F6;CACNG4;TBX1;NTRK1;NTRK2;GALNT4;PRRX2;PCDH8;PDX1;TBX5;TBX4;TBX3;NAGK;CBLN3;HCN1;CBLN1;A830080D01RIK
MP0002169_no_abnormal_phenotype_	277/1370	0.0000000000000000000026625441646296836554926411117035688252329535038216765983703181175368257527225068770349025726318359375	0.000000000000000000247616607310560583346239353756619923696625903055483475766196388434536856948398053646087646484375	0.00000000000000000000000000020106504644065429375364297318151688162561991898937973906538912648838060971516472630327143633621744811534881591796875	0.0000000000000000000000000233738116487260607744507538936654852325710556096077287474680342233284043029772902855256688781082630157470703125	-1.0088280217864416	43.22061902890479	OXTR;RAX;CBLC;SCX;SLC4A2;FZD10;EDNRA;PEG12;HOXA2;SOX9;SOX6;EPHB2;JUNB;SLC12A8;HOXA5;SCN1B;MNX1;EPHA4;EBF2;SOX12;ISL1;SOX10;RBP4;SFRP2;KCNQ1;NBL1;MTMR1;FOXG1;ARX;TWIST2;LPAR2;CRHR1;CD79B;GALR1;ALX3;ALX4;ALX1;KCNN2;NKX2-5;PROM1;NTSR1;ZRSR1;FZD1;B3GALNT1;EGR2;CADM1;ST8SIA1;TNFSF13;FZD6;FZD8;PARVB;GRIN2C;FOSL1;EHD1;CYP26A1;GRIN3A;CYP1A1;SNAI1;SIM1;ACVRL1;RET;GABRB3;HMX3;RYR2;RARG;KCNC3;SLC6A1;ARHGAP6;SLC6A3;GLI2;AKAP12;MED14;PCLO;TIMP2;NEFL;CTSH;SPHK1;EN1;PAWR;PAX6;KREMEN2;POU5F1;BACE1;MMP14;MRAS;PAX7;RARA;RARB;PTGER4;TAGLN;NFIX;ODC1;ADCY4;SEZ6;ADCY3;TMPRSS2;TXLNG;RFNG;ASCL2;CENPB;FSTL4;RELA;NEURL1A;GBX2;FRZB;LMNA;MGAT3;SLC17A6;PAK6;HAS2;GCNT4;JAM2;RUNX1T1;GDF10;CDX4;CDX2;GDF15;CDX1;USP9X;GAD1;GSR;GSX2;ADAM33;NR1H3;GPR6;POU4F2;KRT19;WT1;KCNS2;DLC1;APBA3;APBA2;CDK5R2;FOXA3;LIMS2;TJP3;FOXA2;NEUROG3;RAB3C;GALNT13;ARHGDIG;KNDC1;IRS3;NR3C1;SAT1;FGF3;FGF4;RPH3A;YY1;RIMS2;EFEMP2;FGF8;EFEMP1;KIF5C;MAP3K9;PITX2;PCDHAC2;PCDHAC1;LMO1;NKX6-2;MSX2;FBXW7;IGFBP2;ATP11C;ZBTB33;POU3F1;PYGO1;LMX1B;SLC27A2;CUL9;BRSK2;NXPH3;SHC1;NOTCH4;PROZ;DTX1;LIN7A;GPR83;SEZ6L2;NID2;GLIS1;EFNB2;WNT6;PDZD4;BCL2L10;EFNB3;FUT9;STAP2;DRD5;WNT4;SYT1;BDNF;HTR1D;SMAD9;MSN;B3GALT5;NFKB1;SYT7;IGF2R;NFKBIA;FER;BMP2;H1F0;FES;BAMBI;NOXA1;GNAS;LHX6;PLXNB1;BMPR1B;FGFR3;FGF10;PPP1R13B;FLT1;ITGB5;KCNK9;RASGRF1;LAMC1;PKD2;ADAMTS4;CALB2;ADAMTS5;SIX4;LRRTM1;SIX2;BDKRB2;ITGB8;SCN5A;SCARF1;PRKG1;TGIF1;EMX1;MMP2;PCDHGA1;HUNK;COBL;RTN4RL2;EPN2;FGR;ALDH1A3;MYOD1;ALDH1A2;HAND1;B4GALT6;PLEC;HCN4;ZFP423;CEBPB;LAMA1;MLLT1;HDAC6;CACNG6;ATOH7;ACAN;ABLIM1;ACVR1C;PTPRZ1;SPOCK1;SNCB;HES3;E2F6;CACNG4;TBX1;NTRK1;NTRK2;GALNT4;PRRX2;PCDH8;PDX1;TBX5;TBX4;TBX3;NAGK;CBLN3;HCN1;CBLN1;A830080D01RIK
MP0002116_abnormal_craniofacial_bone_	106/467	0.0000000000082316806306882628575618655451223812553884773279833098058588802814483642578125	0.000000000225160676074708345680486605287534858377274105123433400876820087432861328125	0.00000000000022177637702384029022330106615991195847235363525218332370059215463697910308837890625	0.0000000000057292230731158738653866147654412552779612521902663502260111272335052490234375	-1.8848976220384677	41.871505672117245	IHH;MSI1;CELSR1;ANTXR1;NDST1;NPPC;RPS6KA3;EDNRA;FGF8;SALL4;SOX9;PITX2;PITX1;ACVR1;DSCAM;MSX2;WNT5A;TRP73;SOX11;HSPG2;HIC1;POU3F3;POU3F4;LMX1A;ROR2;LMX1B;DLX2;CBFB;HOXD1;FOXG1;NPR2;LTBP3;TNFRSF11A;LTBP1;RAI1;EFNB1;SCUBE1;ALX3;ALX4;ALX1;OTX1;FZD1;EGR2;NFATC2;GDF6;EHD1;DLG1;MAFB;SP3;GNAS;SNAI1;HOXD4;FGFR3;CDKN1C;DDR1;RARG;BNC2;HEXA;PTH1R;GLI3;GLI2;ZIC3;RSPO2;PRKG2;NKX3-2;OFD1;FOXD3;EMX1;SHROOM3;PAX6;MN1;ALDH1A3;MMP14;EVC;NOV;PAX7;PIGA;RARA;GAS1;RARB;IRF6;PLCB1;HMX1;FOXC2;FOXC1;NFIX;COL11A2;FIGN;LRP2;RFNG;PTHLH;DLL3;ACAN;GBX2;LMNA;GPC3;TBX1;CDX1;GAD1;SPRY4;DMRT3;VAX1;GRHL2;NELL1;PTPN9;FOXA2
