Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	113/385	0.000000000000000000000000203868595247664797319173885511072176981562882944298626874437608920615817853505546963788219727575778961181640625	0.00000000000000000000091027327778082330081353382774727625128063761502169117496656956800560323017634800635278224945068359375	0.000000000000000000041537680580396189435386372439150050222101702359573716961949063630754608311690390110015869140625	0.000000000000000185465743791468974610458226885156130190612585478295015750660468256683088839054107666015625	-2.3796226226475388	115.28866445558329	SEMA5A;RAX;IHH;EDNRA;FGF8;SOX17;HOXA2;PITX2;HOXA6;MNX1;HOXA5;HOXA4;HES7;ACVR1;WNT5A;HNF1B;TBR1;MID1;ISL1;OVOL2;SFRP1;ARC;SFRP2;HOXB9;ROR2;LMX1B;NBL1;HOXB7;FOXG1;GATA4;BHLHE22;EFNB1;WNT6;T;ALX3;NKX2-1;ALX4;ALX1;OTX1;NKX2-5;WNT3A;NR2F2;GDF3;NFATC4;CYP26A1;BMP2;SNAI1;BMPR1B;HOXD9;DAND5;HOXD8;BMPR1A;FGF10;MESP2;MESP1;RARG;FLT1;CITED1;HOXC13;PKD2;PCSK5;HOXC11;GLI2;ZIC3;SIX2;ZIC1;FEZF2;NKX3-2;EMX1;MSGN1;ATP6AP2;SHROOM3;EN1;PAX6;PAX1;GREM1;DMRTA2;RIPPLY2;NRG3;PAX7;ALDH1A2;MDFI;ENG;FOXC2;FOXC1;LRP4;HOXD12;BARX1;HOXD11;DLL1;HOXD10;DLL3;RELN;GBX2;ERBB4;GPC3;TBX1;FOXB1;TCF7L1;CDX4;CDX1;IRX3;WNT7B;PCGF2;IRX4;GSX2;PCDH8;UNCX;TBX5;WT1;BCOR;MDGA2;FOXA2
synaptic transmission (GO:0007268)	117/434	0.00000000000000000000008128588714230055633829831580945368625351394789483836912259294600613390713306216639466583728790283203125	0.0000000000000000001814707430451859880638350277734964527063277582362587248172858256367590001900680363178253173828125	0.000000000000000002247647434584677988145265401739539381250966405757958643807370435752090997993946075439453125	0.000000000000005017872897710293255703939197641913388787623419295957916119732544757425785064697265625	-2.3495012567809765	101.38848003049851	KCNG3;HTR4;CDH8;RPS6KA3;RPS6KA6;GPR176;HTR6;HTR7;SCN1B;UNC13B;KCNH3;KCNH5;KCNH7;KCNH8;TMOD2;CARTPT;GABRG3;CACNB3;ADCY9;KCNQ1;KCNQ3;KCNQ4;SHC3;CNP;MAOA;CHRNA4;SLC1A2;LPAR3;CACNA1C;CPLX1;CACNA1G;GRIN2A;GALR2;MBP;KCNN2;APOE;NPTX1;NPTX2;DRD2;ASIC2;GRIA3;NTSR1;DRD5;KCNF1;EGR3;SYT1;GRIN2C;GRIN2B;SLC6A5;DLG1;GRIN3B;GRIN3A;GNAL;DLG3;GNB3;CNIH3;FGF12;GABRB3;DOC2A;KCNC1;KCNK9;GRIK5;KCNC4;RASGRF1;GRIK3;HTR2C;SLC6A1;SLC6A2;SLC6A3;GRM7;KIF1B;DLGAP2;SLC18A3;NPY5R;GRID1;SYN1;ARHGEF9;ADORA2A;KCNMA1;PLCB1;CAMK2B;HCN4;NAPB;CAMK2A;KCNA2;ADCY2;KCNA7;ADCY7;ADCY5;NTF3;SLITRK5;CACNG2;KCNJ4;GABBR2;KCNJ6;SLC12A5;KCNIP1;GABRA5;KCNIP2;KCNB1;KCNJ12;GAD1;KCNB2;PCDH8;GLRB;KCNS2;P2RX2;KCNS3;P2RX1;PMP22;APBA3;KCNK1;APBA2;KCNK2;HCN1;CBLN1;KCNK4
embryonic morphogenesis (GO:0048598)	104/403	0.0000000000000000006649460062579575846686368280481805837003200400285953843015906983282548026181757450103759765625	0.000000000000000989661305980593503013845837540327877408782917927065891916527107241563498973846435546875	0.0000000000000022642404213017978012250754053212899008005565097689792963819854776374995708465576171875	0.00000000000336994449370417553316725090881061173593569169071315627661533653736114501953125	-2.4296782513716813	83.94336429015766	GFI1;IHH;FGF3;FGF4;NDST1;SALL1;FGF8;SOX17;SALL4;HOXA2;PITX2;EPHB2;HOXA6;HOXA5;HOXA4;ACVR1;PDGFRA;OSR2;ESX1;WNT5A;SOX11;HNF1B;HSPG2;POU3F4;OVOL2;SFRP1;RBP4;SFRP2;KCNQ4;ROR2;HOXB7;FBN2;FOXG1;HPN;CHRD;GATA4;T;ALX3;ALX4;ALX1;OTX1;NKX2-5;WNT3A;ESRRB;FOXN4;DLG1;GJB6;SP3;GNAS;HOXD9;BMPR1A;FGF10;MESP1;HMX3;RARG;FLT1;FOXE1;TENM4;PKD2;HOXC11;GLI2;SIX4;ZIC3;SIX2;ZIC1;RSPO2;RSPO3;TEAD1;NKX3-2;OFD1;EN1;FOXL2;PAX6;ALDH1A3;MMP14;ALDH1A2;HAND1;MDFI;HMX2;ENG;FOXC2;LAMA5;LRP4;HOXD12;HOXD11;DLL1;HOXD10;GBX2;FRZB;NSD1;GPC3;HES3;TBX1;IRX5;WNT7B;PCGF2;KDF1;PRRX2;PCDH8;PDX1;TBX5;USH1G;NEUROG1;MIXL1
regionalization (GO:0003002)	74/247	0.0000000000000000127058356663332580284601256460870767544616614678153719564246415529851219616830348968505859375	0.00000000000001134631125003559985236394370020637930871810518385078836445245542563498020172119140625	0.000000000000062539839293137482764120673517999054804596646695014072747653699479997158050537109375	0.0000000000465400637406431409686979974951888915091213760888422257266938686370849609375	-2.3980448761577855	77.00094208992975	MESP1;RARG;HOXC13;PCSK5;HOXC11;GLI2;FGF8;SOX17;ZIC3;HOXA2;FEZF2;HOXA6;MNX1;HOXA5;HOXA4;HES7;EMX1;ATP6AP2;WNT5A;MSGN1;EN1;TBR1;PAX6;HNF1B;ISL1;PAX1;OVOL2;GREM1;DMRTA2;ARC;HOXB9;RIPPLY2;PAX7;ALDH1A2;ROR2;LMX1B;NBL1;HOXB7;FOXC2;FOXC1;FOXG1;LRP4;GATA4;BHLHE22;HOXD11;BARX1;DLL1;HOXD10;DLL3;RELN;T;NKX2-1;ALX4;ALX1;OTX1;NKX2-5;TBX1;FOXB1;CDX4;CDX1;WNT3A;WNT7B;PCGF2;GSX2;PCDH8;NR2F2;CYP26A1;BMP2;WT1;SNAI1;BMPR1B;HOXD9;FOXA2;BMPR1A
neuron differentiation (GO:0030182)	70/222	0.0000000000000000045895439456157229397629802630745349913137503332599513583556216644865344278514385223388671875	0.0000000000000051230784292935505069469952031052492177269457040988953622218105010688304901123046875	0.0000000000000388496188374025703489309789063559268172502736415907520495238713920116424560546875	0.000000000034692709621800492544804977785414287598519944566533013130538165569305419921875	-2.31836494650629	76.28584697414985	BARHL2;DRAXIN;GFI1;CHD5;KNDC1;FZD10;NR2E1;SALL1;FGF8;PSD2;AIFM1;ATP7A;PITX2;EMX1;WNT5B;WNT5A;SOX11;OLIG2;POU3F2;ISL1;POU3F4;DMRTA2;LMX1A;PAX7;ALDH1A2;LMX1B;EPHA2;BRSK2;RTN1;HOXD1;BHLHE22;WNT6;ERBB4;GBX1;NTF3;FGF20;NKX2-1;SPOCK1;PROM1;WNT4;NKX2-2;NTRK1;WNT10A;IRX5;GSX1;BCL11B;BDNF;WNT3A;WNT7B;GSX2;UNCX;FZD8;ATP2B2;FOXN4;SMARCA1;POU4F1;POU4F2;PHOX2A;GDF7;LHX3;USH1G;ID4;LHX5;LHX4;PTF1A;MDGA2;NEUROG1;FOXA2;VSX2;CBLN1
organ morphogenesis (GO:0009887)	101/405	0.000000000000000027653152419172620825190413184920621475769692321797048328857471233277465216815471649169921875	0.00000000000002057855425860095903231700451195125758585492865837540676920980331487953662872314453125	0.0000000000000367395500811512592458211232831433376769931196947904794569694786332547664642333984375	0.000000000034692709621800492544804977785414287598519944566533013130538165569305419921875	-2.351627704595457	74.11043459476011	IHH;AQP5;FGF4;TGM1;SOX3;FGF8;PITX2;EPHB2;HOXA6;EPHB1;HOXA5;HOXA4;PDGFRA;OSR2;TLE1;SOX11;HNF1B;HSPG2;OVOL2;RBP4;COL8A2;ROR2;LY6H;HOXB7;DLX3;GATA4;WNT6;T;ALX3;ALX4;ALX1;NKX2-5;NKX6-1;WNT10A;BCL11B;FGF16;DLG1;BMP2;LHX3;GJB6;SP3;GNAS;SDC1;DCHS1;LHX4;FAT4;HOXD9;LHX9;HOXD8;LHX8;BMPR1A;FGF10;COL18A1;RARG;EDA;ONECUT2;FOXE1;SYCP2;FHL1;HCCS;HOXC13;HOXC11;GLI2;SIX6;SIX4;SIX2;SCN5A;NKX3-2;EMX1;SHROOM2;FOXL2;PAX6;FOXL1;ALDH1A3;MMP14;ALDH1A2;HAND1;PAX9;FAM20C;MDFI;LAMA5;SLC24A4;FOXC1;COL11A2;LRP4;PRKX;HOXD11;HOXD10;FGD1;RELA;ABLIM1;SLIT3;CTNNA2;TBX1;IRX5;CDX1;WNT7B;PCGF2;PRRX2;PDX1;BCOR
morphogenesis of an epithelium (GO:0002009)	77/296	0.00000000000001558212616588048526235460954131793216495007435573594278821474290452897548675537109375	0.00000000000993917047580805389665939891802784304265794279586998527520336210727691650390625	0.0000000000078215056158054877949031148471191357378351494133994492585770785808563232421875	0.0000000043653778218214375253517897028203431641912857230636291205883026123046875	-2.340251555710624	59.28919091899755	DDR1;ACVRL1;SEMA5A;MESP1;RARG;FLT1;CITED1;IHH;PKD2;NR3C1;GLI2;EDNRA;SALL1;FGF8;SOX17;ZIC3;RSPO2;RSPO3;PITX2;TEAD1;HOXA5;ACVR1;CASR;WNT5A;RIPK4;SOX11;HNF1B;OVOL2;ALDH1A3;MMP14;SFRP1;SFRP2;SFRP5;ALDH1A2;HAND1;ENG;EPHA2;FOXC2;LAMA5;LAMA1;SRC;WNK4;TACSTD2;GATA4;PRKX;HOXB13;HOXD11;DLL1;ADAMTS16;WNT6;T;GBX2;FRZB;NKX2-1;GPC3;PLXNA1;NKX2-5;WNT4;TFAP2C;WNT3A;KDF1;PCDH8;PDX1;FOXN4;TBX5;GDF7;NFATC4;DLG1;BMP2;GDNF;WT1;DLG5;DCHS1;FAT4;FOXA2;FGF10;GZF1
tissue morphogenesis (GO:0048729)	87/358	0.00000000000002302600923253944240944623128581202035230525437814463884933502413332462310791015625	0.00000000001285139140291107620326431283075646443136985652699877391569316387176513671875	0.000000000007508682734795663279305004967332549947744979590424918569624423980712890625	0.0000000043653778218214375253517897028203431641912857230636291205883026123046875	-2.360819150344543	59.20360521026947	SEMA5A;DDR1;ACVRL1;MESP1;RARG;FLT1;CITED1;IHH;NR3C1;PKD2;GLI2;EDNRA;SALL1;FGF8;SOX17;ZIC3;RSPO2;RSPO3;PITX2;TEAD1;HOXA5;ACVR1;CASR;RIPK4;WNT5A;SOX11;HNF1B;ISL1;OVOL2;ALDH1A3;MMP14;SFRP1;SFRP2;PAX7;SFRP5;ALDH1A2;HAND1;ENG;EPHA2;FOXC2;LAMA5;FOXC1;LAMA1;SRC;TACSTD2;WNK4;GATA4;PRKX;HOXB13;HOXD11;DLL1;ADAMTS16;WNT6;RXRA;T;GBX2;FRZB;NKX2-1;GPC3;PLXNA1;NKX2-5;WNT4;TBX1;WNT10A;TCF7L1;TFAP2C;WNT3A;WNT7B;KDF1;PCDH8;PDX1;FOXN4;TBX5;POU4F1;NFATC4;GDF7;DLG1;BMP2;GDNF;WT1;DLG5;SNAI1;DCHS1;FAT4;FOXA2;FGF10;GZF1
regulation of ion transmembrane transport (GO:0034765)	77/314	0.0000000000004386903398615320517270430976132746233382871114958589942034450359642505645751953125	0.0000000001958752367481740487520292981859343882378166057378621189855039119720458984375	0.00000000008626460250583396149675826397826305415306169521727497340179979801177978515625	0.00000004279682779872762817552638188456359813471863162703812122344970703125	-2.3298580871250687	52.080583415758	UCN;KCNG3;KCNC1;KCNK9;FHL1;KCNC4;RASGRF1;PKD2;LGALS3;JPH3;SCN5A;SCN1B;KCNH3;CASR;KCNH5;KCNH7;KCNK12;KCNH8;CACNA2D1;TESC;CACNA2D3;KCNK15;CASK;CACNA2D2;MAPK8IP2;ADRA2A;CACNB3;SCN8A;KCNQ1;KCNMA1;KCNQ3;KCNQ4;SCN4B;SHANK1;HCN4;CATSPER1;NLGN3;NLGN2;HVCN1;KCNA2;CACNA1C;CABP1;KCNA7;CRHR1;CACNA1G;CACNG6;CACNA1I;DPP6;RELN;GALR2;GSG1L;KCNN2;KCNE1L;NKX2-5;DRD2;ASIC2;CACNG2;PRPH;KCNJ4;KCNF1;KCNJ6;KCNIP1;KCNIP2;KCNB1;KCNJ12;KCNIP3;KCNB2;KCNIP4;DLG1;KCNS2;KCNS3;KCNK1;FGF12;CNIH3;KCNK2;HCN1;KCNK4
anterior/posterior pattern specification (GO:0009952)	48/150	0.000000000000426980330385975674010759884770089956479953430257268109926371835172176361083984375	0.0000000001958752367481740487520292981859343882378166057378621189855039119720458984375	0.0000000002694593141887481634663288927061287891806529160021455027163028717041015625	0.000000092548910604058510438242081408422023969251313246786594390869140625	-2.2974655848877052	51.35649621742574	FOXC2;RARG;FOXC1;GATA4;HOXC13;HOXD11;BARX1;PCSK5;HOXC11;DLL1;HOXD10;DLL3;T;SOX17;ZIC3;ALX4;HOXA2;ALX1;OTX1;FEZF2;HOXA6;HOXA5;HOXA4;TBX1;HES7;FOXB1;CDX4;CDX1;PCGF2;ATP6AP2;WNT5A;MSGN1;PCDH8;PAX6;HNF1B;NR2F2;PAX1;CYP26A1;BMP2;ARC;HOXB9;RIPPLY2;WT1;ALDH1A2;ROR2;HOXD9;HOXB7;BMPR1A
