Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	264/1371	0.0000000000000000000000017757941474127213998931552374306341310728630451174216874094606804894425078344966095755808055400848388671875	0.000000000000000000000063040692233151610798232964824682050373777141747523792858034813631207260442579354275949299335479736328125	0.0000000000000000000000000000000032449043985225633142666887761248551894972005390289921028463589361447623950119271765148674935286265963441110216081142425537109375	0.00000000000000000000000000000011519410614755100005126463179503965816907129370325698306946214680726269839681940774199497834473504553898237645626068115234375	-1.155589421089865	59.071722566951685	OXTR;RAX;CBLC;SCX;FZD10;HS6ST2;ALKBH3;EDNRA;PEG12;SOX17;HOXA2;GSC2;EPHB2;SLC12A8;HOXA5;SCN1B;MNX1;EBF2;ACSL4;SCAMP1;ISL1;SOX10;BTC;RBP4;SFRP2;KCNQ1;SFRP5;NBL1;EPHA2;MTMR1;IGSF1;FOXG1;ARX;TWIST2;CRHR1;ALX3;ALX4;ALX1;KCNN2;NKX2-5;PROM1;NTSR1;RBM10;TNFSF13;FZD8;GRIN2C;FOSL1;CYP26A1;POLA1;GRIN3A;SNAI1;SIM1;ACVRL1;GABRB3;RAB9;HMX3;RARG;SNX12;HCCS;SLC6A1;ARHGAP6;EDA2R;SLC6A3;GLI2;WDR44;AKAP12;MED12;MED14;NKRF;IKBKG;TEAD4;TPI1;SPHK1;EN1;PAX6;SYP;KREMEN2;PAX1;KIF4;BACE1;MMP14;MRAS;PAX7;PAX9;RARA;ENG;TAGLN;ODC1;SEZ6;XIAP;TXLNG;IL6RA;ASCL2;FSTL4;RELA;NEURL1A;GBX2;FRZB;NTF3;LMNA;MGAT3;PAK6;HAS2;TAF9B;RHBG;RUNX1T1;NPDC1;GDF10;CDX4;GDF15;CDX1;USP9X;GAD1;GSR;GSX2;NR1H3;POU4F2;KRT19;WT1;KCNS2;RLIM;APBA3;APBA2;CDK5R2;FOXA3;FOXA2;NEUROG3;SEMA5A;GALNT13;SYAP1;ATN1;KNDC1;IRS3;DACH2;NR3C1;SAT1;FGF3;FGF4;RPH3A;RIMS2;FGF8;EFEMP1;SALL1;PITX2;PCDHAC2;PCDHAC1;PDGFRA;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;MID1;FTSJ1;DKC1;SCNN1A;LMX1B;SLC27A2;BRSK2;PKDCC;PROZ;DTX1;GSTT2;LIN7A;GPR83;FOXO4;SEZ6L2;NID2;MTM1;WNT6;PDZD4;EFNB3;CALCR;FUT9;MSC;DRD5;WNT4;SYT1;BDNF;MSN;HPRT;B3GALT5;BMX;NFKB1;SYT7;IGF2R;NFKBIA;FER;BMP2;LRCH2;DAB1;FES;BAMBI;GNAS;SP5;LHX6;TAB3;PLXNB1;BMPR1B;OGT;BMPR1A;FGF10;FLT1;KCNK9;SH2D4A;RASGRF1;HMGB3;LAMC1;PKD2;ADAMTS4;CALB2;TRO;THBD;ADAMTS5;SEPT6;SIX4;SIX2;SCN5A;ATP7A;ABCD1;SCARF1;PRKG1;PGM1;EMX1;VBP1;HUNK;CTPS2;ADRA2A;SEPT3;ALDH1A3;MYOD1;ALDH1A2;HAND1;B4GALT6;PLEC;NLGN3;HCN4;ZFP423;LAMA1;HDAC8;HDAC6;CACNG6;ENOX2;CECR2;ACAN;ABLIM1;TBX22;FAM120C;SPOCK1;HES3;TBX1;NTRK1;GALNT4;PRRX2;PCDH8;PDX1;TBX5;EPOR;CLCN5;RBM41;HCN1;CBLN1;A830080D01RIK
MP0002169_no_abnormal_phenotype_	264/1371	0.0000000000000000000000017757941474127213998931552374306341310728630451174216874094606804894425078344966095755808055400848388671875	0.000000000000000000000063040692233151610798232964824682050373777141747523792858034813631207260442579354275949299335479736328125	0.0000000000000000000000000000000032449043985225633142666887761248551894972005390289921028463589361447623950119271765148674935286265963441110216081142425537109375	0.00000000000000000000000000000011519410614755100005126463179503965816907129370325698306946214680726269839681940774199497834473504553898237645626068115234375	-1.0929875655744454	55.871624527203636	OXTR;RAX;CBLC;SCX;FZD10;HS6ST2;ALKBH3;EDNRA;PEG12;SOX17;HOXA2;GSC2;EPHB2;SLC12A8;HOXA5;SCN1B;MNX1;EBF2;ACSL4;SCAMP1;ISL1;SOX10;BTC;RBP4;SFRP2;KCNQ1;SFRP5;NBL1;EPHA2;MTMR1;IGSF1;FOXG1;ARX;TWIST2;CRHR1;ALX3;ALX4;ALX1;KCNN2;NKX2-5;PROM1;NTSR1;RBM10;TNFSF13;FZD8;GRIN2C;FOSL1;CYP26A1;POLA1;GRIN3A;SNAI1;SIM1;ACVRL1;GABRB3;RAB9;HMX3;RARG;SNX12;HCCS;SLC6A1;ARHGAP6;EDA2R;SLC6A3;GLI2;WDR44;AKAP12;MED12;MED14;NKRF;IKBKG;TEAD4;TPI1;SPHK1;EN1;PAX6;SYP;KREMEN2;PAX1;KIF4;BACE1;MMP14;MRAS;PAX7;PAX9;RARA;ENG;TAGLN;ODC1;SEZ6;XIAP;TXLNG;IL6RA;ASCL2;FSTL4;RELA;NEURL1A;GBX2;FRZB;NTF3;LMNA;MGAT3;PAK6;HAS2;TAF9B;RHBG;RUNX1T1;NPDC1;GDF10;CDX4;GDF15;CDX1;USP9X;GAD1;GSR;GSX2;NR1H3;POU4F2;KRT19;WT1;KCNS2;RLIM;APBA3;APBA2;CDK5R2;FOXA3;FOXA2;NEUROG3;SEMA5A;GALNT13;SYAP1;ATN1;KNDC1;IRS3;DACH2;NR3C1;SAT1;FGF3;FGF4;RPH3A;RIMS2;FGF8;EFEMP1;SALL1;PITX2;PCDHAC2;PCDHAC1;PDGFRA;OSR2;NKX6-2;IGFBP2;ATP11C;ZBTB33;POU3F1;MID1;FTSJ1;DKC1;SCNN1A;LMX1B;SLC27A2;BRSK2;PKDCC;PROZ;DTX1;GSTT2;LIN7A;GPR83;FOXO4;SEZ6L2;NID2;MTM1;WNT6;PDZD4;EFNB3;CALCR;FUT9;MSC;DRD5;WNT4;SYT1;BDNF;MSN;HPRT;B3GALT5;BMX;NFKB1;SYT7;IGF2R;NFKBIA;FER;BMP2;LRCH2;DAB1;FES;BAMBI;GNAS;SP5;LHX6;TAB3;PLXNB1;BMPR1B;OGT;BMPR1A;FGF10;FLT1;KCNK9;SH2D4A;RASGRF1;HMGB3;LAMC1;PKD2;ADAMTS4;CALB2;TRO;THBD;ADAMTS5;SEPT6;SIX4;SIX2;SCN5A;ATP7A;ABCD1;SCARF1;PRKG1;PGM1;EMX1;VBP1;HUNK;CTPS2;ADRA2A;SEPT3;ALDH1A3;MYOD1;ALDH1A2;HAND1;B4GALT6;PLEC;NLGN3;HCN4;ZFP423;LAMA1;HDAC8;HDAC6;CACNG6;ENOX2;CECR2;ACAN;ABLIM1;TBX22;FAM120C;SPOCK1;HES3;TBX1;NTRK1;GALNT4;PRRX2;PCDH8;PDX1;TBX5;EPOR;CLCN5;RBM41;HCN1;CBLN1;A830080D01RIK
MP0000001_mammalian_phenotype_	270/1459	0.0000000000000000000002166342741916593714774800562311750261465570665349541781832744431757209468969449517317116260528564453125	0.000000000000000000005127011155869271744613920631246308633385722419104088437590872884275228216210962273180484771728515625	0.000000000000000000000000000000169008203122966839609670004341665429417005684438835281555765757637064175943555238181004174435884124250151216983795166015625	0.0000000000000000000000000000029998956054326613373857770618387611726020266820745075938525636725962123218855296703788670953372275107540190219879150390625	-1.0457733908227387	48.85828610474078	OXTR;RAX;CBLC;SCX;FZD10;HS6ST2;ALKBH3;EDNRA;PEG12;SOX17;HOXA2;GSC2;EPHB2;SLC12A8;HOXA5;SCN1B;MNX1;EBF2;ACSL4;SCAMP1;ISL1;SOX10;BTC;RBP4;SFRP2;KCNQ1;SFRP5;NBL1;EPHA2;MTMR1;IGSF1;FOXG1;ARX;TWIST2;CRHR1;ALX3;ALX4;ALX1;KCNN2;NKX2-5;PROM1;NTSR1;RBM10;TNFSF13;FZD8;GRIN2C;FOSL1;CYP26A1;POLA1;GRIN3A;SNAI1;SIM1;ACVRL1;GABRB3;RAB9;HMX3;RARG;SNX12;HCCS;SLC6A1;ARHGAP6;EDA2R;SLC6A3;GLI2;WDR44;AKAP12;MED12;MED14;NKRF;IKBKG;TEAD4;TPI1;SPHK1;EN1;PAX6;SYP;KREMEN2;PAX1;KIF4;BACE1;MMP14;MRAS;PAX7;PAX9;RARA;ENG;TAGLN;ODC1;SEZ6;XIAP;TXLNG;IL6RA;ASCL2;FSTL4;RELA;NEURL1A;GBX2;FRZB;NTF3;LMNA;MGAT3;PAK6;HAS2;TAF9B;RHBG;RUNX1T1;NPDC1;GDF10;CDX4;GDF15;CDX1;USP9X;SLC31A1;GAD1;GSR;GSX2;NR1H3;POU4F2;KRT19;NFIA;WT1;KCNS2;RLIM;APBA3;APBA2;CDK5R2;FOXA3;FOXA2;NEUROG3;SEMA5A;GALNT13;SYAP1;ATN1;KNDC1;IRS3;DACH2;NR3C1;SAT1;FGF3;FGF4;RPH3A;RIMS2;FGF8;EFEMP1;SALL1;PITX2;PCDHAC2;PCDHAC1;PDGFRA;OSR2;NKX6-2;IGFBP2;TRP73;ATP11C;ZBTB33;POU3F1;MID1;FTSJ1;DKC1;SCNN1A;LMX1B;SLC27A2;BRSK2;PKDCC;PROZ;DTX1;GSTT2;LIN7A;GPR83;FOXO4;SEZ6L2;NID2;MTM1;WNT6;PDZD4;EFNB3;CALCR;FUT9;MSC;DRD2;DRD5;WNT4;SYT1;BDNF;MSN;HPRT;B3GALT5;BMX;NFKB1;SYT7;IGF2R;NFKBIA;FER;BMP2;LRCH2;DAB1;FES;BAMBI;GNAS;SP5;LHX6;TAB3;PLXNB1;BMPR1B;OGT;BMPR1A;FGF10;FLT1;KCNK9;SH2D4A;RASGRF1;HMGB3;LAMC1;PKD2;ADAMTS4;CALB2;TRO;THBD;ADAMTS5;SEPT6;SIX4;SIX2;SCN5A;ATP7A;ABCD1;SCARF1;PRKG1;PGM1;EMX1;VBP1;HUNK;CTPS2;ADRA2A;SEPT3;ZAR1;ALDH1A3;MYOD1;ALDH1A2;HAND1;B4GALT6;PLEC;NLGN3;HCN4;ZFP423;LAMA1;HDAC8;HDAC6;CACNG6;ENOX2;CECR2;ACAN;ABLIM1;TBX22;FAM120C;SPOCK1;HES3;TBX1;NTRK1;GALNT4;NOS3;PRRX2;PCDH8;PDX1;TBX5;EPOR;CLCN5;RBM41;HCN1;CBLN1;A830080D01RIK
MP0003632_abnormal_nervous_system_	319/1867	0.0000000000000000000113788581441485075155500920647729255690975613500144796356138010562375484369113110005855560302734375	0.000000000000000000201974732058636001630166673413343382951559259562621909296631361740992360864765942096710205078125	0.000000000000000000000000000000023296779935336540122293470162943055227055489631824183503348637931755369205427981115115454446851117609185166656970977783203125	0.000000000000000000000000000000551357125136298076086249867884996629537642899960783165613414221047185692737443670798092032470094636664725840091705322265625	-0.9986718076882795	42.98897079413896	PRRXL1;C330007P06RIK;OXTR;GFI1;RAX;GLDN;PREX2;NDST1;SOX3;EDNRA;ALCAM;DPYSL4;OPHN1;GNAT2;HOXA2;PROK2;EPHB2;EPHB1;SCN1B;MNX1;UNC5A;CACNA2D2;EBF2;SOX11;UNC5C;MAPK8IP2;HSPG2;ISL1;SOX10;OVOL2;BCAN;SFRP1;SFRP2;RFX4;KCNQ1;PARD3;KCNQ3;KCNQ4;EPHA2;ASTN1;UGT8A;COL13A1;MAOA;MAGED1;FOXG1;ARX;HPN;GATA4;GALR2;PRDM16;HESX1;NKX2-1;ALX1;APOE;PROM1;NKX2-2;EGR3;ST8SIA2;GDF1;NFATC2;GRIN2C;GRIN2B;GDF7;CYP26A1;FA2H;GRIN3A;GJB6;ID4;FAT4;SIM1;VSX2;GABRB3;BARHL1;MESP2;HRK;MESP1;BARHL2;HMX3;PCSK5;SLC6A3;GLI2;MED12;MMP24;MECOM;AIFM1;IDS;KIF1B;NEFM;FEZF2;TEAD1;NEFH;SLC18A3;OFD1;FOXD3;ELOVL4;SPHK1;MSGN1;EN2;SORCS1;PAX6;SYN1;UCHL5;ZDHHC15;RGMA;PAX1;BACE1;ARHGEF9;PIGA;KCNMA1;RARA;PLCB1;MDFI;HMX2;HMX1;FOXC2;FOXC1;GUCY2E;SEZ6;HOXD12;HOXD11;HOXD10;RELA;RELN;RXRA;EGFLAM;GBX2;NTF3;LMNA;PAK6;CTNNA2;CKB;ABCB1A;FOXB1;GSX1;GABRA5;GDF15;WHRN;SLC31A1;USP9X;GAD1;GSX2;ECEL1;HUWE1;KLHL1;NR1H3;UNCX;VAX1;POU4F1;POU4F2;KRT19;NFIA;KIF26A;PTF1A;NEUROG1;MIXL1;NEUROG2;CRLF1;FOXA2;FMR1;IHH;ESPN;CELSR3;FGF3;FGF8;SALL1;BMPER;SALL3;SALL4;PITX2;CCDC160;CARD10;CADPS2;PDGFRA;NKX6-2;SLC30A3;WNT5A;MAGI2;LMO2;TRP73;TBR1;POU3F1;POU3F2;MID1;POU3F3;NPAS4;CACNB3;LMX1A;SCN8A;EEF1A2;LMX1B;ROR2;NPTXR;RTN4R;SHC2;CNP;CHRNA4;NPR2;CHRD;SLC1A2;BHLHE22;HOXB13;BHLHE23;LTBP1;GRK1;EFNB1;SCUBE1;EFNB3;PLXNA1;OTX1;NPTX1;NPTX2;NKX6-1;DRD2;FGF22;WNT4;PRPH;PDHA1;WNT3A;BDNF;EVX1;FOXN4;HPRT;NFKB1;KY;IGF2R;PHOX2A;BMP2;DLG1;DAB1;NR4A3;GDNF;TLX3;LHX3;DLG3;NBEA;TLX2;FES;DLG5;FEV;GNAS;PLXNB2;LHX6;ALPL;LHX5;CSPG4;LHX4;SLC26A4;BMPR1B;BCL2L2;FGF10;BMPR1A;LHX8;UCN;GAL3ST1;DAGLA;NR2E1;LAMC1;SYNE1;SLC2A8;SIX6;ZIC3;MDK;ZIC1;ATP7A;ABCD1;NEO1;NKX3-2;EMX1;AMN;NUP133;TRPC3;GRID1;ATRX;SHROOM3;OLIG2;NAV2;SSTR2;ADAMTS20;DNAJC6;ALDH1A2;HAND1;SHANK1;PLEC;NLGN3;LAMA5;ZFP423;LAMA1;CAMK2A;DBX1;CRMP1;LRP4;HDAC8;DLL1;PTHLH;DLL3;ACAN;CECR2;ERBB4;SLIT1;SLITRK5;PDE6C;CACNG2;TBX1;NTRK1;KCNJ6;TCF7L1;SLC12A5;IRX5;NOS3;SPAG6;ATP2B2;EPOR;GLRB;USH1G;CROCC;PMP22;BCOR;CBLN1;HCN1
MP0003633_abnormal_nervous_system_	230/1361	0.00000000000002096222059482422754314272456960367402341717350811034492608087020926177501678466796875	0.00000000000029766353244650401785976348117537384021548396706435823944048024713993072509765625	0.00000000000000000000163172287768544990141018892071200832265764543282624912949770046299846626425278373062610626220703125	0.0000000000000000000193087207192778230810375177021614267181240871328733808951101658113458370280568487942218780517578125	-1.050295034046383	30.29346287537533	GFI1;HTR4;LGALS3;HTR7;DPYSL4;OPHN1;SCN1B;UNC13B;UNC5A;CACNA2D1;CACNA2D2;EBF2;UNC5C;MAPK8IP2;SOX10;ISL1;ANK1;HSPG2;CLDN5;BCAN;ARC;RNF128;KCNQ1;KCNQ3;KCNQ4;ASTN1;UGT8A;COL13A1;MAOA;MAGED1;FOXG1;ARX;HPN;GRIN2A;KCNN2;APOE;PROM1;NTSR1;CADM3;EGR3;ST8SIA2;GRIN2C;GRIN2B;SLC6A5;CPEB1;GRIN3A;GJB6;PPP1R1B;SIM1;VSX2;GABRB3;BARHL1;HRK;HMX3;KCNC1;DOC2A;SH3KBP1;GRIK5;GRIK3;DOC2B;SLC7A10;SLC6A1;SLC6A2;SLC6A3;JPH3;AIFM1;NEFM;KIF1B;NEFH;SLC18A3;ELOVL4;SPHK1;PAX6;AVPR1A;AP3B2;F3;SYN1;BACE1;ARHGEF9;KCNMA1;PLCB1;SLC29A1;HMX2;CHST3;OPRD1;FOXC2;RAMP2;FOXC1;GUCY2E;KCNA2;SEZ6;RELA;RELN;LMNA;CTNNA2;ABCB1A;PAK3;GABRQ;GABBR2;GSN;GSX1;WHRN;GABRA5;GAD1;POU4F2;NEUROG2;FOXA2;FMR1;ATN1;NR3C1;ESPN;CELSR3;CDH8;FGF8;PDGFRA;CADPS2;KCNH3;NKX6-2;TMOD2;TRP73;CASK;POU3F1;POU3F2;NPAS4;OLFM1;CACNB3;SLC9A6;SCN8A;EEF1A2;LMX1B;RTN4R;MAGEL2;CNP;CHRNA4;SLC1A2;CHRD;LIN7A;CACNA1C;BHLHE22;CPLX1;MCHR1;CACNA1G;GRK1;RAI1;EFNB3;HRH3;MBP;OTX1;DRD2;FGF22;GRIA3;DRD5;KL;SYT1;BDNF;HTR1A;HPRT;KY;NFKB1;DAB1;NR4A3;TLX3;NBEA;DLG3;GDNF;FEV;ALPL;LHX6;LHX5;SLC26A4;FGF12;GAL3ST1;DAGLA;KCNK9;RASGRF1;CELF4;HTR2C;OXT;ADRA1D;LAMC1;PPP1R9A;ADRA1B;AFF2;CALB2;ADAMTS4;GRM7;MDK;SCN5A;ERC2;ABCD1;PRKG1;EMX1;TRPC5;TRPC3;GRID1;OLIG2;SSTR2;ADRA2A;ADORA2A;VGF;DNAJC6;SHANK1;PLEC;CAMK2B;NLGN3;SLC24A2;NLGN2;CAMK2A;DBX1;CRMP1;HDAC8;ERBB4;TBX21;SLITRK5;PDE6C;CACNG2;S1PR5;S1PR4;NTRK1;TBX1;KCNJ6;SLC12A5;NOS3;KCNIP3;ATP2B2;USH1G;CROCC;PMP22;KCNK2;CBLN1
MP0005508_abnormal_skeleton_morphology_	196/1244	0.0000000010817107911686407527650409456272673214272117547807283699512481689453125	0.000000009600183271621686887584891530698916195518677341169677674770355224609375	0.0000000000000030369278573883535200626977579463820794102566803795983929603607975877821445465087890625	0.00000000000002395798643050812195087431390568419015588250316206586632006292347796261310577392578125	-1.620616775495692	29.918990100262814	SCX;ANTXR1;LGALS3;RPS6KA3;NDST1;EDNRA;HOXA9;HOXA2;HOXA6;HOXA5;HOXA4;ACVR1;HES7;EBF2;CACNA2D2;SOX11;HSPG2;ANK1;BTC;SFRP1;SFRP2;HOXB9;HOXB7;NBL1;EPHA2;FOXG1;TWIST2;PRDM16;ALX3;ALX4;ALX1;APOE;PHC2;EGR3;NFATC2;FOSL1;CYP26A1;SNAI1;ID4;HOXD4;FAT4;HOXD9;HOXD8;MESP2;DDR1;MESP1;RARG;HOXC13;PTH1R;LIMD1;PCSK5;SLC6A3;GLI2;MED12;RSPO2;IDS;KIF1B;SLC18A3;OFD1;FOXD3;MSGN1;BGN;PAX6;PAX1;RGMA;HCK;ANO1;MMP14;SLC7A7;RIPPLY2;NOV;PAX7;PIGA;PAX9;RARA;PLCB1;MDFI;HMX1;FOXC2;FOXC1;COL11A2;HOXD12;HOXD11;HOXD10;RELA;ARNTL;RXRA;GBX2;PLAGL1;LMNA;GPC3;HAS2;CDX4;GSN;GSX1;CDX1;PCGF2;GAD1;UNCX;DMRT3;VAX1;KRT19;FOXA2;IRS1;IHH;NR3C1;FGF3;FGF8;EFEMP1;SALL1;BMPER;SALL3;SALL4;PITX2;PDGFRA;OSR2;CASR;WNT5A;TRP73;CASK;CARTPT;POU3F3;POU3F4;LMX1A;SCN8A;ROR2;LMX1B;FBN2;PKDCC;CNP;NPR2;CHRD;HOXB13;MCHR1;LTBP1;MTM1;EFNB1;RAI1;CALCR;SCUBE1;PLXNA1;OTX1;DRD2;KL;WNT3A;NFKB1;BMP6;IGF2R;QDPR;BMP3;BMP2;DLG1;DAB1;GNAS;ALPL;SP5;BMPR1B;BMPR1A;FGF10;EDA;LAMC2;SYNE1;ADAMTS5;ZIC3;PSTPIP2;ZIC1;ACP5;ATP7A;NKX3-2;EMX1;SHROOM3;GREM1;ACTA1;ALDH1A3;EVC;ALDH1A2;IRF6;LAMA5;SRC;CEBPE;LRP4;HDAC8;DLL1;PTHLH;HDAC6;DLL3;ACAN;TBX22;CBS;IGF2BP1;NOS3;TBX5;NELL1;CLCN5;CYP24A1;GLRB
MP0002133_abnormal_respiratory_system_	115/622	0.00000000051035248707594737627095555557968538373803113472604309208691120147705078125	0.00000000517643236891318030918202798703296740878698756205267272889614105224609375	0.000000000000732607090086828924545329530577458270368569615005327477774699218571186065673828125	0.000000000004728645763287713462648874901370584281599940279505744911148212850093841552734375	-1.3153118373884025	25.095031513257133	IHH;AQP5;NR3C1;CELSR3;NDST1;LGALS3;EDNRA;BMPER;IL12A;HOXA5;IL13RA1;PDGFRA;IL1R1;WNT5A;TRP73;CACNA2D2;CASK;SOX11;POU3F1;HSPG2;LOX;RNF128;DKC1;SCN8A;SCNN1A;ROR2;ATF3;CUL7;PKDCC;CNP;NPR1;FOXG1;LTBP4;DTX1;GATA4;CSF2RB;LIN7A;CRHR1;MTM1;PRDM16;NKX2-1;APOE;DRD2;BDNF;NFATC2;NFKB1;IGF2R;KY;PHOX2A;DLG1;TLX3;SP3;GNAS;ALPL;LHX4;LAT;BMPR1A;FGF10;LAMC2;SYNE1;MECOM;RSPO2;FFAR2;KIF1B;ATP7A;NKX3-2;FOXD3;PAX6;OLIG2;SSTR4;GREM1;HCK;ANO1;ALDH1A3;RIPPLY2;PAX9;DOCK1;MDFI;ENG;FOXC2;FOXC1;CEBPE;SRC;KCNA2;DBX1;LRP4;RELA;PTHLH;ACAN;EFS;TBX22;TBX21;PLAGL1;NTF3;PDPN;LMNA;HAS3;GPC3;SLIT3;TBX1;SLC12A5;GSN;NOS3;GAD1;WNT7B;ECEL1;CADPS;GSX2;UNCX;NELL1;P2RX2;CROCC;INSM1;PTF1A;FOXA2
MP0001672_abnormal_embryogenesis/_devel_	209/1271	0.000000000005464877439266221822309265796813971204602677911310593117377720773220062255859375	0.0000000000646677163646502892752445389144030744865698778767182375304400920867919921875	0.00000000000000000369023400547962292531286135386259720175037058495330632990061303644324652850627899169921875	0.0000000000000000374295163412933191228841397376284473004865325433503098206955428395303897559642791748046875	-1.0265665359234384	24.085056676873847	PRRXL1;C330007P06RIK;RAX;SCX;RPS6KA6;EDNRA;SOX17;HOXA2;ACVR1;HES7;SLC34A2;ESX1;HNF1B;ISL1;SOX10;HSPG2;OVOL2;ARC;SFRP1;PARD3;EPHA2;ABCB7;TTYH1;FOXG1;GATA4;LPAR3;HESX1;ALX1;NKX2-5;GDF1;NFATC2;GDF3;NR2F2;GDF7;FOSL1;CYP26A1;SNAI1;FAT4;DAND5;ACVRL1;MESP2;DDR1;MESP1;HMX3;CITED1;SUV39H1;HCCS;PTH1R;ARHGAP6;GLI2;MED12;AIFM1;MECOM;RSPO2;RSPO3;TEAD1;TEAD4;OFD1;FOXD3;SPHK1;MSGN1;PAX6;F3;ZFX;DUSP9;UCHL5;RGMA;ZDHHC15;PAX1;NR5A2;SLC7A7;RIPPLY2;CTTN;PIGA;PAX9;RARA;MDFI;ENG;FOXC2;FOXC1;RAMP2;ODC1;HOXD12;HOXD11;ASCL2;ARNTL;RXRA;GBX2;NSD1;GPC3;HAS2;FOXB1;CDX4;SLC31A1;USP9X;CDX1;GAD1;WNT7B;HUWE1;BMP8B;KRT19;KRT18;WT1;RLIM;PTF1A;MIXL1;FOXA2;OTUD5;NDUFA13;CSE1L;ITGA2B;IHH;FGF3;FGF4;SALL1;FGF8;BMPER;CDH2;CDH1;SALL4;GRB10;PITX2;CCDC160;PDGFRA;WNT5A;LMO2;TRP73;ALG13;MID1;LMX1A;DKC1;LMX1B;ROR2;CUL7;DLX3;CHRD;CACNA1C;HOXB13;LTBP1;ZFP36L2;EFNB1;PORCN;SCUBE1;WNT4;PDHA1;WNT3A;ESRRB;EVX1;HPRT;HOPX;IGF2R;FGF16;BMP2;DLG1;NR4A3;DLG3;NBEA;TLX2;SP3;PIR;PLXNB2;BRWD3;FGF10;BMPR1A;FLT1;LAMC1;PKD2;GPI1;RBM3;THBD;ZIC3;SCN5A;ATP7A;NKX3-2;EMX1;MYOCD;AMN;NUP133;ATRX;SHROOM3;ADRA2A;ADAMTS20;GREM1;ALDH1A2;HAND1;CDH11;DOCK1;LAMA5;LRP1;LAMA1;SRC;LRP4;HDAC8;DLL1;DLL3;CECR2;CBS;ERBB4;IGF2BP1;RBBP7;TBX1;TCF7L1;NOS3;TBX5;EPOR;BICC1;KLF8;BCOR;BCAR1
MP0000462_abnormal_digestive_system_	123/690	0.000000001322453634212175688686310783578718719422084859616006724536418914794921875	0.000000010432689781007164087984467729965099014322049697511829435825347900390625	0.0000000000009684322067775837167252715746820602798171362390888816662481985986232757568359375	0.000000000005729890556767370424932052685158367748285979104139187256805598735809326171875	-1.2250972435417995	22.515231270666106	IHH;RAX;ARAF;NR3C1;LOXL1;CELSR3;NDST1;EDNRA;EFEMP1;SALL1;FGF8;SOX17;SALL3;SALL4;HOXA2;EPHB2;PITX2;HOXA5;MNX1;ACVR1;PDGFRA;OSR2;LHCGR;WNT5A;TRP73;CASK;SOX11;SOX10;ISL1;HSPG2;OVOL2;SLC9A2;SLC9A3;KCNQ1;ROR2;PKDCC;CNP;NPR2;FOXG1;CHRD;GATA5;GATA4;EFNB1;PRDM16;NKX2-1;ALX3;ALX1;MSC;BDNF;WNT3A;GDF1;HPRT;NFKB1;ATP4B;CYP26A1;DLG1;GDNF;TLX2;SNAI1;ALPL;FGF10;LHX8;GABRB3;EDA;FOXE1;PIK3CD;LAMC2;PTH1R;HOXC13;PKD2;PCSK5;GLI2;ZIC3;RSPO2;FFAR2;NKX3-2;PRKG1;OFD1;FOXD3;RIPK4;SHROOM3;PAX6;FOXL1;MN1;MMP14;NR5A2;PAX7;PIGA;PAX9;RARA;IRF6;FOXC2;LAMA5;FOXC1;LAMA3;HOXD12;BARX1;ASCL2;COL19A1;RELA;PTHLH;ACAN;RXRA;GBX2;TBX22;LMNA;GPC3;IGF2BP1;SLIT3;RUNX1T1;TBX1;TCF7L1;GAD1;PDX1;VAX1;BICC1;KIF26A;LTBR;INSM1;PTF1A;MIXL1;FOXA2;NEUROG3
MP0002102_abnormal_ear_morphology_	74/369	0.000000021234843951020886739262865197143403950263973456458188593387603759765625	0.000000134642863590480566840558722570275751451163159799762070178985595703125	0.0000000005855652313466321750555552042125269374128748722796444781124591827392578125	0.0000000027716754283740592514428423601656470420806499532773159444332122802734375	-1.3577401562364402	21.48031825087608	DDR1;GABRB3;BARHL1;MESP1;HMX3;UCN;GFI1;LAMC2;ESPN;TSPAN12;FGF3;GLI2;EDNRA;FGF8;MECOM;BMPER;PSTPIP2;ZIC3;SALL4;HOXA2;EPHB2;HOXA5;NKX3-2;ACVR1;OSR2;GRID1;WNT5A;PAX6;HSPG2;POU3F3;POU3F4;OVOL2;LMX1A;KCNQ1;ALDH1A2;PAX9;KCNMA1;RARA;KCNQ4;IRF6;ROR2;HMX2;HMX1;FOXC2;FOXG1;COL11A2;HPN;CHRD;DLL1;EFNB1;ACAN;RXRA;GBX2;LMNA;HESX1;OTX1;APOE;CACNG2;TBX1;BDNF;GABRA5;WHRN;ESRRB;ATP2B2;KRT10;NFKB1;NR4A3;USH1G;GJB6;GNAS;FAT4;SLC26A4;FGF10;BMPR1A
