Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cryptorchidism (HP:0000028)	15/379	0.000063304986685056049262008970313075906233279965817928314208984375	0.0445034056395944010997567374943173490464687347412109375	0.00062070617220304387384732791588248801417648792266845703125	0.436356439058739831171607193027739413082599639892578125	-2.57920101052091	8.026962461983004	GK;BDNF;FMR1;RIPK4;GATA5;SOX11;HNF1B;ANK1;PHF8;GJB6;SMS;LHX4;FAT4;FGFR2;FKTN
Anal stenosis (HP:0002025)	3/15	0.000714909924233953484630499364271827289485372602939605712890625	0.2512908383682346258325424059876240789890289306640625	0.002460957713592820846060238437758016516454517841339111328125	0.5218903564472203715496334552881307899951934814453125	-2.2723160897146544	3.1383963970384032	RIPK4;PITX2;MNX1
Bifid scrotum (HP:0000048)	3/22	0.002273124859259426262803049922922582481987774372100830078125	0.290600160826817222048390476629720069468021392822265625	0.00642518878292371899141333102534190402366220951080322265625	0.5218903564472203715496334552881307899951934814453125	-2.160219435178368	2.669614244262212	FAT4;MNX1;FGFR2
Microtia (HP:0008551)	4/42	0.00163150912873409712107453106710863721673376858234405517578125	0.290600160826817222048390476629720069468021392822265625	0.0052493166572282166926211033342042355798184871673583984375	0.5218903564472203715496334552881307899951934814453125	-2.0293828490635732	2.5079254786327816	NIN;FAT4;FGFR2;PLEC
Hypothyroidism (HP:0000821)	6/120	0.003423111744406391078465734523206265293993055820465087890625	0.343778222331098948227889877671259455382823944091796875	0.0124819960302115541550538324599983752705156803131103515625	0.5218903564472203715496334552881307899951934814453125	-2.3449649946649664	2.50385638039956	NIN;FOXE1;FMR1;HNF1B;LHX4;SLC26A4
Hypoplasia of the maxilla (HP:0000327)	4/47	0.00248022896864993382115560649481267319060862064361572265625	0.290600160826817222048390476629720069468021392822265625	0.00759349623662125376710729796059240470640361309051513671875	0.5218903564472203715496334552881307899951934814453125	-2.0200010767395704	2.496331418962397	RIPK4;FAT4;PITX2;FGFR2
Nail dystrophy (HP:0008404)	4/45	0.00211121868681544977430775134052964858710765838623046875	0.290600160826817222048390476629720069468021392822265625	0.006586452894948043208789290048343900707550346851348876953125	0.5218903564472203715496334552881307899951934814453125	-1.9361641629611024	2.392725176201461	GJB6;LAMC2;HOXC13;PLEC
Carious teeth (HP:0000670)	5/119	0.014916327420853241203513306345485034398734569549560546875	0.35988080062481031529131314528058283030986785888671875	0.04191039724896829243849794011111953295767307281494140625	0.5218903564472203715496334552881307899951934814453125	-2.2142256626044055	2.262899682796903	GJB6;LAMC2;CRLF1;FGFR2;PLEC
Depressed nasal bridge (HP:0005280)	7/228	0.021310241742168896383891052437320468015968799591064453125	0.35988080062481031529131314528058283030986785888671875	0.06906860601986226921855660521032405085861682891845703125	0.5218903564472203715496334552881307899951934814453125	-2.162688545173338	2.210229655230763	AMMECR1;SOX11;FAT4;PITX2;ANK1;CRLF1;FGFR2
Plantar hyperkeratosis (HP:0007556)	3/28	0.00458432842294755060752464714823872782289981842041015625	0.35988080062481031529131314528058283030986785888671875	0.0117620904649799080943228801743316580541431903839111328125	0.5218903564472203715496334552881307899951934814453125	-2.0565190176059014	2.1017262653944884	GJB6;LAMC2;PLEC
Mandibular prognathia (HP:0000303)	5/97	0.006507488512572451137827567180238474975340068340301513671875	0.35988080062481031529131314528058283030986785888671875	0.0200011599638955928082140189872006885707378387451171875	0.5218903564472203715496334552881307899951934814453125	-2.027136709979862	2.07169806378445	SLC9A6;FMR1;SMS;HNF1B;FGFR2
Coarse facial features (HP:0000280)	5/129	0.020422609342520832431677746399145689792931079864501953125	0.35988080062481031529131314528058283030986785888671875	0.05537598771038897138563328326199552975594997406005859375	0.5218903564472203715496334552881307899951934814453125	-2.0152973196761237	2.059598415128348	FOXE1;FMR1;SOX11;LHX4;SLC26A4
Hypoplasia of dental enamel (HP:0006297)	3/35	0.00860825971920601944187279030984427663497626781463623046875	0.35988080062481031529131314528058283030986785888671875	0.0204586561061016504459164622176103875972330570220947265625	0.5218903564472203715496334552881307899951934814453125	-1.99292336887883	2.03673263093246	LAMC2;FGFR2;PLEC
Muscular dystrophy (HP:0003560)	3/34	0.0079402980613807183640773246224853210151195526123046875	0.35988080062481031529131314528058283030986785888671875	0.0190488876158008968442203467930085025727748870849609375	0.5218903564472203715496334552881307899951934814453125	-1.9046155263798432	1.9464835690801143	GK;FKTN;PLEC
Hypospadias (HP:0000047)	4/84	0.01899071510932147377470613491823314689099788665771484375	0.35988080062481031529131314528058283030986785888671875	0.046614777947463069407429969714939943514764308929443359375	0.5218903564472203715496334552881307899951934814453125	-1.902917724067374	1.9447484449781656	HNF1B;FAT4;PITX2;FGFR2
Pyloric stenosis (HP:0002021)	4/61	0.00636303300527051897417241121956976712681353092193603515625	0.35988080062481031529131314528058283030986785888671875	0.0175470837859393567759180854181977338157594203948974609375	0.5218903564472203715496334552881307899951934814453125	-1.8749978073431615	1.9162147811488774	HNF1B;LAMC2;FAT4;FGFR2
Deeply set eye (HP:0000490)	4/81	0.01683686614729289210412588317922200076282024383544921875	0.35988080062481031529131314528058283030986785888671875	0.041864882470727893259976326589821837842464447021484375	0.5218903564472203715496334552881307899951934814453125	-1.8636356440704684	1.9046028501249088	SLC9A6;FMR1;FGFR2;PLEC
Kyphoscoliosis (HP:0002751)	4/68	0.00930113124707958836834276183935799053870141506195068359375	0.35988080062481031529131314528058283030986785888671875	0.0246317644675026203859857787392684258520603179931640625	0.5218903564472203715496334552881307899951934814453125	-1.8419594376994213	1.8824501484605318	EGR2;SMS;HMGB3;CRLF1
Short philtrum (HP:0000322)	4/64	0.00753285746065617857480933849956272752024233341217041015625	0.35988080062481031529131314528058283030986785888671875	0.020401306583081389722789111829115427099168300628662109375	0.5218903564472203715496334552881307899951934814453125	-1.8033505159312295	1.8429925094773363	SMS;SOX11;FAT4;PITX2
Narrow mouth (HP:0000160)	4/93	0.02644232117645715918197169003178714774549007415771484375	0.35988080062481031529131314528058283030986785888671875	0.06260896768077746366021330004514311440289020538330078125	0.5218903564472203715496334552881307899951934814453125	-1.7808615453077528	1.8200091770420883	RIPK4;FAT4;CRLF1;FGFR2
Urinary incontinence (HP:0000020)	3/44	0.016090766486119754963279859794056392274796962738037109375	0.35988080062481031529131314528058283030986785888671875	0.03567893826650105071340846052407869137823581695556640625	0.5218903564472203715496334552881307899951934814453125	-1.7570204600404096	1.7956440072221576	SLC9A6;FMR1;MNX1
Variable expressivity (HP:0003828)	5/144	0.0309266419804718507846619246492991806007921695709228515625	0.35988080062481031529131314528058283030986785888671875	0.0798294819230202790105721533109317533671855926513671875	0.5218903564472203715496334552881307899951934814453125	-1.7402489052906007	1.7785037732503801	EGR2;GJB6;PITX2;FGFR2;FKTN
Gastrointestinal atresia (HP:0002589)	2/17	0.0175939249403690711748282637927331961691379547119140625	0.35988080062481031529131314528058283030986785888671875	0.034353941951358830941831712380007957108318805694580078125	0.5218903564472203715496334552881307899951934814453125	-1.7375882793471724	1.7757846603319871	FOXF1;FGFR2
Congenital onset (HP:0003577)	5/142	0.02936340315148440460735201895658974535763263702392578125	0.35988080062481031529131314528058283030986785888671875	0.076275138818141130503391877937247045338153839111328125	0.5218903564472203715496334552881307899951934814453125	-1.7207628291955426	1.758589346207475	EGR2;T;LAMC2;FAT4;PLEC
Abnormality of the labia majora (HP:0012881)	2/14	0.01205583188199112372462895592661880073137581348419189453125	0.35988080062481031529131314528058283030986785888671875	0.024831870915473619465529964145389385521411895751953125	0.5218903564472203715496334552881307899951934814453125	-1.708724931113474	1.7462868260933266	RIPK4;FGFR2
Hypertelorism (HP:0000316)	8/328	0.046786956384570699274405569667578674852848052978515625	0.386533675175572521975908557578804902732372283935546875	0.1456840261727268825975301069775014184415340423583984375	0.5218903564472203715496334552881307899951934814453125	-1.8311818939893414	1.7406048369122011	GK;PSAT1;RIPK4;SMS;FAT4;PITX2;ANK1;FGFR2
Wide cranial sutures (HP:0010537)	2/17	0.0175939249403690711748282637927331961691379547119140625	0.35988080062481031529131314528058283030986785888671875	0.034353941951358830941831712380007957108318805694580078125	0.5218903564472203715496334552881307899951934814453125	-1.6939220965438941	1.7311585895193737	CYP2R1;FAT4
Microcornea (HP:0000482)	4/97	0.0302430042961041069260463842738317907787859439849853515625	0.35988080062481031529131314528058283030986785888671875	0.07054756385224091042029925802125944755971431732177734375	0.5218903564472203715496334552881307899951934814453125	-1.6818115155897224	1.7187817887883012	HMGB3;PITX2;ANK1;FKTN
Hypoplastic female external genitalia (HP:0012815)	2/20	0.0240036253270450306018801711616106331348419189453125	0.35988080062481031529131314528058283030986785888671875	0.0450595956045375112264395056627108715474605560302734375	0.5218903564472203715496334552881307899951934814453125	-1.6744681333030922	1.7112769812487092	RIPK4;FGFR2
Thick lower lip vermilion (HP:0000179)	4/97	0.0302430042961041069260463842738317907787859439849853515625	0.35988080062481031529131314528058283030986785888671875	0.07054756385224091042029925802125944755971431732177734375	0.5218903564472203715496334552881307899951934814453125	-1.670698553821889	1.7074245373192773	PSAT1;SMS;AMMECR1;SOX11
Abnormality of the 4th metacarpal (HP:0010012)	2/12	0.00888392847788649180074127542638962040655314922332763671875	0.35988080062481031529131314528058283030986785888671875	0.0192069397467842760407474855810505687259137630462646484375	0.5218903564472203715496334552881307899951934814453125	-1.6503934236745972	1.6866730514407282	FGF16;FAT4
Pterygium (HP:0001059)	2/17	0.0175939249403690711748282637927331961691379547119140625	0.35988080062481031529131314528058283030986785888671875	0.034353941951358830941831712380007957108318805694580078125	0.5218903564472203715496334552881307899951934814453125	-1.6480886601634206	1.6843176236690942	PSAT1;RIPK4
Labial hypoplasia (HP:0000066)	2/19	0.0217745596940734642554815536641399376094341278076171875	0.35988080062481031529131314528058283030986785888671875	0.041367400696147631211641026993675041012465953826904296875	0.5218903564472203715496334552881307899951934814453125	-1.6472062451119938	1.6834158110066846	RIPK4;FGFR2
Hypoplastic labia majora (HP:0000059)	2/13	0.0104160085099409722986241177977717597968876361846923828125	0.35988080062481031529131314528058283030986785888671875	0.021943679699176731057175260275471373461186885833740234375	0.5218903564472203715496334552881307899951934814453125	-1.6429976611560155	1.6791147122253591	RIPK4;FGFR2
Bicornuate uterus (HP:0000813)	2/16	0.015647522416687043023131309382733888924121856689453125	0.35988080062481031529131314528058283030986785888671875	0.031042005086151257253757052012588246725499629974365234375	0.5218903564472203715496334552881307899951934814453125	-1.6364201324464516	1.672392593571494	HNF1B;MNX1
Polyhydramnios (HP:0001561)	4/100	0.033294484376276183013043663549979100935161113739013671875	0.35988080062481031529131314528058283030986785888671875	0.07683000628641319107448026670681429095566272735595703125	0.5218903564472203715496334552881307899951934814453125	-1.6326933810527975	1.6685839191942657	FOXE1;FOXF1;PSAT1;PLEC
Aplasia/Hypoplasia of the clavicles (HP:0006710)	2/21	0.0263218253994481031499130807560504763387143611907958984375	0.35988080062481031529131314528058283030986785888671875	0.048869397135393601028230392557816230691969394683837890625	0.5218903564472203715496334552881307899951934814453125	-1.625127022478865	1.6608512338108163	FAT4;FGFR2
Short clavicles (HP:0000894)	2/19	0.0217745596940734642554815536641399376094341278076171875	0.35988080062481031529131314528058283030986785888671875	0.041367400696147631211641026993675041012465953826904296875	0.5218903564472203715496334552881307899951934814453125	-1.6063225040156808	1.6416333466802713	FAT4;FGFR2
Long nose (HP:0003189)	2/12	0.00888392847788649180074127542638962040655314922332763671875	0.35988080062481031529131314528058283030986785888671875	0.0192069397467842760407474855810505687259137630462646484375	0.5218903564472203715496334552881307899951934814453125	-1.592420873298122	1.6274261245924728	SLC9A6;FGFR2
Absent septum pellucidum (HP:0001331)	2/19	0.0217745596940734642554815536641399376094341278076171875	0.35988080062481031529131314528058283030986785888671875	0.041367400696147631211641026993675041012465953826904296875	0.5218903564472203715496334552881307899951934814453125	-1.5528602228885648	1.5869958356770562	LHX4;FGFR2
Absent hair (HP:0002298)	2/20	0.0240036253270450306018801711616106331348419189453125	0.35988080062481031529131314528058283030986785888671875	0.0450595956045375112264395056627108715474605560302734375	0.5218903564472203715496334552881307899951934814453125	-1.5505846786919415	1.5846702695309784	GJB6;RIPK4
Congenital glaucoma (HP:0001087)	2/19	0.0217745596940734642554815536641399376094341278076171875	0.35988080062481031529131314528058283030986785888671875	0.041367400696147631211641026993675041012465953826904296875	0.5218903564472203715496334552881307899951934814453125	-1.5470720135774485	1.5810803875656467	PITX2;FGFR2
Milia (HP:0001056)	2/14	0.01205583188199112372462895592661880073137581348419189453125	0.35988080062481031529131314528058283030986785888671875	0.024831870915473619465529964145389385521411895751953125	0.5218903564472203715496334552881307899951934814453125	-1.5145729849179725	1.5478669518771477	LAMC2;PLEC
