Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	35/385	0.00000000044402360242165116228154387274860807888199332182921352796256542205810546875	0.000001316529981180195705780752203628569674265236244536936283111572265625	0.0000000016090717350594406631970371564211395865040543640134274028241634368896484375	0.0000047708976944512413755072888221775428974069654941558837890625	-2.3796226226475388	32.22130649976653	RARG;FLT1;CITED1;FOXG1;HOXC13;HOXD12;PCSK5;HOXC11;HOXD10;GLI2;EFNB1;RELN;T;ZIC3;SIX2;ALX3;GPC3;PITX2;HOXA5;FOXB1;TCF7L1;WNT7B;GSX2;ATP6AP2;PAX1;GREM1;BMP2;SFRP2;NRG3;PAX7;ALDH1A2;BCOR;HOXB7;HOXD8;FOXA2
embryonic morphogenesis (GO:0048598)	33/403	0.0000000189205665437073933485639617470275286592595875845290720462799072265625	0.000021078725250527104574486958465939778761821798980236053466796875	0.00000005032026147868757794836646994596218718243108014576137065887451171875	0.0000554502095482943178038348630565224084421060979366302490234375	-2.4322485220009846	26.18861891891137	RARG;FLT1;FOXE1;TENM4;FOXG1;HPN;HOXD12;HOXC11;HOXD10;FGF3;FGF4;GLI2;T;ZIC3;FRZB;SIX2;NSD1;ALX3;RSPO2;GPC3;PITX2;HOXA5;OFD1;PDGFRA;WNT7B;ESRRB;SOX11;FOXN4;SFRP2;ALDH1A2;HOXB7;MIXL1;HMX2
organ morphogenesis (GO:0009887)	33/405	0.00000002132754662785204657591634218490039831550575399887748062610626220703125	0.000021078725250527104574486958465939778761821798980236053466796875	0.000000056104765141613141859721074385103367632154913735575973987579345703125	0.0000554502095482943178038348630565224084421060979366302490234375	-2.3591498211949706	25.401547202530473	RARG;EDA;FOXE1;FHL1;PRKX;HOXC13;AQP5;HOXC11;HOXD10;FGD1;FGF4;GLI2;SOX3;T;SIX2;ALX3;PITX2;EPHB1;HOXA5;PDGFRA;WNT7B;SHROOM2;SOX11;FGF16;BMP2;LHX3;ALDH1A2;FAM20C;FAT4;BCOR;LY6H;HOXB7;HOXD8
neuron differentiation (GO:0030182)	23/222	0.0000000417840339298788701854862892570707799677620641887187957763671875	0.000030972415150522711042684054216778122281539253890514373779296875	0.0000001334395697824257547364702920777990158285319921560585498809814453125	0.00009891208110122308590737849609553222762770019471645355224609375	-2.31836494650629	24.07022371204852	BARHL2;GSX1;BDNF;WNT7B;GSX2;CHD5;FZD8;SOX11;FOXN4;FZD10;SMARCA1;POU3F2;POU4F2;LHX3;AIFM1;PAX7;ALDH1A2;LHX5;PITX2;FOXA2;WNT4;VSX2;NKX2-2
neuron fate specification (GO:0048665)	7/23	0.00000173614275724998544508654967077898589877804624848067760467529296875	0.00073538046789231527496089046991301074740476906299591064453125	0.00000990113198978469116512575454169819977323641069233417510986328125	0.003457276037742394725338357375221676193177700042724609375	-2.565999092862973	18.51399791637757	LHX3;TLX3;GSX2;DBX1;HOXD10;NKX2-2;FOXA2
regionalization (GO:0003002)	22/247	0.0000011268627013330511025114392953394570895397919230163097381591796875	0.00055685798490874940415429339424235877231694757938385009765625	0.00000259303675407170823593943319307353334579602233134210109710693359375	0.00128139232930376905338076820584092274657450616359710693359375	-2.39547624265899	17.949783335595654	FOXB1;RARG;WNT7B;FOXG1;ATP6AP2;GSX2;HOXC13;PCSK5;HOXC11;HOXD10;GLI2;PAX1;GREM1;BMP2;RELN;T;PAX7;ZIC3;ALDH1A2;HOXB7;HOXA5;FOXA2
brain development (GO:0007420)	19/187	0.000000845947954967017405221159191686108869134841370396316051483154296875	0.00050164713729544132235493858473773798323236405849456787109375	0.00000217122226162991492965270885762141261920987744815647602081298828125	0.00128139232930376905338076820584092274657450616359710693359375	-2.2993664702617624	17.469697963973875	TCF7L1;ZFHX3;CITED1;GABRA5;SPHK1;FOXG1;SHROOM2;FZD8;FZD10;SMARCA1;SHROOM4;AFF2;PHF8;RELN;SFRP2;FRZB;CDH22;HMX2;NKX2-2
skeletal system development (GO:0001501)	17/162	0.000002037277196472765333572739476775126377106062136590480804443359375	0.0007550658609427186689078137504793630796484649181365966796875	0.0000050242843351893321302069177203275529564052703790366649627685546875	0.002128143293405195847489697058563251630403101444244384765625	-2.222507910953814	15.976955019919048	TRAPPC2;BMP8B;SOX11;HOXD12;PTH1R;PCSK5;BMP6;PAX1;GLI2;BMP3;RPS6KA3;BMP2;T;FRZB;PAX7;FAM20C;ALPL
tissue morphogenesis (GO:0048729)	26/358	0.0000057051680004441561160229666460619313284041709266602993011474609375	0.0017781431963116815786474234073466504923999309539794921875	0.000010494261160094958511279639168378707836382091045379638671875	0.003457276037742394725338357375221676193177700042724609375	-2.3582468626632185	14.932856842158245	RARG;FLT1;CITED1;PRKX;NR3C1;GLI2;T;ZIC3;FRZB;RSPO2;GPC3;PITX2;HOXA5;WNT4;TCF7L1;WNT7B;RIPK4;SOX11;FOXN4;BMP2;SFRP2;GDNF;PAX7;ALDH1A2;FAT4;FOXA2
hindlimb morphogenesis (GO:0035137)	8/38	0.0000065968213016622249372897419938954755025406484492123126983642578125	0.0017781431963116815786474234073466504923999309539794921875	0.0000230369866269541481219353118436998784090974368155002593994140625	0.0062095150317199136746904031269878032617270946502685546875	-2.3513679313506186	14.889298172307164	RARG;SALL3;GPC3;RSPO2;ALX3;PITX2;HOXD10;FGF4
