Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002084_abnormal_developmental_patter_	33/421	0.0000000539062757881752595779661506487923094965708514791913330554962158203125	0.000005053713355141430628447718476081718108616769313812255859375	0.0000000050943015512483248915141665204113496923099546620505861937999725341796875	0.00000031839384695302033632531807198773332601149377296678721904754638671875	-1.6790236090544581	20.476343142923852	OTUD5;FLT1;ARHGAP6;FGF4;GLI2;GPI1;MED12;CDH2;ZIC3;NSD1;RSPO2;PITX2;CCDC160;OFD1;FOXD3;FOXB1;PDGFRA;SLC34A2;TCF7L1;AMN;USP9X;SLC31A1;LMO2;HUWE1;ALG13;BMP8B;GREM1;BMP2;TLX2;ALDH1A2;BCOR;MIXL1;FOXA2
MP0002882_abnormal_neuron_morphology_	60/1006	0.00000000828316253751043317374368017691477206199124339036643505096435546875	0.00000103539531718880419965751922550811769951906171627342700958251953125	0.000000000047013138620785061768674019919256432294141223593442191486246883869171142578125	0.000000004407481745698599503654685287899750445461677372804842889308929443359375	-1.2627596679530093	17.40174657292253	PRRXL1;BARHL2;UCN;FMR1;CELSR3;GLDN;GLI2;AIFM1;DPYSL4;OPHN1;PITX2;EPHB1;SLC18A3;OFD1;NKX6-2;GRID1;TRP73;CACNA2D2;SOX11;MAPK8IP2;ANK1;POU3F2;UCHL5;BACE1;SFRP2;DNAJC6;ALDH1A2;EEF1A2;HMX2;PLEC;ZFP423;UGT8A;FOXG1;ARX;DBX1;HOXD10;RELN;EGFLAM;SLIT1;NKX2-2;WNT4;PDHA1;BDNF;GABRA5;GAD1;GSX2;HUWE1;FOXN4;HPRT;POU4F2;KY;GDNF;TLX3;LHX3;NBEA;TLX2;PMP22;LHX5;FAT4;FOXA2
MP0002169_no_abnormal_phenotype_	77/1370	0.0000000007561817969699252541156470259521571453120714068063534796237945556640625	0.0000001672409370471531776306786838681706086617850814945995807647705078125	0.000000000000523275880369426164438075760545633139503816921855872124069719575345516204833984375	0.00000000007838166681638567017613709673651734184673944838550596614368259906768798828125	-1.0709508428395347	16.71093524072392	RAB9;RARG;FLT1;GALNT13;KCNK9;SYAP1;HMGB3;FZD10;DACH2;NR3C1;SLC6A1;ARHGAP6;SAT1;HS6ST2;FGF3;FGF4;GLI2;WDR44;MED12;SEPT6;MED14;PEG12;SIX2;GSC2;PITX2;ABCD1;HOXA5;PDGFRA;NKX6-2;TPI1;SPHK1;IGFBP2;CTPS2;ATP11C;ZBTB33;SEPT3;PAX1;KIF4;BACE1;SFRP2;PAX7;ALDH1A2;PLEC;MTMR1;ZFP423;FOXG1;ARX;TWIST2;TXLNG;PDZD4;FRZB;FAM120C;ALX3;MGAT3;RHBG;RBM10;DRD5;WNT4;BDNF;USP9X;GAD1;GSX2;FZD8;MSN;HPRT;GRIN2C;SYT7;IGF2R;POU4F2;POLA1;BMP2;CLCN5;RLIM;RBM41;TAB3;FOXA2;A830080D01RIK
MP0003861_abnormal_nervous_system_	51/855	0.0000001179852050420628586123843466355876064000085534644313156604766845703125	0.0000073740753151289283390192215439373768504083273001015186309814453125	0.00000000191355902603887542174675983892677411102312134971725754439830780029296875	0.000000143516926952915662421271275790701782426594945718534290790557861328125	-1.4140132009918995	16.71015762631298	EDA;FMR1;CELSR3;FGF3;GLI2;MED12;CDH2;OPHN1;ZIC3;PITX2;EPHB1;CCDC160;OFD1;PDGFRA;AMN;NKX6-2;SPHK1;LMO2;TRP73;CACNA2D2;SOX11;POU3F2;UCHL5;ZDHHC15;PAX1;SFRP2;ALDH1A2;PARD3;HMX1;ZFP423;FOXG1;ARX;HOXD12;HOXD10;RELN;SLIT1;FOXB1;TCF7L1;BDNF;SLC31A1;USP9X;GAD1;GSX2;HUWE1;HPRT;BMP2;LHX5;FAT4;BCOR;MIXL1;FOXA2
MP0002873_normal_phenotype_	77/1375	0.00000000089195166425148362202636556864284410328647112464750534854829311370849609375	0.0000001672409370471531776306786838681706086617850814945995807647705078125	0.0000000000006270533345310853517155739705363456698745949768891705389251001179218292236328125	0.00000000007838166681638567017613709673651734184673944838550596614368259906768798828125	-1.0657437718621274	16.629684988689387	RAB9;RARG;FLT1;GALNT13;KCNK9;SYAP1;HMGB3;FZD10;DACH2;NR3C1;SLC6A1;ARHGAP6;SAT1;HS6ST2;FGF3;FGF4;GLI2;WDR44;MED12;SEPT6;MED14;PEG12;SIX2;GSC2;PITX2;ABCD1;HOXA5;PDGFRA;NKX6-2;TPI1;SPHK1;IGFBP2;CTPS2;ATP11C;ZBTB33;SEPT3;PAX1;KIF4;BACE1;SFRP2;PAX7;ALDH1A2;PLEC;MTMR1;ZFP423;FOXG1;ARX;TWIST2;TXLNG;PDZD4;FRZB;FAM120C;ALX3;MGAT3;RHBG;RBM10;DRD5;WNT4;BDNF;USP9X;GAD1;GSX2;FZD8;MSN;HPRT;GRIN2C;SYT7;IGF2R;POU4F2;POLA1;BMP2;CLCN5;RLIM;RBM41;TAB3;FOXA2;A830080D01RIK
MP0002081_perinatal_lethality_	53/981	0.000001419937703478314026459667328283753562345737009309232234954833984375	0.00007606809125776682329982125718714769391226582229137420654296875	0.000000022442838968289792483004648610510345374535745577304624021053314208984375	0.000001202294944729810352712228056770715767243018490262329578399658203125	-1.3032534448353763	12.359901471419743	EDA;CITED1;PTH1R;NR3C1;CELSR3;FGF3;GLI2;SALL3;SIX2;RSPO2;PITX2;HOXA5;SLC18A3;OFD1;PDGFRA;FOXD3;RIPK4;DIO3;CASK;SOX11;ZFX;POU3F2;ANK1;POU3F3;GREM1;CLDN5;LOX;HMX1;FOXG1;ARX;TWIST2;DBX1;EFNB1;PRDM16;GPC3;SLIT1;ALX3;WNT4;FOXB1;BDNF;GAD1;WNT7B;GSX2;HUWE1;HPRT;IGF2R;LHX3;TLX3;GDNF;NBEA;FAT4;VSX2;FOXA2
MP0002752_abnormal_somatic_nervous_	39/675	0.000008117972637207400023033089520030358698932104744017124176025390625	0.0003805299673690968839147308333537012003944255411624908447265625	0.0000004611572058622002440259816762047062610463399323634803295135498046875	0.00001583668033032227564203299474687725023613893426954746246337890625	-1.4136874242543012	11.131297910589815	PRRXL1;BARHL2;UCN;ZFP423;FOXG1;HPN;HOXD10;FGF3;RPGR;EFNB1;RELN;EGFLAM;AIFM1;SALL3;ZIC3;EPHB1;SLC18A3;FOXD3;NKX6-2;BDNF;GABRA5;GRID1;GSX2;TRP73;CACNA2D2;SOX11;FOXN4;HPRT;POU4F2;KY;GDNF;LHX3;ALDH1A2;EEF1A2;PMP22;ALPL;FAT4;HMX2;VSX2
MP0003755_abnormal_palate_morphology_	17/212	0.000070124770739047516550888905495497738229460082948207855224609375	0.0017531192684761879273247497934562488808296620845794677734375	0.000024583635663062543079936117518258242853335104882717132568359375	0.00054228608080285020144606367153983228490687906742095947265625	-1.7451036877799926	11.075053864155054	OFD1;PDGFRA;FOXD3;EDA;FOXE1;GAD1;FOXG1;CASK;SOX11;PCSK5;GLI2;EFNB1;SALL3;PRDM16;ALX3;RSPO2;PITX2
MP0002114_abnormal_axial_skeleton_	32/567	0.0000822492542397608677844089708486308154533617198467254638671875	0.00181432178470060747645098420122167226509191095829010009765625	0.00000883302325443211707183162328949066477434826083481311798095703125	0.0002070239825257527330713835933551081325276754796504974365234375	-1.6994634018876777	10.727087010191466	RARG;HOXC13;HOXD12;PTH1R;PCSK5;HOXD10;FGF3;GLI2;MED12;EFNB1;RPS6KA3;ZIC3;GPC3;PITX2;HOXA5;SLC18A3;OFD1;PDGFRA;KL;PHC2;CACNA2D2;CASK;SOX11;KY;BMP6;IGF2R;PAX1;CLCN5;SFRP2;FAT4;HOXB7;HOXD8
MP0000631_abnormal_neuroendocrine_gland_	11/99	0.00007656022305309667587598643212487559139844961464405059814453125	0.0017943802278069533560900250535041777766309678554534912109375	0.000048592778756161294161607100416944149401388131082057952880859375	0.000792273566676542843716102293427638869616203010082244873046875	-1.6706485207511053	10.563670300101691	SOX3;KL;LHX3;NBEA;GSX1;FOXG1;CACNA2D2;PITX2;POU3F2;HMX2;WNT4
