Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	34/385	0.0000000019397060436567366216658477831753792930413737849448807537555694580078125	0.0000055126445760724453298818291402394464739700197242200374603271484375	0.0000000020339740369257943826828880472257221612153443857096135616302490234375	0.0000057805542129431073444171922115497608274381491355597972869873046875	-2.3796226226475388	28.813579834712655	MESP1;FOXC1;CITED1;FOXG1;IHH;BHLHE22;CELSR1;HOXD10;EFNB1;ZIC3;SIX2;GPC3;ALX4;MNX1;HOXA5;TBX1;IRX2;CDX4;CDX1;WNT7B;IRX4;ATP6AP2;SHROOM3;PAX3;GREM1;BMP2;RIPPLY2;MAFB;PAX7;ALDH1A2;BCOR;SIM2;NBL1;HOXD9
regionalization (GO:0003002)	25/247	0.000000019220765785434714574556999060021833525269130404922179877758026123046875	0.00002731270818110273086959209620783184391257236711680889129638671875	0.000000026757689108235213914610716085841490841090717367478646337985992431640625	0.000038022676222802237314991880001713298042886890470981597900390625	-2.4057507766541715	25.28001038343771	MESP1;FOXC1;FOXG1;BHLHE22;CELSR1;HOXD10;ZIC3;ALX4;MNX1;HOXA5;TBX1;IRX2;CDX4;CDX1;WNT7B;ATP6AP2;PAX3;GREM1;BMP2;MAFB;RIPPLY2;PAX7;ALDH1A2;HOXD9;NBL1
organ morphogenesis (GO:0009887)	29/405	0.00000244887066022107797761092444488451036477272282354533672332763671875	0.0023198968054494342565241549181109803612343966960906982421875	0.000001937438598351970048586610795293694309293641708791255950927734375	0.00183540016550543297856046276450570076121948659420013427734375	-2.3591498211949706	14.311151493937519	SLC24A4;FOXC1;ONECUT2;FOXE1;IHH;PRKX;HOXD10;FGD1;EFNB2;SIX2;ALX4;NKX6-1;HOXA5;TBX1;CDX1;WNT7B;PRRX2;SHROOM2;PAX3;FOXL2;NCOR2;FGF16;BMP2;GJB6;ALDH1A2;GNAS;FAT4;BCOR;HOXD9
fear response (GO:0042596)	6/28	0.000090013985477358375076641083811779253665008582174777984619140625	0.03578139820891999833829544286345480941236019134521484375	0.00018525771639699240640915267608335170734790153801441192626953125	0.043875202500021033558130767460170318372547626495361328125	-2.564776678349358	8.541545338188143	GABRA5;BDNF;HTR2C;DRD1;MAPK8IP2;CRHR1
pigmentation (GO:0043473)	7/37	0.0000543298354635428785487129277331774801496067084372043609619140625	0.03578139820891999833829544286345480941236019134521484375	0.0001067422445700443403050761137507151943282224237918853759765625	0.040402622889163374020338181935585453175008296966552734375	-2.4739477154665757	8.239055179480369	CITED1;ATP6AP2;SHROOM2;PAX3;SHROOM3;ATP7A;DRD2
embryonic morphogenesis (GO:0048598)	25/403	0.00012590217526009850920569455023922955660964362323284149169921875	0.03578139820891999833829544286345480941236019134521484375	0.000092863549689192013557488547537133172227186150848865509033203125	0.040402622889163374020338181935585453175008296966552734375	-2.411686356966559	8.031704488508186	CDKN1C;MESP1;FOXE1;TENM4;FOXG1;IHH;CELSR1;NTN1;HOXD10;FGF3;ZIC3;SIX2;GPC3;ALX4;HOXA5;TBX1;WNT7B;ESRRB;PRRX2;FOXL2;MAFB;GJB6;ALDH1A2;GNAS;HOXD9
apical protein localization (GO:0045176)	4/11	0.0001545166504088523145958589122272996974061243236064910888671875	0.03659469337182985615442021298804320394992828369140625	0.0004399607330282879536810514142786132651963271200656890869140625	0.0735510825450820249216121737845242023468017578125	-2.4244205378825128	8.019624419452557	DLG5;SHROOM2;SHROOM3;CELSR1
gland development (GO:0048732)	17/220	0.00011816703621498716764333380968565734292496927082538604736328125	0.03578139820891999833829544286345480941236019134521484375	0.00011373011369222624407371302623914743890054523944854736328125	0.040402622889163374020338181935585453175008296966552734375	-2.326957797836693	7.749530669884385	CDKN1C;TBX1;FOXC1;TFAP2C;ONECUT2;FOXE1;LSR;IGF2R;EGFR;FGF3;CRHR1;QDPR;MAFB;ALDH1A2;HOXD9;HOXA5;EPHB3
anterior/posterior pattern specification (GO:0009952)	14/150	0.00006346389950141924363169465550527093000710010528564453125	0.03578139820891999833829544286345480941236019134521484375	0.00007287760294556150744184341849774000365869142115116119384765625	0.040402622889163374020338181935585453175008296966552734375	-2.3078219450689876	7.685802020376609	TBX1;CDX4;FOXC1;CDX1;ATP6AP2;CELSR1;HOXD10;BMP2;RIPPLY2;ZIC3;ALDH1A2;ALX4;HOXD9;HOXA5
locomotory behavior (GO:0007626)	15/183	0.00015373378139281303005579670806213243849924765527248382568359375	0.03659469337182985615442021298804320394992828369140625	0.0001568242316939354283507335185987585646216757595539093017578125	0.040517678770378588726241986250897753052413463592529296875	-2.3148278894382477	7.657108153844721	SPTBN4;SEZ6;HTR2C;ATP2B2;NAV2;CELSR1;HOXD10;CRHR1;ADCY5;DRD1;ATP7A;DRD2;HOXD9;FGF12;APBA2
