Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	29/111	0.000000000000000000010625844781611345590040155282793969992235651900250382778830016139437475430895574390888214111328125	0.0000000000000000111465111759103019031195806928879330922508562897702173721814489226744626648724079132080078125	0.000000000000005057112393305341602153118170210904765428622069378672421180453966371715068817138671875	0.000000000005304910900577303380101666221601829369521052814917538853478617966175079345703125	-2.0928581235265966	81.69556471885507	ABCB7;PHF6;CHRDL1;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;GPC3;ATP7A;ABCD1;IGBP1;PDHA1;IQSEC2;NAA10;ATP6AP2;ATP2B3;PHKA1;UBE2A;SMC1A;FGF16;CLCN5;SLC6A8;SMS;UBA1;MAMLD1;MBTPS2
X-linked dominant inheritance (HP:0001423)	15/62	0.00000000008014363386764636969257629502380092280378054425682421424426138401031494140625	0.00000004203533596358052151767937761918381145420653410837985575199127197265625	0.0000000882646586169499666534474734656823269318692837259732186794281005859375	0.0000462948134445902585222022695976562545183696784079074859619140625	-1.9176835215642711	32.57138524139434	SLC35A2;CDKL5;PDHA1;FMR1;NDUFA1;CASK;EFNB1;RPS6KA3;SLC9A6;LAMP2;NHS;PLS3;PDK3;BCOR;SLC16A2
Pectus excavatum (HP:0000767)	17/135	0.000000162501787925693591460100093960827738470698022865690290927886962890625	0.00004974988998353375622106520292931008953019045293331146240234375	0.0000374626585903362191161229677316413244625437073409557342529296875	0.00992267838297418436344088377154548652470111846923828125	-2.335513512537707	23.14144102408635	IGBP1;NAA10;FMR1;IHH;SMC1A;FGD1;MED12;RPS6KA3;EFNB1;SLC9A6;KAT6B;SMS;GPC3;GPC4;ATP7A;SLC16A2;FKTN
Camptodactyly of finger (HP:0100490)	16/121	0.000000189704060947697831889308312837416625740161180146969854831695556640625	0.00004974988998353375622106520292931008953019045293331146240234375	0.00003783671452039727108908329089587141424999572336673736572265625	0.00992267838297418436344088377154548652470111846923828125	-2.290122246131225	22.691681556236883	NAA10;PAX3;FGD1;MED12;EFNB1;MAFB;KAT6B;PRDM16;GPC3;UBA1;FAT4;BCOR;GPC4;SLC16A2;MBTPS2;CHST3
Cryptorchidism (HP:0000028)	28/379	0.00000199795917931451351567278575116493044561138958670198917388916015625	0.000299408454157274969177626733340957798645831644535064697265625	0.000822212739585121235065534595065628309384919703006744384765625	0.07538915195237248789705830631646676920354366302490234375	-2.51513924489865	20.40708994278027	CDKN1C;FMR1;GATA5;PHF6;FGD1;PHF8;MED12;EFNB1;OPHN1;PRDM16;AP1S2;GPC3;ALX4;GPC4;FKTN;TBX1;NAA10;BDNF;RIPK4;TACR3;SMC1A;KAT6B;GJB6;SMS;UBA1;FAT4;BCOR;MBTPS2
Mandibular prognathia (HP:0000303)	14/97	0.00000037014299663338224680264967360321382017218638793565332889556884765625	0.00007765600069368358495010273845338133469340391457080841064453125	0.000050997970795183349937591821277038661719416268169879913330078125	0.01069937427282946669493401969930346240289509296417236328125	-2.083763541771646	19.71911643413794	CDKL5;FOXG1;FMR1;PAX3;RPS6KA3;SLC6A8;SLC9A6;OPHN1;GNAS;SMS;AP1S2;NHS;GPC3;GPC4
Narrow face (HP:0000275)	10/53	0.0000014135118075846630621649445413989809594568214379251003265380859375	0.0002471289810260518938871132643697592357057146728038787841796875	0.000092135243838711874497619802593106896893004886806011199951171875	0.0161083117978014604687597710608315537683665752410888671875	-1.9284560181800272	16.016984627113676	MED12;TBX1;SLC6A8;SLC9A6;FMR1;NHS;PAX3;BCOR;SLC16A2;ATP7A
Downslanted palpebral fissures (HP:0000494)	17/188	0.0000162605242564908838661698331495841784999356605112552642822265625	0.00155066272227808517499003659878553662565536797046661376953125	0.0014216625601461397275515619043062542914412915706634521484375	0.09942160170622003911855557589660747908055782318115234375	-2.3001736395410104	14.879990903185695	TBX1;IGBP1;NAA10;BDNF;FOXG1;AMMECR1;PAX3;FGF3;FGD1;MED12;RPS6KA3;EFNB1;BMP2;KAT6B;GPC3;GPC4;ATP7A
Coarse facial features (HP:0000280)	14/129	0.000011640256102536683004144979491911726654507219791412353515625	0.0012210628651560979929246997244263184256851673126220703125	0.00077291851769691033956222181444672969519160687923431396484375	0.07538915195237248789705830631646676920354366302490234375	-2.2078385210685294	14.810254979532935	SLC35A2;CDKN1C;FOXE1;FMR1;PHF6;MED12;RPS6KA3;WDR81;KAT6B;GNAS;AP1S2;GPC3;GPC4;SLC26A4
Long face (HP:0000276)	12/95	0.0000103887191847835676054845333027287779259495437145233154296875	0.00121086293609310694137370933987085663829930126667022705078125	0.00055269044074328951658692243853465697611682116985321044921875	0.0724715340424638421179537317584617994725704193115234375	-2.0507433621333546	13.773657840417954	TBX1;MED12;SLC6A8;OPHN1;SLC9A6;FMR1;AP1S2;NHS;BCOR;ATP7A;FGF3;PHF8
Open mouth (HP:0000194)	8/39	0.000008436643820896060874908566062924109019149909727275371551513671875	0.00110625492101499591467150818147047175443731248378753662109375	0.0002913321920053535602802841086855778485187329351902008056640625	0.043658209916230837632777905810144147835671901702880859375	-1.9735953227663272	13.433819131966445	TBX1;MED12;SLC35A2;RPS6KA3;SLC6A8;SLC9A6;UBA1;SLC16A2
Delayed eruption of teeth (HP:0000684)	11/86	0.00002145270024666017733895075070282842943925061263144016265869140625	0.00187532354656221055856646362514084103167988359928131103515625	0.000862411652458026510743860360008739007753320038318634033203125	0.07538915195237248789705830631646676920354366302490234375	-2.0902834688868137	13.124835713216306	RPS6KA3;NAA10;KAT6B;GJB6;GNAS;FAT4;BCOR;SMC1A;FGF3;FGD1;CHST3
Macrotia (HP:0000400)	12/105	0.00002899310254045263214399928697329045235164812766015529632568359375	0.00233952035114883168109845001936264452524483203887939453125	0.001240616728624213856158053914668926154263317584991455078125	0.09942160170622003911855557589660747908055782318115234375	-2.0961488731499656	12.69807024017096	NAA10;OPHN1;SLC9A6;PSAT1;FMR1;NHS;CASK;UBA1;SMC1A;SLC16A2;PHF6;MBTPS2
Broad toe (HP:0001837)	6/25	0.0000453581463503676987863814928925165759210358373820781707763671875	0.0033986211086811228022919184610373122268356382846832275390625	0.000850427004261419187784720730149956580135039985179901123046875	0.07538915195237248789705830631646676920354366302490234375	-2.029221637260225	11.534878022496912	MED12;EFNB1;BMP2;NAA10;GPC3;UBE2A
Wide nasal bridge (HP:0000431)	17/217	0.00009994247973118373256674884519412671579630114138126373291015625	0.006552478827375733498594723158703345688991248607635498046875	0.00579077929556526260768123393063433468341827392578125	0.2182007710810154321734444238245487213134765625	-2.2250930864235947	11.18757190548344	SLC35A2;CERKL;PDHA1;PAX3;CASK;FOXL2;FGF3;FGD1;RPGR;MED12;EFNB1;BMP2;MAFB;PRDM16;GPC3;ALX4;FAT4
Brachydactyly syndrome (HP:0001156)	15/192	0.0002599362137416211357594797437542410989408381283283233642578125	0.0128370961532659581816329108505669864825904369354248046875	0.009722565946325027741448110418787109665572643280029296875	0.2549742919423738651829580703633837401866912841796875	-2.3149706199704934	10.082660454129389	CDKL5;FOXG1;IHH;GATA5;PAX3;FGD1;MED12;RPS6KA3;EFNB1;BMP2;KAT6B;PRDM16;GNAS;ATP7A;CHST3
Autism (HP:0000717)	11/109	0.00019174478856090929165985337068178750996594317257404327392578125	0.0111744601777996575842077930929008289240300655364990234375	0.004829242812177812933793763505718743545003235340118408203125	0.2110781545822718874294565694071934558451175689697265625	-2.195214554874447	9.865567395027005	MED12;TBX1;SLC6A8;CDKL5;SLC9A6;OPHN1;FOXG1;FMR1;PRDM16;NHS;SMC1A
Exotropia (HP:0000577)	5/18	0.000094170038320662548887891862836596601482597179710865020751953125	0.006552478827375733498594723158703345688991248607635498046875	0.0013524633347005723081613037805936983204446732997894287109375	0.09942160170622003911855557589660747908055782318115234375	-1.9615003268287963	9.862250744888085	TBX1;EFNB1;CDKL5;SLC6A8;BCOR
Long philtrum (HP:0000343)	13/152	0.000275143343817268646277207633232819716795347630977630615234375	0.0128370961532659581816329108505669864825904369354248046875	0.00813667510089202163092725328397136763669550418853759765625	0.252444232394645806660804510102025233209133148193359375	-2.133726580830121	9.293267236685185	PDHA1;CASK;SMC1A;FGF3;FGD1;MED12;BMP2;KAT6B;PRDM16;UBA1;BCOR;ATP7A;CHST3
Hypertelorism (HP:0000316)	20/328	0.00072095366924957121450290298270147104631178081035614013671875	0.0216269213077986133253460820924374274909496307373046875	0.033167792660111626579233501388443983159959316253662109375	0.396946937602419003265907804234302602708339691162109375	-2.3415709076528786	8.977152908903935	TBX1;FOXC1;RIPK4;PAX3;CASK;FGF3;FGD1;MED12;EFNB1;RPS6KA3;BMP2;PSAT1;KAT6B;SMS;GPC3;ALX4;FAT4;GPC4;VSX1;CHST3
Increased number of teeth (HP:0011069)	5/20	0.0001628834857827416208141124709385394453420303761959075927734375	0.01005086921094682124444563697807097923941910266876220703125	0.002010437428455751247835525674645396065898239612579345703125	0.1318093039031301982877408818239928223192691802978515625	-1.863492639612406	8.572245334859709	NHS;AMMECR1;BCOR;FAT4;FGF3
Broad hallux (HP:0010055)	5/21	0.0002090192367283929229804240179646512842737138271331787109375	0.011540062069899166552477964842182700522243976593017578125	0.0024152299906928732971256312822561085340566933155059814453125	0.1490338976609896504132990457947016693651676177978515625	-1.9073624120390813	8.510518786416739	MED12;EFNB1;BMP2;NAA10;UBE2A
Microcornea (HP:0000482)	10/97	0.0003126104023779592978697638994134422318893484771251678466796875	0.0128370961532659581816329108505669864825904369354248046875	0.006240250841211118261464552148254369967617094516754150390625	0.2182007710810154321734444238245487213134765625	-1.9501089761571748	8.493536153557454	FOXC1;NAA10;NHS;HMGB3;FOXL2;BCOR;SMC1A;FGF3;FKTN;HMX1
Hypoplasia of the maxilla (HP:0000327)	7/47	0.0002623205542309387807396736658205327330506406724452972412109375	0.0128370961532659581816329108505669864825904369354248046875	0.0036443896709648843958151420707736178883351385593414306640625	0.17377112567464381154280772534548304975032806396484375	-1.8722992605148905	8.15464246044289	MED12;MAFB;CDKL5;RIPK4;PAX3;FAT4;FGD1
Ptosis (HP:0000508)	20/338	0.0010420117962940855967091113853939532418735325336456298828125	0.0273267593578123968445225955292698927223682403564453125	0.04301375656394500202051034420946962200105190277099609375	0.417791024403502853079572787464712746441364288330078125	-2.20618206114328	7.942010226393967	TBX1;PDHA1;NAA10;BDNF;NDUFA1;PAX3;TACR3;HMGB3;FOXL2;SMC1A;PHF6;FGD1;MED12;SLC6A8;KAT6B;UBA1;FAT4;BCOR;SLC16A2;MAMLD1
Blepharitis (HP:0000498)	5/23	0.0003304114357847291218173158000581679516471922397613525390625	0.0128370961532659581816329108505669864825904369354248046875	0.0033977261683797873280388213146352427429519593715667724609375	0.1697245119347808028908985988891799934208393096923828125	-1.7951158026727752	7.818476380673126	RPS6KA3;GJB6;SMC1A;SAT1;MBTPS2
Blepharophimosis (HP:0000581)	10/104	0.000547761097382760725645056698596135902334935963153839111328125	0.0198138410742936567354721688616336905397474765777587890625	0.00968076804926847230003961186639571678824722766876220703125	0.2549742919423738651829580703633837401866912841796875	-1.9890617029613094	7.799855923152757	TBX1;MED12;KAT6B;FOXG1;PAX3;ALX4;FOXL2;FAT4;BCOR;PHF6
Impaired social interactions (HP:0000735)	5/23	0.0003304114357847291218173158000581679516471922397613525390625	0.0128370961532659581816329108505669864825904369354248046875	0.0033977261683797873280388213146352427429519593715667724609375	0.1697245119347808028908985988891799934208393096923828125	-1.7899816250686553	7.796114900554559	MED12;SLC6A8;CDKL5;FOXG1;FMR1
