Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Pectus excavatum (HP:0000767)	2/135	0.00793544433688389387604456004510211641900241374969482421875	0.07660754071391451258676852376083843410015106201171875	0.0177473935041271742296675739680722472257912158966064453125	0.12578463718882415545152753111324273049831390380859375	-2.3160598177519893	5.950096089592107	GPC4;SLC16A2
Malar flattening (HP:0000272)	2/187	0.0147916252581206143779102291091476217843592166900634765625	0.07660754071391451258676852376083843410015106201171875	0.0326989922359660900585964782294468022882938385009765625	0.12578463718882415545152753111324273049831390380859375	-2.2957952045229564	5.898035087105479	AMMECR1;UBE2A
Camptodactyly of finger (HP:0100490)	2/121	0.0064228985944712428668434966994027490727603435516357421875	0.07660754071391451258676852376083843410015106201171875	0.0144260222250998763893203857833213987760245800018310546875	0.12578463718882415545152753111324273049831390380859375	-2.290122246131225	5.883460917956505	GPC4;SLC16A2
Downslanted palpebral fissures (HP:0000494)	2/188	0.014941769025274519167023612453704117797315120697021484375	0.07660754071391451258676852376083843410015106201171875	0.033024876252581623903292751265325932763516902923583984375	0.12578463718882415545152753111324273049831390380859375	-2.270557151401539	5.833197020300961	AMMECR1;GPC4
Depressed nasal bridge (HP:0005280)	2/228	0.021479336203396807991605754750708001665771007537841796875	0.07660754071391451258676852376083843410015106201171875	0.047162236391331137375093618402388528920710086822509765625	0.12578463718882415545152753111324273049831390380859375	-2.2436252621399895	5.764007387221444	AMMECR1;UBE2A
Short neck (HP:0000470)	2/182	0.0140509399688228502067754988047454389743506908416748046875	0.07660754071391451258676852376083843410015106201171875	0.031090488071915355072771802724673761986196041107177734375	0.12578463718882415545152753111324273049831390380859375	-2.242540056489862	5.7612194290496666	GPC4;UBE2A
Pes planus (HP:0001763)	2/105	0.00487685869382811949812595031517048482783138751983642578125	0.07660754071391451258676852376083843410015106201171875	0.01101892448138104552146643300147843547165393829345703125	0.12578463718882415545152753111324273049831390380859375	-2.1829248418355633	5.608064379738794	UBE2A;SLC16A2
Upslanted palpebral fissure (HP:0000582)	2/108	0.00515164777159999275057966627855421393178403377532958984375	0.07660754071391451258676852376083843410015106201171875	0.01162554060500840986958070999435221892781555652618408203125	0.12578463718882415545152753111324273049831390380859375	-2.1716376718216326	5.579066965402736	UBE2A;SLC16A2
Wide mouth (HP:0000154)	2/86	0.0033019472215245516955040017137434915639460086822509765625	0.07660754071391451258676852376083843410015106201171875	0.0075311388805532307466616970259565277956426143646240234375	0.12578463718882415545152753111324273049831390380859375	-2.140272183922117	5.498487152451186	GPC4;UBE2A
Nephroblastoma (Wilms tumor) (HP:0002667)	1/20	0.019820462307424867309801896908538765273988246917724609375	0.07660754071391451258676852376083843410015106201171875	0.033425812227064387316399773908415227197110652923583984375	0.12578463718882415545152753111324273049831390380859375	-1.97202506420188	5.0662502467117685	GPC4
