Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0009701_abnormal_birth_body_	1/145	0.1354944921146470360184821402071975171566009521484375	0.57048538128248738043879484393983148038387298583984375	0.09413934834871633128283718860984663479030132293701171875	0.30595288213332805238309219930670224130153656005859375	-2.090600315297415	1.1733865025104457	UBE2A
MP0002873_normal_phenotype_	3/1371	0.15389639019283996024256566670374013483524322509765625	0.57048538128248738043879484393983148038387298583984375	0.053199219160223520930230733938515186309814453125	0.27021998296049976051591556824860163033008575439453125	-1.090174008979759	0.6118794961257663	ENOX2;TAB3;HS6ST2
MP0002169_no_abnormal_phenotype_	3/1371	0.15389639019283996024256566670374013483524322509765625	0.57048538128248738043879484393983148038387298583984375	0.053199219160223520930230733938515186309814453125	0.27021998296049976051591556824860163033008575439453125	-1.0274096231988263	0.5766518715172684	ENOX2;TAB3;HS6ST2
MP0000001_mammalian_phenotype_	3/1459	0.1755339634715345764615079815484932623803615570068359375	0.57048538128248738043879484393983148038387298583984375	0.062358457606269172834867475785358692519366741180419921875	0.27021998296049976051591556824860163033008575439453125	-0.9792585209032137	0.5496262114227736	ENOX2;TAB3;HS6ST2
MP0005266_abnormal_metabolism_	1/437	0.35728718080030230641597199792158789932727813720703125	0.9289466700807860188859876870992593467235565185546875	0.259848238245551532710209130527800880372524261474609375	0.6756054194384339961487739856238476932048797607421875	-1.5973175070206327	0.11772860574506648	SLC16A2
MP0004196_abnormal_prenatal_growth/weig_	1/786	0.5516812267536164160475209428113885223865509033203125	0.9419560176848829069484736464801244437694549560546875	0.423209253377118066463680179367656819522380828857421875	0.7859600419860763853563412340008653700351715087890625	-1.2266529474711942	0.07334979321534628	UCHL5
MP0001919_abnormal_reproductive_system_	1/1240	0.722166968839723200090929822181351482868194580078125	0.9419560176848829069484736464801244437694549560546875	0.5887568412037815779314087194507010281085968017578125	0.81285710694061952263922421479946933686733245849609375	-1.0433937391079775	0.0623914980708546	UBE2A
MP0002089_abnormal_postnatal_growth/wei_	1/2459	0.9275717024767742291402328191907145082950592041015625	0.9419560176848829069484736464801244437694549560546875	0.8484992600588281419504710356704890727996826171875	0.87244385410742053554855601760209538042545318603515625	-0.948428375130185	0.056712883084642486	UBE2A
MP0001672_abnormal_embryogenesis/_devel_	1/1271	0.7312108685902380944554579400573857128620147705078125	0.9419560176848829069484736464801244437694549560546875	0.598391447527442554843446487211622297763824462890625	0.81285710694061952263922421479946933686733245849609375	-0.833017732109774	0.04981170796591879	UCHL5
MP0003633_abnormal_nervous_system_	1/1361	0.7559095495165826239514217377291060984134674072265625	0.9419560176848829069484736464801244437694549560546875	0.62527469764663046181141226043109782040119171142578125	0.81285710694061952263922421479946933686733245849609375	-0.7338991761476304	0.043884745821805335	S1PR4
MP0001764_abnormal_homeostasis_	1/2652	0.9419560176848829069484736464801244437694549560546875	0.9419560176848829069484736464801244437694549560546875	0.87244385410742053554855601760209538042545318603515625	0.87244385410742053554855601760209538042545318603515625	-0.684234475268613	0.040914960808784366	SLC16A2
MP0003632_abnormal_nervous_system_	1/1867	0.85927598120662251890422567157656885683536529541015625	0.9419560176848829069484736464801244437694549560546875	0.7495264703532324990220558902365155518054962158203125	0.87244385410742053554855601760209538042545318603515625	-0.5180525894019751	0.030977833123579483	UCHL5
MP0010769_abnormal_survival_	3/3156	0.63209099656650080678588210503221489489078521728515625	0.9419560176848829069484736464801244437694549560546875	0.360570819557417931999765414730063639581203460693359375	0.78123677570773886191801693712477572262287139892578125	-0.3831621206511519	0.022911828790413067	UBE2A;S1PR4;UCHL5
