Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fc-epsilon receptor signaling pathway (GO:0038095)	1/295	0.1252050136078902420333491818382753990590572357177734375	0.157234203135490080427416614838875830173492431640625	0.08044431117385651697215820377095951698720455169677734375	0.1010230884508895865536715064081363379955291748046875	-3.63477132582723	6.72439545170253	TAB3
Fc receptor signaling pathway (GO:0038093)	1/352	0.147722201807054698274868087537470273673534393310546875	0.169267732567045137148653566327993758022785186767578125	0.0953599595493966056825030364052508957684040069580078125	0.1092959246008030904651064929566928185522556304931640625	-3.485587863055853	6.191357705924334	TAB3
negative regulation of microtubule depolymerization (GO:0007026)	1/23	0.0103045691461266901434168374862565542571246623992919921875	0.1093159247630537678208639817967195995151996612548828125	0.006712089603865457713982589638135323184542357921600341796875	0.06942479555769372201456945958852884359657764434814453125	-2.7853356708757677	6.165377264644415	MID1IP1
positive regulation of fatty acid biosynthetic process (GO:0045723)	1/13	0.0058359773052654995151300454381271265447139739990234375	0.1093159247630537678208639817967195995151996612548828125	0.00391950537177988660164640322136619943194091320037841796875	0.06942479555769372201456945958852884359657764434814453125	-2.7634908605561423	6.11702348872313	MID1IP1
magnesium ion transport (GO:0015693)	1/15	0.006731127699022113573812386988493017270229756832122802734375	0.1093159247630537678208639817967195995151996612548828125	0.00447849269660764888467685551631802809424698352813720703125	0.06942479555769372201456945958852884359657764434814453125	-2.7097115254175583	5.9979822206856355	MMGT1
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	1/28	0.012532162629386445207302358539891429245471954345703125	0.1093159247630537678208639817967195995151996612548828125	0.00810617769294715191652489494344990816898643970489501953125	0.06942479555769372201456945958852884359657764434814453125	-2.705591881582079	5.988863334690214	TAB3
forebrain morphogenesis (GO:0048853)	1/12	0.00538813325918294054595047981592870200984179973602294921875	0.1093159247630537678208639817967195995151996612548828125	0.003639923449246879917640118407007321366108953952789306640625	0.06942479555769372201456945958852884359657764434814453125	-2.6908150988802135	5.956154731175282	UCHL5
regulation of microtubule depolymerization (GO:0031114)	1/25	0.0111961419825352508083948777084515313617885112762451171875	0.1093159247630537678208639817967195995151996612548828125	0.007269901062440822965549092060655311797745525836944580078125	0.06942479555769372201456945958852884359657764434814453125	-2.683270868893825	5.939455478541683	MID1IP1
cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	1/34	0.01519939112385223188572691555009441799484193325042724609375	0.1093159247630537678208639817967195995151996612548828125	0.00977714576220667548611675812253452022559940814971923828125	0.06942479555769372201456945958852884359657764434814453125	-2.649104318738018	5.863827368887053	TAB3
positive regulation of fatty acid metabolic process (GO:0045923)	1/28	0.012532162629386445207302358539891429245471954345703125	0.1093159247630537678208639817967195995151996612548828125	0.00810617769294715191652489494344990816898643970489501953125	0.06942479555769372201456945958852884359657764434814453125	-2.634073307994213	5.830556028246324	MID1IP1
