Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Patent ductus arteriosus (HP:0001643)	1/125	0.054874769383073118689253533375449478626251220703125	0.07839252769010444932273884433016064576804637908935546875	0.040684533419287564892652397929850849322974681854248046875	0.058120762027553667106172241574313375167548656463623046875	-2.2655837294609773	5.76823658981452	AMMECR1
Proteinuria (HP:0000093)	1/115	0.05058546837157611164581538787388126365840435028076171875	0.07839252769010444932273884433016064576804637908935546875	0.03745560219568620785590695732025778852403163909912109375	0.058120762027553667106172241574313375167548656463623046875	-2.26029015556323	5.754759009511127	AMMECR1
Increased number of teeth (HP:0011069)	1/20	0.008965870030087363939941269563860259950160980224609375	0.0721958019338478085291654906541225500404834747314453125	0.00678075556994293428270115242639803909696638584136962890625	0.0532773651918720669851126103822025470435619354248046875	-2.1630108825470438	5.685200223762455	AMMECR1
Glomerulopathy (HP:0100820)	1/52	0.023162695469086037880490636098329559899866580963134765625	0.0721958019338478085291654906541225500404834747314453125	0.0171133354858947484000708527673850767314434051513671875	0.0532773651918720669851126103822025470435619354248046875	-2.1529553977125775	5.65877065510322	AMMECR1
Malar flattening (HP:0000272)	1/187	0.08108611347258747048538651824856060557067394256591796875	0.090559475040117132227379670439404435455799102783203125	0.060703907006452638428495305333854048512876033782958984375	0.06780755569940589977395717369290650822222232818603515625	-2.345730026548203	5.633853482034104	AMMECR1
Downslanted palpebral fissures (HP:0000494)	1/188	0.08150352753610541622908414183257264085114002227783203125	0.090559475040117132227379670439404435455799102783203125	0.06102680012946530563322511397927883081138134002685546875	0.06780755569940589977395717369290650822222232818603515625	-2.319917964967325	5.571859402847635	AMMECR1
Depressed nasal bridge (HP:0005280)	1/228	0.09806251239568786193245841786847449839115142822265625	0.09806251239568786193245841786847449839115142822265625	0.073942525024323024762651357377762906253337860107421875	0.073942525024323024762651357377762906253337860107421875	-2.375147427210797	5.515448888062436	AMMECR1
Tapered finger (HP:0001182)	1/42	0.0187457334878815828904663476350833661854267120361328125	0.0721958019338478085291654906541225500404834747314453125	0.01388440426216722319019414300100834225304424762725830078125	0.0532773651918720669851126103822025470435619354248046875	-2.043545080422303	5.371199489669169	AMMECR1
Thick lower lip vermilion (HP:0000179)	1/97	0.04282110300789489232275997210308560170233249664306640625	0.07839252769010444932273884433016064576804637908935546875	0.031643525992857891859788566080169402994215488433837890625	0.058120762027553667106172241574313375167548656463623046875	-2.0848446637175306	5.30807010879981	AMMECR1
Hematuria (HP:0000790)	1/65	0.0288783207735391241055555866523718577809631824493408203125	0.0721958019338478085291654906541225500404834747314453125	0.021310946076748826794045044152881018817424774169921875	0.0532773651918720669851126103822025470435619354248046875	-1.8886011490004873	4.963948984968677	AMMECR1
