Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Fc-epsilon receptor signaling pathway (GO:0038095)	2/295	0.017553281518187531518027100219114799983799457550048828125	0.1338471823187874776284189692887593992054462432861328125	0.017389222550097664654611406831463682465255260467529296875	0.136678060562047065662483191772480495274066925048828125	-3.8401762858989628	7.722811712364523	FGF16;TAB3
Fc receptor signaling pathway (GO:0038093)	2/352	0.0244443728583077328486705681598323280923068523406982421875	0.1338471823187874776284189692887593992054462432861328125	0.02419607225112747894701925588378799147903919219970703125	0.136678060562047065662483191772480495274066925048828125	-3.656458187697017	7.353344225734496	FGF16;TAB3
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	2/444	0.0375163880806833882619599762620055116713047027587890625	0.156053787688157641344588455467601306736469268798828125	0.03712830354645398067692241284021292813122272491455078125	0.1559388748951067160675165723660029470920562744140625	-3.4117816222866324	6.337570436123391	FGF16;TAB3
regulation of MHC class II biosynthetic process (GO:0045346)	1/11	0.00767501875097178522244778520189356640912592411041259765625	0.1338471823187874776284189692887593992054462432861328125	0.008377792234009036331787712015284341759979724884033203125	0.136678060562047065662483191772480495274066925048828125	-2.8207294459201226	5.672646456974805	SPI1
oocyte development (GO:0048599)	1/13	0.00906458620796419915766062302964201080612838268280029296875	0.1338471823187874776284189692887593992054462432861328125	0.0097679328952607648306472043486792244948446750640869140625	0.136678060562047065662483191772480495274066925048828125	-2.7983341863942073	5.627608323386181	ZFX
macrophage differentiation (GO:0030225)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.1338471823187874776284189692887593992054462432861328125	0.01115631937453913195834598326428022119216620922088623046875	0.136678060562047065662483191772480495274066925048828125	-2.7449929752292395	5.520336130739929	SPI1
granulocyte differentiation (GO:0030851)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.1338471823187874776284189692887593992054462432861328125	0.01115631937453913195834598326428022119216620922088623046875	0.136678060562047065662483191772480495274066925048828125	-2.729738078051569	5.489657669694474	SPI1
regulation of DNA methylation (GO:0044030)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.1338471823187874776284189692887593992054462432861328125	0.01115631937453913195834598326428022119216620922088623046875	0.136678060562047065662483191772480495274066925048828125	-2.728083200348159	5.486329617032581	SPI1
positive regulation of fatty acid biosynthetic process (GO:0045723)	1/13	0.00906458620796419915766062302964201080612838268280029296875	0.1338471823187874776284189692887593992054462432861328125	0.0097679328952607648306472043486792244948446750640869140625	0.136678060562047065662483191772480495274066925048828125	-2.7090087068148136	5.447969731678449	MID1IP1
negative regulation of protein acetylation (GO:1901984)	1/15	0.0104523466401661123403865616410257644020020961761474609375	0.1338471823187874776284189692887593992054462432861328125	0.01115631937453913195834598326428022119216620922088623046875	0.136678060562047065662483191772480495274066925048828125	-2.692805744072247	5.41538465715914	SPI1
forebrain morphogenesis (GO:0048853)	1/12	0.00837002849309591116788720199792805942706763744354248046875	0.1338471823187874776284189692887593992054462432861328125	0.00907308196056561509779125884733730345033109188079833984375	0.136678060562047065662483191772480495274066925048828125	-2.6468770135035777	5.3230193822439755	UCHL5
negative regulation of microtubule depolymerization (GO:0007026)	1/23	0.015985361472133509386228666926399455405771732330322265625	0.1338471823187874776284189692887593992054462432861328125	0.0166923627995007838042962333702234900556504726409912109375	0.136678060562047065662483191772480495274066925048828125	-2.6383077182586767	5.305786044824795	MID1IP1
negative regulation of histone acetylation (GO:0035067)	1/11	0.00767501875097178522244778520189356640912592411041259765625	0.1338471823187874776284189692887593992054462432861328125	0.008377792234009036331787712015284341759979724884033203125	0.136678060562047065662483191772480495274066925048828125	-2.6304588144723153	5.290001455374276	SPI1
phosphatidylinositol dephosphorylation (GO:0046856)	1/17	0.01183830221650010276757125637914214166812598705291748046875	0.1338471823187874776284189692887593992054462432861328125	0.01254295363907511999534971636194313759915530681610107421875	0.136678060562047065662483191772480495274066925048828125	-2.628265719290068	5.285591016920713	MTMR1
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1/13	0.00906458620796419915766062302964201080612838268280029296875	0.1338471823187874776284189692887593992054462432861328125	0.0097679328952607648306472043486792244948446750640869140625	0.136678060562047065662483191772480495274066925048828125	-2.617292480460395	5.2635232129848495	SPI1
