Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Type I diabetes mellitus (HP:0100651)	1/32	0.0221756576116510818741378585627899155952036380767822265625	0.0603435937996052718101935852246242575347423553466796875	0.03161691407879418935777948718168772757053375244140625	0.08541413436272145276451084328073193319141864776611328125	-2.2067290222206593	6.195834152278345	SLC16A2
Abnormality of the antihelix (HP:0009738)	1/24	0.01667496476353151624305581890439498238265514373779296875	0.0603435937996052718101935852246242575347423553466796875	0.0240143331107834888393792738270349218510091304779052734375	0.08541413436272145276451084328073193319141864776611328125	-2.145510627137588	6.023951234537195	SLC16A2
Drooling (HP:0002307)	1/24	0.01667496476353151624305581890439498238265514373779296875	0.0603435937996052718101935852246242575347423553466796875	0.0240143331107834888393792738270349218510091304779052734375	0.08541413436272145276451084328073193319141864776611328125	-2.1239957780397045	5.963543982228692	SLC16A2
Excessive salivation (HP:0003781)	1/25	0.0173641192728694292168878376969587407074868679046630859375	0.0603435937996052718101935852246242575347423553466796875	0.0249668240026475300730179895936089451424777507781982421875	0.08541413436272145276451084328073193319141864776611328125	-2.1059066232414176	5.912755053476447	SLC16A2
Increased number of teeth (HP:0011069)	1/20	0.013913856217370894341467391086553107015788555145263671875	0.0603435937996052718101935852246242575347423553466796875	0.0201981664141303272896887932574827573262155055999755859375	0.08541413436272145276451084328073193319141864776611328125	-2.0881313218133846	5.862847330984982	AMMECR1
Inability to walk (HP:0002540)	1/19	0.01322245510584363348272063376498408615589141845703125	0.0603435937996052718101935852246242575347423553466796875	0.01924257294829463671437252969553810544312000274658203125	0.08541413436272145276451084328073193319141864776611328125	-2.0731474579829885	5.820777129198253	SLC16A2
Hyperpituitarism (HP:0010514)	1/31	0.0214896370258662351704348481007400550879538059234619140625	0.0603435937996052718101935852246242575347423553466796875	0.0306687583159407604893598175976876518689095973968505859375	0.08541413436272145276451084328073193319141864776611328125	-2.0604540475977466	5.7851378346669176	SLC16A2
Severe global developmental delay (HP:0011344)	1/27	0.0187410830294371388848873039023601450026035308837890625	0.0603435937996052718101935852246242575347423553466796875	0.026869946258979711395387113270771806128323078155517578125	0.08541413436272145276451084328073193319141864776611328125	-2.0471911019524818	5.7478994557081595	SLC16A2
Generalized amyotrophy (HP:0003700)	1/22	0.01529530913099154225409659346723856288008391857147216796875	0.0603435937996052718101935852246242575347423553466796875	0.0221074907920602858890646302825189195573329925537109375	0.08541413436272145276451084328073193319141864776611328125	-2.017708432526698	5.6651209503777755	SLC16A2
Abnormality of the 4th metacarpal (HP:0010012)	1/12	0.00837002849309591116788720199792805942706763744354248046875	0.0603435937996052718101935852246242575347423553466796875	0.01253601602098776933436052871684296405874192714691162109375	0.08541413436272145276451084328073193319141864776611328125	-2.0140102514234757	5.65473756549004	FGF16
Synostosis involving bones of the hand (HP:0004278)	1/35	0.0242310406772131940733583377323157037608325481414794921875	0.0603435937996052718101935852246242575347423553466796875	0.034457671193180140767342578556053922511637210845947265625	0.08541413436272145276451084328073193319141864776611328125	-2.0033103620863155	5.624695480977977	FGF16
Clonus (HP:0002169)	1/29	0.0201162548972602835128942189157896791584789752960205078125	0.0603435937996052718101935852246242575347423553466796875	0.0287705904919510931094794869977704365737736225128173828125	0.08541413436272145276451084328073193319141864776611328125	-1.9616473774132142	5.507718298585331	SLC16A2
Deviation of the hallux (HP:0010051)	1/34	0.0235463591689399724671272196019344846718013286590576171875	0.0603435937996052718101935852246242575347423553466796875	0.03351137031577812452898257333799847401678562164306640625	0.08541413436272145276451084328073193319141864776611328125	-1.9292996643388787	5.4168956088051505	SLC16A2
Hallux valgus (HP:0001822)	1/32	0.0221756576116510818741378585627899155952036380767822265625	0.0603435937996052718101935852246242575347423553466796875	0.03161691407879418935777948718168772757053375244140625	0.08541413436272145276451084328073193319141864776611328125	-1.9061536481040695	5.351908527730508	SLC16A2
Spastic paraplegia (HP:0001258)	1/31	0.0214896370258662351704348481007400550879538059234619140625	0.0603435937996052718101935852246242575347423553466796875	0.0306687583159407604893598175976876518689095973968505859375	0.08541413436272145276451084328073193319141864776611328125	-1.8588684324573284	5.2191458046902754	SLC16A2
Delayed myelination (HP:0012448)	1/38	0.0262824113317304368375726397744074347428977489471435546875	0.0603435937996052718101935852246242575347423553466796875	0.03729286728427505526184404516243375837802886962890625	0.08541413436272145276451084328073193319141864776611328125	-1.8550391304408942	5.208394271550545	SLC16A2
