Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002088_abnormal_embryonic_growth/wei_	3/385	0.002200158913944707909926545852385970647446811199188232421875	0.094606833299622439259479733664193190634250640869140625	0.00156831271211094170313360418589354594587348401546478271484375	0.06743744662077048868109585555430385284125804901123046875	-1.72582594853842	4.0695417193397825	FGF16;ZFX;UCHL5
MP0002089_abnormal_postnatal_growth/wei_	1/62	0.042549795086298920765432995949595351703464984893798828125	0.261377312672979089658298335052677430212497711181640625	0.0412630939533670526575548365144641138613224029541015625	0.2255923196571949507216459096525795757770538330078125	-2.448273693798753	3.285069828395351	ZFX
MP0003567_abnormal_fetal_cardiomyocyte_	1/33	0.0228612315691841018472363344926634454168379306793212890625	0.261377312672979089658298335052677430212497711181640625	0.022454014666744064043779616213214467279613018035888671875	0.2255923196571949507216459096525795757770538330078125	-2.143769196027588	2.87648865514971	FGF16
MP0004808_abnormal_hematopoietic_stem_	1/72	0.04925309253615818561033989908537478186190128326416015625	0.264735372381850242451406529653468169271945953369140625	0.04767663943175755314474173474081908352673053741455078125	0.2255923196571949507216459096525795757770538330078125	-1.8498782964343865	2.4585336643861515	ZFX
MP0003984_embryonic_growth_retardation_	2/376	0.0276311791894303625249929012852589949034154415130615234375	0.261377312672979089658298335052677430212497711181640625	0.024074408968663384145170169858829467557370662689208984375	0.2255923196571949507216459096525795757770538330078125	-1.6961109452756422	2.275825168586782	FGF16;UCHL5
MP0005380_embryogenesis_phenotype_	2/468	0.041290930193552323468342279966236674226820468902587890625	0.261377312672979089658298335052677430212497711181640625	0.0361527479800411999377729443949647247791290283203125	0.2255923196571949507216459096525795757770538330078125	-1.6098015903976322	2.160016115727954	FGF16;UCHL5
MP0001672_abnormal_embryogenesis/_devel_	2/468	0.041290930193552323468342279966236674226820468902587890625	0.261377312672979089658298335052677430212497711181640625	0.0361527479800411999377729443949647247791290283203125	0.2255923196571949507216459096525795757770538330078125	-1.5951683393954619	2.1403813618683976	FGF16;UCHL5
MP0005319_abnormal_enzyme/_coenzyme_	1/235	0.1525540333585009011851951754579204134643077850341796875	0.370134582159041658488973780549713410437107086181640625	0.14715240267322104994462961258250288665294647216796875	0.357260811650560394792108809269848279654979705810546875	-1.8043776460912786	1.7933503796084331	SLC16A2
MP0005584_abnormal_enzyme/coenzyme_acti_	1/167	0.110796464823027684953871130346669815480709075927734375	0.370134582159041658488973780549713410437107086181640625	0.106794148051542803212754506603232584893703460693359375	0.357260811650560394792108809269848279654979705810546875	-1.7563708080986606	1.745636930417594	SLC16A2
MP0002557_abnormal_social/conspecific_i_	1/264	0.1698022981464736014256544649470015428960323333740234375	0.370134582159041658488973780549713410437107086181640625	0.163882454488929296676502644913853146135807037353515625	0.357260811650560394792108809269848279654979705810546875	-1.693953752917286	1.683601330582915	ZFX
MP0001544_abnormal_cardiovascular_syste_	1/201	0.13190836806459904639865499120787717401981353759765625	0.370134582159041658488973780549713410437107086181640625	0.1271731972872627292048264280310831964015960693359375	0.357260811650560394792108809269848279654979705810546875	-1.64017872828581	1.6301549464264624	FGF16
MP0005369_muscle_phenotype_	1/247	0.159731210679637081195636483244015835225582122802734375	0.370134582159041658488973780549713410437107086181640625	0.1541096533357002862363316353366826660931110382080078125	0.357260811650560394792108809269848279654979705810546875	-1.6294037409725177	1.6194458093284565	FGF16
MP0005385_cardiovascular_system_phenoty_	1/201	0.13190836806459904639865499120787717401981353759765625	0.370134582159041658488973780549713410437107086181640625	0.1271731972872627292048264280310831964015960693359375	0.357260811650560394792108809269848279654979705810546875	-1.625069170549776	1.615137729182428	FGF16
MP0002106_abnormal_muscle_physiology_	1/178	0.117678396046715538769689146647579036653041839599609375	0.370134582159041658488973780549713410437107086181640625	0.1134315290576590473659024382868665270507335662841796875	0.357260811650560394792108809269848279654979705810546875	-1.6162300321017873	1.6063526102105483	FGF16
MP0010630_abnormal_cardiac_muscle_	1/230	0.149546776017736693376036782865412533283233642578125	0.370134582159041658488973780549713410437107086181640625	0.1442391059109758566503245447165681980550289154052734375	0.357260811650560394792108809269848279654979705810546875	-1.600272272384995	1.5904923746840203	FGF16
MP0003935_abnormal_craniofacial_develop_	1/268	0.1721556196088565859891872378284460864961147308349609375	0.370134582159041658488973780549713410437107086181640625	0.1661678193723536700598941706630284897983074188232421875	0.357260811650560394792108809269848279654979705810546875	-1.5763913055741197	1.566757353920228	FGF16
MP0001119_abnormal_female_reproductive_	1/330	0.207849076477589045364169351159944199025630950927734375	0.42559572802553946591075373362400569021701812744140625	0.2009124698625792404538259461332927457988262176513671875	0.4113922001948051576647458205115981400012969970703125	-1.568845447184457	1.3402103498083042	ZFX
MP0002169_no_abnormal_phenotype_	3/1370	0.0661630916416041381378221331033273600041866302490234375	0.287030001236294352029432275230647064745426177978515625	0.0519741736258102771106592854266637004911899566650390625	0.2255923196571949507216459096525795757770538330078125	-0.9467052007333485	1.1816476432503742	ENOX2;MTMR1;TAB3
MP0002873_normal_phenotype_	3/1375	0.06675116307820798400296524732766556553542613983154296875	0.287030001236294352029432275230647064745426177978515625	0.052463330152836031017304918577792705036699771881103515625	0.2255923196571949507216459096525795757770538330078125	-0.9414540732015803	1.1750933510932016	ENOX2;MTMR1;TAB3
MP0002118_abnormal_lipid_homeostasis_	1/693	0.3897381054440114400705397201818414032459259033203125	0.55862461780308303449515960892313160002231597900390625	0.380478147453578607883883933027391321957111358642578125	0.5453520113501293398172720117145217955112457275390625	-2.004955364493147	1.167440509331964	SLC16A2
MP0002080_prenatal_lethality_	3/1685	0.1079617431325391174734562582671060226857662200927734375	0.370134582159041658488973780549713410437107086181640625	0.0875813582976609772412501797589357011020183563232421875	0.342363491527220176191548262067954055964946746826171875	-1.0510390251440918	1.0446157093602586	FGF16;ZFX;UCHL5
MP0008469_abnormal_protein_level_	1/513	0.30504319893194786761370096428436227142810821533203125	0.52810588629778554281557489957776851952075958251953125	0.296326636869208515090434730154811404645442962646484375	0.5130723995816459659380370794679038226604461669921875	-1.442638973236009	0.9210650761605708	SLC16A2
MP0003699_abnormal_female_reproductive_	1/517	0.307038305987084647608043042055214755237102508544921875	0.52810588629778554281557489957776851952075958251953125	0.29829790673351508356603289939812384545803070068359375	0.5130723995816459659380370794679038226604461669921875	-1.4237817009212155	0.9090254908706727	ZFX
MP0002128_abnormal_blood_circulation_	1/449	0.272387218976016420857177990910713560879230499267578125	0.52810588629778554281557489957776851952075958251953125	0.26413451997303483143042512892861850559711456298828125	0.5130723995816459659380370794679038226604461669921875	-1.3623945437431448	0.8698323402276735	FGF16
MP0001929_abnormal_gametogenesis_	1/595	0.34489562115660621355317516645300202071666717529296875	0.5492782114716321384406683137058280408382415771484375	0.335802806311364943070429944782517850399017333984375	0.534797061903284909334388430579565465450286865234375	-1.4153652401648082	0.8480163743754698	ZFX
MP0001697_abnormal_embryo_size_	1/471	0.283770084361040064724335252321907319128513336181640625	0.52810588629778554281557489957776851952075958251953125	0.275340010592763306807029266565223224461078643798828125	0.5130723995816459659380370794679038226604461669921875	-1.3203099378774137	0.8429630670234719	ZFX
MP0000653_abnormal_sex_gland_	1/629	0.36078870172702848240220419029355980455875396728515625	0.554068363366507998790666533750481903553009033203125	0.351605220160678799690145979184308089315891265869140625	0.5399651595324710395829015396884642541408538818359375	-1.3076945079511304	0.7721507149176017	ZFX
MP0000001_mammalian_phenotype_	6/3773	0.033736599402318830087654788485451717860996723175048828125	0.261377312672979089658298335052677430212497711181640625	0.01049820389249233633377489383065039874054491519927978515625	0.2255923196571949507216459096525795757770538330078125	-0.5643682451436535	0.7572638218193608	ENOX2;MTMR1;FGF16;TAB3;ZFX;UCHL5
MP0002086_abnormal_extraembryonic_tissu_	1/550	0.323296166529843997938797883762163110077381134033203125	0.53468212156858807571069291952881030738353729248046875	0.31438107382184921068102312347036786377429962158203125	0.51993792978228914325455889411387033760547637939453125	-1.1916415098714135	0.7460663412358546	ZFX
MP0003953_abnormal_hormone_level_	1/677	0.38261716486461805342145225949934683740139007568359375	0.55862461780308303449515960892313160002231597900390625	0.373365312195087561963902089701150543987751007080078125	0.5453520113501293398172720117145217955112457275390625	-1.2304585051204173	0.716468371001751	SLC16A2
MP0002085_abnormal_embryonic_tissue_	1/765	0.420848608627977516238871658060816116631031036376953125	0.58375774745171071788973904403974302113056182861328125	0.41163623492307099827058891605702228844165802001953125	0.57097929360296950651587621905491687357425689697265625	-1.0406856696952722	0.5601690410271821	FGF16
MP0000266_abnormal_heart_morphology_	1/851	0.456076789915246416651228855698718689382076263427734375	0.596352456391869178986553379218094050884246826171875	0.447083903569032325986398745953920297324657440185546875	0.58465283022409930691054569251718930900096893310546875	-1.042133096304902	0.5387030010294088	FGF16
MP0003861_abnormal_nervous_system_	1/855	0.457665838626318211002086400185362435877323150634765625	0.596352456391869178986553379218094050884246826171875	0.44868705575337852753392553495359607040882110595703125	0.58465283022409930691054569251718930900096893310546875	-1.0196959238344476	0.5271047011699138	UCHL5
MP0002161_abnormal_fertility/fecundity_	1/1088	0.54313198330956868886687516351230442523956298828125	0.62483794589918362216707237166701816022396087646484375	0.53545823337825504406595200634910725057125091552734375	0.61638302580449233492032590220333077013492584228515625	-0.9549769561693187	0.4490902800435889	ZFX
MP0002081_perinatal_lethality_	1/981	0.50556911946660820778021161459037102758884429931640625	0.62483794589918362216707237166701816022396087646484375	0.497188553349419526394825652459985576570034027099609375	0.61638302580449233492032590220333077013492584228515625	-0.8994733583097523	0.4229889944103051	ZFX
MP0002152_abnormal_brain_morphology_	1/1188	0.57582526761282626370785919789341278374195098876953125	0.62559718246825368748176288136164657771587371826171875	0.56893950144037608307456821421510539948940277099609375	0.61898584874230555552543364683515392243862152099609375	-0.8521105966150715	0.3996812768388551	UCHL5
MP0010770_preweaning_lethality_	1/1115	0.5521823707946273973590223249630071222782135009765625	0.62483794589918362216707237166701816022396087646484375	0.5447105809435048850986049728817306458950042724609375	0.61638302580449233492032590220333077013492584228515625	-0.8154070615266918	0.3834557297376459	ZFX
MP0002082_postnatal_lethality_	1/1114	0.55185016187542601517890261675347574055194854736328125	0.62483794589918362216707237166701816022396087646484375	0.544370740248077300549311985378153622150421142578125	0.61638302580449233492032590220333077013492584228515625	-0.8136595981907221	0.38263396247525616	ZFX
MP0002882_abnormal_neuron_morphology_	1/1006	0.5145936822796481902031473509850911796092987060546875	0.62483794589918362216707237166701816022396087646484375	0.50636369340849129994097665985464118421077728271484375	0.61638302580449233492032590220333077013492584228515625	-0.785405138107737	0.36934693674214686	UCHL5
MP0010769_abnormal_survival_	1/1229	0.58859045977225987744674284840584732592105865478515625	0.62559718246825368748176288136164657771587371826171875	0.58205633660649958027732964183087460696697235107421875	0.61898584874230555552543364683515392243862152099609375	-0.7404478083308319	0.3473060030491403	ZFX
MP0010768_mortality/aging_	1/1255	0.59649963909763725755652785665006376802921295166015625	0.62559718246825368748176288136164657771587371826171875	0.59019580926591930225555415745475329458713531494140625	0.61898584874230555552543364683515392243862152099609375	-0.7179959192658841	0.3367749760620691	ZFX
MP0009642_abnormal_blood_homeostasis_	1/1834	0.73997757298456579011514122612425126135349273681640625	0.7575960866270554650014901199028827250003814697265625	0.73946213529010318410428226343356072902679443359375	0.75706837660653414356914936433895491063594818115234375	-0.9928697420166754	0.27562550803755165	SLC16A2
MP0003956_abnormal_body_size_	1/2128	0.793096020233228227169774982030503451824188232421875	0.793096020233228227169774982030503451824188232421875	0.7954048715630188670644429294043220579624176025390625	0.7954048715630188670644429294043220579624176025390625	-0.931863851532355	0.21601627255157718	ZFX
