Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
X-linked recessive inheritance (HP:0001419)	36/111	0.000000000000000000046736486295335750931908203782667429004245408443864203524263645217473595039336942136287689208984375	0.00000000000000006342141190277061093913005258971244830999624219301791239189469706616364419460296630859375	0.000000000000407710922953661303888167139714077127844900350073231720671174116432666778564453125	0.0000000005532637224481184026038624673379286156293943577111349441111087799072265625	-2.0928581235265966	78.05676465927841	EDA;ABCB7;FHL1;ARX;PHF6;CHRDL1;SAT1;FGD1;RPGR;AFF2;MED12;AIFM1;OPHN1;GPC3;IDS;IKBKG;ATP7A;ABCD1;OFD1;TRAPPC2;PDHA1;IQSEC2;NAA10;ATP6AP2;PHKA1;UBE2A;SMC1A;FGF16;ARHGEF9;CLCN5;SLC6A8;PIGA;SMS;UBA1;MAMLD1;MBTPS2
X-linked dominant inheritance (HP:0001423)	22/62	0.00000000000010461480705614023390821100944420526899776395512997595460547017864882946014404296875	0.00000000007098114658759114654839773322320497540849348894198556081391870975494384765625	0.00000000572203870546606968679737817602692917517970272456295788288116455078125	0.000003882403261658728371827527248161260331471567042171955108642578125	-1.9176835215642711	44.81359221136476	AMER1;OFD1;SLC35A2;CDKL5;PDHA1;EDA;FMR1;FHL1;NDUFA1;CASK;HDAC6;EFNB1;RPS6KA3;PORCN;SLC9A6;LAMP2;NHS;PLS3;PDK3;IKBKG;BCOR;SLC16A2
Cryptorchidism (HP:0000028)	50/379	0.000000000410268910148513893926370539494180751660667993974129785783588886260986328125	0.000000185578303690511115106996534000749488058090719277970492839813232421875	0.000009651943805769768562076958706708040836019790731370449066162109375	0.0032744219361073938732997756773102082661353051662445068359375	-2.5578470886468234	39.64608996787422	CDKN1C;FMR1;CTCF;PHF6;PHF8;MED12;SOX3;FGF8;OPHN1;AP1S2;OFD1;RIPK4;TACR3;SOX11;HNF1B;PAX6;SMC1A;POMGNT2;IL17RD;ANK1;KAT6B;SMS;ROR2;MAGEL2;ARX;GATA5;GATA4;FGD1;EFNB1;PORCN;ARVCF;NSD1;PRDM16;HESX1;GPC3;ALX4;GPC4;FKTN;FANCI;TBX1;NAA10;BDNF;IGF2;POLA1;GJB6;UBA1;LHX4;FAT4;BCOR;MBTPS2
Delayed eruption of teeth (HP:0000684)	20/86	0.00000000667198325403887948472763728111935288556111345315002836287021636962890625	0.00000226347031893268970368683634664108694778406061232089996337890625	0.000008464100625870009595428690440943597650402807630598545074462890625	0.0032744219361073938732997756773102082661353051662445068359375	-2.16723336719272	28.171024316548273	AMER1;DLX3;EDA;NAA10;SMC1A;FGF3;FGD1;RPS6KA3;PORCN;KAT6B;GJB6;LMNA;GNAS;IDS;IKBKG;FAT4;BCOR;ROR2;CHST3;FGF10
Camptodactyly of finger (HP:0100490)	23/121	0.00000003063642861932383062269623255451100884982906791265122592449188232421875	0.0000069289389394037388509813880921317519323565647937357425689697265625	0.0000312826487619884360835177672388596192831755615770816802978515625	0.007075092395003051808088923024797622929327189922332763671875	-2.2706712597649257	26.975129213990474	NAA10;PAX3;FGD1;MED12;EFNB1;PORCN;MAFB;KAT6B;NSD1;PRDM16;LMNA;GPC3;UBA1;IKBKG;ROR2;FAT4;BCOR;GPC4;SCARF2;SLC16A2;CRLF1;MBTPS2;CHST3
Coarse facial features (HP:0000280)	24/129	0.00000002386518800120456290346786405731638325278254342265427112579345703125	0.0000064770120235269189543363295424871495242769015021622180938720703125	0.00002837628019554555523491605473207499699128675274550914764404296875	0.007075092395003051808088923024797622929327189922332763671875	-2.2559738214166307	26.95268608365767	OFD1;SLC35A2;CDKN1C;MAGEL2;FOXE1;FMR1;ARX;SOX11;PHF6;MED12;RPS6KA3;LHX3;WDR81;KAT6B;PIGA;NSD1;HESX1;GNAS;AP1S2;GPC3;IDS;LHX4;GPC4;SLC26A4
Ptosis (HP:0000508)	39/338	0.000001173335246887393441922952351530451409189481637440621852874755859375	0.0001990269912532741125067714538232621634961105883121490478515625	0.00137858122836280634626593410985151422210037708282470703125	0.0935367363444164212626930066107888706028461456298828125	-2.5430958075196815	21.672440763040385	TNXB;HMGB3;PHF6;FGD1;MED12;ARVCF;FGF8;LMNA;HESX1;IDS;KIF21A;SLC16A2;OFD1;TBX1;FANCI;TGIF1;PDHA1;NAA10;BDNF;SLC52A3;NDUFA1;PAX3;TACR3;SOX11;PAX6;FOXL2;SMC1A;IL17RD;SLC6A8;KAT6B;UBA1;DCHS1;ROR2;FAT4;LMX1B;BCOR;MAMLD1;PLEC;FGF10
Pectus excavatum (HP:0000767)	22/135	0.000000989411540800075496802077658353713474070900701917707920074462890625	0.00019180449440938608022914901862776559937628917396068572998046875	0.0003432891865838259034919566214938413395429961383342742919921875	0.0412227781558287542651441981433890759944915771484375	-2.296606122966271	19.656729806097715	AMER1;NAA10;FMR1;IHH;SMC1A;FGD1;MED12;RPS6KA3;EFNB1;SLC9A6;CBS;KAT6B;SMS;GPC3;FAM20C;ROR2;LMX1B;GPC4;ATP7A;SCARF2;SLC16A2;FKTN
Hypertelorism (HP:0000316)	36/328	0.0000093299658248869300433171736219861713834688998758792877197265625	0.00079129772652322270982960805696393435937352478504180908203125	0.0046839950836268760825387147406217991374433040618896484375	0.1550288128897968353836489541208720766007900238037109375	-2.5261796998290516	18.04156180084632	AMER1;FOXC1;ZBTB24;FGF3;FGD1;MED12;EFNB1;RPS6KA3;RAI1;ARVCF;NSD1;LMNA;FGF20;GPC3;ALX4;GPC4;SCARF2;PITX2;OFD1;TBX1;FANCI;RIPK4;PAX3;CASK;ANK1;BMP2;PSAT1;KAT6B;SMS;FAM20C;DCHS1;ROR2;FAT4;VSX1;CHST3;FGF10
Mandibular prognathia (HP:0000303)	18/97	0.000001377357843787499240429251894102247177897879737429320812225341796875	0.00020767495489107073275945880563853052080958150327205657958984375	0.000308021989721808859587215412290106542059220373630523681640625	0.0412227781558287542651441981433890759944915771484375	-2.0460123205771232	17.349235982881837	CDKL5;FOXG1;FMR1;PAX3;HNF1B;RPS6KA3;RAI1;SLC6A8;SLC9A6;OPHN1;NSD1;GNAS;SMS;AP1S2;NHS;GPC3;FAM20C;GPC4
Broad toe (HP:0001837)	9/25	0.0000019248321080895785864235507378605660733228432945907115936279296875	0.000252661832674190935978109084913967308239080011844635009765625	0.000203963138912902595956122553388922824524343013763427734375	0.039539711357829833426880128399716340936720371246337890625	-2.0871695073968604	17.28898219123889	MED12;EFNB1;BMP2;NAA10;NPR2;GPC3;ROR2;UBE2A;FGF10
Dental malocclusion (HP:0000689)	16/81	0.00000223429770972018509485302294181874316336688934825360774993896484375	0.000252661832674190935978109084913967308239080011844635009765625	0.00036453451574793298457788370825483070802874863147735595703125	0.0412227781558287542651441981433890759944915771484375	-2.0839923588155633	17.262664412521687	OFD1;AMER1;FOXC1;PAX6;FGF3;FAM83H;RAI1;RPS6KA3;PORCN;GNAS;GPC3;DCHS1;BCOR;ROR2;FAT4;PITX2
High palate (HP:0000218)	25/191	0.0000111609146472284274519311264572962727470439858734607696533203125	0.000826720045025462930976534181581882876344025135040283203125	0.0024410094823845364560288562216783248004503548145294189453125	0.109584840683802087202280972633161582052707672119140625	-2.322241538110091	16.483373635510354	AMER1;KCNK9;ZBTB24;ARX;MED12;RPS6KA3;CBS;NSD1;LMNA;SCARF2;ATP7A;TBX1;OFD1;NAA10;FOXL2;PTPN14;ZDHHC15;DLG3;PIGA;SMS;FAM20C;DCHS1;FAT4;CRLF1;CHST3
Widely spaced teeth (HP:0000687)	9/27	0.00000403188243676945120598509308962320574210025370121002197265625	0.000390804604764010375672622643605791381560266017913818359375	0.0003268787351904590856958854327984909104998223483562469482421875	0.0412227781558287542651441981433890759944915771484375	-2.0805898924233346	16.32701900278947	RPS6KA3;CDKL5;DLX3;CDH3;PIGA;IDS;VSX1;FGF3;CHST3
Depressed nasal bridge (HP:0005280)	28/228	0.00001157529908289152314787746889113151382844080217182636260986328125	0.000826720045025462930976534181581882876344025135040283203125	0.0031400344990672054111546795951426247484050691127777099609375	0.11836185597872771191330087958704098127782344818115234375	-2.284093620623315	16.212598021935335	CDKN1C;FOXC1;EDA;ZBTB24;NPR2;FOXG1;MED12;RAI1;RPS6KA3;PRDM16;GPC3;ALX4;SCARF2;PITX2;TGIF1;PAX3;AMMECR1;FOXL2;SOX11;UBE2A;SMC1A;ANK1;PIGA;GNAS;FAM20C;ROR2;FAT4;CRLF1
Open mouth (HP:0000194)	11/39	0.000002213107873911410107721497997346205011126585304737091064453125	0.000252661832674190935978109084913967308239080011844635009765625	0.00024318934161314599323895635496484146642615087330341339111328125	0.0412227781558287542651441981433890759944915771484375	-1.9414137557259494	16.081620457571198	TBX1;MED12;SLC35A2;RAI1;RPS6KA3;MAGEL2;SLC6A8;SLC9A6;LMNA;UBA1;SLC16A2
Hypospadias (HP:0000047)	16/84	0.00000368767006541693376730182973854965666760108433663845062255859375	0.0003849360214439060605233489109622269097599200904369354248046875	0.000519877532188851225296299940481503654154948890209197998046875	0.0542672162446362349452755324819008819758892059326171875	-2.04184245599421	16.05385035530444	CDKN1C;NAA10;ARX;GATA4;HNF1B;MED12;EFNB1;POLA1;LMNA;GPC3;DCHS1;UBA1;FAT4;PITX2;MAMLD1;FGF10
Microcornea (HP:0000482)	17/97	0.000006050934868631329882691753663248590555667760781943798065185546875	0.00054740790778218099445207034392524292343296110630035400390625	0.0008079163920698575855616763163880023057572543621063232421875	0.0730895029359197867524500225044903345406055450439453125	-2.0267653934621612	15.221649201978012	FOXC1;NAA10;SLC16A12;HMGB3;PAX6;FOXL2;SMC1A;POMGNT2;ANK1;FGF3;RAI1;NHS;LMX1B;BCOR;PITX2;FKTN;HMX1
Short neck (HP:0000470)	24/182	0.000014646177129963413576503421242858138384690391831099987030029296875	0.000970522461222335743914746419847006109193898737430572509765625	0.0027307419888040703782883245054335930035449564456939697265625	0.1147123039935230848218594701393158175051212310791015625	-2.163843591773375	15.012045779616493	TRAPPC2;TBX1;OFD1;FHL1;GATA4;HNF1B;UBE2A;GDF3;SMC1A;FGD1;MED12;EFNB1;ARVCF;LHX3;PIGA;GNAS;GPC3;FAM20C;IDS;UBA1;ROR2;GPC4;CRLF1;CHST3
Patent ductus arteriosus (HP:0001643)	19/125	0.00001501913904618205563797940504944250506014213897287845611572265625	0.000970522461222335743914746419847006109193898737430572509765625	0.00183941014587251359425901231503530652844347059726715087890625	0.1037766309677298492974983901149244047701358795166015625	-2.130620081127337	14.781551826784556	AMER1;TBX1;FANCI;FOXC1;FOXF1;ARX;AMMECR1;GATA4;CTCF;ANK1;ARVCF;PORCN;KAT6B;ZIC3;NSD1;PRDM16;LMNA;GPC3;BCOR
Abnormally folded helix (HP:0008544)	9/30	0.000010740048511237962030186003647980186315180617384612560272216796875	0.000826720045025462930976534181581882876344025135040283203125	0.000620951851204805112087459217917739806580357253551483154296875	0.060187975863208613425126003448895062319934368133544921875	-1.9875656251227478	14.107829132475802	TBX1;AMER1;MED12;BHLHA9;ARVCF;SLC6A8;NAA10;PIGA;FGF10
Autism (HP:0000717)	17/109	0.0000296683465975225682162950968656645045484765432775020599365234375	0.00175043244925383151798514713703980305581353604793548583984375	0.0025034119831966578605120243850024053244851529598236083984375	0.109584840683802087202280972633161582052707672119140625	-2.1463385947095097	13.624726469742141	TBX1;CDKL5;FOXG1;FMR1;HNF1B;SMC1A;BCKDK;MED12;SOX3;RAI1;ARVCF;SLC6A8;SLC9A6;OPHN1;PRDM16;HESX1;NHS
Low-set, posteriorly rotated ears (HP:0000368)	30/276	0.000060501158703307476361722694324640769991674460470676422119140625	0.00256562726126213259958408485772451967932283878326416015625	0.011137264568970343947551526753159123472869396209716796875	0.25047470151770612201147514497279189527034759521484375	-2.2242911921415573	13.269125401460947	CDKN1C;AMER1;ZBTB24;HDAC6;FGD1;MED12;RAI1;PORCN;ARVCF;NSD1;PRDM16;LMNA;FGF20;GPC3;ALX4;GPC4;FKTN;OFD1;TBX1;NAA10;SMC1A;POMGNT2;KAT6B;FAM20C;ROR2;FAT4;BCOR;PTF1A;MBTPS2;FGF10
Hypoplasia of the maxilla (HP:0000327)	11/47	0.00001590187861911997014934504190986075400360277853906154632568359375	0.00098085678573390003807952464143227189197205007076263427734375	0.000937989571768298364441707182237450979300774633884429931640625	0.07955324055559880036536668512781034223735332489013671875	-1.8624524727665785	12.901364905696699	MED12;MAFB;CDKL5;EDA;RIPK4;PAX3;DCHS1;FAT4;PITX2;SCARF2;FGD1
Short nose (HP:0003196)	20/146	0.0000426870764571873149832194338504365305198007263243198394775390625	0.002145420842681599292445238091886494657956063747406005859375	0.004189252291137181283264823150602751411497592926025390625	0.142120383976828856820162627627723850309848785400390625	-2.074937917197418	12.74928910095741	OFD1;CDKN1C;EDA;ZBTB24;NPR2;FOXG1;RIPK4;PAX3;CASK;SMC1A;HDAC6;FGD1;ZDHHC15;RAI1;LMNA;GPC3;FAM20C;UBA1;ROR2;GPC4
Downslanted palpebral fissures (HP:0000494)	23/188	0.00007222141071982040292677462733905713321291841566562652587890625	0.0026487690363998996241623462566394664463587105274200439453125	0.007666981041165896008926505800218365038745105266571044921875	0.202300290148231531883737943644518963992595672607421875	-2.043497408998924	12.125419370194628	OFD1;TBX1;NAA10;BDNF;FOXG1;AMMECR1;PAX3;FGF3;FGD1;MED12;RPS6KA3;EFNB1;RAI1;BMP2;ARVCF;KAT6B;NSD1;GPC3;FAM20C;ROR2;GPC4;ATP7A;FGF10
Epicanthus (HP:0000286)	26/233	0.000119384980790071101234943451441239403720828704535961151123046875	0.003951351681271377501436514734223237610422074794769287109375	0.01341818295028512041111579122798502794466912746429443359375	0.26389093135560737213296533809625543653964996337890625	-2.1427526802474106	11.857345280115316	AMER1;TNXB;ZBTB24;FOXG1;GATA4;FGD1;AFF2;MED12;RPS6KA3;ARVCF;PRDM16;FGF20;GPC3;GPC4;OFD1;TBX1;FANCI;CASK;FOXL2;SOX11;ANK1;ZDHHC15;BMP2;DCHS1;ROR2;FAT4
Clinodactyly of the 5th finger (HP:0004209)	23/192	0.000099893569447104217239215284696030039413017220795154571533203125	0.0034757839420441138077177978260579038760624825954437255859375	0.00958382835455169439231593031536249327473342418670654296875	0.2322366978058330311274204404980991967022418975830078125	-2.088212231528033	11.823322402606692	OFD1;AMER1;TBX1;FANCI;NAA10;IHH;GATA5;GATA4;SMC1A;FGD1;HOXA11;RAI1;EFNB1;BMP2;KAT6B;PRDM16;GPC3;ROR2;LMX1B;BCOR;GPC4;SCARF2;FGF10
