Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002116_abnormal_craniofacial_bone_	51/467	0.00000015916453028232288263344612090632868017792134196497499942779541015625	0.00000763989745355149921343836105780411571686272509396076202392578125	0.000000001415393023938202161775472837502813650001343148687737993896007537841796875	0.0000000811037793066373240054108451242698141214759743888862431049346923828125	-2.009578202571104	23.67710434753091	CDKN1C;DDR1;EDA;IHH;CELSR1;MED12;RPS6KA3;FGF8;ZIC3;IDS;PITX2;NKX3-2;OFD1;FOXD3;OSR2;PAX3;CASK;PAX6;SOX11;POU3F3;MN1;PAX7;PIGA;GAS1;ROR2;LMX1B;HMX1;FOXC1;HOXD1;FOXG1;NPR2;LTBP1;EGFR;RAI1;EFNB1;LMNA;PRDM16;GPC3;ALX4;OTX1;TBX1;FZD1;CDX1;ZIC5;VAX1;NELL1;MAFB;GNAS;SNAI1;SIM2;FOXA2
MP0003935_abnormal_craniofacial_develop_	36/268	0.00000007333821911081911214727439320137936107357745640911161899566650390625	0.000004854205608849231055076760277255942810370470397174358367919921875	0.000000003712338889677006486374148444529717794093670590882538817822933197021484375	0.00000017819226670449630472851422491320505514522665180265903472900390625	-1.7852294850975072	21.843470093649774	CDKN1C;MESP1;FOXC1;FOXE1;LTBP1;EGFR;MED12;EFNB2;EFNB1;FGF8;PRDM16;HESX1;PITX2;TRPM6;SLC39A4;FZD1;TBX1;FOXD3;OSR2;FOXH1;PAX3;CASK;PAX6;SOX11;FGF16;MN1;BMP2;CLCN5;MAFB;PAX7;ALDH1A2;SNAI1;ROR2;SIM2;FOXA2;FGF10
MP0002169_no_abnormal_phenotype_	127/1370	0.0000000000082387300477975484191765937175860770418089895628099839086644351482391357421875	0.00000000228051483062177866494035183785558940083859624792239628732204437255859375	0.0000000000000000047796595534323885176933819569932546197328677390421709791912263654012349434196949005126953125	0.000000000000000909882671193133401681322573525759335561513573877034932735341499210335314273834228515625	-1.0709508428395347	21.31070583266052	GALNT13;SYAP1;SCX;SLC4A2;DACH2;SAT1;HS6ST2;FGF3;ALKBH3;RIMS2;FGF8;GSC2;MAP3K9;PITX2;SLC12A8;MNX1;OSR2;NKX6-2;TPM1;ATP11C;ZBTB33;SCAMP1;POU3F1;PYGO1;LMX1B;NBL1;MTMR1;FOXG1;ARX;PROZ;DTX1;CACNA1E;CRHR1;EFNB2;PDZD4;EFNB3;ALX4;KCNN2;DRD5;ZRSR1;FZD1;B3GALNT1;BDNF;ST8SIA1;MSN;HPRT;BMX;GRIN2C;SYT7;IGF2R;POLA1;FER;BMP2;H1F0;LRCH2;DAB1;GNAS;SNAI1;TAB3;FGF10;RAB9;KCNK9;SH2D4A;HMGB3;SLC6A1;WDR44;AKAP12;CALB2;MED12;ADAMTS5;SEPT6;MED14;NKRF;SCN5A;IKBKG;ATP7A;ABCD1;SCARF1;TGIF1;TPI1;SPHK1;PAX3;CTPS2;PAX6;IL17RD;BACE1;CYP26C1;PAX7;ALDH1A2;PLEC;PTGER4;NLGN3;ODC1;ADCY4;SEZ6;TXLNG;ASCL2;EGFR;HDAC6;ENOX2;GNA15;ACVR1C;FAM120C;LMNA;PAK6;NCAM2;TAF9B;TBX1;GDF10;CDX4;EGF;GDF15;CDX1;USP9X;PRRX2;GSR;PCDH8;ADAM33;POU4F2;CLCN5;RLIM;RBM41;APBA2;TJP3;FOXA2;NEUROG3;A830080D01RIK
MP0002873_normal_phenotype_	127/1375	0.0000000000105579390306563825883840634054327525977179380589632273768074810504913330078125	0.00000000228051483062177866494035183785558940083859624792239628732204437255859375	0.00000000000000000631862966106342648616162651113936663277619726680951230124438922075569280423223972320556640625	0.000000000000000909882671193133401681322573525759335561513573877034932735341499210335314273834228515625	-1.0657437718621274	21.20709103223225	GALNT13;SYAP1;SCX;SLC4A2;DACH2;SAT1;HS6ST2;FGF3;ALKBH3;RIMS2;FGF8;GSC2;MAP3K9;PITX2;SLC12A8;MNX1;OSR2;NKX6-2;TPM1;ATP11C;ZBTB33;SCAMP1;POU3F1;PYGO1;LMX1B;NBL1;MTMR1;FOXG1;ARX;PROZ;DTX1;CACNA1E;CRHR1;EFNB2;PDZD4;EFNB3;ALX4;KCNN2;DRD5;ZRSR1;FZD1;B3GALNT1;BDNF;ST8SIA1;MSN;HPRT;BMX;GRIN2C;SYT7;IGF2R;POLA1;FER;BMP2;H1F0;LRCH2;DAB1;GNAS;SNAI1;TAB3;FGF10;RAB9;KCNK9;SH2D4A;HMGB3;SLC6A1;WDR44;AKAP12;CALB2;MED12;ADAMTS5;SEPT6;MED14;NKRF;SCN5A;IKBKG;ATP7A;ABCD1;SCARF1;TGIF1;TPI1;SPHK1;PAX3;CTPS2;PAX6;IL17RD;BACE1;CYP26C1;PAX7;ALDH1A2;PLEC;PTGER4;NLGN3;ODC1;ADCY4;SEZ6;TXLNG;ASCL2;EGFR;HDAC6;ENOX2;GNA15;ACVR1C;FAM120C;LMNA;PAK6;NCAM2;TAF9B;TBX1;GDF10;CDX4;EGF;GDF15;CDX1;USP9X;PRRX2;GSR;PCDH8;ADAM33;POU4F2;CLCN5;RLIM;RBM41;APBA2;TJP3;FOXA2;NEUROG3;A830080D01RIK
MP0002882_abnormal_neuron_morphology_	97/1006	0.000000000389051862486682743552116584654656204766975946540696895681321620941162109375	0.00000005602346819808231589868540074329816835785322837182320654392242431640625	0.00000000000001530505135417041674540396136618035677305215032373286732081396621651947498321533203125	0.00000000000165294554625040502112540231108366741807728927948772934541921131312847137451171875	-1.2627596679530093	21.084923442667357	PRRXL1;FMR1;IHH;CELSR1;GLDN;OPHN1;PITX2;EPHB1;MNX1;EPHB3;NKX6-2;SLC30A3;CACNA2D2;SOX11;MAPK8IP2;POU3F1;ANK1;MAPK8IP1;EEF1A2;LMX1B;ROR2;COL13A1;FOXG1;NPR2;ARX;BHLHE22;EFNB2;EFNB3;OTX1;NKX6-1;DRD2;NKX2-2;PRPH;FZD1;PDHA1;BDNF;ST8SIA2;HPRT;DAB1;TLX3;LHX3;NBEA;TLX2;GJB6;DLG5;ID4;FAT4;SLC26A4;VSX1;FGF10;DAGLA;GAL3ST1;NR2E1;AIFM1;IDS;NEFM;CTSF;ATP7A;NEFH;NKX3-2;SLC18A3;OFD1;GRID1;PAX3;OLIG1;PAX6;UCHL5;BACE1;ARHGEF9;MFRP;ALDH1A2;GAS1;PLEC;FOXC1;GUCY2E;DBX1;SEZ6;CRMP1;HOXD10;EGFR;RELN;EGFLAM;CNR1;LMNA;SLIT1;PAK6;TBX1;GDF15;GABRA5;HUWE1;ATP2B2;ZIC5;VAX1;POU4F2;PTF1A;CRLF1;FOXA2
MP0003861_abnormal_nervous_system_	81/855	0.000000026081898840491462810671233966790250047296240154537372291088104248046875	0.0000022534760598184627150672616757720589930613641627132892608642578125	0.0000000000088237116871033741021957719463699441365955866700687693082727491855621337890625	0.0000000007623686897657315741285029807305928528649019426666200160980224609375	-1.4286175445903238	18.576366246035665	MESP1;C330007P06RIK;DAGLA;EDA;FMR1;NR2E1;CELSR1;FGF3;MED12;FGF8;OPHN1;ZIC3;NEFM;PITX2;SYNPO;NEFH;EPHB1;MNX1;SLC39A4;EPHB3;CCDC160;OFD1;TGIF1;AMN;NKX6-2;SPHK1;FOXH1;PAX3;CACNA2D2;OLIG1;SOX11;PAX6;UCHL5;ZDHHC15;ADAMTS20;PYGO1;ALDH1A2;PIGA;PARD3;GAS1;HAP1;LMX1B;HMX1;FOXC1;FOXG1;ARX;CRMP1;GATA4;HOXD12;HOXD10;LTBP1;EGFR;EFNB2;EFNB3;RELN;CNR1;SLIT1;HESX1;OTX1;DRD2;TRPM6;TBX1;FZD1;BDNF;USP9X;ST8SIA2;HUWE1;HPRT;ZIC5;VAX1;BMP2;MAFB;DAB1;DLG3;DLG5;ID4;FAT4;BCOR;PTF1A;FOXA2;FGF10
MP0003635_abnormal_synaptic_transmissio_	50/453	0.00000015160868220089297702440271457813292244054537150077521800994873046875	0.00000763989745355149921343836105780411571686272509396076202392578125	0.0000000015019218390118023193737363695150245634923891202561208046972751617431640625	0.0000000811037793066373240054108451242698141214759743888862431049346923828125	-1.4605017325080845	17.207815986509264	DAGLA;GRIK5;FMR1;GRIK3;HTR2C;ADRA1D;DOC2B;SLC6A1;AFF2;CALB2;OPHN1;NETO1;SYNPO;SLC18A3;KCNH3;TRPC5;CACNA2D2;CASK;AVPR1A;MAPK8IP2;MAPK8IP1;BACE1;ARHGEF9;PRKAR1B;EEF1A2;LMX1B;CHST3;NLGN3;CAMK2B;COL13A1;SEZ6;CRMP1;CACNA1E;CACNA1H;EFNB2;EFNB3;CNR1;KCNN2;DRD2;S1PR4;TBX1;ARPP21;BDNF;GABRA5;ATP2B2;GRIN2C;NR2F6;NBEA;DLG3;FGF12
MP0002081_perinatal_lethality_	88/981	0.0000000786561094026495767911552896463345252442422861349768936634063720703125	0.000004854205608849231055076760277255942810370470397174358367919921875	0.000000000014099391741539649570126694129269871551268789033883876982145011425018310546875	0.00000000101515620539085482074791026187166043115439606481231749057769775390625	-1.3032534448353763	15.946172682193136	CDKN1C;EDA;CITED1;IHH;SLC4A2;CELSR1;FGF3;HOXA11;FGF8;GRB10;PITX2;ATP7A;NKX3-2;MNX1;SLC18A3;OFD1;FOXD3;OSR2;RIPK4;FNDC3B;PAX3;DIO3;CASK;PAX6;OLIG1;SOX11;POU3F1;ZFX;ANK1;POU3F3;ADAMTS20;GREM1;PYGO1;CLDN5;RIPPLY2;LOX;DPPA4;PIGA;ROR2;LMX1B;HMX1;PTGER4;FOXC1;MAGEL2;SEMA3C;ABCB7;FOXG1;ARX;DBX1;NTN1;LTBP1;EGFR;EFNB2;EFNB1;PLAGL1;PRDM16;GPC3;SLIT1;HESX1;ALX4;OTX1;NKX6-1;SLC12A5;BDNF;WNT7B;HUWE1;HPRT;ZIC5;VAX1;IGF2R;NELL1;MAFB;LHX3;DLG3;TLX3;NBEA;GNAS;SNAI1;LHX4;INSM1;FAT4;RLN1;SSBP2;PTF1A;CRLF1;FGF10;VSX2;FOXA2
MP0000432_abnormal_head_morphology_	43/424	0.0000099005223348514547030037313835038048637215979397296905517578125	0.00035641880405465234220308001766852612490765750408172607421875	0.000000207308046148863817661234004892378823825538347591646015644073486328125	0.000005696908235414528554204326160625981856355792842805385589599609375	-1.933480894499395	15.350686146209664	MESP1;FOXC1;NPR2;IHH;SLC4A2;LTBP1;EGFR;RAI1;SOX3;FGF8;CBS;ZIC3;PRDM16;LMNA;HESX1;ALX4;PITX2;TRPM6;SLC39A4;TGIF1;FZD1;FOXD3;OSR2;GSX1;BDNF;FOXH1;RIPK4;HUWE1;CASK;PAX3;PAX6;SOX11;ZIC5;VAX1;NELL1;CLCN5;PAX7;DLG5;PIGA;BCOR;ROR2;SIM2;FOXA2
MP0002063_abnormal_learning/memory/cond_	43/403	0.00000272846771853456228809739654572741329729979042895138263702392578125	0.00010715436858244826502130353507169502336182631552219390869140625	0.00000005619251529099244484084687938085789227216082508675754070281982421875	0.00000202293055047572780251225084413579935471716453321278095245361328125	-1.546644096660983	14.13824498448359	NLGN3;SH3KBP1;FMR1;ARX;SEZ6;CRMP1;HTR2C;ADRA1D;NR2E1;SLC6A1;CRHR1;AFF2;PTPRG;RPS6KA3;RAI1;HRH1;NETO1;OPHN1;CNR1;PAK6;RAC3;KCNN2;DRD2;SYNPO;NPTX2;SLC18A3;KCNH3;GABRA5;BDNF;ST8SIA2;TACR3;AVPR1A;HPRT;NAV2;MAPK8IP2;BACE1;ARHGEF9;DLG3;GNAS;AMPH;LMX1B;APBA2;FGF12
