Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
pattern specification process (GO:0007389)	14/385	0.0000003199815838035899068060390580681140448859878233633935451507568359375	0.0003769383057206289358402606648468236016924493014812469482421875	0.000000150256180698235897022347587644042210541783788357861340045928955078125	0.00017700178086252189532147360839786642827675677835941314697265625	-2.3796226226475388	18.759586061946795	IRX2;WNT7B;PAX3;CELSR1;HOXD10;EFNB1;RIPPLY2;MAFB;ALX4;LMX1B;BCOR;PITX2;NBL1;HOXD9
regionalization (GO:0003002)	11/247	0.000000881692041247483963565720853361451503360513015650212764739990234375	0.000519316612294768082704055078835381209501065313816070556640625	0.0000005418460283954075156943202586090624350845246226526796817779541015625	0.000319147310724895018167746041370946841198019683361053466796875	-2.4057507766541715	18.1946854683559	IRX2;MAFB;RIPPLY2;WNT7B;ALX4;PAX3;LMX1B;CELSR1;HOXD9;NBL1;HOXD10
limb morphogenesis (GO:0035108)	6/101	0.000060836290660167699159179000023556227461085654795169830322265625	0.0179162875994193886153293959750953945331275463104248046875	0.0000524648244061847685644657535153356775481370277702808380126953125	0.015450890787621414379504614089455571956932544708251953125	-2.2562867058478977	9.074886794930316	PRRX2;ALX4;LMX1B;PITX2;HOXD9;HOXD10
appendage morphogenesis (GO:0035107)	6/101	0.000060836290660167699159179000023556227461085654795169830322265625	0.0179162875994193886153293959750953945331275463104248046875	0.0000524648244061847685644657535153356775481370277702808380126953125	0.015450890787621414379504614089455571956932544708251953125	-2.2534795982319316	9.063596481615942	PRRX2;ALX4;LMX1B;PITX2;HOXD9;HOXD10
hindlimb morphogenesis (GO:0035137)	4/38	0.00011917521948094913163650188092645976212224923074245452880859375	0.02339806809142634669296256788584287278354167938232421875	0.0001291402583380895003652144570338577977963723242282867431640625	0.025354537387044906449062864339794032275676727294921875	-2.3737232534903936	8.91357250988558	ALX4;PITX2;HOXD9;HOXD10
central nervous system development (GO:0007417)	6/108	0.000088412006369699980821465212788012877354049123823642730712890625	0.0208298687007013143268618904357936116866767406463623046875	0.000074787253210815258196164645454473429708741605281829833984375	0.017619876856468076609107953345301211811602115631103515625	-2.144061592209672	8.300449995379104	TLX3;FMR1;NPTX1;CELSR1;POU3F3;NEUROG3
embryonic limb morphogenesis (GO:0030326)	5/86	0.0002824688302353072812123091495095650316216051578521728515625	0.04159353525214899705009230501673300750553607940673828125	0.000250261668461682919815947112596177248633466660976409912109375	0.036851030680982811704726742618731805123388767242431640625	-2.266184232351754	7.20603647675693	PRRX2;ALX4;PITX2;HOXD9;HOXD10
embryonic appendage morphogenesis (GO:0035113)	5/86	0.0002824688302353072812123091495095650316216051578521728515625	0.04159353525214899705009230501673300750553607940673828125	0.000250261668461682919815947112596177248633466660976409912109375	0.036851030680982811704726742618731805123388767242431640625	-2.2632610630372487	7.196741352200265	PRRX2;ALX4;PITX2;HOXD9;HOXD10
proximal/distal pattern formation (GO:0009954)	3/25	0.000607182028898714423563454101184788669343106448650360107421875	0.079473381115853947154192837842856533825397491455078125	0.000674890311609572276889401631905229805852286517620086669921875	0.07950207870760761519335346747539006173610687255859375	-2.4950867445200475	6.318390855614667	IRX2;HOXD9;HOXD10
inner ear morphogenesis (GO:0042472)	4/60	0.00070261814387860793522377900188757848809473216533660888671875	0.08276841734890001689439742449394543655216693878173828125	0.00066081992455577763002916302781386548303999006748199462890625	0.07950207870760761519335346747539006173610687255859375	-2.1002746238005816	5.233272601532048	MAFB;PRRX2;CELSR1;POU4F3
embryonic morphogenesis (GO:0048598)	9/403	0.00159715977323918547660375200081261937157250940799713134765625	0.1297458781151249740393183174091973342001438140869140625	0.00101399573801646170241597122441135070403106510639190673828125	0.09333656694903737227608786497512483038008213043212890625	-2.4039755450786497	4.909344829625618	MAFB;WNT7B;PRRX2;ALX4;PITX2;CELSR1;HOXD9;HOXD10;POU4F3
neural crest cell migration (GO:0001755)	3/35	0.00164542341446559663327431355384078415227122604846954345703125	0.1297458781151249740393183174091973342001438140869140625	0.0016619057746480518471254850254581469926051795482635498046875	0.130515000169027006737820784110226668417453765869140625	-2.3675365549890577	4.83492994301858	EFNB1;PAX3;PITX2
metanephric tubule development (GO:0072170)	2/11	0.002355476645954278358541245097512728534638881683349609375	0.1427752714962229607653654284149524755775928497314453125	0.002836677456685024988070065177225842489860951900482177734375	0.1563468331722139004202887235805974341928958892822265625	-2.471947951196896	4.81160568447299	WNT7B;POU3F3
metanephric nephron tubule development (GO:0072234)	2/11	0.002355476645954278358541245097512728534638881683349609375	0.1427752714962229607653654284149524755775928497314453125	0.002836677456685024988070065177225842489860951900482177734375	0.1563468331722139004202887235805974341928958892822265625	-2.449187391696069	4.7673026329370805	WNT7B;POU3F3
organ morphogenesis (GO:0009887)	9/405	0.00165211220010770347930983970030638374737463891506195068359375	0.1297458781151249740393183174091973342001438140869140625	0.00104900531192752242970467335680950782261788845062255859375	0.09333656694903737227608786497512483038008213043212890625	-2.3290613547969152	4.756356753903246	FGF16;WNT7B;PRRX2;ALX4;PAX3;BCOR;PITX2;HOXD9;HOXD10
peripheral nervous system neuron development (GO:0048935)	2/10	0.00193569081951401665390999351501477576675824820995330810546875	0.1425152365867194681481322504623676650226116180419921875	0.00240996091305327279907810833492476376704871654510498046875	0.1563468331722139004202887235805974341928958892822265625	-2.4329313875173897	4.740095699572599	HOXD9;HOXD10
