Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0005503_abnormal_tendon_morphology_	3/20	0.000308412150688226749384313052360084839165210723876953125	0.02165583848932063626424593394403927959501743316650390625	0.000329506024957005130317233554393396843806840479373931884765625	0.01345482935241104453794047657311239163391292095184326171875	-1.9971973633651996	7.654219320049453	SCX;LMX1B;HOXD10
MP0002169_no_abnormal_phenotype_	24/1370	0.00001263616864423987846250373168199843121328740380704402923583984375	0.0016441886736190572219917793717058884794823825359344482421875	0.0000005844642581750894604332934555157574862960245809517800807952880859375	0.000063469541987120045079852348468563150163390673696994781494140625	-1.0709508428395347	6.865339185477642	GDF10;IRX2;MTMR1;USP9X;PRRX2;ODC1;PAX3;HMGB3;DTX1;SCX;ATP11C;SCAMP1;IGF2R;ALKBH3;RIMS2;POLA1;MED14;SV2B;ALX4;LMX1B;PITX2;NBL1;NEUROG3;DRD5
MP0002873_normal_phenotype_	24/1375	0.00001342194835607393734963101172841248853728757239878177642822265625	0.0016441886736190572219917793717058884794823825359344482421875	0.000000624676233812787404744049264693206424681193311698734760284423828125	0.000063469541987120045079852348468563150163390673696994781494140625	-1.0657437718621274	6.83195921415424	GDF10;IRX2;MTMR1;USP9X;PRRX2;ODC1;PAX3;HMGB3;DTX1;SCX;ATP11C;SCAMP1;IGF2R;ALKBH3;RIMS2;POLA1;MED14;SV2B;ALX4;LMX1B;PITX2;NBL1;NEUROG3;DRD5
MP0003385_abnormal_body_wall_	4/72	0.00139343022853397036607547843090060268878005445003509521484375	0.048770057998688963463163048572823754511773586273193359375	0.00107168315015872457098000669617476887651719152927398681640625	0.027304089151428255488607277357004932127892971038818359375	-2.0315233124712497	6.136497978298476	EFNB1;PAX3;ALX4;PITX2
MP0002113_abnormal_skeleton_development_	10/442	0.00080030663351147372612526265100996170076541602611541748046875	0.036085460613447702116207693734395434148609638214111328125	0.0003116939638941312721610865654753297349088825285434722900390625	0.01345482935241104453794047657311239163391292095184326171875	-1.721397531151071	5.718250636483093	EFNB1;GSN;MAFB;PIGA;FNDC3B;PAX3;SCX;LMX1B;PITX2;IGF2R
MP0005508_abnormal_skeleton_morphology_	5/127	0.00165763690883065166990772976163270868710242211818695068359375	0.049832816930300956326238548399487626738846302032470703125	0.00111445261842564309444358894296556172776035964488983154296875	0.027304089151428255488607277357004932127892971038818359375	-1.8748069042685538	5.622698772924081	EFNB1;GSN;SCX;LMX1B;HOXD10
MP0002932_abnormal_joint_morphology_	5/136	0.0022373917805441245927611237931387222488410770893096923828125	0.049832816930300956326238548399487626738846302032470703125	0.00149497381704762001726483067187700726208277046680450439453125	0.033297144106969718546640280010251444764435291290283203125	-1.865153254994906	5.593746691618216	PAX3;LMX1B;SSBP2;HOXD10;HOXD9
MP0002116_abnormal_craniofacial_bone_	9/467	0.0042634211685622126764005912491484195925295352935791015625	0.087044848858145174030909174689440988004207611083984375	0.00193117249469992716993937964531369289034046232700347900390625	0.038483413276011020631717229889545706100761890411376953125	-1.9628229848713656	4.791902149220021	EFNB1;MAFB;PIGA;PAX3;ALX4;LMX1B;CELSR1;PITX2;POU3F3
MP0002084_abnormal_developmental_patter_	9/421	0.0021486319693859549928571794907838921062648296356201171875	0.049832816930300956326238548399487626738846302032470703125	0.000951590788435015505312974948282089826534502208232879638671875	0.027304089151428255488607277357004932127892971038818359375	-1.5929298820238835	4.77732659967142	OTUD5;RIPPLY2;USP9X;SCX;PAX3;LMX1B;BCOR;PITX2;FKTN
MP0002081_perinatal_lethality_	16/981	0.000883725566043617170343404954024890685104764997959136962890625	0.036085460613447702116207693734395434148609638214111328125	0.000182723795914725597837324766459232705528847873210906982421875	0.01119183249977694256938054451211428386159241199493408203125	-1.318208262854844	4.378910217819673	WNT7B;FNDC3B;PAX3;CELSR1;IGF2R;POU3F3;EFNB1;MAFB;RIPPLY2;TLX3;NBEA;PIGA;ALX4;LMX1B;PITX2;SSBP2
