Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Infantile onset (HP:0003593)	6/254	0.0001899887590366835881348916981181673691025935113430023193359375	0.059846459096555330858802079774250159971415996551513671875	0.005901332778901720484132642496888365712948143482208251953125	0.321753755867066615348193181489477865397930145263671875	-2.3183757483022513	6.52848353818311	QDPR;WDR81;OPHN1;PSAT1;IRF8;FKTN
Atelectasis (HP:0100750)	2/17	0.00141275461789862333272793648575316183269023895263671875	0.1392919419798857860737228975267498753964900970458984375	0.00690071783695864367225158986229871516115963459014892578125	0.321753755867066615348193181489477865397930145263671875	-2.262338269940901	4.459483295371449	PAX3;RPGR
Wide nasal bridge (HP:0000431)	4/217	0.005746998299437326186700492058889722102321684360504150390625	0.150030144229017281531923799775540828704833984375	0.056660929400993299831501559538082801736891269683837890625	0.321753755867066615348193181489477865397930145263671875	-2.3022157670532137	4.367116930882383	CERKL;MAFB;PAX3;RPGR
Camptodactyly of finger (HP:0100490)	3/121	0.00749222773448486763225862006265742820687592029571533203125	0.150030144229017281531923799775540828704833984375	0.048438838336425073249902339966865838505327701568603515625	0.321753755867066615348193181489477865397930145263671875	-2.2025928074828776	4.178140241698684	MAFB;PAX3;CHST3
Meningocele (HP:0002435)	2/32	0.00499076119619894058299092165498223039321601390838623046875	0.150030144229017281531923799775540828704833984375	0.021305720966244771907849298031578655354678630828857421875	0.321753755867066615348193181489477865397930145263671875	-2.1694165806422143	4.115207625211522	PAX3;FKTN
Macrotia (HP:0000400)	3/105	0.0050625806446056541287870089718126109801232814788818359375	0.150030144229017281531923799775540828704833984375	0.034165733855613382441429592972781392745673656463623046875	0.321753755867066615348193181489477865397930145263671875	-2.1532822719490796	4.084602147797015	OPHN1;PSAT1;FMR1
Dysdiadochokinesis (HP:0002075)	2/19	0.00176878656482394656761225615326793558779172599315643310546875	0.1392919419798857860737228975267498753964900970458984375	0.008406117993952244571431720032705925405025482177734375	0.321753755867066615348193181489477865397930145263671875	-2.0567819366512152	4.054294095001733	WDR81;FMR1
Autosomal recessive inheritance (HP:0000007)	11/1722	0.0245163524253143479125771619919760269112884998321533203125	0.150030144229017281531923799775540828704833984375	0.69936438684958923683865350540145300328731536865234375	0.7199339276392830999640182199073024094104766845703125	-2.112600531127661	4.007432178908134	QDPR;CERKL;WDR81;PSAT1;ATP5E;PAX3;IRF8;PIGM;CHST3;FKTN;NEUROG3
Pulmonic stenosis (HP:0001642)	2/38	0.006984205936023228818154695574094148469157516956329345703125	0.150030144229017281531923799775540828704833984375	0.0289144548189603500798483537437277846038341522216796875	0.321753755867066615348193181489477865397930145263671875	-2.1064719728861547	3.995806800070321	FKTN;CHST3
Cerebellar hypoplasia (HP:0001321)	3/67	0.001414131184186313665296363950574232148937880992889404296875	0.1392919419798857860737228975267498753964900970458984375	0.0107965227616959071055280361406403244473040103912353515625	0.321753755867066615348193181489477865397930145263671875	-2.0155065539288866	3.972932752091198	WDR81;OPHN1;FKTN
Synostosis involving bones of the hand (HP:0004278)	2/35	0.00594893736995716869431216622388092218898236751556396484375	0.150030144229017281531923799775540828704833984375	0.024988991106144838039160305243058246560394763946533203125	0.321753755867066615348193181489477865397930145263671875	-2.093986271600882	3.972122435530221	FGF16;PAX3
Mandibular prognathia (HP:0000303)	3/97	0.004056942144891083519564478621077796560712158679962158203125	0.150030144229017281531923799775540828704833984375	0.0280117909479426774321808579770731739699840545654296875	0.321753755867066615348193181489477865397930145263671875	-2.083763541771646	3.952730744640085	OPHN1;FMR1;PAX3
Variable expressivity (HP:0003828)	3/144	0.01201811259799507626555570283244378515519201755523681640625	0.150030144229017281531923799775540828704833984375	0.0733755476200360357008634082376374863088130950927734375	0.321753755867066615348193181489477865397930145263671875	-2.0770620085719775	3.9400184786926573	QDPR;PAX3;FKTN
X-linked recessive inheritance (HP:0001419)	3/111	0.005907037449757789569770860538255874416790902614593505859375	0.150030144229017281531923799775540828704833984375	0.0392133828745376555868773493784829042851924896240234375	0.321753755867066615348193181489477865397930145263671875	-2.0192524076082683	3.830358345724619	FGF16;OPHN1;RPGR
Ulnar deviation of the hand or of fingers of the hand (HP:0001193)	2/39	0.007346155490287047985786816894915318698622286319732666015625	0.150030144229017281531923799775540828704833984375	0.0302749871583112388495617750550081836991012096405029296875	0.321753755867066615348193181489477865397930145263671875	-1.9725473388960402	3.7417626114541216	MAFB;PAX3
Hypoplasia of the maxilla (HP:0000327)	2/47	0.01053700200176798003337541587143277865834534168243408203125	0.150030144229017281531923799775540828704833984375	0.042043092089076174178163824990406283177435398101806640625	0.321753755867066615348193181489477865397930145263671875	-1.9313799870047623	3.663671477679067	MAFB;PAX3
Dandy-Walker malformation (HP:0001305)	2/72	0.0236359355262416546972215058985966606996953487396240234375	0.150030144229017281531923799775540828704833984375	0.08736691700842559582529389672345132566988468170166015625	0.321753755867066615348193181489477865397930145263671875	-1.8813374268885859	3.5687447924067377	PSAT1;FKTN
Short palm (HP:0004279)	2/54	0.01374392631787226849715555232478436664678156375885009765625	0.150030144229017281531923799775540828704833984375	0.053530591609009824105580577224827720783650875091552734375	0.321753755867066615348193181489477865397930145263671875	-1.8657193049754695	3.539118479525275	WDR81;FMR1
