Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002932_abnormal_joint_morphology_	4/136	0.0010637491260887844968241466858671628870069980621337890625	0.1575147055533197004706380539573729038238525390625	0.0011388622288821489449139878757932820008136332035064697265625	0.11502508511709703953318495450730551965534687042236328125	-2.031675861100995	3.7550173942423735	PAX3;SSBP2;HOXD10;HOXD9
MP0002111_abnormal_tail_morphology_	4/344	0.026920480150876759106726154868738376535475254058837890625	0.232831736068506767178831751152756623923778533935546875	0.02741133172270031337358631162715028040111064910888671875	0.240600190586563400518826938423444516956806182861328125	-2.4327025781326865	3.545516218751755	PAX3;CELSR1;HOXD9;IGF2R
MP0003938_abnormal_ear_development_	2/54	0.01374392631787226849715555232478436664678156375885009765625	0.1940567063439454231765779468332766555249691009521484375	0.01477754543065246985167338067412856617011129856109619140625	0.18899556439051112821658762186416424810886383056640625	-1.9959577625708556	3.27258205163499	MAFB;PAX3
MP0002557_abnormal_social/conspecific_i_	4/264	0.01128063336535726178533334262965581729076802730560302734375	0.1940567063439454231765779468332766555249691009521484375	0.01156308405026570430840227032831535325385630130767822265625	0.18899556439051112821658762186416424810886383056640625	-1.8726657728018536	3.0704319057778444	RIMS2;GRIN3B;OPHN1;CACNA2D2
MP0002114_abnormal_axial_skeleton_	6/567	0.01091412883460916340150337333625429891981184482574462890625	0.1940567063439454231765779468332766555249691009521484375	0.0106538110847870411135307477934475173242390155792236328125	0.18899556439051112821658762186416424810886383056640625	-1.8635615104203285	3.0555045129131884	QDPR;PAX3;CACNA2D2;HOXD10;HOXD9;IGF2R
MP0002295_abnormal_pulmonary_circulatio_	2/54	0.01374392631787226849715555232478436664678156375885009765625	0.1940567063439454231765779468332766555249691009521484375	0.01477754543065246985167338067412856617011129856109619140625	0.18899556439051112821658762186416424810886383056640625	-1.8468318712142608	3.028074515133282	GSN;WNT7B
MP0006138_congestive_heart_failure_	2/55	0.01423250519938567236477577893083434901200234889984130859375	0.1940567063439454231765779468332766555249691009521484375	0.015283239690545548372657691515996702946722507476806640625	0.18899556439051112821658762186416424810886383056640625	-1.7676523261427672	2.8982513480719523	PAX3;IGF2R
MP0002135_abnormal_kidney_morphology_	6/591	0.01318157110988298248710481885836998117156326770782470703125	0.1940567063439454231765779468332766555249691009521484375	0.01287948294504652306524672411569554242305457592010498046875	0.18899556439051112821658762186416424810886383056640625	-1.7601500450371184	2.885950571495877	MAFB;DTX1;SSBP2;HOXD10;POU3F3;IGF2R
MP0003948_abnormal_gas_homeostasis_	5/311	0.0036271059678880494814290358362995903007686138153076171875	0.1940567063439454231765779468332766555249691009521484375	0.003656245684255185306177349247036545420996844768524169921875	0.18899556439051112821658762186416424810886383056640625	-1.7208446450834218	2.82150524663333	MAFB;TLX3;NBEA;PAX3;IGF2R
MP0000759_abnormal_skeletal_muscle_	4/290	0.0154494571110657917534236815981785184703767299652099609375	0.1940567063439454231765779468332766555249691009521484375	0.0157898103704136351377318447930520051158964633941650390625	0.18899556439051112821658762186416424810886383056640625	-1.5949364755002926	2.615065599633367	PAX3;CACNA2D2;SYPL2;HOXD10
MP0002066_abnormal_motor_capabilities/c_	11/1482	0.0087487312156741998958597861246744287200272083282470703125	0.1940567063439454231765779468332766555249691009521484375	0.007139947133953821779839277184009915799833834171295166015625	0.18899556439051112821658762186416424810886383056640625	-1.5826815061765245	2.594972292347824	GRIN3B;MAFB;NBEA;OPHN1;FMR1;CACNA2D2;PAX3;CELSR1;HOXD10;IGF2R;CHST3
MP0009672_abnormal_birth_weight_	2/73	0.0242507414163839092602348301852543954737484455108642578125	0.232831736068506767178831751152756623923778533935546875	0.025603191515860150573313802624397794716060161590576171875	0.240600190586563400518826938423444516956806182861328125	-1.7330167481410648	2.525766628084461	IGF2R;NEUROG3
MP0001943_abnormal_respiration_	5/438	0.01475323548098486127477801943541635409928858280181884765625	0.1940567063439454231765779468332766555249691009521484375	0.0147653397447849166201905291018192656338214874267578125	0.18899556439051112821658762186416424810886383056640625	-1.5345091827483028	2.515988716646453	MAFB;TLX3;WNT7B;PAX3;IGF2R
MP0008770_decreased_survivor_rate_	3/195	0.026665820985813326604585427048732526600360870361328125	0.232831736068506767178831751152756623923778533935546875	0.02758281459867596707713488513036281801760196685791015625	0.240600190586563400518826938423444516956806182861328125	-1.6549943103042863	2.412053664870854	WNT7B;CACNA2D2;IGF2R
MP0002081_perinatal_lethality_	9/981	0.0047484694032905692961943344698738656006753444671630859375	0.1940567063439454231765779468332766555249691009521484375	0.0041353251508489639876042787136611877940595149993896484375	0.18899556439051112821658762186416424810886383056640625	-1.348117898893779	2.210380661424962	MAFB;TLX3;NBEA;WNT7B;PAX3;CELSR1;SSBP2;IGF2R;POU3F3
MP0001944_abnormal_pancreas_morphology_	3/196	0.0270179104452826189530778577818637131713330745697021484375	0.232831736068506767178831751152756623923778533935546875	0.0279422466816611654583102364313162979669868946075439453125	0.240600190586563400518826938423444516956806182861328125	-1.5077478874181913	2.1974509488674205	RIMS2;MAFB;NEUROG3
MP0003635_abnormal_synaptic_transmissio_	5/453	0.016829159864868166451845610254167695529758930206298828125	0.1940567063439454231765779468332766555249691009521484375	0.0168411889060851478749913923138592508621513843536376953125	0.18899556439051112821658762186416424810886383056640625	-1.3372828751459664	2.192615503809373	NBEA;OPHN1;FMR1;CACNA2D2;CHST3
