Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Broad palm (HP:0001169)	1/16	0.0031964014998821827125141670222774337162263691425323486328125	0.0224679551319082633498158685370071907527744770050048828125	0.00548918308037958137257650292895050370134413242340087890625	0.038141750080929008592800499855002271942794322967529296875	-2.1307770436299007	8.087716276216797	FGD1
Genu recurvatum (HP:0002816)	1/18	0.003595412218473466835211294068130882806144654750823974609375	0.0224679551319082633498158685370071907527744770050048828125	0.006134969325138700350918963266622085939161479473114013671875	0.038141750080929008592800499855002271942794322967529296875	-2.124291831074063	8.063100580595625	FGD1
Mild short stature (HP:0003502)	1/12	0.0023980205609535876730420422831002724706195294857025146484375	0.0224679551319082633498158685370071907527744770050048828125	0.004197610590902916931355104424028468201868236064910888671875	0.038141750080929008592800499855002271942794322967529296875	-2.12132597554683	8.05184318597885	FGD1
Abnormality of the odontoid process (HP:0003310)	1/20	0.00399430313456146900141785494042778736911714076995849609375	0.0224679551319082633498158685370071907527744770050048828125	0.00678075556994293428270115242639803909696638584136962890625	0.038141750080929008592800499855002271942794322967529296875	-2.0896506992076147	7.931614441836797	FGD1
Hypoplasia of the odontoid process (HP:0003311)	1/17	0.0033959218358608589220792861596009970526210963726043701171875	0.0224679551319082633498158685370071907527744770050048828125	0.005812076202785212454549057525809985236264765262603759765625	0.038141750080929008592800499855002271942794322967529296875	-2.078377760561606	7.888826140901847	FGD1
High anterior hairline (HP:0009890)	1/12	0.0023980205609535876730420422831002724706195294857025146484375	0.0224679551319082633498158685370071907527744770050048828125	0.004197610590902916931355104424028468201868236064910888671875	0.038141750080929008592800499855002271942794322967529296875	-2.0719630581739397	7.864478078272342	FGD1
Shawl scrotum (HP:0000049)	1/13	0.0025976607409520188242402216616255827830173075199127197265625	0.0224679551319082633498158685370071907527744770050048828125	0.004520503713288627316291279356619270402006804943084716796875	0.038141750080929008592800499855002271942794322967529296875	-2.0607822659657096	7.822039534364691	FGD1
Delayed puberty (HP:0000823)	1/28	0.005588669259465502137107506541724433191120624542236328125	0.025149011667594763086430731391374138183891773223876953125	0.00936390054888425714396671395434168516658246517181396484375	0.042137552469979154545764998829326941631734371185302734375	-2.112930245632937	7.781788305443627	FGD1
Large earlobe (HP:0009748)	1/11	0.0021983504126132269625160109427497445722110569477081298828125	0.0224679551319082633498158685370071907527744770050048828125	0.003874717468517765127378194023322066641412675380706787109375	0.038141750080929008592800499855002271942794322967529296875	-2.0282864850714035	7.698696429635381	FGD1
Megalocornea (HP:0000485)	1/23	0.004592414933070253398039728409685267251916229724884033203125	0.022962074665351266122836904060022789053618907928466796875	0.00774943493702276962886710265365763916634023189544677734375	0.038747174685113849879058989245095290243625640869140625	-2.0295487743231977	7.659337158092531	FGD1
Aplasia/Hypoplasia involving the vertebral column (HP:0008518)	1/36	0.007181120469350848155298816521963090053759515285491943359375	0.02692314102728443625522913862369023263454437255859375	0.01194704552796067333064744531156975426711142063140869140625	0.044708278482797854380681457087121088989078998565673828125	-2.0754923978385396	7.502425788962603	FGD1
Broad foot (HP:0001769)	1/38	0.007578934245915674820792684585057941148988902568817138671875	0.02692314102728443625522913862369023263454437255859375	0.012592831772614949958910557370472815819084644317626953125	0.044708278482797854380681457087121088989078998565673828125	-1.9835439226066431	7.170053281814912	FGD1
Attention deficit hyperactivity disorder (HP:0007018)	1/88	0.0174854831651835261607796923044588766060769557952880859375	0.030263336247433027248465720049352967180311679840087890625	0.0287374878915347374552791137602980597876012325286865234375	0.049737959812271657911164624010780244134366512298583984375	-2.0443626791634877	7.150809240028986	FGD1
Congestive heart failure (HP:0001635)	1/128	0.0253571704881799288300303629739573807455599308013916015625	0.038035755732269894979769020437743165530264377593994140625	0.0416532127867975388024746052906266413629055023193359375	0.06247981918019630820371190793593996204435825347900390625	-2.156316665688696	7.049492160141291	FGD1
Delayed eruption of teeth (HP:0000684)	1/86	0.017090651263922958247309935586599749512970447540283203125	0.030263336247433027248465720049352967180311679840087890625	0.028091701646852311469171326052673975937068462371826171875	0.049737959812271657911164624010780244134366512298583984375	-1.9748586214279542	6.90769667329101	FGD1
Hypoplasia of the maxilla (HP:0000327)	1/47	0.0093676170038235091752643057816385407932102680206298828125	0.0292943204533059019245566645395228988490998744964599609375	0.01549886987402001974067911049814938451163470745086669921875	0.04843396835648750009539753591525368392467498779296875	-1.9412267747530745	6.853232506997956	FGD1
Hyperextensible skin (HP:0000974)	1/39	0.0077777962967710591313252876943806768395006656646728515625	0.02692314102728443625522913862369023263454437255859375	0.012915724895030490648739629477859125472605228424072265625	0.044708278482797854380681457087121088989078998565673828125	-1.893787587616778	6.845604855479064	FGD1
Single transverse palmar crease (HP:0000954)	1/87	0.0172880820869020408736549399009163607843220233917236328125	0.030263336247433027248465720049352967180311679840087890625	0.0284145947691165183524031334627579781226813793182373046875	0.049737959812271657911164624010780244134366512298583984375	-1.9300766052888694	6.751057316655168	FGD1
Camptodactyly of finger (HP:0100490)	1/121	0.0239830519031355680892314552465904853306710720062255859375	0.037215080539348292798518258450712892226874828338623046875	0.039392960929894353661051553672223235480487346649169921875	0.06112700833949123724320173778323805890977382659912109375	-2.0469849165524816	6.7367117145940805	FGD1
Pectus excavatum (HP:0000767)	1/135	0.026729837610268959713355485519059584476053714752197265625	0.03880137717619687454106980339929577894508838653564453125	0.043913464643458750835680604041044716723263263702392578125	0.06374535190179496380036283653680584393441677093505859375	-2.063161785537653	6.703830638116055	FGD1
Brachydactyly syndrome (HP:0001156)	1/192	0.037853368622570014723205389373106299899518489837646484375	0.04482635757935922449224364072506432421505451202392578125	0.062318372618672922269578151599489501677453517913818359375	0.07379807283790214278429431260519777424633502960205078125	-2.1405100410199753	6.646195860244795	FGD1
Inguinal hernia (HP:0000023)	1/82	0.0163006304758381743991169088303649914450943470001220703125	0.030263336247433027248465720049352967180311679840087890625	0.02680012915711831034126788608773495070636272430419921875	0.049737959812271657911164624010780244134366512298583984375	-1.8988062247447173	6.641679206590156	FGD1
Short palm (HP:0004279)	1/54	0.0107571422291307394747406078749918378889560699462890625	0.0300499553101655735021235926751614897511899471282958984375	0.0177591217306430106115389122578562819398939609527587890625	0.0495735911410703222745866014520288445055484771728515625	-1.8851469293903802	6.607240360227073	FGD1
Broad forehead (HP:0000337)	1/77	0.01531243489091313990380083254194687469862401485443115234375	0.030263336247433027248465720049352967180311679840087890625	0.0251856635455549281166209851789972162805497646331787109375	0.049737959812271657911164624010780244134366512298583984375	-1.8782493999470333	6.569775168130071	FGD1
External ear malformation (HP:0008572)	1/72	0.01432349495858401162984296917102255974896252155303955078125	0.030263336247433027248465720049352967180311679840087890625	0.023571197933479559605274289424414746463298797607421875	0.049737959812271657911164624010780244134366512298583984375	-1.8781632175235772	6.5694737176701015	FGD1
Umbilical hernia (HP:0001537)	1/151	0.029861917566481217811702464359768782742321491241455078125	0.039781881046377136346148262191491085104644298553466796875	0.049079754601224261090219869174688938073813915252685546875	0.06538585728096946159126900965929962694644927978515625	-2.036056424282387	6.564945746097566	FGD1
Pes planus (HP:0001763)	1/105	0.0208367535565178556289378519750243867747485637664794921875	0.03472792259419642257878280133809312246739864349365234375	0.034226670971982169067171497545132297091186046600341796875	0.05704445161997027946565452793947770260274410247802734375	-1.9453829029685115	6.536897477017219	FGD1
Short nose (HP:0003196)	1/146	0.028883955863581022016628452320219366811215877532958984375	0.039781881046377136346148262191491085104644298553466796875	0.04746528898901143656008372317955945618450641632080078125	0.06538585728096946159126900965929962694644927978515625	-2.026246433918796	6.533314965271139	FGD1
Clinodactyly of the 5th finger (HP:0004209)	1/192	0.037853368622570014723205389373106299899518489837646484375	0.04482635757935922449224364072506432421505451202392578125	0.062318372618672922269578151599489501677453517913818359375	0.07379807283790214278429431260519777424633502960205078125	-2.098356830280228	6.515311870286478	FGD1
Short foot (HP:0001773)	1/63	0.01254152613210188400849620649069038336165249347686767578125	0.030263336247433027248465720049352967180311679840087890625	0.020665159832112568738526903189267613925039768218994140625	0.049737959812271657911164624010780244134366512298583984375	-1.8617401581326987	6.512028839596954	FGD1
Long philtrum (HP:0000343)	1/152	0.03005742123504050178350865962784155271947383880615234375	0.039781881046377136346148262191491085104644298553466796875	0.049402647723399147061673630787481670267879962921142578125	0.06538585728096946159126900965929962694644927978515625	-2.017198939965383	6.504142734956728	FGD1
Everted lower lip vermilion (HP:0000232)	1/74	0.01471916027706107223116394067119472310878336429595947265625	0.030263336247433027248465720049352967180311679840087890625	0.02421698417810323744614464658297947607934474945068359375	0.049737959812271657911164624010780244134366512298583984375	-1.8555581885132708	6.490405432983861	FGD1
Round face (HP:0000311)	1/49	0.0097647734844353017980012054977123625576496124267578125	0.0292943204533059019245566645395228988490998744964599609375	0.0161446561188291655419835279872131650336086750030517578125	0.04843396835648750009539753591525368392467498779296875	-1.8364193381235778	6.483224354923215	FGD1
Epicanthus (HP:0000286)	1/233	0.0457953459045646049663247367789153940975666046142578125	0.0502631845294001788904125760382157750427722930908203125	0.07555699063555222638743913421421893872320652008056640625	0.08292840435609390159488185645386693067848682403564453125	-2.1427526802474106	6.4078641516133255	FGD1
Downslanted palpebral fissures (HP:0000494)	1/188	0.03707589606659679459799150436083436943590641021728515625	0.04482635757935922449224364072506432421505451202392578125	0.06102680012946530563322511397927883081138134002685546875	0.07379807283790214278429431260519777424633502960205078125	-2.0533695717120812	6.375628278091365	FGD1
Hypodontia (HP:0000668)	1/57	0.011352205339395883554320931807524175383150577545166015625	0.0300499553101655735021235926751614897511899471282958984375	0.0187278010977376778434244641857731039635837078094482421875	0.0495735911410703222745866014520288445055484771728515625	-1.8143296513083673	6.359033299732212	FGD1
Radial deviation of finger (HP:0009466)	1/229	0.045022691041062691541529972028001793660223484039306640625	0.0502631845294001788904125760382157750427722930908203125	0.074265418146231387819256042348570190370082855224609375	0.08292840435609390159488185645386693067848682403564453125	-2.11627290101907	6.328676838199102	FGD1
Short neck (HP:0000470)	1/182	0.035908803880046379075619000786900869570672512054443359375	0.04482635757935922449224364072506432421505451202392578125	0.059089441394928610140624414270860143005847930908203125	0.07379807283790214278429431260519777424633502960205078125	-2.016287720429961	6.260490651190067	FGD1
Hypermetropia (HP:0000540)	1/73	0.01452134251067243274346818537878789356909692287445068359375	0.030263336247433027248465720049352967180311679840087890625	0.0238940910558820031328597366382382460869848728179931640625	0.049737959812271657911164624010780244134366512298583984375	-1.780634024141007	6.228334317934031	FGD1
X-linked recessive inheritance (HP:0001419)	1/111	0.0220175054868129889407146748681043391115963459014892578125	0.035385276675235159682397778624363127164542675018310546875	0.03616402970613037670677414325837162323296070098876953125	0.05812076202770953547993570964536047540605068206787109375	-1.8444388323022385	6.163117581797426	FGD1
Hypertelorism (HP:0000316)	1/328	0.06400849386163798282467496392200700938701629638671875	0.0669856331110164904263370999615290202200412750244140625	0.10623183726264230630764728857684531249105930328369140625	0.11117285294927682637311505686739110387861728668212890625	-2.2329775004904238	6.036356972624993	FGD1
Low-set, posteriorly rotated ears (HP:0000368)	1/276	0.054071807434594269803351807013314100913703441619873046875	0.057934079394208144730971099534144741483032703399658203125	0.0894413948982078210736545997860957868397235870361328125	0.09583006596236552654399787343209027312695980072021484375	-2.119071048300626	6.036066819217786	FGD1
Wide nasal bridge (HP:0000431)	1/217	0.042701910855736234517987526260185404680669307708740234375	0.049271435602772577222463468160640331916511058807373046875	0.07039070067786430684453335970829357393085956573486328125	0.08122003924368959015822611036128364503383636474609375	-2.0033653796134403	6.03095270579462	FGD1
Ptosis (HP:0000508)	1/338	0.0659103834841262281596385719240061007440090179443359375	0.06740834674512909130417170899818302132189273834228515625	0.10946076848510731538421936193117289803922176361083984375	0.111948513223405210492700234681251458823680877685546875	-2.1640678428462294	5.83646160528558	FGD1
