Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0002873_normal_phenotype_	14/1371	0.00002230738537903253758420442365295599529417813755571842193603515625	0.000323457087995971813605688982562469391268678009510040283203125	0.0000005293611468559263148522656995675905733378385775722563266754150390625	0.00000767573662941093193593476706748646165578975342214107513427734375	-1.155589421089865	9.28682978743318	ZRSR1;MTMR1;USP9X;GSR;ATP11C;HCCS;ZBTB33;HDAC8;HS6ST2;ENOX2;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0002169_no_abnormal_phenotype_	14/1371	0.00002230738537903253758420442365295599529417813755571842193603515625	0.000323457087995971813605688982562469391268678009510040283203125	0.0000005293611468559263148522656995675905733378385775722563266754150390625	0.00000767573662941093193593476706748646165578975342214107513427734375	-1.0929875655744454	8.78373347490301	ZRSR1;MTMR1;USP9X;GSR;ATP11C;HCCS;ZBTB33;HDAC8;HS6ST2;ENOX2;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0000001_mammalian_phenotype_	14/1459	0.0000444231038191817515924271486671415232194704003632068634033203125	0.00042942333691875695690642888990851133712567389011383056640625	0.00000114076586570155577877593196245431528268454712815582752227783203125	0.000011027403368448371822306552925141431842348538339138031005859375	-1.0457733908227387	8.107951507058063	ZRSR1;MTMR1;USP9X;GSR;ATP11C;HCCS;ZBTB33;HDAC8;HS6ST2;ENOX2;TAB3;TAF9B;ABCD1;A830080D01RIK
MP0004196_abnormal_prenatal_growth/weig_	6/786	0.0239556107635423391755136179881446878425776958465576171875	0.1736781780356819460120476605879957787692546844482421875	0.00953350350173843251455618741374564706347882747650146484375	0.06911790038760363963366017969747190363705158233642578125	-1.350292583040021	2.363756360760313	FGF16;USP9X;HCCS;HDAC8;ZFX;UCHL5
MP0001672_abnormal_embryogenesis/_devel_	7/1271	0.0683018621028834704844712177873589098453521728515625	0.39615080019672410660547257066355086863040924072265625	0.026743240115874040985222137578602996654808521270751953125	0.155110792672069452979854986551799811422824859619140625	-1.0910828038613265	1.0102993949093215	FGF16;USP9X;HCCS;HDAC8;ZFX;DUSP9;UCHL5
MP0003121_genomic_imprinting_	1/46	0.1231640017985906887520997088358853943645954132080078125	0.59529267535985497250550224634935148060321807861328125	0.10687606544198934022116276310043758712708950042724609375	0.51656764963628176712262529690633527934551239013671875	-1.6014449391277348	0.8306728577871709	HDAC8
MP0009701_abnormal_birth_body_	1/145	0.33988366238070388813952149575925432145595550537109375	0.98382916676267317956927627164986915886402130126953125	0.29728183886485914921848916492308489978313446044921875	0.969516887757660317248564751935191452503204345703125	-1.5948163637272175	0.026000303961196885	UBE2A
MP0005253_abnormal_eye_physiology_	1/329	0.6120136073980593227616964213666506111621856689453125	0.98382916676267317956927627164986915886402130126953125	0.55274837498995477158558742303284816443920135498046875	0.969516887757660317248564751935191452503204345703125	-1.371773776524936	0.022364038874226038	GNAT2
MP0002106_abnormal_muscle_physiology_	2/671	0.57450995582010289108865208618226461112499237060546875	0.98382916676267317956927627164986915886402130126953125	0.48604010603772074272654890592093579471111297607421875	0.969516887757660317248564751935191452503204345703125	-1.121928941263926	0.018290816522318613	FGF16;HCCS
MP0002127_abnormal_cardiovascular_syste_	5/1223	0.26849324872585089707399674807675182819366455078125	0.98382916676267317956927627164986915886402130126953125	0.1635902176700405608045230110292322933673858642578125	0.67773090177588224403137928675278089940547943115234375	-1.0873309778806048	0.017726765647958154	FGF16;GNAT2;USP9X;GSR;HCCS
MP0000428_abnormal_craniofacial_morphol_	2/896	0.73100771071521852828567489268607459962368011474609375	0.98382916676267317956927627164986915886402130126953125	0.646921722817136224392697840812616050243377685546875	0.969516887757660317248564751935191452503204345703125	-1.0824721258235708	0.01764755174392589	FGF16;HDAC8
MP0005266_abnormal_metabolism_	1/437	0.716641962445714764129434115602634847164154052734375	0.98382916676267317956927627164986915886402130126953125	0.65825654509289288629503289485001005232334136962890625	0.969516887757660317248564751935191452503204345703125	-0.9876909091742893	0.01610233280916778	SLC16A2
MP0001919_abnormal_reproductive_system_	4/1240	0.474494333787775113275841931681497953832149505615234375	0.98382916676267317956927627164986915886402130126953125	0.3480084315153106899742851965129375457763671875	0.969516887757660317248564751935191452503204345703125	-0.9805476346948417	0.015985875948071975	IRS4;UBE2A;ZFX;ABCD1
MP0002092_abnormal_eye_morphology_	2/939	0.754799517144530529577650668215937912464141845703125	0.98382916676267317956927627164986915886402130126953125	0.67303964522256887192952490295283496379852294921875	0.969516887757660317248564751935191452503204345703125	-0.8764548156035387	0.014288849884063844	GNAT2;GSR
MP0001544_abnormal_cardiovascular_syste_	3/1130	0.63206922279746990955828778169234283268451690673828125	0.98382916676267317956927627164986915886402130126953125	0.52039577298903605395707927527837455272674560546875	0.969516887757660317248564751935191452503204345703125	-0.8286828924526446	0.013510023838015927	FGF16;HCCS;HDAC8
MP0002108_abnormal_muscle_morphology_	1/644	0.84560795266722121876767914727679453790187835693359375	0.98382916676267317956927627164986915886402130126953125	0.7976249066749578897628225604421459138393402099609375	0.969516887757660317248564751935191452503204345703125	-0.6020539716626515	0.009815290725818134	FGF16
MP0003632_abnormal_nervous_system_	5/1867	0.6248324661242941058247879482223652303218841552734375	0.98382916676267317956927627164986915886402130126953125	0.47445964637335524827221888699568808078765869140625	0.969516887757660317248564751935191452503204345703125	-0.4493927010753601	0.007326452807767391	GNAT2;USP9X;HDAC8;ABCD1;UCHL5
MP0005508_abnormal_skeleton_morphology_	1/1244	0.97441532429614918786597854705178178846836090087890625	0.98382916676267317956927627164986915886402130126953125	0.95847432599358040050674389931373298168182373046875	0.969516887757660317248564751935191452503204345703125	-0.371194927534398	0.006051593878929855	HDAC8
MP0002163_abnormal_gland_morphology_	2/1129	0.83968470044696508214343566578463651239871978759765625	0.98382916676267317956927627164986915886402130126953125	0.771090238651016335325039108283817768096923828125	0.969516887757660317248564751935191452503204345703125	-0.3042294903442737	0.004959855819653536	ABCD1;ZFX
MP0003633_abnormal_nervous_system_	3/1361	0.7542611376657093469333403845666907727718353271484375	0.98382916676267317956927627164986915886402130126953125	0.6527354779758958169821880801464430987834930419921875	0.969516887757660317248564751935191452503204345703125	-0.29094497508937683	0.004743278260970075	HDAC8;ABCD1;S1PR4
MP0002160_abnormal_reproductive_system_	1/1010	0.94807620590228225410101003944873809814453125	0.98382916676267317956927627164986915886402130126953125	0.92205627116926180963929482459207065403461456298828125	0.969516887757660317248564751935191452503204345703125	-0.24403747385545183	0.003978544892363334	ZFX
MP0004924_abnormal_behavior_	3/2336	0.9694707837000124950321833239286206662654876708984375	0.98382916676267317956927627164986915886402130126953125	0.94192276775005090438952493059332482516765594482421875	0.969516887757660317248564751935191452503204345703125	-0.1891320622512746	0.0030834215268826116	IRS4;ABCD1;ZFX
MP0001764_abnormal_homeostasis_	5/2652	0.889807009865686726612921120249666273593902587890625	0.98382916676267317956927627164986915886402130126953125	0.80172308045267204335004862514324486255645751953125	0.969516887757660317248564751935191452503204345703125	-0.14598634825049026	0.002380016605690608	IRS4;PHKA1;HCCS;SLC16A2;ABCD1
MP0002396_abnormal_hematopoietic_system_	3/1853	0.90837314243810141078938613645732402801513671875	0.98382916676267317956927627164986915886402130126953125	0.847659835914951198532207854441367089748382568359375	0.969516887757660317248564751935191452503204345703125	-0.06664744308450832	0.0010865537988235608	ELF4;ZFX;ABCD1
MP0001790_abnormal_immune_system_	2/2039	0.9838291667626730685469738091342151165008544921875	0.98382916676267317956927627164986915886402130126953125	0.969516887757660317248564751935191452503204345703125	0.969516887757660317248564751935191452503204345703125	0.008150242849129066	-0.00013287347449814142	ELF4;ABCD1
MP0000685_abnormal_immune_system_	2/1575	0.9454912627989220386126589801278896629810333251953125	0.98382916676267317956927627164986915886402130126953125	0.9096990292008086953501333482563495635986328125	0.969516887757660317248564751935191452503204345703125	0.05082337668300243	-0.0008285739174409989	ELF4;ABCD1
MP0002089_abnormal_postnatal_growth/wei_	3/2459	0.9773171326327851904380850101006217300891876220703125	0.98382916676267317956927627164986915886402130126953125	0.9555809727284565457949838673812337219715118408203125	0.969516887757660317248564751935191452503204345703125	0.12099148999003924	-0.0019725252311225978	IRS4;UBE2A;ZFX
MP0005621_abnormal_cell_physiology_	1/1159	0.9668808390322085610790736609487794339656829833984375	0.98382916676267317956927627164986915886402130126953125	0.947706169024849831572510083788074553012847900390625	0.969516887757660317248564751935191452503204345703125	0.21364281499552862	-0.003483020525339683	HCCS
MP0010769_abnormal_survival_	8/3156	0.696066753133996574121056255535222589969635009765625	0.98382916676267317956927627164986915886402130126953125	0.50282835941486292430369076100760139524936676025390625	0.969516887757660317248564751935191452503204345703125	0.23257131473866982	-0.0037916120083747087	FGF16;HCCS;UBE2A;HDAC8;ZFX;DUSP9;S1PR4;UCHL5
