Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
MP0003984_embryonic_growth_retardation_	2/376	0.006954099899255514714846437840378712280653417110443115234375	0.042455939951774622487246091395718394778668880462646484375	0.0037883350792791820570160066239395746379159390926361083984375	0.02329902324083377163077557270298711955547332763671875	-1.7250986335582066	5.45008418435266	UCHL5;ZDHHC15
MP0002088_abnormal_embryonic_growth/wei_	2/385	0.007280449114626329730481923974139135680161416530609130859375	0.042455939951774622487246091395718394778668880462646484375	0.0039687984459971965833791074373948504216969013214111328125	0.02329902324083377163077557270298711955547332763671875	-1.711326267387777	5.406573307011257	UCHL5;ZDHHC15
MP0001672_abnormal_embryogenesis/_devel_	2/468	0.01061398498794365562181152284892959869466722011566162109375	0.042455939951774622487246091395718394778668880462646484375	0.0058247558102084429076938931757467798888683319091796875	0.02329902324083377163077557270298711955547332763671875	-1.6380912306034083	5.175202701322637	UCHL5;ZDHHC15
MP0005380_embryogenesis_phenotype_	2/468	0.01061398498794365562181152284892959869466722011566162109375	0.042455939951774622487246091395718394778668880462646484375	0.0058247558102084429076938931757467798888683319091796875	0.02329902324083377163077557270298711955547332763671875	-1.6241096546630314	5.131030869971869	UCHL5;ZDHHC15
MP0005584_abnormal_enzyme/coenzyme_acti_	1/167	0.057014373703227726186693047338849282823503017425537109375	0.152038329875273936497848126236931420862674713134765625	0.047258238222302288711329509851566399447619915008544921875	0.10801883022240522935764062140151509083807468414306640625	-1.8514909758427114	3.487510282255471	TPI1
MP0003861_abnormal_nervous_system_	2/855	0.033221913444275726068344312125191208906471729278564453125	0.1063101230216823289698169219263945706188678741455078125	0.0188936241670671460635144711659449967555701732635498046875	0.060459597334614867403246307731023989617824554443359375	-1.4286175445903238	3.202095889181508	UCHL5;ZDHHC15
MP0000689_abnormal_spleen_morphology_	1/669	0.2119486973228898729626479280341300182044506072998046875	0.3475533527181828841179367373115383088588714599609375	0.1795533466697338820239338019746355712413787841796875	0.2958092456423606630977474196697585284709930419921875	-1.5487489699780175	1.6367753588470928	TPI1
MP0002722_abnormal_immune_system_	1/748	0.2342213039767818416603262221542536281049251556396484375	0.3475533527181828841179367373115383088588714599609375	0.199185567071029467900444842598517425358295440673828125	0.2958092456423606630977474196697585284709930419921875	-1.4837339900522555	1.5680651164764805	TPI1
MP0002080_prenatal_lethality_	2/1685	0.11211624691109865759042207855600281618535518646240234375	0.25626570722536834434635011348291300237178802490234375	0.0691698879581703340857501416394370608031749725341796875	0.138339775916340668171500283278874121606349945068359375	-1.1129099795546082	1.515271958733577	TPI1;UCHL5
MP0002085_abnormal_embryonic_tissue_	1/765	0.2389429299937507467088693147161393426358699798583984375	0.3475533527181828841179367373115383088588714599609375	0.2033688563791229697574891588374157436192035675048828125	0.2958092456423606630977474196697585284709930419921875	-1.3282370694757308	1.4037302030012055	ZDHHC15
MP0002152_abnormal_brain_morphology_	1/1188	0.34866259894406337327410483339917846024036407470703125	0.4188396566021825861980687477625906467437744140625	0.3028249848913961983498666086234152317047119140625	0.3669486754312492049479033084935508668422698974609375	-1.2444267870756798	1.0829837078776177	UCHL5
MP0002882_abnormal_neuron_morphology_	1/1006	0.303243693109031486887516848582890816032886505126953125	0.404324924145375297346305387691245414316654205322265625	0.2611152580443043547120396397076547145843505859375	0.348153677392405824786436596696148626506328582763671875	-1.1285037064340264	1.0219012475665876	UCHL5
MP0002429_abnormal_blood_cell_	1/1630	0.448540461702784443165370475981035269796848297119140625	0.448540461702784443165370475981035269796848297119140625	0.3975210026898039483711499997298233211040496826171875	0.3975210026898039483711499997298233211040496826171875	-1.1002669240662397	0.8821460326072174	TPI1
MP0002169_no_abnormal_phenotype_	1/1370	0.391519768346964724958780834640492685139179229736328125	0.4188396566021825861980687477625906467437744140625	0.342934749424380014293234353317529894411563873291015625	0.3669486754312492049479033084935508668422698974609375	-0.8690516744169823	0.7563070921263595	TPI1
MP0002873_normal_phenotype_	1/1375	0.39266217806454617456068945102742873132228851318359375	0.4188396566021825861980687477625906467437744140625	0.344014383216796115760871543898247182369232177734375	0.3669486754312492049479033084935508668422698974609375	-0.8637730115387382	0.7517132454204792	TPI1
MP0000001_mammalian_phenotype_	3/3773	0.129038066655370986524076215573586523532867431640625	0.25807613331074197304815243114717304706573486328125	0.0465375496538869004581329136271961033344268798828125	0.10801883022240522935764062140151509083807468414306640625	-0.4447074349613845	0.6023565084873691	TPI1;UCHL5;ZDHHC15
