Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neuronal System_Homo sapiens_R-HSA-112316	63/301	0.000002176942049087862547326367723687923216857598163187503814697265625	0.0026362768214454016142689329882387028192169964313507080078125	0.0000001011679275215654966507800006057793407165945609449408948421478271484375	0.000122514360228615816483799250136144110001623630523681640625	-2.2263941510719905	13.221191535506604	GABRB3;KCNG1;KCNG3;PTPRS;KCNG4;KCNK9;GRIK5;KCNC4;GRIK3;SLC6A3;RPS6KA3;GNGT2;FLOT2;KCND1;KCNH5;CACNA2D1;CACNA2D2;SLC6A12;CASK;KCNK18;SYN2;GABRG3;SYN1;ARHGEF9;CACNB3;ADCY9;CACNB4;KCNQ1;KCNQ3;CHRNA3;KCNA2;CAMK2A;ADCY3;SLC1A3;KCNA5;KCNA7;ADCY7;CPLX1;LIN7B;ADCY6;ADCY5;GRIN2A;GNG7;KCNMB1;TSPAN7;KCNN3;GRIA3;KCNJ4;GABRA1;KCNF1;KCNB1;GABRA5;KCNB2;GRIN2C;DLG1;GNAL;DLG3;KCNS2;MDM2;KCNK1;KCNK2;HCN2;HCN1
Amine compound SLC transporters_Homo sapiens_R-HSA-425428	12/30	0.0000669982862089012220531414332214126261533237993717193603515625	0.0202837311497448442854096839482735958881676197052001953125	0.0001829498071617065182818684387910934674437157809734344482421875	0.0246169129414251786069911531740217469632625579833984375	-2.21894447140268	8.649303837612825	SLC6A5;SLC6A19;SLC6A7;SLC44A3;SLC44A4;SLC44A2;SLC6A14;SLC6A12;RHCG;SLC6A2;RHBG;SLC6A3
Voltage gated Potassium channels_Homo sapiens_R-HSA-1296072	15/43	0.00005627366761998186194503046575476901125512085855007171630859375	0.0202837311497448442854096839482735958881676197052001953125	0.00010406872956326444963105759544674810967990197241306304931640625	0.022164182389924770577582791020176955498754978179931640625	-1.9853146589739634	7.738629749431124	KCNG1;KCNF1;KCNG3;KCNH5;KCND1;KCNG4;KCNB1;KCNB2;KCNC4;KCNA2;KCNA5;KCNA7;KCNS2;KCNQ1;KCNQ3
Potassium Channels_Homo sapiens_R-HSA-1296071	26/99	0.0000443508895677740847484325781291403245631954632699489593505859375	0.0202837311497448442854096839482735958881676197052001953125	0.000025814190509122305933371877006976546908845193684101104736328125	0.010420328235515703696467681993453879840672016143798828125	-1.951541657923252	7.606984748233341	KCNG1;KCNG3;KCNG4;KCNK9;KCNC4;KCNA2;KCNA5;KCNA7;GNGT2;GNG7;KCNMB1;KCNN3;KCNJ4;KCNF1;KCND1;KCNH5;KCNB1;KCNB2;KCNK18;KCNS2;KCNQ1;KCNQ3;KCNK1;KCNK2;HCN2;HCN1
Cardiac conduction_Homo sapiens_R-HSA-5576891	31/135	0.0001390080754364562162610219342440132095362059772014617919921875	0.033667755870709699383969137898020562715828418731689453125	0.0000423387406168328561477907923116248412043205462396144866943359375	0.01281805372174614661429092876687718671746551990509033203125	-1.8809920121332817	6.378847759753239	KCNE1;KCNK9;NPR2;CAMK2A;ATP2A3;GATA4;CACNG6;SCN5A;NOS1;NKX2-5;SCN1B;KCNJ4;KCND1;KCNIP1;KCNIP2;CACNA2D1;KCNIP3;CACNA2D2;KCNK15;ATP2B3;ATP2B2;KCNK18;CACNB3;CACNB4;SCN8A;KCNQ1;FGF13;KCNK1;FGF12;KCNK2;FGF11
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	96/594	0.000468399355580042934567297496784021859639324247837066650390625	0.051566510873402908454732340715054306201636791229248046875	0.00000259077419060753269707182179504290076010875054635107517242431640625	0.00156871377241286111096918443053027658606879413127899169921875	-2.0511359836135186	6.081377862429708	GABRB3;SLC35B3;SLC44A3;SLC44A4;SLC44A2;ATP2A3;AQP4;TCIRG1;AQP5;SLC4A2;ATP12A;AQP2;SLC7A10;SLC6A2;BEST3;SLC4A4;SLC6A3;GNGT2;SLC22A17;SLC22A18;SLC39A6;SLC16A7;EMB;ATP7A;SLC12A6;SLC16A3;ATP6V1E2;ABCD1;SLC39A4;SLC15A1;TRPC5;SLC6A19;ATP6AP1;SLC30A3;MMGT1;TSC22D3;SLC6A14;ATP11C;SLC6A12;ATP11A;ANO7;GABRG3;SLC9A3;ARHGEF9;ADCY9;SLC7A7;SLC9A6;SLC9A7;SLC29A4;SGK3;RHCG;SGK1;SLC47A2;SLC47A1;TTYH1;ABCB7;CAMK2A;ADCY3;CLCNKA;SLC1A3;ATP2C2;ADCY7;ADCY6;ADCY5;SLC5A5;SLC7A3;ASIC4;PDZD11;GNG7;SLC17A8;SLC38A3;ASIC2;RHBG;TRPM6;ASIC3;TRPM3;SLC35A2;SLC12A2;RANBP2;GABRA1;DMTN;GABRA5;ABCA4;CYBRD1;ATP2B3;ATP2B2;EIF2S2;MCOLN2;SLC6A5;SLC2A9;SLC6A7;CLCN5;TRPV4;LCN2;GNAS;ATP13A4
Cell-Cell communication_Homo sapiens_R-HSA-1500931	29/131	0.0004319912276252927513763013589453976237564347684383392333984375	0.051566510873402908454732340715054306201636791229248046875	0.00012882047108428828076191752227686038168030790984630584716796875	0.022164182389924770577582791020176955498754978179931640625	-1.9507187724504151	5.783652597087529	ITGB4;PARD6G;LAMC2;PIK3R1;CDH8;CDH4;CDH3;CTNNA1;SPTBN1;CADM3;ACTN3;MAGI2;CASK;PARVB;CLDN5;CLDN4;CLDN3;NPHS1;CLDN14;PARD3;CLDN7;CLDN19;CLDN18;CTNNB1;PTPN6;CLDN16;LIMS2;PLEC;CRB3
Cell-cell junction organization_Homo sapiens_R-HSA-421270	17/61	0.000420197665988480809941274518592990716570056974887847900390625	0.051566510873402908454732340715054306201636791229248046875	0.00035289067895297762493533877403706355835311114788055419921875	0.04273506122120558636812148733952199108898639678955078125	-1.948884069266026	5.778212917115645	CADM3;PARD6G;CDH8;CLDN5;CDH4;CLDN4;CLDN3;CDH3;CLDN14;PARD3;CLDN7;CLDN19;CTNNA1;CLDN18;CTNNB1;CLDN16;CRB3
Cell junction organization_Homo sapiens_R-HSA-446728	22/86	0.0002506760317271463788142693562832619136315770447254180908203125	0.050594779070262378695144178664122591726481914520263671875	0.0001464190413867862594794744257598040348966605961322784423828125	0.022164182389924770577582791020176955498754978179931640625	-1.897197814364112	5.661061627017765	CADM3;ITGB4;PARD6G;LAMC2;PARVB;CDH8;CLDN5;CDH4;CLDN4;CLDN3;CDH3;CLDN14;PARD3;CLDN7;CLDN19;CTNNA1;CLDN18;CTNNB1;CLDN16;LIMS2;PLEC;CRB3
Tight junction interactions_Homo sapiens_R-HSA-420029	11/30	0.0003334227589943033272408545730769446890917606651782989501953125	0.0509031935590622541809580070548690855503082275390625	0.000613055879251817883134056952343371449387632310390472412109375	0.061867555814495954480403128172838478349149227142333984375	-1.8643448608764266	5.551701340345186	CLDN5;CLDN4;CLDN3;CLDN14;PARD3;CLDN7;CLDN19;CLDN18;PARD6G;CLDN16;CRB3
