Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Globo Sphingolipid Metabolism_Homo sapiens_WP1424	5/22	0.0003496766279458928656197203022060193688957951962947845458984375	0.046812520562027164217067110030257026664912700653076171875	0.000818201525021512872902496038562958347029052674770355224609375	0.12615522159341108210384163612616248428821563720703125	-1.9487738136912371	5.966374830385035	ST6GALNAC2;ST8SIA1;FUT1;ST6GALNAC4;ST6GALNAC6
EGFR1 Signaling Pathway_Mus musculus_WP572	13/171	0.00146134134264971015347567284692331668338738381862640380859375	0.11301039716491091680072855751859606243669986724853515625	0.0019569529685558397814892916954931934014894068241119384765625	0.15133769623498494194535624046693556010723114013671875	-2.148610974318129	4.684563767916681	TGIF1;GRB7;CEBPA;SH3KBP1;CAMK2A;PIK3CD;PRKCZ;EPS8;RPS6KA3;KRT18;RBBP7;PRKD1;PLEC
Ganglio Sphingolipid Metabolism_Homo sapiens_WP1423	4/13	0.000403556211741613510800286146462667602463625371456146240234375	0.046812520562027164217067110030257026664912700653076171875	0.0010875450137363025515657710684536141343414783477783203125	0.12615522159341108210384163612616248428821563720703125	-1.3975537034964138	4.278756817271927	ST8SIA1;B3GALT4;FUT1;ST6GALNAC6
Ectoderm Differentiation_Homo sapiens_WP2858	11/139	0.0024142961359808986533670438490162268863059580326080322265625	0.1400291758868921210279268052545376121997833251953125	0.003238652779443439329309928353950454038567841053009033203125	0.1878418612077194793652523685523192398250102996826171875	-1.7715645832687699	3.4827267488960043	TFAP2C;EDA;TSC22D1;ARX;PAX6;ROR2;BCOR;TBL1X;ANKS1B;WDR44;PHF8
Glycolysis and Gluconeogenesis_Homo sapiens_WP534	5/49	0.0133571602551798840341490404171054251492023468017578125	0.48049804350599989444248194558895193040370941162109375	0.0174113065939569856832580541095012449659407138824462890625	0.62071863664151372130817208017106167972087860107421875	-1.7896930421786978	1.3117235197909192	LDHB;TPI1;PDHA1;PGK1;ALDOC
Glycolysis and Gluconeogenesis_Mus musculus_WP157	5/48	0.01227861677938181517166782441563555039465427398681640625	0.48049804350599989444248194558895193040370941162109375	0.016156978831869894808193066637613810598850250244140625	0.62071863664151372130817208017106167972087860107421875	-1.7896642098469828	1.3117023876488425	LDHB;TPI1;PDHA1;PGK1;ALDOC
Imatinib Resistance in Chronic Myeloid Leukemia_Homo sapiens_WP2946	5/50	0.014497785795439650791127661477730725891888141632080078125	0.48049804350599989444248194558895193040370941162109375	0.0187285795538387755954090607701800763607025146484375	0.62071863664151372130817208017106167972087860107421875	-1.5816673764202849	1.1592548270796308	LYL1;NOL4L;NSD1;PIM2;SLC7A3
Type II diabetes mellitus_Homo sapiens_WP1584	3/22	0.0246876879903753336520377814622406731359660625457763671875	0.7159429517208846238673913831007666885852813720703125	0.032094868968306163037329525877794367261230945587158203125	0.93075120008087874889923796217772178351879119873046875	-1.5236403849479596	0.5091317352497138	GK;PDX1;PRKCZ
XPodNet - protein-protein interactions in the podocyte expanded by STRING_Mus musculus_WP2309	32/808	0.046064067395351175615569871979460003785789012908935546875	0.90063226328334378134599091936252079904079437255859375	0.04349413806186767927908221054167370311915874481201171875	0.93425685266681413043698967157979495823383331298828125	-1.9596676566618392	0.20509538271986233	GRB7;CEBPA;RTKN;ITGB4;SH3KBP1;CAMK2A;PIK3CD;PRKX;PRKCZ;SLC6A2;FGD1;EPS8;PORCN;EFNB3;NSD1;NRIP3;PAK3;SPTBN1;UBQLN2;MAGI2;AGTRAP;CASK;PAX6;DICER1;SORBS3;CLDN5;CLDN4;CTTN;HAND1;CLDN7;LMX1B;PLEC
Wnt Signaling Pathway_Homo sapiens_WP428	5/67	0.04452318613829546467552944477574783377349376678466796875	0.90063226328334378134599091936252079904079437255859375	0.05162658295578929912306165306290495209395885467529296875	0.93425685266681413043698967157979495823383331298828125	-1.73145487116671	0.1812110325222277	WNT7B;WNT5A;ROR2;PRKD1;PRKCZ
G Protein Signaling Pathways_Mus musculus_WP232	6/88	0.04239596306147642990058699297151179052889347076416015625	0.90063226328334378134599091936252079904079437255859375	0.048773773188641345033289553612121380865573883056640625	0.93425685266681413043698967157979495823383331298828125	-1.706258767261109	0.17857405244246696	GNGT2;GNAS;AKAP6;PRKD1;PDE8A;PRKCZ
Heart Development_Homo sapiens_WP1591	4/47	0.046584427411207433855633297525855596177279949188232421875	0.90063226328334378134599091936252079904079437255859375	0.054614354113982042926433990714940591715276241302490234375	0.93425685266681413043698967157979495823383331298828125	-1.504314972913679	0.15743896882316613	TBX1;FOXC1;HAND1;NFATC2
Wnt Signaling Pathway and Pluripotency_Mus musculus_WP723	6/94	0.055289787847365219619621967694911290891468524932861328125	0.93682171658992963170220491520012728869915008544921875	0.062365119632120047388212924488470889627933502197265625	0.93425685266681413043698967157979495823383331298828125	-1.6884350862857531	0.11019113230453037	FOXD3;WNT7B;WNT5A;ZBTB33;PRKD1;PRKCZ
Wnt Signaling Pathway and Pluripotency_Homo sapiens_WP399	6/102	0.07579112099704606031469467097849701531231403350830078125	0.93682171658992963170220491520012728869915008544921875	0.083649646823548640117707009267178364098072052001953125	0.93425685266681413043698967157979495823383331298828125	-1.6753890830066271	0.1093397203165588	FOXD3;WNT7B;WNT5A;PRKD1;ZBTB33;PRKCZ
G Protein Signaling Pathways_Homo sapiens_WP35	6/95	0.05764491015863680567488103179130121134221553802490234375	0.93682171658992963170220491520012728869915008544921875	0.0648280237037201778615980174436117522418498992919921875	0.93425685266681413043698967157979495823383331298828125	-1.6039057826896501	0.10467455677739067	GNGT2;GNAS;AKAP6;PRKD1;PDE8A;PRKCZ
