Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Developmental Biology_Homo sapiens_R-HSA-1266738	32/786	0.0279425527635693525529969605258884257636964321136474609375	0.9942994292712674653245130684808827936649322509765625	0.0048050316542563552280054040011236793361604213714599609375	0.671743425265038496263514389283955097198486328125	-2.2695212717994604	0.012974583030605216	KLB;CEBPA;EPHA10;CAMK2A;AGAP2;CRMP1;MED12;RPS6KA3;MED14;EFNB3;DPYSL4;ZIC3;SLIT1;RBBP7;TBL1X;PAK3;SPTBN1;FOXD3;TSC22D1;LIMK2;PDX1;MSN;PAX6;DUSP9;ANK1;CNKSR2;FGF16;DLG3;FES;NUMB;HOXB3;EVL
Transmembrane transport of small molecules_Homo sapiens_R-HSA-382551	28/594	0.006716410127598546227212228387770664994604885578155517578125	0.9942994292712674653245130684808827936649322509765625	0.00114278704466968562825091026979862363077700138092041015625	0.51224213442748212088417858467437326908111572265625	-2.1066598406626227	0.012043523609825833	SLC44A3;SLC47A1;SLC44A2;CAMK2A;ATP2A3;CLCNKA;AQP5;ATP2C2;SLC6A2;BEST3;SLC5A5;SLC7A3;GNGT2;SLC22A17;PDZD11;SLC38A3;SLC12A6;ASIC2;ATP6V1E2;ABCD1;GABRA1;DMTN;SLC30A3;MMGT1;TSC22D3;ATP11C;ATP2B3;GNAS
Class B/2 (Secretin family receptors)_Homo sapiens_R-HSA-373080	6/84	0.03275833894635026000141664326292811892926692962646484375	0.9942994292712674653245130684808827936649322509765625	0.022296408753174672134900191622364218346774578094482421875	0.914221006217256881853927552583627402782440185546875	-2.0632508945898813	0.01179535983093105	GNGT2;WNT7B;WNT5A;GNAS;PTHLH;CRHR1
Axon guidance_Homo sapiens_R-HSA-422475	21/515	0.0647977616793562194441591373106348328292369842529296875	0.9942994292712674653245130684808827936649322509765625	0.0209442898487797700413093338056569336913526058197021484375	0.914221006217256881853927552583627402782440185546875	-2.031232502072817	0.011612314491201857	KLB;EPHA10;LIMK2;CAMK2A;AGAP2;MSN;CRMP1;DUSP9;ANK1;CNKSR2;FGF16;RPS6KA3;EFNB3;DPYSL4;DLG3;FES;NUMB;SLIT1;EVL;PAK3;SPTBN1
Cell-Cell communication_Homo sapiens_R-HSA-1500931	10/131	0.004331601766635943991101687089440019917674362659454345703125	0.9942994292712674653245130684808827936649322509765625	0.0022984221775283280274349007044065729132853448390960693359375	0.53553236736410048113299353644833900034427642822265625	-2.0151367235577937	0.011520296840880467	CLDN5;CLDN4;CLDN14;ITGB4;MAGI2;CLDN7;CASK;CLDN18;SPTBN1;PLEC
HS-GAG biosynthesis_Homo sapiens_R-HSA-2022928	4/31	0.0111580015957256188652291228891044738702476024627685546875	0.9942994292712674653245130684808827936649322509765625	0.00992523077442400251946263978197748656384646892547607421875	0.80420221037635097882656509682419709861278533935546875	-2.0067648167534595	0.01147243564596371	HS3ST3B1;NDST1;GPC3;HS6ST2
Ion channel transport_Homo sapiens_R-HSA-983712	12/203	0.01383592678606095603688341810766360140405595302581787109375	0.9942994292712674653245130684808827936649322509765625	0.006288650801717859430139956344874008209444582462310791015625	0.7326278184001306925665630842559039592742919921875	-1.9713111113582789	0.01126975103132352	GABRA1;PDZD11;TSC22D3;CAMK2A;ATP2A3;ATP11C;CLCNKA;ATP2B3;ATP2C2;ASIC2;ATP6V1E2;BEST3
Tight junction interactions_Homo sapiens_R-HSA-420029	5/30	0.0014589094888983670898763289613953020307235419750213623046875	0.9942994292712674653245130684808827936649322509765625	0.00146564273083685876926385294183319274452514946460723876953125	0.51224213442748212088417858467437326908111572265625	-1.9652796245071318	0.011235269738761692	CLDN5;CLDN4;CLDN14;CLDN7;CLDN18
WNT ligand biogenesis and trafficking_Homo sapiens_R-HSA-3238698	3/26	0.036817772026825519582349244274155353195965290069580078125	0.9942994292712674653245130684808827936649322509765625	0.032697460880445526620885488000567420385777950286865234375	0.914221006217256881853927552583627402782440185546875	-1.9221688076796486	0.010988810329283718	PORCN;WNT7B;WNT5A
CRMPs in Sema3A signaling_Homo sapiens_R-HSA-399956	3/16	0.00977681554493118644411087103662794106639921665191650390625	0.9942994292712674653245130684808827936649322509765625	0.01035453489754958357471625873813536600209772586822509765625	0.80420221037635097882656509682419709861278533935546875	-1.9127594790707327	0.01093501831736667	DPYSL4;FES;CRMP1
